http://movie.douban.com/subject/2377264/	雪花女神龙
(1星)	 女主角一打架就咬个头发，也没见帮助她发大招啊？男主角顶个泡面头，难看的不行了快，全剧唯一亮点就是坐轮椅的欧阳明日君。            
(3星)	 请无视这个名字= =里面只有欧阳明日一个人是在闪光的……            
(3星)	 捧着澡盆看——接被雷吐的血，和看小乔流的鼻血            
(2星)	 这两星是送给乔美人和董璇的.....            
(4星)	 为什么我觉得很好看呢我真奇怪……orz            
(NA)	 话说女主角真的不太好看~~~额~~            
(3星)	 除了男主和女主和片名外，这个电视剧我还是看的不错的，男配角都好养眼            
(2星)	 那主题曲很无敌            
(NA)	 小乔同学你就是拯救这崩坏的世界的神啊            
(1星)	 太神奇了~~~我怎么会看过这个            
(1星)	 囧囧有神            
(1星)	 望天，怎么给导演拍出来的？还取这么囧的名字~无奈，无奈，无奈！！！            
(NA)	 有一段女神从天而降，那旋转，那雪花，那飘逸~~简直笑死了！！！！！！！！！            
(1星)	 真恶心            
(1星)	 巨恶            
(3星)	 美女帅哥，上过天涯的筒子都知道我说的是谁            
(5星)	 这五颗星，跟除了欧阳明日之外，与这部剧相关的任何剧情、人物都没有任何关系！只为欧阳明日……这么个才色兼备无可挑剔的美男子怎么就掺和在这么个雷剧里了？！            
(2星)	 初二的时候？只为乔振宇……            
(3星)	 1，女神龙眉心那挂饰一晃一晃的，她眼睛不花啊？2，泡面头……3，明日公子啊，我想起了一句话：容颜秀致，眉目如画……身为女子自愧不如！！！            
(1星)	 囧得叮当响~~            
(NA)	 高中我几乎回家就看电视剧。。。这么囧的我也看。。。            
(NA)	 。。。。。            
(NA)	 好囧~~            
(2星)	 都不知道我小时候是如何看完的。            
(3星)	 小乔同学是我至今为止所见最惊艳的受一枚了。            
(2星)	 诶呀我艹 每次放在半夜播 一转台看着怪渗人的            
(2星)	 败作 除了温润如玉的明日公子             
(2星)	 太囧了实在是。。。。从OP一出来就开始雷雷到最后一集结束。。。            
(3星)	 三颗星都是给....小乔的TuT            
(1星)	 囧囧有神。。。            
(2星)	 每日囧一囧            
(NA)	 这名字真囧，女主也是            
(NA)	 哈哈哈哈哈哈哈哈哈            
(3星)	 剧情不错，演员也还可以，可惜整体效果……哎~~            
(3星)	 只萌小乔……            
(3星)	 电视剧             
(1星)	 说实话,这部片子真的很烂,但就是从这部片开始喜欢乔振宇的!            
(3星)	 大烂片，台词太恶心，适合关了声音看。但里面有明日公子啊，目前最喜欢的电视剧人物，这三颗星就是这么来滴            
(NA)	 彻底的烂剧，配角个个惨不忍睹，打负分绝对的，唯一的贡献是小乔，其次是基情戏。            
(3星)	 为帅哥美女加两星……泡面头你好……泡面头再贱            
(NA)	 欧阳明月！您是要有多漂亮！您是照着白马王子长的吧！            
(NA)	 哈哈哈  初中的时候看过· 啊哈和            
(3星)	 粉明日的朱砂            
(4星)	 剧是烂剧，乔mm是好mm            
(3星)	 只记得他眉心一点红痣，色如春花。            
(1星)	 神剧            
(3星)	 完全忘记啥剧情了            
(NA)	 我就此发誓 挥刀杀到天边去。。。            
(NA)	 第一次看到乔振宇是在这里不过结局结的不明不白            
(NA)	 当时最迷的是欧阳明日啊 - - 果然是腐女             
(5星)	 弄月公子            
(3星)	 乔振宇美死了！            
(1星)	 初中看的，当时觉得欧阳明日真是好看惨了……            
(NA)	 我只记得欧阳明日……            
(3星)	 乔振宇真是惊艳了            
(3星)	 哈哈哈哈 我小时候很爱看呢 我好瞧不起那时候的我啊             
(4星)	 前些日子和人一起回忆了番，愈发确定这是个喜剧            
(2星)	 这片让我很尴尬。            
(4星)	 我只是好奇为毛这部会被归入腐剧...因为乔振宇么...= =            
(3星)	 【五颗星给欧阳明日】把什么破刀破剑扔了不就完了？可惜了风华绝代的明日一往深情。算了，他还是留给弄月吧，靠谱多了。最終把片段看完了，果斷決定只看片段。            
(NA)	 我当时觉得董璇长得好乖啊            
(3星)	 乔振宇增帅!            
(2星)	 雷劈啊            
(2星)	 因为一点红多给1颗星，然后那个“鬼见愁”的方便面头太。。。雷了！            
(3星)	 星星是给乔美人滴。            
(2星)	 哎哟，当年每次看到这电视剧，明知它烂，但还是忍不住想要知道它到底可以有多烂……原来欧阳明月就是乔振宇演的，怪不得我后来那么讨厌他！！！            
(NA)	 剧情真销魂....但是小乔同志更甚..            
(4星)	 好吧那时我是看完了的。            
(1星)	 好囧            
(2星)	 除了乔振宇别的都可以pass了 - -             
(5星)	 这片子要是没有明日  真是难以想象==            
(4星)	 只为明日。。。主要是看到一个叫《倾尽天下》的mv配了小乔与严宽。。。orz。。。想起倾国倾城的欧阳明日了。。。为什么叫小乔的我都喜欢 -=b            
(3星)	 我当初看的时候 只萌乔振宇啊...            
(3星)	 小时候看的            
(2星)	 雷得里焦外嫩= =不知道为啥，N多囧片证明了一个规律：一部烂片，却有一个极其出彩的人物！此剧唯一的亮点就是欧阳明日！            
(3星)	 啊啊~~狂风呀暴雨~~            
(3星)	 啊~~~~~~~~~~~~~~~~！！！！鬼！见！愁！ = =             
(NA)	 因为乔振宇的欧阳明日            
(2星)	 两颗星是给明日公子的。&gt;&lt;            
(3星)	 造型问题。            
(2星)	 我不得不说，我是为了明日公子才看的。。。            
(2星)	 赛华佗赛华佗赛华佗！！！            
(2星)	 我了个操            
(3星)	 其实很难看，但是那时候超级喜欢那个女主角，觉得她好好看～            
(4星)	 男主太丑，造型欠缺，其他的真不错。            
(3星)	 只记得面冠如玉的明日公子            
(2星)	 若不是为了明日，谁看这天雷剧啊？！            
