http://movie.douban.com/subject/3918663/	那一年的幸福时光 那一年的幸福時光
(4星)	这部戏追了四个月，终于大结局，陪掉多少眼泪，也笑得很欢。很多次吴念真一开口就叫人要哭。台北商业精英们的戏蛮扯，不是编剧的拿手戏。但宜兰的戏太好看，吴念真，黄韵玲，温升豪，隋棠，父子，夫妻，情侣，就听他们这样唠唠嗑嗑，斗气拌嘴，让人温馨，快乐，宁静，无奈，还想家。
(4星)	完全只为了看杨一展的肉体。。。羞
(NA)	偶像很狗血,老姜们很辣,不看剧情看民俗，闽南话对白一出场，即刻感性得一踏糊涂。
(3星)	冲郭采洁去的 竟然发现还有学长诶 真是惊喜 学长你个囧样
(3星)	開始無聊了  然後又扎實了  我喜歡你哪林美秀!!!
(4星)	不喜欢结局啊。素馨一个人……
(3星)	好喜歡溫升豪~~~
(4星)	多好的吴念真啊……要是能攀上个亲就好了Z_Z
(5星)	很淡很淡，却可以想起很多事情。
(4星)	在看時給5星~看完給4星..因爲結局..我嚴重偏好楊一展和郭采潔這對..
(NA)	隋棠和温升豪这部剧里实在很搭，温升豪这个角色实在太让人喜欢了，老实憨厚可爱又怂。吴念真那几个老戏骨的几场戏，真是太有趣了。看到后来直接就跳过杨和郭的戏，就只看宜兰的戏。宜兰的那些戏真是好自然，就像是平常的生活一般。
(4星)	大城市里受的伤  回家了就会痊愈  大城市里迷失的方向  回家了就会找到  大城市里丢失的爱情  丢了就丢了  家里会有最好的那个爱人在等着你   大城市没那么美好  和家人在一起才是最好的幸福时光
(3星)	很清新。
(4星)	看到江博博才会有安慰……废柴并不可怕！
(NA)	冲着ogisan和这张海报，先追几集
(4星)	画面很美，音乐很美（音乐制作黄韵玲），故事应该也很美吧……
(4星)	这是看到现在最真实的台剧 没那么华丽 却很生活。陈博和国芬的cp 真的温馨可爱 小斗嘴小情愫慢慢发酵 最后美好的在一起。温昇豪懦弱得有点小可爱 隋棠大女人得很帅气 郭采洁也清新的恰恰好 所有的配角都是豪华配置 整部戏都恰恰好啊！
(5星)	簡單的 小小的 幸福
(4星)	看到演员名单有吴念真和黄韵玲，我的眼睛就发亮了。陈和林篇幅过多，严重拖垮此剧的质量…
(2星)	都是那个吴念真，他一定是来陪他儿子的。结局太狗血太狗血啦！！！！！什么“认识你我很高兴”“我也很高兴认识你”？！减掉一颗星。剩下两颗都是吴念真的。
(4星)	郭采洁...蛮讨喜的 .杨一展...这个角色感觉对他有点吃力
(4星)	近几个月看的最喜欢的电视剧了
(4星)	挺好看的
(4星)	总感觉郭采洁演得有点过，喜欢吴念真演的爸爸，跟自己的爸爸很像很像~！
(4星)	像宜兰乡间绿意浓浓的色调一样，这里有一支抚慰心灵的民谣，淳朴而温馨。前十集一气呵成，后面几集断断续续地看着，虐心
(4星)	台湾美丽宁静的田园风光映衬着黄国芬江陈博的幸福时光~
(4星)	难得不算做作的台剧~郭采洁好像小绵羊~呵~相当可爱说~温升豪绝对算是突破戏路~戏的气氛还挺好，就是编剧在一些部分弱掉了~比如男主放弃爱情选择事业转折点不是很好，得到总裁的位置也太轻易，不过估计是主打感情戏，有些地方也只能马马虎虎应付了~
(4星)	幸福并不一定是happy ending 而是在所有的经历过往中有收获
(5星)	妈的，第一集就把我搞哭了
(4星)	好看！念真导演你也太会演戏了吧。演员们选得很好。温升豪大爱。
(4星)	1.大家赞它真实，其实与《媳妇的美好时代》等国产剧相比还有很大的偶像剧成分存在。2.老戏骨就是老戏骨，一个比一个演技精湛，最有名的就是吴念真，蔡振南，林美秀都是出色的配角。3.遇到白羊座男人，必慎重对待，小心斟酌，最好保持距离。4.最可贵的东西除了坚持，还有放弃。
(NA)	回家种田吧
(5星)	关于家的一个温馨故事。关于幸福的温暖诠释。家之所在，心之所在啊。
(5星)	眷村
(4星)	只看温升豪跟隋棠，还有大人们的剧情，杨一展和郭采洁的看不下去。
(5星)	很喜欢隋棠和温升豪这一对。“学长”果然演得很好。郭采洁还是演戏比较好呵呵。
(5星)	宣传语太到为了累了 就回家博芬恋最大~吴念真演的爸爸好感人
(4星)	很多感动
(NA)	特助先生還是穿西裝打領帶最帥，機車服穿著很彆扭哎！哥哥關心因為被困電梯同進醫院的刺青大叔無人問津那裡很逗趣，還有就是阿馨對冷面的特助先生說“不快樂的人怎麼會健康呢？”警局裡錄口供的警官對囂張的假洋鬼子的英文痛斥大快人心吶
(3星)	只因吴念真，我万万没有想到啊，居然看上了台剧。
(NA)	还没有完结
(4星)	隋棠最高！
(3星)	喜欢这张海报。喜欢这个片名。
(4星)	隋棠啊~~~她超有气质的
(3星)	我觉得这个剧可以叫做农村小伙的逆袭 郭采洁我各种喜欢不起来 
(NA)	The Happy Time in That Year
(4星)	黄国芬&amp;江陈博
(5星)	亮點是溫升豪，大亮點是吳念真。黑點是陽一展，大黑點是車禍和結局。
(3星)	貌似结尾被很多人骂，难道很多人，你们就不能展开想象么？
(NA)	【2009-08-07】
(5星)	宜兰的部分太美好了，江陈博跟谁拌嘴都特别有趣，温升豪其实是谐星啊！真心佩服吴念真的演技，非常自然，毫不做作。
(2星)	两颗星给帅哥美女 一颗星给隋棠
(4星)	哇，原来，其实我早就推荐过了，只是突然地很想再推荐一次。黄国芬这样的女人，真是好啊。希望我可以成为吴念真老先生，或者最少蔡振南阿伯那样的老人！
(4星)	中段从林英杰接受赵大山的条件夺回主导权开始比较狗血。
(4星)	小铃老师跟Amber的演技都太赞了!
(3星)	对杨一展和郭采洁感到很烦腻。。。温升豪最可爱的一次！
(4星)	为了温升豪和隋棠那一对，以及剧中的父母亲大人，加一颗星
(4星)	好温暖的剧。自然，清澈。
(3星)	只看前11集。只为郭采洁~~~ || 吴念真居然是2010年百位华人公共知识分子。|| 黄韵玲在荒岛音乐会！！||总会有一些破烂剧让你伤心让你念念不忘……
(4星)	温升豪的好评很多。郭采洁真好看哇。
(5星)	冲着吴念真去看的，现在看到一半，觉得非常好看，特此推荐······依依不舍地看完了，真希望还没有结束啊，我还没有看过瘾黄国芬VS江陈博、陈定河VS黄阿胜飚戏诶，新生代演员和老一代戏骨，演技可真不是盖的！
(1星)	一颗都是多的。。。！！！
(4星)	很多大陆人在台剧中体味到乡愁
(5星)	对这种舒服温情的台湾剧完全没有抵抗力，好喜欢戏里面隋棠和温升豪，还有黄韵玲和吴念真这两对呀。
(4星)	...很舒服的节奏..慢慢看..16  温升豪..演技不错 喜欢你了.. 杨一展 长的很挺括 .. 隋棠 喜欢你没道理       結尾不喜歡.
(3星)	结尾不给力
(4星)	不喜欢结尾。。。
(4星)	音樂不錯。。
(5星)	唔，好温暖
(4星)	偶像劇裡挺優秀的了。
(5星)	江陈博～黄国芬～
(5星)	风格清新的好片子！
(4星)	吴念真演的爸爸很真实，跟温升豪的对手戏又搞笑又感人，还有要带郭采洁去堕胎的那段看得我眼泪哗哗的，父亲的矛盾心情处理得很好，用戏里江陈博的一句话说，就是“超赞的啦”。还有江陈博虽然很窝囊，但是对妹妹真的很好，好希望有这样的哥哥啊，总之亲情戏都很棒啦
(4星)	老戏骨们很出彩
(5星)	每个角色都是那么深刻
(5星)	好久没看过这么纯粹的电视剧了...
(3星)	想起想起看一集
(4星)	御姐！其实我第一眼看隋堂就不觉得她是花瓶！
(5星)	很好很温暖。阿馨和林英杰那一对有点瞎啦，不过扣掉的分数可以被阿河伯和他老婆补回来。另，温sir相当得好！
(4星)	完全在看隋棠
(NA)	温情剧确实是我的type 不过浮躁了 节奏慢得真的看不进去
(4星)	喜欢这个名字还有清新的绿色喜欢黄韵玲喜欢郭彩洁呃..我认真的看下去吧.
(3星)	吴念真、黄韵玲，姜还是老的辣！
(4星)	淡淡的幸福~~
(4星)	就还蛮温馨的啊
(NA)	结局不好，弄得我不想看第二遍了
(NA)	吴念真啊啊。。
(5星)	想着未来，看着远方
(NA)	导演想拍成温馨的故事，可是编剧太烂了
(NA)	幸福的开篇略显精良，后部急转直下至狗血到滥情。
(NA)	台湾的小清新剧。。不是我喜欢的剧情。。弃之
(3星)	淡淡的......
(NA)	哈哈 吴念真
(5星)	家永远是最好的避风港。+ 结尾的小失落
(4星)	好矛盾，从1113开始，我打算放弃了。前12集都超越水准的优良，突然就逆转成家族风雨。到底发生了什么？导演换了？编剧罢工？还是改编到一半不好玩扔了?还真没发生过这样的事情,&#34;台剧&#34;变&#34;港剧&#34;.
(4星)	虽然我还是没看完但算是不错的台剧了...
(NA)	不适合不合适，本来恰如其分的一个词，可到现在为止，这都成为每个人用来当做借口的用词。
(4星)	不一样的偶像？剧 简单又平淡的幸福真好 不够完美的结局要扣掉一星 郭采洁一如既往的可爱 隋唐也一如既往的气质 
(3星)	也是爛結局
(2星)	这个结局太狗血了吧！莫名其妙。。。可惜了前几集制作的那么精良！！狗血！狗血！！吴念真，可惜了吴念真！！！
(4星)	谈谈的就好。
(4星)	陈素馨林英杰我要你们在一起，什么烂结局啊~！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！
(3星)	这部片我最后还是没有看完。。是被预告片吸引过去的，家的幸福的感觉。。但最后剧情的发展让我失去了兴趣。。这部片拍的感觉还是挺好的。。
(5星)	很质朴，很温暖，很台味，再加上男的很正常，女的很漂亮，我很喜欢
(5星)	我一直一直一直被杨一展的林英杰迷倒了 郭采洁清新得好舒服！整部剧都好喜欢。
(5星)	那一碗面的味道永远都记得。那一段空白生活永远深刻。
(NA)	郭采洁，我的小草莓~
(4星)	纠结了几多集 一个车祸就一下子峰回路转了~
(4星)	柯氏父子退出之后的剧情就变得很^&amp;#$#^&amp;了，竟然也追下来了，佩服我自己哦。温升豪虽演得很好，但我最喜欢的还是那个詹朝威詹老师。
(5星)	久违的感动。。。。。这样的结局，难受。。。。
(4星)	结局有些让偶不舒服
(4星)	爱情线可以忽略不计（两条线一条恶搞，另一条狗血）；亲情线十分感人（城乡之间的强烈对比，工具交换和情感选择之间的戏剧冲突，唤起了观众的广泛思考）。复线大爱，虽然最后两条主线没有重合，但大喜走向的剧情中留着一份悲哀反而显示出幸福的可贵。做了下功课，原来鲁冰花的幕后主刀也是吴念真！
(3星)	家
(3星)	隋棠着实漂亮...很安宁!
(4星)	前半段 很完美 五星; 后半段 为了制造剧情的高潮 情节有点刻意且狗血 ... 演员们都很赞 ... 
(2星)	我再也不看台剧了！！！杨一展长得好欠打~~~~o(&gt;_&lt;)o ~~
(5星)	很宁静...
(4星)	节奏不快，感觉很宁静，与喧嚣浮华的都市相比，我宁愿相信这才是归宿……
(NA)	02弃
(3星)	演员很好  音乐不错 做对的选择
(5星)	&lt;我添加的&gt;  喜欢这节奏 这绿的色调 
(3星)	剧情不好
(NA)	我爱我的家。在南京我会想家的。
(3星)	那谁。。。温升豪和隋唐演的那对夫妻挺有爱的，居家现实感很强又不失可爱的一面。
(4星)	吴念真五星，宜兰温馨剧情四星，台北狗血剧情两星。放下从前找的未来却近在眼前，你的身旁才是会开花的世界。如果累了，就回家吧。
(5星)	优质剧啊~~
(5星)	我喜欢这样平凡却很温馨的生活，还有片头和片尾曲都很温暖
(3星)	看了个头看了个尾，估计不会再看了
(5星)	吴念真  黄韵玲   最好的父母
(5星)	台湾式的生活化，非常喜爱
(5星)	江博博太可爱了~~~真幸福~~
(5星)	淡淡的温馨，家的感觉真好，宜兰风景很美。
(3星)	情节拖沓了点、、台感很强、、温升豪可塑性真强。
(4星)	温暖、美好、小清新
(5星)	简简单单，轻轻松松，快快乐乐
(4星)	喜欢温升豪和隋棠这一对，很温馨
(4星)	里面的人物都让人感觉好温暖 超爱最后几集的吴念真
