http://movie.douban.com/subject/3133990/	萧十一郎 蕭十一郎
(4星)	 这个版才够味，那个连城壁果然很英气，也很道貌盎然，我喜欢！            
(3星)	 曾经的收山之作            
(4星)	 我爱邵美琪            
(3星)	 20            
(NA)	 拍的很古龙诶吴岱融的逍遥侯真是秒杀黄日华的萧十一郎里面女的最喜欢小公子，其次花如玉            
(2星)	 囧，竟然看完了            
(3星)	 黄日华的收山之作。            
(NA)	 good            
(2星)	 黄日华还是去演靖哥哥吧。            
(NA)	 大一在2宿楼道和大左一起看的……            
(5星)	 经典，64.的评分也太低了吧。            
(2星)	 乱七八糟，不能接受。            
(4星)	 初中租碟看            
(3星)	 邵美琪老了……            
(3星)	 不错，挺好看，不过女主角现在看来不是很靓！            
(3星)	 吴岱融的逍遥侯~            
(3星)	 我看的是绿色版。。。权且算看过吧。以前看过一点原著，不是很喜欢，因为这个故事本身我就不中意，所以电视剧都不算好看，不过我喜欢结局。。。结局提到楚留香，我很好奇楚留香最后娶了谁啊            
(5星)	 这个剧认识了朱茵            
(3星)	 几个主演都演得很不错，可惜古龙的作品还是给人虎头蛇尾的感觉，始终没有金庸作品那种荡气回肠的感觉。            
(4星)	 比较古老，此时柔弱的向海岚，年轻的邵美琪，壮硕的黄日华            
(3星)	 晋哥            
(5星)	 看黄日华演的古龙金庸下的英雄就是过瘾，这个版本的萧十一郎情节不拖沓，看到最后的时候，感觉每个演员把角色都表现得血肉饱满。            
(3星)	 吴奇隆挺帅的。            
(4星)	 故事很不错，虽然拍摄手法差了点，打斗差了点，但是不影响整体效果            
(4星)	 对狼有一种崇拜~            
(NA)	 掠过            
