http://movie.douban.com/subject/6778677/	绝望主妇  第八季 Desperate Housewives Season 8
(5星)	 有没有可以告诉我，susan到底多久死？有她一天我就各种想死=-=            
(4星)	 8年了，真的好难说再见，只希望这一年过的慢些，再慢些~~            
(3星)	 剧情越编越扯了啊            
(5星)	 最后一季了。主妇们，你们陪我走了5年。            
(5星)	 Kiss them goodbye！不知道以怎么样的心情看第八季，Susan继续被NC喷，Gaby继续耍宝搞笑，lynette继续秀演技，Bree，你的爱情呢？那么多年来，时过境迁，唯一不变的是主妇们的友谊。难说再见啊！！！            
(5星)	 再见了，可爱的主妇们，爱你们。            
(5星)	 从第一季看到第八季            
(5星)	 第八季了……无法形容的心情啊……            
(5星)	 这个必须追啊            
(5星)	 最后一季  各种怀念             
(5星)	 最后一季了...有感情啊...            
(3星)	 从第七季开始，越来越狗血            
(5星)	 追了好多年了，继续追吖追，直到有天你们彻底离我而去。。。。            
(5星)	 果断5颗星啊            
(5星)	 哎，最后一季了，陪伴了我那么多年的剧就那么落幕，好像送走了一群很多年的老朋友            
(3星)	 Final season，这次轮到主角们联手藏尸；平淡或艰辛，总归是生活。            
(5星)	 终于回到第一季的水平了            
(5星)	 第一集可把我笑惨了 最终季肯定能比慢吞吞的前几季精彩！            
(5星)	 嗲的来！！最好看的美剧！！！            
(5星)	 【EP13】现在的感想是，给我来个痛快吧！！我要结局！！            
(2星)	 真令人绝望，不就死了个人么至于么！            
(5星)	 绝世好剧，追了两年了，每一集都是精彩。            
(5星)	 转眼就要完结了            
(5星)	 我中毒了，真不希望本季完结啊！泪奔！！！！！            
(5星)	 最终季必须顶            
(5星)	 超级想看            
(5星)	 一口气看到的第八季，突然不习惯一集一集等了。虽然剧情不如从前，但是最后一季了还是舍不得！            
(5星)	 八年过去了，真的是八年过去了.....            
(5星)	 不用看我就给五星！等出完了我再看！！！！            
(3星)	 看你还能怎么编下去。。。。。。            
(5星)	 事实证明susan真是个惹祸精。            
(5星)	 我真不希望它演完。。。。            
(5星)	 我亲爱的主妇们，我不想要你们走啊。            
(5星)	 最爱的一部美剧，陪伴我长达6年的时光！            
(4星)	 last season...pity...大家都老啦。。演得越来越不上心，编剧也是越来越俗套不给力了~            
(4星)	 这一季又有看点了            
(5星)	 必须好评！            
(5星)	 告别季啊 ...【看了这么久 我已经成为再狗血也依旧忠实的观众了            
(5星)	 最后一季，我很桑心。。。。            
(5星)	 请问要付出多少秘密，才能买到一张通向紫藤街的车票？            
(5星)	 一如既往的好评！！！            
(3星)	 弃            
(5星)	 8年啊你妈。。当年我才大一。。            
(5星)	 有时候会妄想这几个可爱女人能一直把这部剧演到她们老的时候，但是那是不大可能啦，还是到了最终季，好舍不得。。。。            
(5星)	 还是很有最终季的样子的，终于牵扯到自身了，极端选择出现，最终季的来临            
(5星)	 不要完结            
(5星)	 第一集就好好笑~~据说是最终季了？越是终季打分越高是规律么…… Anyway，就算完结了我也会反复看哒！桑感神马的走开！            
(5星)	 在看第八季的时候，又重新看了前面的几季，真的很精彩，值得回味……            
(5星)	 大爱!最末季了，舍不得再见            
(5星)	 我去，苏三你怎么这么这么老了。。。。            
(5星)	 我心目中最最完美的电视剧。            
(5星)	 谁说这个是最后一季啦！我希望她一直出一直出 出到我老出道我死            
(NA)	 DH 我通过网络观看的第一部美剧，在今年2011年来到了令人不舍的Final Season, 7年下来，Season 8开篇黑色幽默功力有增无减 8年即将落下帷幕，但Wisteria Lane的故事永远说不完            
(4星)	 有许多事，可以让朋友们紧密相连。分享彼此的糗事后相视一笑。身处困境时互相的慰藉，发自内心的宽容原谅，但最能令朋友心手相依的，是一个共同的秘密.一个足以颠覆一切的秘密.            
(5星)	 今天在期待很久之后看了第一集。小幽默，大友谊。但是感觉他们都沧桑咯。            
(3星)	 审美疲劳。。。            
(5星)	 再會。            
(4星)	 苏三bitch真是越看越让人火大，我已经彻底受不了她的NC式耍宝了。11集弃，真的没什么可看的了……            
(5星)	 学美语的经典范本 里面美语发音都很好听            
(5星)	 经典            
(4星)	 这部陪我度过了这么多年的剧。。。            
(4星)	 最后一季了~ 从大一开始追这部剧，到现在人在英伦继续学业，我长大了，她们也老了。。。生活就像剧，而今都物是人非。。。            
(5星)	 依旧很给力~~            
(5星)	 最爱 不解释！            
(4星)	 坐等季终,从第一季喜欢到第八季的是bree,一开始喜欢后来讨厌的是susan,从头讨厌到尾的是lynette{为此和哈尼吵了小半个学期},以及一开始超级喜欢后来就淡淡的gaby...如果从第一季就开始看都有8年了,小孩都可以打酱油了~            
(5星)	 每个主妇都应看的电视剧            
(5星)	 终季很精彩啊            
(5星)	 怎么停在12了            
(5星)	 少有的几部一直追着看的美剧，发音很赞。            
(3星)	 这季是绝望主妇8年来最差的故事，就看收尾了            
(4星)	 最终季。。。            
(2星)	 每况愈下！！敢不敢再纠结一点！！没事找事的susan，控制欲爆发的lynette，放纵的bree，就只有正常的gabi，戏份还越来越少！实在追不下去了，编剧已经对剧情完全不负责任了。快点了结了吧~            
(5星)	None
(5星)	 还不出啊还不出。。            
(5星)	 susan是2B中年无误。。。太可怕了。。。            
(5星)	 跟了6年 一直没有停下来  很精彩            
(4星)	 绝望主妇是看着最舒服的美剧            
(NA)	 发音超好            
(NA)	 等待啊等待 更新啊更新            
