http://movie.douban.com/subject/2357372/	最后的格格
(NA)	 霍思燕太强了，百度了下竟然演过那么多，神奇的是我根本没听过她不知道她是谁。            
(3星)	 原来是霍思燕            
(2星)	 烂编剧＋烂导演            
(NA)	 雷声大雨点小的感觉~            
(NA)	 断断续续的看的，为了陈键锋和唐宁            
(3星)	 讨厌于正，萎缩男            
(3星)	 天平男+天蝎女+金牛男+射手女            
(2星)	 没有唐宁，这片子就是垃圾。            
(4星)	 我就是爱看霍思燕            
(NA)	 补遗                  
(2星)	 草草看完的            
(NA)	 我居然把这样的剧看完了 其实真没什么好看的            
(3星)	 完全冲陈键锋和霍思燕看的            
(NA)	 键锋哥儿好像跟唐宁儿接吻了哟~哈哈哈哈！            
(3星)	 我就记得有陈键锋了            
(4星)	 很虐心的不~            
(3星)	 第一部配女主角嘅电视剧。。。印象深刻。。。            
(3星)	 我就冲他看的            
(3星)	 翻电视 瞟的～结局部分～            
(3星)	 宁在这部片子里苦恋苗，两人算是扯平了。            
(2星)	 没电影没网络的日子我就是这么颓废的－ －            
(3星)	 又是于妈的狗血烂俗编剧            
(NA)	 这剧情太白烂了，我是专门去看严宽的            
(4星)	 没办法··我爱霍思燕和苗苗            
(3星)	 这样对我们家唐宁。。情何以堪            
(3星)	 在断网的那一天，我竟然把此狗血剧看完了。什么叫狗血？这才叫狗血！！！            
(NA)	 霍思燕的古装很DJ            
(3星)	 开头很好啊 电视剧是怎么了             
(2星)	 如果不是因為寧寧 我會看？            
(3星)	 因为这部剧喜欢霍思燕。。。她里面的造型真美            
(1星)	 有星都是给陈键锋多的。。。            
(NA)	 突然想起是俺俩人08年秋天看的             
(3星)	 依然。唐宁。（还有苗苗……）            
(3星)	 对剧情不做评论了，里面很多角色性格都不喜欢，比如沈梓康，比如方语嫣，真是无语了，咋那么白痴~~冲着苗宁看的，苗一开始的妆很惊艳，严宽很腔调，方天羽只是不懂得如何去爱……            
(1星)	 继续笑            
(NA)	 唐宁到大陆居然演配角！气愤！所以，看到14集开始抽了几集，然后最后一集            
(3星)	 片子拍的太长了，都没耐心看完            
(3星)	 为了霍思燕和陈键锋 ；还是有精彩的，太戏剧的表现手法了。喜欢结局。            
(3星)	 三颗星也是冲着对霍思燕的爱给的~~其实我看不下去……这剧其实跟格格身份没啥太大关系~            
(1星)	 很差，那个温良玉，又没本事，又自私。            
(3星)	 又是一个悲剧电视。霍思燕还是那样，陈键锋老了。            
(NA)	 剧情囧得不知道该打几分，冲着苗苗和严宽看的。。。            
(2星)	 很俗很俗很俗,俗得无话可说.只能说编剧很强大,            
(3星)	 温良玉好可怜啊，我妈说最该死的是云香，囧~            
(3星)	 半天看8集，膜拜自己。            
(4星)	 一顆為苗苗而亮的星            
(NA)	 苗是主角，虽很苦。。。            
(3星)	 太虐了+编剧白痴~PS: 最爱方天羽，你坏爆了，帅爆了，痴情爆了~            
(3星)	 多一星给女主~            
(4星)	 还记得她跳舞唱歌的画面            
(3星)	 还行吧，型男靓女组合，剧情差强人意。            
(3星)	 看着看着就没兴趣了            
(3星)	 给苗苗的三颗星            
(5星)	 为陈键锋看的。。演技还是不错的，只是觉得于正有很多地方写得不细致，大地错误没有小得纰漏蛮多的。。但是看看还是OK的，我居然很不争气地哭了两次！！唉~~女人啊！            
(NA)	 霍思燕还可以吧，配音够雷            
(4星)	 太虐了。。。。。。            
(1星)	 看见于妈1星不解释            
(3星)	 陳鍵鋒阿、嚴寬阿…            
(3星)	 于正以前还正常点儿            
(3星)	 一般般的剧集，主要靠俊男美女撑着，于妈编的故事不敢恭维。            
(3星)	 ···········            
(3星)	 居然是于妈的。。。。我被打击了！            
(3星)	 起点高落点低            
(3星)	 记得有萧蔷在里面配角过            
(1星)	 蛋都碎了。            
(5星)	 真心不错，高考完的暑假就看了这一部，            
(3星)	 结局傻逼一样。三星给严宽。            
(3星)	 加一颗星给阿苗，这个编剧除了生搬硬套还是生搬硬套            
(2星)	 为着几位主演看的，很失望，台词和剧情都太雷人了，看了5集半，直接跳大结局            
(4星)	 都是痴情的种。            
(3星)	 沈语嫣            
(4星)	 这部戏里还是最爱陈键锋            
(5星)	 霍思燕演的有点作，喜欢唐宁            
(2星)	 很琼瑶            
(4星)	 好可怜的结局啊，那么多年，还是没能在一起，就差那么一点，那么一点点，就给人生留下了那么久的遗憾，男一号温柔，男二号我也喜欢，痴情啊            
(2星)	 冲着几个主角看的。前面还好，看了三分之二看不下去了，他们的第二代怎么都那么挫！            
(3星)	 于妈，你到底想表达个啥，白瞎了一帮还行的演员            
(3星)	 于大妈就是喜欢糟蹋好故事            
(2星)	 不知道在看什么，看的人心脏病发            
(3星)	 糟蹋了陈键锋啊~~            
(1星)	 淡定给于正一星 刷屏请无视            
(3星)	 两大帅男加燕儿 暴棒儿！            
(4星)	 一部老剧。锋哥最帅！            
(3星)	 更爱配角严宽            
(3星)	 蛮好看的            
(3星)	 最后的结局真的是个悲剧。苗苗啊，你怎么就给自己的亲儿子给枪杀了呢？太悲剧了。@Home            
(4星)	 虐到极致的一部电视剧了。还能再纠结点吗？陈键锋 我还是一如既往的喜欢呀。唐宁啊唐宁 我喜欢你女扮男装的样子。霍思燕的鼻子不太好看 其它还算可以。            
(2星)	 一直不喜欢看虐苗的剧。            
(4星)	 于娘我恨你，没了。            
(5星)	   好喜欢好喜欢霍思燕            
(5星)	 一度执着着。。            
(3星)	 不喜欢霍思燕后面的那个发型            
(3星)	 我不喜欢霍思燕···= =            
(4星)	 剧情有够曲折！            
(5星)	 方天羽很不错            
(NA)	 3.5            
(4星)	 片子2星+陈键锋2星~            
(2星)	 唐宁一颗星 陈三苗一颗星 抱歉我真的看不完 就算我多爱苗宁            
(1星)	 迄今见过的最狗血的片子            
(5星)	 苗苗 ╮(╯▽╰)╭            
(4星)	 唐宁            
(NA)	 哦哟当时被陈键锋惊艳到了            
