http://movie.douban.com/subject/2997320/	僵尸道长 僵尸道长1
(5星)	 夜静更深对朗月 朗月清辉亮            
(NA)	 小時候看的，當時鳳凰臺每天晚上六點還是七點開始放，好像有時還連播兩集，從未錯過            
(5星)	 小学五年级的凤凰卫视，很经典。            
(5星)	 我只怕这个。            
(5星)	 我小时候最喜欢的            
(4星)	 林正英的僵尸系列已经算是无法超越的经典港影了。            
(5星)	 可惜林叔已作古多年，此后再无人能拍这么好的僵尸片            
(5星)	 小时侯凤凰卫视            
(4星)	 小学时候遭吓得睡不着觉~~            
(5星)	 看过为数不多的恐怖片呐            
(5星)	 道士的范儿最正的就只有他了   据说他研究过茅山术  。。。            
(4星)	 哈哈哈哈，这是小时候给我留下阴影的片子，我记得老爸爱看，我跟着看，看了晚上做梦全是僵尸，完全是我印象中“鬼片”的启蒙            
(5星)	 徐少强的杨飞云真是太出彩            
(4星)	 没有电影爽....情节慢啊            
(NA)	 遥想当年 思绪万千…            
(5星)	 真的是非常经典的僵尸片——我是僵尸控！林正英大叔已逝，再也没有好看的僵尸片儿了……OTZ……            
(2星)	 因为一直对僵尸有特别的癖好，然后就看了..            
(3星)	 林师父的电视剧一定要顶！不过，拍得太像武侠片。丧失了林师父僵尸电影的一些元素。希望第二部会更好。            
(NA)	 这个太经典了！            
(NA)	 爆好看的僵尸系列，慈禧墓和夜明珠。            
(5星)	 很喜欢这部僵尸片            
(4星)	 英叔的僵尸片我都爱            
(4星)	 小时候看凤凰卫视印象好深刻现在还记得            
(4星)	 初中时看的电视剧 记得当时是在凤凰卫视8点档播的 后来还演了我和僵尸有个约会等等 值得推荐            
(4星)	 我讨厌僵尸！！！            
(3星)	 我怎么觉得1没有2好看。。。            
(5星)	 小时候和表哥租碟看这个看了N遍啊            
(4星)	 没有卫视中文台台的童年该是多么乏味啊！            
(3星)	 我就想起月光光，还有灵童转世。哈哈            
