http://movie.douban.com/subject/3018456/	千言万语
(3星)	 那时觉得张玉嬿好漂亮啊好漂亮。算是小时候萌的第二个美女吧。（另一个是陈德蓉。            
(NA)	 天！居然有这部剧！！            
(4星)	 真的是童年记忆，找了半天终于找到这部剧了，其实都忘记了名字了，记得小时候看，对女主角的小三、前夫和婆婆真的是痛恨的不得了啊，后来结局真是大快人心            
(5星)	 唯一喜欢看的台湾言情剧……            
(5星)	 我想打十星怎么办！            
(NA)	 N年前的记忆了            
(2星)	 囧 小时候跟着妈妈看的 一边讨厌一边看            
(5星)	 有时候会不自主地哼起这首歌            
(4星)	 小时候和妈妈一起看的，记得好多年。            
(3星)	 洒狗血的电视剧我还真是看了不少...            
(4星)	 这是我第一次看到焦恩俊的戏，所以他演反派才是我的第一印象            
(3星)	 我情愿，情愿再多听些蜜语甜言，我情愿。。。            
(4星)	 我情愿，情愿你勉强你自己再看我一眼，把爱放在里面，还可以留恋...            
(5星)	 那时候好小好小啊，在别人家看的，还是黑白的。每次播完都放田震的好大一颗树。            
(4星)	 主题曲我会唱了            
(4星)	 在夜晚的风中想起过去的种种~~这么多年我都没能忘记这首歌。            
(3星)	 又看了一遍，发现居然仍然能跟着主题曲从头到尾唱下来。当年的台剧原来都那么琼瑶囧            
(3星)	 貌似看过不止一遍            
(5星)	 为什么，林瑞阳~！！            
(4星)	 后来看的韩剧都是这样的模式            
(4星)	 居然看到了这个小时候看的台湾言情剧，虽然没看全，但是一直记得女主角的美丽善良，还有山中的小屋和在山上的谈情说爱，真是浪漫死了。            
(4星)	 男人都喜欢温柔如水的女子，说白了，他们是保护欲强的动物            
(4星)	 我到现在都记得女主角叫何以晴            
(5星)	 极少让我喜欢的女二真像个娇俏的美人鱼~男女主就是那最言情的相遇和相爱---还是打动了小时候的我。            
(3星)	 男人怎可负心如此？那个时候很讨厌焦恩俊            
