http://movie.douban.com/subject/2155265/	白眉大侠
(NA)	 刀，是什么样的刀？金丝大环刀！ 剑，是什么样的剑？闭月羞光剑！ 招，是什么样的招？天地阴阳招！ 人，是什么样的人？飞檐走壁的人！ 情，是什么样的情？美女爱英雄！............................            
(4星)	 刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！            
(NA)	 河里有水蛤蟆叫，吵得大爷心里闹， 抓了几只下酒哟，咕，呱，全跑了。            
(4星)	 刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！            
(3星)	 大侠最近演了一个《王屋山下的传说》，改行当愚公了~            
(4星)	 农民伯伯的最爱！            
(4星)	 小时候的连续剧看的真多，犹以古装武侠剧居多~对了，还有部叫什么《金毛狮王》来着？            
(4星)	 刀是什么样的刀！！            
(3星)	 里面有个姑娘挺好忘了叫什么最后死的很惨            
(4星)	 小時候覺得好好看。。。。。            
(4星)	 经典啊。            
(2星)	 哈哈            
(NA)	 哦哦哦白眉大侠你长得多么巫师来了啊...            
(NA)	 呵呵 不知道是多久前的事了            
(4星)	 呃。。毋庸赘言            
(NA)	 都是看这长大的            
(4星)	 白眉大侠啊~~~~~~~~~~            
(3星)	 白眉大侠....            
(3星)	 忘光啦            
(3星)	 跟评书比改了不少,当时看很好看.当时觉得白云瑞那叫一个帅阿!            
(4星)	 重新翻了下真是有些不能看了            
(4星)	 我爱大头鬼~            
(1星)	 破坏了小说与评书的好印象。            
(2星)	 编剧单田芳            
(3星)	 想到以前还老是跟着唱“刀是什么样的刀……”就很羞恼。            
(NA)	 那谁头上插朵花来着？            
(3星)	 为啥儿时会觉得这个特别好看呢，至今没想明白            
(3星)	 好吧 奶奶家的必杀节目             
(5星)	 刀，是什么样的刀？金丝大环刀！ 剑，是什么样的剑？闭月羞光剑！ 招，是什么样的招？天地阴阳招！ 人，是什么样的人？飞檐走壁的人！ 情，是什么样的情？美女爱英雄！............................             
(NA)	 补遗               
(NA)	 哈哈哈哈，英雄爱美人            
(3星)	 当年有这种水准还是难得的            
(3星)	 真忍受不了以前居然爱看这个~            
(5星)	 意义重大意义重大            
(4星)	 但是记不清。。。            
(4星)	 经典啊！房书安~            
(3星)	 刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！情是什么样的情？美女爱英雄！            
(3星)	 徐良 白云瑞 还记得这些名字 哈哈 尤其是房书安 还有他唱的小曲！            
(3星)	 最后的结局很沧桑            
(1星)	 超级走样的徐良            
(3星)	 白云瑞            
(NA)	 内地剧集            
(4星)	 怀旧呀，怀旧，这电视剧的片头曲太牛B了。            
(NA)	 这电视演的是什么已忘记了，但主题曲至今还会唱:)            
(1星)	 　“刀是什么样的刀？金丝大环刀！剑是什么样的剑？闭月羞光剑！人是什么样的人？飞檐走壁的人！ 情是什么样的情？美女爱英雄！ ”      歌写得不是一般油菜            
(NA)	 这个不可以随便打星星，这是我滴童年……            
(3星)	 haha .怀念啊。            
(3星)	 其实，就记得个：刀，是什么样的刀……            
(4星)	 偶就记得里面有对双胞胎姐妹~一个超好一个超坏~小学时看的吧~            
(NA)	 我还看过什么蝉翼刀呢            
(NA)	 这几天豆瓣的人都怎么了            
(4星)	 好老～            
(5星)	 吵得大爷心里闹             
(5星)	 小时候，外公特喜欢看这个武打剧            
(3星)	 绝对看过，但是全忘了            
(4星)	 行侠仗义，杀人灭口...            
(5星)	 ……我居然没马过！？            
(NA)	 我妈超爱            
(NA)	 。。。。。见了也认不出来            
(4星)	 香江剧场的还是不错的。儿时记忆。            
(NA)	 人是什么样的人，飞檐走壁的人。然后我就想到了小偷。。。。            
(4星)	 刀是什么样的刀，金丝大环刀。。。。            
(5星)	 难忘的武侠剧 那时主题歌还会唱            
(3星)	 还记得是浙江台放的            
(3星)	 刀，是什么样的刀？金丝大环刀！ 剑，是什么样的剑？闭月羞光剑！ 招，是什么样的招？天地阴阳招！ 人，是什么样的人？飞檐走壁的人！ 情，是什么样的情？美女爱英雄！。。。。。。            
(3星)	 童年的阴影 英雄主义情结的源头            
(NA)	 情是什么样的情，妓女爱狗熊。            
(3星)	 刀是什么样的刀……            
(3星)	 現在看這個演員，貌似不帥氣。            
(4星)	 小时候很喜欢            
(NA)	 天聋地哑~            
(NA)	 刀是什么样的刀！剑是什么样的剑！            
(NA)	 刀是什么样的刀xxx 剑是什么样的剑xxx 人是什么样的人 美女 爱 英雄！！            
(4星)	 小时候觉得邢岷山好帅啊！            
(NA)	 河里有水蛤蟆叫            
(NA)	 白云瑞特别帅            
(4星)	 男主很丑啊            
(NA)	 挖塞!!!!!!!!!!幼儿园没上前的事儿            
(NA)	 情是神马羊的情啊,美女爱英雄!!!            
(4星)	 刀，是什么样的刀？金丝大环刀！ 剑，是什么样的剑？闭月羞光剑！ 招，是什么样的招？天地阴阳招！ 人，是什么样的人？飞檐走壁的人！ 情，是什么样的情？美女爱英雄！            
(4星)	 刀是什麼樣的刀？是金絲大環刀！            
(4星)	 80后都看过这部片子吧 O(∩_∩)O哈哈~            
(5星)	 是不是小时侯看的都是最好的？            
(NA)	 这个和新白娘子传奇一样 是小时候有印象的片子 但是具体讲什么 就记不得了。。。            
(3星)	  都忘记剧情了，就记得有那首歌            
(3星)	 小时候很喜欢白云瑞，主题曲呀，哈哈            
(2星)	 刀是什么样的刀 金丝大环刀            
(3星)	 刀是什么样的刀            
(NA)	 谁说不好看跟谁急            
(5星)	 看看把            
(3星)	 河里有水蛤蟆叫 吵得大爷心里闹 抓上两只下酒肴 龟呱 全跑了…上小学疯狂追看，并和同学热烈讨论。            
(NA)	 美好的主题曲唷~            
(NA)	 记得那首歌            
(4星)	 靠，看过白眉大侠有啥丢人的，偶还会唱房书安的那支歌呢，河里有水蛤蟆叫~~~            
(4星)	 刀是什么样的刀？金丝大环刀！ 　　剑是什么样的剑？闭月羞光剑！ 　　人是什么样的人？飞檐走壁的人！ 　　情是什么样的情？美女爱英雄！            
(3星)	 当时就觉得白云瑞很帅，头上有个半屏山，当年女士们的首选啊。            
(5星)	 天哪 给5颗星 完全是为了那缥缈的儿时记忆 我早忘记是讲些什么了 只是因为还记得主角的两撇白眉吧 真怀念             
(4星)	 太TM经典了！            
(NA)	 只記得名字~和那一道白眉~——“刀是什么样的刀，剑是什么样的剑，招是什么样的招，人是什么样的人……”            
(NA)	 刀是什么刀？            
(NA)	 刀是什么样的刀？金丝大环刀！ 　　剑是什么样的剑？闭月羞光剑！ 　　人是什么样的人？飞檐走壁的人！ 　　情是什么样的情？美女爱英雄！            
(3星)	 现在看着这海报怎么那么丑啊            
(3星)	 哈。只记得看过            
(3星)	 刀是什么样的刀，金丝大环刀。剑是什么样的剑.....儿时疯狂的喜欢白云瑞呢。            
(4星)	 儿时回忆            
(4星)	 这部剧现在好像突然很红……里面还有张子健呢~            
(NA)	 这小子一副坏样怎么让他演啊            
(5星)	 那时候经常梦见和白眉大侠的夫人在一起，反复的被她拿剑刺我，又不忍我受伤的那种........              
(5星)	 儿时经典啊！            
(4星)	None
(NA)	 小时候山东台每周末播出~~刀是什么样的刀，金丝大环刀。 剑是什么样的剑，碧月羞光剑。 招是什么样的招，天地阴阳招。 人是什么样的人，飞檐走壁的人。 情是什么样的情，美女爱英雄！            
