http://movie.douban.com/subject/2226505/	国际刑警
(4星)	 当年觉得火点很帅            
(5星)	 关礼杰和吴廷烨最帅            
(3星)	 为啥我记住的是关礼杰不是方中信 = =？            
(4星)	 我怎么不记得这剧里有刘松仁啊？难道是我失忆？            
(4星)	 从那时就喜欢方中信了。            
(NA)	 方中信多帅啊，尤其是穿西装演警察……更不用提穿西装演坏蛋了……虽然我很不能理解他近来脱下枪夹演魅力中年风流大叔这一行径感到非常不解。据他称是打打杀杀那么多年现在有人找他去谈恋爱是灰常好的事情……但是能不能不要总是和面貌萝莉的小姑娘演吃嫩草的帅老牛呀。我知道你有吃嫩草的本钱啊，但也要找好对象啊～董洁还可以，但是那啥啥一帘噩梦……            
(4星)	 小猫 格格            
(NA)	 又是小时候的回忆            
(5星)	 小猫            
(4星)	 这部当年很迷!            
(NA)	 我觉得我看过，为什么没什么印象了            
(NA)	 林韦辰 杨火点 帅啊啊啊啊啊啊            
(4星)	 小猫。。。。            
(5星)	 巨迷！！！！！！            
(5星)	 哦哦。下面的介绍真美好~            
(4星)	 好看..记忆中..            
(4星)	 昆有型和杨英俊啊啊啊啊            
(NA)	 大爱！            
(5星)	 陈小猫！            
(4星)	 当年迷的不行。            
(4星)	 最后一集我还是哭了。            
(4星)	 因低血糖而死,就像在电视剧国际刑警中,关礼杰扮演的小猫那样.唯一的记忆            
(4星)	 格格，小猫，还有超man的方中信。。            
(4星)	 小学时候觉得方中信好帅 &gt;&lt;            
(4星)	 方中信，关礼杰，吴廷烨，甄志强，段伟伦，林韦辰，汤镇业，宗杨，邓浩光，刘松仁，孟海，陈惠敏，罗烈，丁子峻，林祖辉，杜汶泽，徐少强，卢惠光。。不能更霸气了。。            
(3星)	 那时候男友长的很像关礼杰            
(4星)	 小学时候看的            
(5星)	 怀念当初啊.小猫,格格,大飞,火点~~~~~~~~~~~~~~~~~~~~            
(3星)	 开始添加TVB...ATV的吧            
(4星)	 蛮好看的。            
(4星)	 关礼杰也是曾经的偶像...            
(5星)	 好怀念滴片子~            
(4星)	 记得关礼杰            
(3星)	 但是那半年我口中都是“国际刑警”            
(5星)	 太好看了            
(4星)	 ICPO群p额呵呵呵呵呵            
(5星)	 小貓和格格啊！！            
(3星)	 那时候觉得关礼杰好帅，杨恭如好美，不久前重温了一遍……            
(4星)	 小猫XD            
(5星)	 小猫真帅！            
(4星)	 童年经典            
(5星)	 呆呆呆杨恭如            
(3星)	 小时候爱看的一剧,太深刻了.就那时喜欢邓萃雯            
(5星)	 至今好像都没放全过诶            
(5星)	 看一万遍都觉得方中信帅死。            
(5星)	 关礼杰太帅，让我都无暇关注方中信            
(5星)	 从此迷上邓翠文            
(5星)	 大飞！！            
(5星)	 小时候看的=3=            
(3星)	 陈小猫啊，久违了。            
(5星)	 小時候看過的 絕對的經典 年輕的劉松仁和方中信好帥啊            
(4星)	 关礼杰，印象太深了，当时觉得他好帅            
(NA)	 惊现杜汶泽。。。。。。            
(3星)	 方中信~            
(4星)	 1998            
(4星)	 陈小猫的那个吻            
(3星)	 亚视经典作品            
(3星)	 里头是不是有个叫“小猫”的？            
(4星)	 这片型男太多了            
(4星)	 当时觉得小猫可帅了~记得主题曲很棒~            
(NA)	 装的和真的似的            
(5星)	 格格居然是邓萃雯演的。。。哇塞。            
(4星)	 记得徐少强演的长发飘飘的黑帮老大是最帅的            
(4星)	 关礼杰帅的一塌糊涂！！迷的我心神混乱~%#@！            
(5星)	 我当年超级迷关礼杰好么！！！！！！            
(4星)	 好像有一集是抓一帮有蝴蝶骷髅头刺青的人的。。。            
(4星)	 想当年我是多么喜欢昆龙啊~~            
(NA)	 那时候喜欢关礼杰            
(4星)	 雯女還演過這個經典角色喔！年輕時候的關禮傑很是個帥鍋鍋喔！            
(5星)	 挺经典的，好喜欢邓萃雯啊            
(4星)	 当时觉得个个都帅，在喜欢哪个之间摇摆不定            
(4星)	 大爱方中信            
(NA)	 老早以前的剧            
