http://movie.douban.com/subject/2142656/	又见一帘幽梦
(1星)	 秦岚！秦岚！加油把他们都杀了！            
(2星)	 女主角看得我想打人，每次被秦岚欺负我都会心一笑——太花瓶了，装纯装天真，完全在衬托秦岚，秦岚的演技真不是盖的！            
(1星)	 一帘恶梦            
(2星)	 输给了那段时间的轮番播放。要说的是，秦岚的演技确实比另一个女的好多了。            
(1星)	 太假了。尤其楚濂和紫菱。无语了。            
(NA)	 旧版之绿萍歇斯底里一点，新版的爱好四处放腿            
(1星)	 垃圾中的极品电视剧。            
(2星)	 一颗星给费云帆,一颗给方中信,电视难看真的不怪你们.            
(1星)	 恶心 还是恶心            
(NA)	 崩溃            
(2星)	 让我知道了普罗旺斯，唯此一点可取之处~~            
(3星)	 没一个演得好，亏得信仔那么帅。            
(1星)	 垃圾中的垃圾···            
(3星)	 只记得普罗旺斯的美。            
(1星)	 十八晕            
(2星)	 厌恶。            
(1星)	 紫菱太做作了             
(NA)	 囧            
(NA)	 好好的一个剧 毁紫菱手里了 紫菱要吐死人啊            
(3星)	 纯爱大片            
(NA)	 鄙视我吧。挖哈哈哈~~            
(NA)	 我打算再看一遍。。。。。            
(2星)	 哈哈哈哈，方中信你就毁自己吧            
(3星)	 纯粹为秦岚            
(1星)	 脑残片            
(3星)	 重温年幼时的梦想。            
(1星)	 三颗门牙            
(4星)	 为什么我觉得挺好看的 = =              
(NA)	 哈哈哈哈哈哈哈哈哈哈哈哈.台词囧囧有神啊无比喜感啊哈哈哈.            
(NA)	 崩溃~~无法评价            
(1星)	 太太太假了……方中信版的费云帆也太太太幼稚了吧……汪家、费家看着都挺不富+没品。总而言之两个字：噩梦            
(1星)	 仍然没看过。            
(NA)	 一帘噩梦            
(NA)	 补遗              
(1星)	 方叔你这是晚节不保啊。。。            
(1星)	 很恶            
(4星)	 越俗套越好看。            
(2星)	 它怎么把少女们迷得五迷三道？我就看了半集，这种剧看了容易做白日梦，还是远离得好……            
(4星)	 挥之不去的琼瑶奶奶的情结。虽然俗，但还是会追看。是现实太苍白了么。            
(4星)	 法国好美～歌也好美～相遇一定是一种魔咒。            
(3星)	 2007            
(NA)	 “愚蠢是女人最大的美德。当然了，女人所有的美德都只对美女有效。”“当你想做任何丧心病狂无耻无良的事情时，都可以打着一个狗皮膏药旗号，叫做：追求自我。”“如果生活欺骗了你，如果世界伤害了你，如果你一无是处一塌糊涂生无可恋死无可惜——不要紧，请来当作家吧。”            
(NA)	 拜托，听这片名就知道走不出前版影子……张嘉倪照陈德容的模子选的，秦岚一直在模仿萧美人，两位男主无法苟同orz刘德凯就是费云帆，费云帆就是刘德凯            
(3星)	 bs我吧，可怜我现在电视没凤凰。。。555 我的文涛            
(3星)	 方中信挺帅的            
(1星)	 我看了大概幾分鐘……崩潰了。            
(NA)	 我跟我爸天天看！！            
(3星)	 方中信 是不错            
(3星)	 看了一点            
(NA)	 、、、、、、、、、、            
(3星)	 秦岚很美啦 那个张** 就算了 看着就恶            
(1星)	 这到底是在干神马？？？！紫菱那么没气质，还有那个舞蹈，跳的我要哭……            
(NA)	 画面好看，倆女主养眼。只能看，不能听。冷死。            
(2星)	 方中信一张口，我就想起了何书桓- -！            
(1星)	 太傻比了  最最她妈的讨厌方中信            
(3星)	 好脾气男人 坏脾气女人            
