http://movie.douban.com/subject/1878360/	金枝欲孽
(5星)	 别拿什么《宫心计》《大清后宫》和它比，那是抬举它们了。            
(5星)	 其实最可怜的是皇上 没有一个女人真心爱他            
(5星)	 应该是TVB不可错过的电视剧了            
(5星)	 白扬阿白扬，玉莹阿玉莹            
(NA)	 我最爱玉莹，她的无奈的成长和心狠手辣其次如妃，谁都是被逼去害人，为了保卫自己和自己所爱            
(NA)	 其实我更喜欢林保怡...从大时代里的滔滔就非常喜欢他            
(5星)	 确实是没有人赢的战争，心都千疮百孔了。            
(5星)	 喜欢邓萃雯            
(4星)	 清宫戏，皇帝是最可怜的那个。            
(5星)	 黎姿。TVB里我爱你的很。还有邓萃雯。一直很优秀。            
(3星)	 对话十分精彩，情节有细腻的亮点，也有马虎敷衍的过场。总体说来香港的历史剧还是不够大气，不能深究。            
(4星)	 女人之间的斗争，其实还是为了男人争宠，无论怎样摆脱不了自己的弱者命运            
(4星)	 这女人狠起来真要命~            
(5星)	 良心这种东西我早没了。。。            
(5星)	 这是萎靡不振的TVB近几年的唯一佳作，那种氛围和曲境不是宫心计那类破片子所能比的。            
(5星)	 TVB再塑经典            
(4星)	 邓萃雯明明是最美的，林保怡是又流氓又MAN……            
(4星)	 港剧也在进步。            
(4星)	 很喜歡            
(4星)	 終於看完了，真心佩服鈕鈷碌如月，同樣也佩服鄧萃雯那份魄力！沒有人贏的後宮，孫白楊雖然犯賤一樣的愛玉瑩不過要是生活中真有這樣性格的人，風流而不下流，遊走于紅顏之間，那必可說上一句：嫁人當嫁孫白楊了。            
(5星)	 那些女人教我的事。PS：下载：http://www.douban.com/group/topic/23264060/            
(4星)	 宫斗剧教科书            
(5星)	 果然是后宫剧的巅峰              
(NA)	 2            
(4星)	 玉莹和孙大人o(&gt;﹏&lt;)o            
(3星)	 黎姿实在很美噻            
(4星)	 不能忘吖。            
(5星)	 姑娘们，我多么想念你们。            
(3星)	 还算可以吧            
(3星)	 几个女人斗来斗去，反正群众最爱看            
(5星)	 最好的深宫戏，重温多少遍都不为过。            
(4星)	 如妃娘娘千岁千岁千千岁            
(5星)	 空前绝后的宫廷剧            
(4星)	 这剧太励志了！            
(5星)	 我爱如玥～            
(5星)	 够复杂            
(4星)	 在找工作综合征患病期看这个的确有益身心啊。。。。不过大结局也太悲凉了点。。。。            
(5星)	 这个确实是TVB宫廷戏的巅峰之作！将那种凄凉演绎到极致！每个女人都是可怜人儿，每个人都有一段不能承受的过去。为了男人斗个你死我活，那男人却在乱党冲入皇宫时不告而别。要比谁更无情更狠心，女人还是不够男人比啊。            
(4星)	 佘诗曼。。。            
(5星)	 问苍天，有几多快活儿女。            
(4星)	 记得还迷过据说LES的安茜来着。。很象某一时期的自己的说。那种清洁自律柔韧决绝的傻劲。            
(5星)	 因为董嘉尔淳，喜欢上佘诗曼。            
(5星)	 一声叹息            
(NA)	 皇帝太丑！！            
(5星)	 枯樹林馬車悲嘆而去，冬日殘陽照見生死同載的收場。不知道是為天高海闊的未來道一聲珍重，還是亂世顛簸中扼腕三嘆，結局都不給人希望。伊人昔日粉黛妖嬈，步步為營，揣測天意，這是一個沒有好人壞人的時代，一切可憐之人皆有可恨之處。TVB的編劇創造的經典之作，常回味。            
(5星)	 在爱的宫殿里你死我活            
(5星)	 1 恋情金科玉律：再爱也不能倒贴；2 孙白杨为什么会爱上玉莹？这个问题大家都不知道，不晓得编剧知不知道；3 他们的激情戏貌似都出现在《火舞黄沙》中了；4 林保怡唱歌很有味道，他千好万好，可惜性向上不正确。            
(3星)	 为了打发时间和学粤语            
(4星)	 有点虎头蛇尾            
(5星)	 庭院深深，处处红墙。哎，你这样为我，值得吗?            
(4星)	 我彻底爱上奸角，而且奸得要有气场！            
(5星)	 剧本和演员很棒……看得我很纠结……            
(3星)	 我貌似已经过了看TVB的年龄了...差5集，懒得看了。            
(4星)	 暗无天日的看了几天，终于完了，我又可以恢复正常的生活了= =            
(5星)	 勾心斗角女人剧典范            
(NA)	 不喜欢啊不喜欢            
(4星)	 太作孽了            
(NA)	 我也算马虎看过吧。            
(5星)	 tvb劇集王            
(3星)	 满脑子都是啊啊啊～啊啊～啊啊啊～啊啊～～片尾曲啊我的天            
(3星)	 安茜才是主角。后面的剧情太扯了。            
(4星)	 皇帝太丑了            
(4星)	 权利与欲望。            
(4星)	 女人啊女人。            
(4星)	 近年来看到的一部不错的电视剧            
(5星)	 771的神作 不解释！！            
(5星)	 对TVB来讲它回温了剧市 功劳不小            
(5星)	 看得手心冒汗            
(5星)	 我爱那个如玥，也只有如玥让我掉眼泪。霸气跋扈，她跪在雪地说，我钮祜碌如玥愿折寿十年，好难过的。黎姿的刁蛮，到后来越看越生烦。小禄子好丑，看到都崩溃            
(NA)	 未完整            
(5星)	 啊  黎姿黎姿~~~么么么么么~~~            
(5星)	 好久没有这种力作了            
(5星)	 太经典了！！！简直无懈可击！！            
(3星)	 只能看一遍，再看时就没感觉了            
(3星)	 虎头蛇尾,不是我爱吃的菜.如妃留在皇宫继续跟皇后斗,孙白杨和玉莹被烧死,孔武 安茜和尔淳逃出来(安茜中箭).            
(5星)	 后            
(4星)	 有剧情就是畅销片            
(5星)	 第二遍系统地看是看门道。喜欢看她们耍心机            
(4星)	 宫廷里的事情 没事做的话看看            
(5星)	 经典之作。            
(3星)	 最后坏蛋全皈依我佛了。或者去西天取经了。。            
(5星)	 T^T 希望续集的时候，大家悉数复活……嘤嘤嘤嘤嘤            
(5星)	 不爱宫墙柳，只被前缘误。花开花落自有时，总赖东君主。去也无从去，住也如何住。若得江上泛扁舟，妾愿随君往。            
(NA)	 断断续续看完我觉得好好看！！            
(5星)	 台词不错。            
(5星)	 tvb经典剧，做人不妨2一点才欢乐            
(5星)	 最心疼董佳尔淳            
(NA)	 看别人斗心眼真嗨            
(5星)	 经典就是经典.. 我也喜欢福贵人~            
(4星)	 最喜欢尔淳            
(4星)	 唔劇睇。。            
(5星)	 任是无情也动人.原来真正的爱一个人，是只要能为他争取一点点幸福的机会，自己也甘愿粉身碎骨。            
(NA)	 《金枝欲孽》里面全部都是男人为女人死！            
(4星)	 结局不狗血，我满足了。            
(5星)	 我最愛的TVB古代劇            
(5星)	 看过次数最多的剧 从没有哪部剧能这么打动过我            
(4星)	 开始添加TVB...            
(NA)	 不负众望，喜出望外！            
(4星)	 万里山河，有缘再见            
(5星)	 我喜欢如玥，喜欢孔武。尔淳和玉莹我基本上不偏不向，安茜的性格真不像这个宫里的人；P.S.看了宫心计才知道，金枝欲孽要好太多了。            
(NA)	 人老了就要任命，诡计技穷，事未如愿就要认输！你放心，这个后宫向来就是你和我在斗，以前是，现在是，将来也会是，娘娘你往后的日子最好想清楚，如何再为我钮祜禄如钥头疼更好。            
(3星)	 1.奶奶的，校内资源是粤语版的！看个破电视剧还得盯字幕！！2.多个编剧共同创作作下的孽！小禄子死的时候跟安茜的表白结结实实的把我雷倒了，还有福雅死的内块儿，那明明就不是爱情，非得往上贴，狗血狗血狗血……            
(NA)	 我愛孫白飏！            
(4星)	 虎头猪肚蛇尾巴            
(4星)	 只看过后半部分，不过功力已经可见一斑            
(5星)	 女人心机啊。。。            
(NA)	 感觉就是倚天屠龙记的翻版            
(5星)	 最爱的一部港剧~..看女人之间的勾心斗角太过瘾啦..             
(5星)	 看到哭的TVB經典.            
(5星)	 最后一集哭了好久。围墙外的人总是让人羡慕的。            
(4星)	 不看不知道 一看吓一跳！            
(3星)	 对人物外貌实在是无好感，老脸都看腻了，但是剧情没得说，挺牛的            
(5星)	 什么宫啊什么的，都是狗屁，看看神马叫宫廷戏。宫心计也死开。主要是因为邓萃雯和黎姿，还有张可颐。某人我不喜欢。            
(5星)	 其实剧情不是很吸引我，我就是去看女主角的             
(5星)	 。。。            
(5星)	 女人运筹帷幄的能力不必男人差            
(5星)	 搞，真是搞            
(5星)	 我喜欢銣妃            
(4星)	 啧啧女人勾心斗角真可怕。为那么个丑皇帝。哎            
(5星)	 神剧...            
(5星)	 看了一遍又一遍。。。这次是粤语版。。。爱如玥，心疼尔淳，叹安茜，怜惜福雅……            
(5星)	 我工作的地方...是一本现实的 金枝欲孽             
(5星)	 在心底里深深的感动和哀叹 、经典tvb            
(3星)	 勾心斗角            
(5星)	 女人啊女人。            
(5星)	 女人啊……            
(5星)	 近年来的经典~演员。。剧情。。服装。。都完美~林保怡太有爱了            
(4星)	 还是关于女人，关于男人，关于权力，关于宫廷里的斗争，到最后，一切无非是一场悲剧，过眼云烟！            
(4星)	 宫廷怨妇大联欢~            
(4星)	 只想叹声，无可奈何花落去。            
(4星)	 宫廷的勾心斗角，争名夺利，身不由己，间或出现的人性闪光点，让人物形象有些另类的变化，没有谁是独立存在的。安茜是孤注一掷的，有人爬上就有人跌下，从来地位就是丝线，抓不住握不牢，随风飘逝，无影无踪。            
(4星)	 很不错的情节            
(5星)	 我最擅长的也是斗            
(5星)	 好片子。            
(5星)	 大一``整个宿舍楼都看            
(3星)	 结局不咋的~·            
(4星)	 高三看的女人之间的明争暗斗。            
(5星)	 女人戲啊, 編劇最猛了!            
(2星)	 布局还可以,美女也多,细节太假            
(3星)	 婉约的福雅            
(5星)	 含笑饮砒霜            
(4星)	 人物，故事兩方面都很用心。            
(3星)	 校台播放的时候，居然天天等着看。            
(5星)	 不爱宫墙柳，只因前缘误。别拿其它斗戏和它比，那是抬举它们了。经典无法复制，绝唱。            
(5星)	 经典得触目惊心.            
(5星)	 女人啊            
(5星)	 一帮女人演的能吸引男生的戏            
(5星)	 War and Beauty            
(5星)	 孙白杨太有型了。。。            
(4星)	 自己都不理解解自己怎么會那么要看這劇- -            
(NA)	 其实很现实            
(NA)	 教我成长的片子            
(NA)	 看了两遍的港剧，林保怡太酷了            
(4星)	 活下来的,才是最痛苦的            
(5星)	 太喜欢的电视            
(5星)	 唯一看过两遍的港剧            
(4星)	 争斗            
(4星)	 重新认识了女人。            
(5星)	 超级经典的一部剧，勾心斗角在里面是淋漓尽致            
(4星)	 近年最欣赏的TVB电视剧。剧情吸引，服饰道具很认真，演员很抢镜            
(5星)	 女子间的战斗。            
(5星)	 非常好的香港宫廷片            
(5星)	 当年我们宿舍女生翘首以待的大戏啊！编剧真的很好，赞！宫廷剧拍成这样神了。虽然他们的紫禁城明显很假，话说回来，大陆浪费了多少好资源啊。黎姿很不错。佘诗曼受气相一副。            
(3星)	 陪妈妈看的，还不错            
(2星)	 世界就是这样搞坏了～～讨厌的剧种～～            
(3星)	 黎姿演的太差            
(5星)	 不错的勾心斗角电视连续剧            
(5星)	 排得好啊！女人的争斗就是恐怖。。。            
(5星)	 不愛宮牆柳,只被前緣誤。            
(4星)	 看得很过瘾的电视剧~            
(4星)	 some like it hot,2004            
(4星)	 扣人心弦            
(5星)	None
(5星)	 效果不好还是国语有点不爽，但依然抵挡不住编剧神一般的强大。            
(3星)	 复仇总被情牵扰。螳螂捕蝉，黄雀在后。            
(4星)	 花了两天时间看完了            
(3星)	 马克             
(5星)	 又看了一遍              
(5星)	 又走一遍，真是经典。黎姿美翻了！            
(5星)	 第二次重温 看到27集又哭了..             
(5星)	 《宫》都有人看，《步步惊心》都有8.5，为什么我不给这部TVB打满分。            
(5星)	 第一次完整看完TVB的剧……            
(4星)	 试问天下男人谁最悲催。。。非绿帽子皇帝莫属。。。            
(4星)	 其实看的时候最大的感概就是玉莹 尔淳 安茜 如月 福雅每个女人都好美，噗            
(3星)	 一边吐槽一边看，大结局完心里空落落的。某种程度上，皇上也算是被妃嫔们玩弄于鼓掌之中，没几个真心的，正所谓有得必有失啊。我的尔淳，我的福雅，我的如妃，唉，都好喜欢T-T            
(4星)	 跟着老妈最近把这部看完了～美女们很耐看啊^ ^剧情也不错，比大陆很多古装戏的情节和台词都好太多了。。            
(5星)	 做女人不容易，做地位高的女人更不容易            
(4星)	 狂爱腹黑女王~            
(4星)	 情节拖沓死了！            
(4星)	 职场人看完之后，会不会忍不住按剧中人心机级数给自己也打个分？            
(4星)	 经典的斗争片啊~一般我看到20集就直接看剧情介绍就没耐心看下去了。。            
(5星)	 就认识脸。名字一个都记不得...            
(4星)	 编剧前面20集很赞，后10集，唉~            
(5星)	 哎呀 tvb的清宫戏这么好看！！！！！            
(5星)	 台词经典。            
(3星)	 复杂但却不复杂            
(4星)	 一入侯门深似海。            
(4星)	 确实不错            
(5星)	 邓萃雯气场无敌            
(4星)	 姑姑-孔大哥-如妃 其他都是浮云            
(5星)	 我就是为了邓萃雯和黎姿，佘诗曼就是个僵尸。            
(4星)	 没看全。            
(4星)	 前幾年電視上放的時候我好抵制啊（也不知抵制些什麽），今次爲了鄧萃雯補檔看完，更是確定了一開始就未一見鍾情的最後也不會喜愛^_^            
(NA)	 结局太你妈悲惨了。            
(4星)	 在我幽怨的时候看这么幽怨的电视，我更加幽怨了。            
(5星)	 如妃~~学野啦女生们            
(4星)	 林保怡！            
(4星)	 嘉庆皇帝太猥琐，黎姿太夸张。            
(5星)	 黄德斌（是他吧）这哥们儿真不幸，长了一副硬汉的面孔，在金枝欲孽里扮演太监，在火舞黄沙里扮演性无能，在珠光宝气里扮演同性恋，你让人家情何以堪嘛。            
(4星)	 我还是嫌节奏慢            
(4星)	 爱所不能爱的痛！            
(5星)	 怎么全是好人……            
(5星)	 我不顾论文熬夜连看，只因为实在精彩。和大明宫词不一样，前者是黯媚阴柔，这个就是烈焰焚烧。女人一堆，只最爱安茜，其次如妃。或许是因为安茜多少像我，而如妃真是妙极之人而且邓萃雯演技太好太好。我觉得在这个时候花时间看完，一点都不算浪费。大明宫词让我宁静而警觉，金枝欲孽就让我再次被点燃。            
(4星)	 一入宫门深似海。            
(5星)	 看得沉迷啊            
(5星)	 宫心计请自行了断            
(5星)	 虐心啊             
(5星)	 巅峰的后宫戏！不可以被超越的情节和剧集！而且原声也超级好听，尤其是那段笛子声还有那个姑娘的哀叹调！            
(4星)	 最近tvb都没有好看的了            
(5星)	 赞啊 好看啊~            
(5星)	 编剧上下了些功夫，开篇可谓惊艳。每个人物都有段故事，每个人物都很出彩。只有安茜上位一节比较牵强。            
(5星)	 经典编剧教材            
(5星)	 这个也算是TVB的经典了吧。            
(NA)	 经典啊            
(5星)	 没有人赢的战争，心早已经千疮百孔。            
(5星)	 喜欢TVB的年度大戏。四个女主角我都喜欢。            
(3星)	 勾心斗角..看多了 没意思。            
(5星)	 再看 比那宫心计或XXj计都好好多            
(5星)	 宫廷剧经典！            
(4星)	 教我一些道理，这社会多惊险。            
(5星)	 里面的勾心斗角让人欲罢不能            
(4星)	 其实我真的喜欢佘诗曼。为什么她不是天蝎座。            
(4星)	 结局有点速度了，不过相当的剧情            
(5星)	 看到最后最喜欢如妃和孙白杨            
(4星)	 最爱孙白杨。            
(5星)	 五星电视剧            
(4星)	 这就是男权主义的悲剧            
(4星)	 真牛逼呀真牛逼 呔！皇上你个老淫贼！            
(5星)	 佘诗曼至高            
(4星)	 钮钴禄如玥。。比较有看头~~            
(4星)	 人内心的复杂纠结刻画地丝丝入扣，明星们的演技也展现得淋漓尽致            
(NA)	 林保怡还是那么销魂            
(4星)	 “自从我16岁进宫，只学会了两样生存技能，一是算计，二是报复。”自古以来，女人背负的就比男人更多。            
(4星)	 剧里面听到最多的一句话，就是“值得吗？”其实哪有什么值得不值得。就像孙白杨说的，如果一件事做之前要考虑值得与否，那么这件事根本不用去做。没有值得不值得，只有愿意不愿意。            
(5星)	 很好看！每个角色都精彩！            
(5星)	 看完只想叹气，虽然看什么都希望看个好的结局，但是这样“悲惨”的结果又无不让尔虞我诈的剧情让人能感动一把，无利益无斗争，事实上有人的地方处处都有勾心斗角，皇上后宫三千，正值芳华年纪的美人们想尽办法讨好，抛弃情抛弃许多，最终没的是自己。相比之下，如果要说生存之发，我较欣赏钮轱轳如月            
(4星)	 之後TVB的女人戲都無法超越這一部。            
(5星)	 TVB巅峰之作            
(4星)	 如妃的利嘴啊            
