http://movie.douban.com/subject/2190931/	刑事侦缉档案IV
(5星)	 十年后再看，发现我仍是无法释怀。原来故事之所以能成为故事，一定是要留下遗憾。徐飞终于在狠狠抱过俏君之后，终于在说出&#34;我多希望你是永远拥有我家钥匙的女人&#34;后，将他们的过去演绎成一段故事。            
(4星)	 編劇你太狠了 這樣的結局我沒辦法給五星            
(5星)	 最后一集看得我心碎啊，我比武俏君哭得还厉害            
(4星)	 此剧告诉我们EX的影响力是无穷的            
(5星)	 人换过，经典不换            
(4星)	 徐飞和武俏君!!!            
(5星)	 那时候的俏君真是迷人啊！唐心也很不错呢。            
(5星)	 MD。。徐飞和武俏君把我肠子都虐痛了。。。            
(3星)	 天平男+狮子女+天平女 摩羯男+双子女+天平女            
(5星)	 刑事杯具档案，，过了这么多年知道剧情还是无法释怀啊。。。            
(NA)	 杨怡跑了三次龙套,宣萱在里面好大妈...我可以说芊芊毁了big big world这首歌吗...            
(5星)	 我忽然想到 想到这个让我不知难过了多久的故事。            
(NA)	 看到一半，唐心死了！！！！！垃圾编剧！！！垃圾编剧！！！垃圾编剧！！！垃圾编剧！！！垃圾编剧！！！垃圾编剧！！！垃圾编剧！！！            
(NA)	 最爱            
(4星)	 话说那是大一夏期末考我就一边复习一边刷刷看掉了50集            
(5星)	 还是过去的港剧好看，现在的港剧就是垃圾。            
(5星)	 有些事情一辈子放在心里就好了。            
(5星)	 那些诸多挑剔，众多要求的事儿逼，对于12年前的拍成这样的片子还是闭上嘴比较好。            
(5星)	 喜欢萱萱看着古天乐微笑的时候            
(5星)	 这系列里最喜欢的一部。            
(5星)	 虽然我挺喜欢演唐心如这个演员的，但是我只能说，编剧向我们表达了一个清楚的观点是抢好姐妹男朋友的都要死……………………………………            
(5星)	 陈锦鸿是完美型男人，但不需要完美得可怕， 还是古天乐这样的暴烈刑警更合我胃口            
(4星)	 超级不喜欢这个结局。。里面有很多大龙套啊，第一个案子有谢天华，后面零零碎碎记得有滕丽名，魏俊杰，杨怡，郭晋安，哈哈哈            
(5星)	 每个案子都堪称经典。。。就是陈锦鸿长的实在太土逼蓝波湾了。。。            
(NA)	 我喜欢·~~~喜欢            
(5星)	 刑侦4，案件是最弱的一部，但因为它的感情戏，成了永远的经典。固执的觉得，古天乐在这部戏里是最帅的时候，而也是在这部戏里，爱上武俏君，爱上宣萱。            
(NA)	 这个好像叫正义，还是正气？            
(3星)	 当年青涩的阿佘            
(3星)	 一直都比较喜欢宣萱            
(3星)	 大结局真是莫名其妙。。            
(5星)	 唐心挂的那一刻真是大快人心             
(3星)	 越编越瞎，貌似看到杨怡了，某店店员。            
(4星)	 后面乱七八糟的            
(3星)	 50集真的很长            
(5星)	 连续熬夜看了几天，终于看到芊芊的案件了。我有点想放弃，因为我知道结局会是俏君的退出与芊芊的回归。我和大家一样讨厌芊芊，因为我们都太喜欢俏君了。她的率真、坦诚、大胆是所有女性都想具备的。只能说徐飞没有福气。徐飞不会幸福的，因为他对芊芊的愧疚早就大于爱情了。            
(5星)	 古天乐好帅啊！！！！！剧集也不错，起码好多都很难猜到凶手是哪个。虽然我还是能猜到一些，以及犯案手法之类的。            
(5星)	 唐心死了，气死我了！            
(5星)	 很多案情都不记得了 重看一遍 难道等的就是后3集 - -            
(4星)	 记得当时的名字是“正义 正气”囧            
(5星)	 古仔好帅阿...我纯粹为了看他的= =            
(3星)	 古天乐宣萱最佳银幕情侣            
(5星)	 500星！！！港剧泛滥的年代，曾经反复看过很多遍此剧……泪奔~            
(5星)	 初中一度很迷的剧。还一度为结局愤愤不平。俏君这角儿很欣赏，拿得起放得下的女人。宣萱和古仔多搭丫。然后插曲Big big world用在里面很合适来的。经典！！            
(4星)	 芊芊~~记住了向海岚~~            
(4星)	 俏君和莉香 为什么你们的命运如此的相似            
(3星)	 很一般.就迷俏君和古仔那对            
(5星)	 這部超好看!            
(4星)	 深夜播出，那时要高考了也要看~            
(3星)	 案情太差~好多漏洞和巧合~警察就是扫把星么~身边人个个都出事~一群眼里只有男人的贱女人~真的值得么~            
(5星)	 TVB大经典            
(3星)	 第四部一直没有兴趣看，直到最近全部看完，和前三部相比，相差甚远。            
(4星)	 最喜欢佘诗曼的角色就是阿man 这样是不是很奇怪 子山真是完美的好男人。古天乐那条线别人痛心到什么程度也好我也无感。            
(NA)	 所谓童年...=w=            
(NA)	 这集应该叫香港警察吧            
(5星)	 我最喜欢的一部刑事了吧，感情那么纠结。可怜的俏君，怎样努力都敌不过徐飞心中的芊芊，于是只好离开。不过离开后也要过得好好的，那样的女子，坚强的善良的我喜欢的女子~            
(3星)	 古天乐为什么不演电视剧了啊，真郁闷            
(5星)	 编剧一拖二吃是咯 感情戏不认同 为武俏君的名字和人打五星 当年特么虐死了             
(5星)	 考研前期我还义无反顾的看完了！！！ 不容易！！            
(5星)	 觉得IV的可看性、案件的立体程度和感情戏的设置，都比I、II、III好看很多。最莫名其妙的就是文婉兰和她爸爸，做人没诚意。前者是人畜无害得让人反胃的圣母，后者是神经兮兮心理变态的被害妄想狂。李珊珊仍然是长得很乡土的倭瓜脸，向海岚怎么看都别扭。大赞滕丽名和宣萱！！！短发得太漂亮了！！！            
(5星)	 武俏君太过悲情了，和徐飞在一起，一直逃脱不了那个影子，影子回来了，成为了不能去扳倒的情敌。            
(4星)	 tang&#39;xin            
(4星)	 那个时候的案件写的还比较有意思            
(4星)	 今生今世遥不可及...你挂住芊芊三年，却要想念俏君一辈子            
(4星)	 看了很久才看完，但是看着看着，并不开心。对于结局，不知道如何去评价，有些事情，真的是过去了，那么消失的突然出现，对于现在的人真的是很不公平吧~            
(4星)	 经典            
(5星)	 原来这部戏的感情线这么好            
(5星)	 徐飞，俏君！            
(3星)	 因为他们没有在一起。            
(4星)	 总算看完了..            
(5星)	 若果你喺古天樂，你點樣揀？            
(4星)	 TVB的经典，值得天天守着看。宣萱真是那种极其耐看的女人，只是编剧大人，那么喜欢把惨死不幸意外纠结的种种都安排在警察们的身上，是不是会少很多悬念啊。            
(NA)	 这一系列我都喜欢~!            
(5星)	 十年之后再看，仍然无法释怀            
(4星)	 这是我看过最难受的结局，不管什么时候想起来都忘不了徐飞和俏君在医院的告别拥抱。            
(5星)	 重温 还是那么的虐。╮(╯▽╰)╭            
(4星)	 因为结局坚决减分，打这以后我就特别anti向海岚！！！            
(NA)	 repeat~repeat~            
(3星)	 宣萱漂亮。佘诗曼失色。            
(5星)	 又叫正气的。当时被震惊到来着。怎么这么好看的。萱萱塑造的武俏君。。很好很好。            
(4星)	 没有前面的好看·················            
(NA)	 沙拉说，不看这部人生不完整哦~于是，我的人生又完整了一些……            
(4星)	 经典            
(5星)	 这部可以入选唯一想要标记的具有里程碑性质的TVB剧集，那是大妈我当年还每天放学屁颠着回家想要看的剧集啊！现在移动硬盘里还留着最后一集，俏君拍拍徐飞的背，说，我惯佐了。            
(5星)	 看最后一集时候哭的稀里哗啦，俏君和徐飞的感情啊！！            
(2星)	 忘不了旧爱就别去新欢。另外做香港警务人员的亲友都很猛，不是杀人就是被杀，高危啊。            
(5星)	 想当年的Big big girl就是出自这部电视的！            
(5星)	 最爱的一部片子，看过很多遍            
(5星)	 很深的感动。            
(3星)	 感情太纠结，案子比较无趣            
(3星)	 竟然还有佘诗曼，当年都不认识的说            
(5星)	 最喜欢的港剧。从这里开始喜欢酷酷的古天乐，喜欢知性的宣萱，甚至开始喜欢心理医生这个职业。但结局真的让人纠结了好久。            
(3星)	 大女人，越坚强越吃亏，只能自己打起精神走下去。            
(3星)	 与前四毫无关系的刑侦            
(NA)	 唉，悲剧啊            
(5星)	 我觉得很经典 恩 古天乐和宣萱最终没在一起 佘诗曼和陈锦鸿也没在一起            
(NA)	 TVB经典。。我曾经是如此爱电视剧。            
(5星)	 古天乐最后的感情纠葛让那个时候的我记忆犹新，哭的不行不行的            
(5星)	 小时候最爱。。            
(5星)	 萱萱，big big girl~            
(4星)	 喜歡宣萱和古天樂那段~            
