http://movie.douban.com/subject/4922426/	绝望主妇  第七季 Desperate Housewives Season 7
(5星)	 强大的编剧！到了第七季居然仍然亮点不断！！佩服，你们都是热爱生活的人才能写出如此活生生的剧本！            
(5星)	 忒绝望了 我越看越觉得我的生活很美好            
(5星)	 Carlos为毛要剃胡子啊。。。！！！！剧情还是很期待。。。            
(3星)	 不追了，好无聊。事儿鬼都是不用工作的人，现实中哪有这么瞎            
(5星)	 希望能一直出到我40岁，哈哈            
(5星)	 DH又拿出它最拿手的ending了，让我们大跌眼镜却又焦急地等待下一季。soooooooooooooo desperate            
(4星)	 DH自诞生之日起，一直有吸引人的细节。最近偷看了一点，有这么一段。Tom和Lynette正在激情，Susan撞见，跟L私语，问为什么JM八卦的时候也不炫耀一下老公的“天赋”呀，Tom偷听到，失落，跟老婆傲娇起来，“我就这么点“长处”，你怎么也不在外给我树立个光辉形象”……很有意思            
(4星)	 虽然已经到了第七季，可是每次都有些让我感动的情节。。。。            
(3星)	 绝望主妇可以关门大吉了。。。越来越难看。讨厌Susan            
(5星)	 没胡子的Carlos，好不习惯啊……            
(5星)	 已经演到第九集了，紫藤郡发生了骚乱，那些平时和蔼善良的守法公民邻里，在骚乱中表现并不如何，肇事者保罗杨说道：他们跟暴徒有什么区别！我觉得这部电视剧的编导简直是胸中有大丘壑才看得这么真，这么透彻。我喜欢Gabby，喜欢林奈特，喜欢里面每一个主妇，她们的快乐和悲伤，就像是我的。            
(5星)	 必须的··            
(4星)	 主线阴谋还没展开，W女王的戏份也还不够劲爆！开局不够惊人啊~//看到最后感觉W女王也没有融入DH啊。这季度太失败了感觉。//这是DH7年来最烂的season finale！            
(5星)	 想有时间从第一季看一遍            
(4星)	 推荐1、3、4季！这三季编剧爆好!其他几季就算了～            
(4星)	 想不到五年没看了，第七季的人物和剧情跟第一季差不多。。。            
(5星)	 七年了。。追下去            
(5星)	 这一季最大的转折是我没嫩么讨厌Susan了，天真善良呆也是有萌点的…有时候活的天真点儿好像也不错，Lynette和Tom让我……接受不了T-T those who seems happiest can be the most desperate.            
(5星)	 结尾处是在向希区柯克致敬吗？！O my～　本来对这部剧已经审美疲劳了，最后扔出这个炸弹真让我又刮目相看了！            
(4星)	 肥皂剧的好处是..从第一季看或者第七季看 都感觉能接得下去..            
(5星)	 好吧。这个也一直追到第七季了。            
(4星)	 太不用心了编剧明显疲了又到结尾甩了一摊子死人死人死人到下一季复活复活复活对得起这几个奔五十的女演员精心保养的身材吗            
(5星)	 拍到第七季能保持这样的水平已经很不错了，主妇们少了一丝绝望，个人特点表现得更为淋漓尽致。看第七季时还不知道第八季就是最终季了，原来这是最后结局的铺垫。一家绝望的电视台、一个绝望的编剧、几个绝望的女演员，给我们带来这么好的故事，让从前绝不看肥皂剧的我爱上了这样一部剧。期待结局！            
(3星)	 不痛不痒            
(5星)	 这是一部让我学习和成长的剧。            
(5星)	 每集的结语都那么精彩 还有虽然会做错事但善良可爱的大家吸引我一直看下去            
(5星)	 第7集編劇發揮的不錯            
(4星)	 据说第八季彻底完结             
(5星)	 快出第八季！！！            
(5星)	 bree...            
(5星)	 好剧情回归了            
(5星)	 最后一集又亮了            
(5星)	 除了剧情太和谐之外其他都好，剧中人似乎都可以做党员，完全是真善美啊。            
