http://movie.douban.com/subject/2244363/	粉红女郎
(5星)	 此片热播程度真可谓万人空巷。            
(NA)	 真是不错的电视剧 成功的把原著演绎的淋漓尽致 事这类电视翻牌的成功典范 不过里面的胡兵除外会更好            
(NA)	 那年最爱的电视剧，现在依旧那么喜欢。            
(5星)	 万人迷说的经典句子，确实有意思            
(5星)	 搞得我也好像和几个死女人住一起。            
(3星)	 我觉得我不是其中任何一个 但每个都有一点            
(3星)	 我得承认 多看电视 影响智商            
(3星)	 只看刘若英，其他人无视！            
(3星)	 喜欢里面的小漫画            
(2星)	 太二了            
(3星)	 成就了陈好而已            
(3星)	 演员和歌曲很合适            
(4星)	 当时看的挺乐            
(5星)	 改编的比较成功～            
(2星)	 好像是高中毕业的假期经常去表妹家蹭吃西瓜顺便看的            
(4星)	 其实是因为片尾曲那首歌。            
(NA)	 我妈最爱。            
(4星)	 新时代女性爱情难道就是这样的吗 这剧捧红了刘若英呢 还是陈好呢 还是胡美丽同学呢？让人尴尬的是 那段时间  每个人看到我都说 挖 你长的好象哈妹哦！！ 恨 其实我想象陈好来着的！            
(3星)	 毁了刘若英            
(2星)	 = =..            
(3星)	 我是天真。。。            
(4星)	 似乎是一帮神经质者的生活            
(4星)	 这个不错，情圣必看啊~            
(5星)	 这部剧认识的奶茶，成为茶迷。哈哈。            
(NA)	 四女一台戏            
(3星)	 没看完也可以点看过吧。陈厂花尽在35-39            
(3星)	 再补一个            
(3星)	 好多年前的回忆.....            
(1星)	 好可怕……            
(NA)	 当时觉得里面的都好漂亮            
(3星)	 小时候有些人说我像哈妹。            
(4星)	 我都忘了是哪一年了，从头看到尾。            
(3星)	 当年啊陈好就真TM的美啊            
(NA)	 在我来看，这片儿真没有星，太tmd难看了            
(NA)	 我觉得还满不错            
(2星)	 这剧让我对刘若英阴影了好几年，到现在都没缓过来。            
(NA)	 里面的陈坤，在某一次的电视里看到。            
(NA)	 补遗            
(4星)	 奶姐            
(4星)	 呵呵呵呵            
(4星)	 特别逗            
(4星)	 粉红女郎             
(4星)	 喜欢小萍结婚狂刘若英的。            
(3星)	 喜欢刘若英            
(3星)	 被电视台播滥的片子，成就了一批人的感觉。            
(2星)	 。。。。            
(4星)	 小萍就是这么炼成的            
(4星)	 搞笑与温情并存            
(4星)	 当年和妈妈一起看的            
(2星)	 消遣。            
(3星)	 又是一部很牛的都市闹剧，很好！            
(3星)	 着实小火了一回的剧集，捧红了陈好，演出了哈妹，刘若英也改变了自己以往的形象。也许，这也是挑战演技吧。女人，有千万种变化，有千万种类型。            
(3星)	 搞笑            
(4星)	 风靡一时啊 不怎么喜欢万人迷            
(3星)	 奶茶的自毁形象。英勇。            
(4星)	 好笑呢。            
(5星)	 我最喜欢万人迷~            
(3星)	 纯属娱乐。            
(NA)	 最爱这里的奶茶：）            
(4星)	 哈哈,那段时间真的很喜欢看哦.Relax~            
(4星)	 我怎么这么俗啊方小萍确实让我感动了            
(3星)	 开始不喜欢刘若英            
(3星)	 因为刘若英，给个三星            
(4星)	 刘若英很好~            
(4星)	 俗气但是无比讨喜            
(5星)	 很好笑。            
(5星)	 让陈好一炮而红。            
(NA)	 前面几集还挺乐的.后面就越来越无聊了...话说这电影里有陆毅么.我怎么一点印象都没有...大概是我没有完整看这剧?            
(1星)	 烂、假            
(NA)	 从这部片子之后开始不那么讨厌才女兼小资代表刘若英了，转而讨厌眼圆如牛的性感女代表陈好            
(4星)	 四个人演的都好            
(4星)	 闺蜜越多越快乐            
(2星)	 小时候跟着我妈看的，我也不知道我为什么会看            
(4星)	 当年最爱看……= =            
(3星)	 當年各大電視臺來來去去播了又播，被看了又看            
(NA)	 必须看过好吗            
(4星)	 当年多红啊！！！！！我妈那时候天天说万人迷好看啊....            
(5星)	 这四个女人表现的很完美啊。。。还有可爱的恭喜！！！            
(3星)	 二。。。            
(3星)	 就是为奶茶重看滴            
(NA)	 我只是马克一下            
(4星)	 好怀念...            
(5星)	 都演的好            
(4星)	 胡兵死基啊            
(3星)	 有点太冗长了。            
(5星)	 童年回忆啊～            
(3星)	 朱德庸~            
(4星)	 看过的还算有趣的喜剧~~~            
(3星)	 那時候租碟子看的，一塊錢一張，一套40塊錢（嗨，盜版碟，買來都不知道才幾個錢），一放學就回來看，花了一星期看完了，第二天電視臺開始播了。。。            
(NA)	 当年好喜欢 现在看好雷好雷            
(3星)	 = =            
(4星)	 漫画感觉更好看呢~后半段有点拖沓            
(3星)	 為了奶茶看的！            
(NA)	 当年还真是万人迷结婚狂然后就忘记了。。。            
(5星)	 超爱~            
(5星)	 初三暑假 笑昏了            
(4星)	 其实还蛮好笑的啊。。。            
(3星)	 哎哟喂，这都多少年了            
(4星)	 我想我会一直孤单~~~            
(4星)	 怀念广州台配的粤语版            
(NA)	 我怎么看过这么多电视剧!!            
(3星)	 在大陸，這不錯了吧～            
(5星)	 因为有Leslie的歌            
(4星)	 这都是以前的热播剧喂            
(4星)	 刘若英真是自毁形象。。。            
(3星)	 尴尬剧            
(3星)	 小时候我一看这个我妈就不让- -            
(2星)	 不是这盘菜.            
(5星)	 感谢那些坏男人 留下美丽的谎言和美好的回忆            
(3星)	 主要是我喜歡劉若英~            
(3星)	 我当时最喜欢男人婆。第二万人迷。            
(NA)	 还可以哦            
(3星)	 坤哥演什么了？忘记了。            
(4星)	 改编得还是相当不错滴~            
(2星)	 亂七八糟。            
(NA)	 刘若英你疯了么！！！！            
(5星)	 还是俺那时看的，最近又在放了，其实还挺不错~~            
(NA)	 好像当年没看全。。            
(4星)	 至今还是觉得不错。还很搞笑……            
(NA)	 个人很喜欢那样的刘若英。奶茶，快恋爱吧。            
(5星)	 那一年电视里播多少遍看多少遍啊..            
(3星)	 大概是05年。断断续续有看。朱德庸的生活哲学，我向来是喜欢的。            
(NA)	 03年小阿姨爱啊            
(4星)	 刘若英那首歌不错            
(3星)	 又是年龄的关系，那时看的津津有味。            
(5星)	 我又抽风呢            
(NA)	 小时候和妈妈一起煲过的电视...            
(4星)	 启蒙？XD            
(3星)	 一个人的孤单            
(3星)	 年少回忆。            
(NA)	 这是一部霹雳剧~            
(3星)	 万人迷，结婚狂，男人婆，天真妹。            
(3星)	 [昔时所看] （看过一部分）            
(4星)	 还可一~            
(NA)	 结婚狂。。。万人迷。。。            
(3星)	 我不喜欢但不代表我不欣赏其中的一些价值观            
(4星)	 其实算是很有意思的一部剧：）            
(4星)	 我爹妈很喜欢看！            
(4星)	 初中的时候天天看。..            
(NA)	 我是哈妹！            
(NA)	 胡美丽            
(3星)	 我居然全部看完了。。。真无敌呀真无敌            
(5星)	 喜欢啊喜欢            
(NA)	 这个不错唉  哈哈            
(2星)	 刘若英接的为数不多的烂片            
(4星)	 当时看的时候觉得还不错啦！特别喜欢刘若英的结婚狂。记得大一时候班上演这个小品，哈妹是蛋演的，男人婆是村长演的，万人迷是艺娇演的，结婚狂是我演的。小品空前叫好。            
(5星)	 我最爱的奶茶            
(4星)	 看这部之前不知道奶茶那么好玩，可塑性很高            
(NA)	 太杠了            
(2星)	 完全是陪我老妈看的……            
(NA)	 挺喜欢挺喜欢~            
(1星)	 看得我难受死了，我认为漫画其实很好的，可是真人版太恶心了            
(3星)	 啊，女人            
(4星)	 刘若英真是演什么像什么            
(4星)	 喜欢刘若英的结婚狂哈哈。            
(4星)	 非典的时候在学校全班一起看·好怀念            
(2星)	 很久以前            
(4星)	 当年红极一时~~            
(3星)	 中国大陆            
(NA)	 想起那时的我啊我            
(4星)	 我爸很喜欢            
(4星)	 我曾经也深深怀疑过,我是一个结婚狂...现在的我不是怀疑，而是确信...            
(5星)	 主要是看张延了这电视其实很成功的，都有都市的风味。            
(NA)	 当年很爱看            
(2星)	 太做作了，讨厌死结婚狂真恶心。不过片尾曲不错            
(2星)	 无趣，演员8            
(3星)	 没什么营养。            
(4星)	 毕竟也看了很多遍，是一段岁月呢~            
(2星)	 只能说一般~            
(3星)	 电视剧             
(3星)	 奶茶的龅牙。            
(3星)	 朱德庸的漫画改编成电视剧后显得很夸张            
(4星)	 当年被王浩迷死了。现在想起来挺傻的。。            
(4星)	 好玩儿的 喜欢万人迷            
(NA)	 喜欢张延            
(3星)	 喜欢这里头的男人婆            
(3星)	 没有漫画好看            
(4星)	 每次看都能笑到抽            
(3星)	 闹...            
(NA)	 跟我妈一起看的,我妈很喜欢结婚狂,因为她自己就是一个典型的&#34;恨嫁&#34;的女人,比我还&#34;恨&#34;            
(NA)	 挥霍了不少时光            
(5星)	 那时侯喜欢万人迷的那些金玉良言.觉得特逗.后来看到一些情节竟然也会哭.            
(5星)	 粉红女郎 刘若英            
(NA)	 高中时和妈妈看了点儿            
(4星)	 小學時候天天放學就和同學聚在一起看             
(3星)	 不得不承认 我们确实看过这个……            
(3星)	 当时很喜欢~            
(2星)	 很无聊            
(4星)	 還蠻好玩的 結婚狂            
(4星)	 当时很火，但是陈好太做作~            
(3星)	 无语,现在的人都怎么了            
(3星)	 有点夸张了。            
(NA)	 万人迷的语录...            
(5星)	 这片子拍的不错            
(NA)	 ......            
(NA)	 反正我挺喜欢的            
(4星)	 结局不详            
(NA)	 其实就前面的小短片有趣。陈好的万人迷塑造得很成功            
(3星)	 挺逗的，但是我家除了我都特别讨厌这部剧。= =！！！因为猪脚没一个正经人...            
(4星)	 看得时候很喜欢            
(4星)	 这是哪个暑假我看的？当时一打开电视每个台从早到晚都在播，给跪了好么！            
(3星)	 記不清鳥..            
(4星)	 第一次接触朱德庸漫画。            
(NA)	 那个时候他们都是小角色，现在都是大牌了。            
(4星)	 补标记            
(4星)	 结婚狂 万人迷 男人婆 每个女人都是一出戏            
(3星)	 结婚狂的你 四十好几才出嫁            
(NA)	 = =萬人迷還真是            
(NA)	 童年..            
(4星)	 结婚狂好伐。            
(NA)	 看到剧照才确信，当年这货真的红过……            
(3星)	 so boring~！            
(2星)	 = = 看看我当初都看了森么啊。。。。            
(5星)	 好老了啊！            
(5星)	 万人迷 男人婆            
(5星)	 尼玛！温柔居然是里面的插曲啊            
(3星)	 那会儿觉得哈妹特别讨厌            
(3星)	 高中毕业时看的……            
(3星)	 。。。            
(5星)	 真心觉着陈好好看、            
(4星)	 我整个初中都搭进去了有木有            
(3星)	 是02年的话···主题曲好听            
(4星)	 还不错            
(3星)	 我一直都觉得身高差距真的很重要！！！            
(4星)	 张延什么的最喜欢了。            
(3星)	 曾被人说长得形刘若英-。-觉得几个死党住一块儿真是件有意思的事儿。            
(3星)	 我就是跟着风看的  还没看完            
(5星)	 你在我眼中的第一印象就是方小萍。            
(NA)	 结婚狂终于结婚了            
(4星)	 虽然很2，但是挺喜欢的            
(3星)	 记得那时候看得挺欢乐~            
(3星)	 记得当时火了好一阵呢。            
(4星)	 小时候蛮喜欢的看了好多遍，希望自己有一天会变成万人迷，现在觉得只要不变成结婚狂就好。            
(4星)	 很搞笑来~那时候还是很时尚的说~为毛这个海报那么香气= =            
(4星)	 因为这剧认识奶茶爱上奶茶 认识陈好真心觉得她当年很美 真心喜欢那首一辈子的孤单 恩             
(3星)	 超级不爱这里面的刘若英。。。            
(4星)	 你觉得你是谁？            
(4星)	 那时风靡一时。这豆瓣电视剧封面真难看啊。            
(5星)	 从路桥看到了兰州，陈好太他妈可以了            
(4星)	 喜欢薛佳凝。            
(NA)	 刘若英真的把我惊到了            
(3星)	 俗啊            
(NA)	 唉            
(3星)	 哈哈哈哈哈~好要好傻逼~经典咧其实还是~            
(3星)	 ,. ︶︿︶..挺好的            
(4星)	 陈好真美~            
(3星)	 吃得苦中苦，方为人上人            
(4星)	 结婚狂，刘若英的这个形象，在我心中很多年也无法磨灭- -  。。奶茶结婚狂奶茶结婚狂 奶茶结婚狂              
(3星)	 我以为我是哈妹，结果发现自己是男人婆，现在更沦落为结婚狂了妈的            
(4星)	 胡兵太GAY了！            
(3星)	 最喜欢结婚狂            
(3星)	 算是当时大陆剧的突破吧             
