http://movie.douban.com/subject/2252733/	康熙微服私访记1
(4星)	 写这个剧本的人真是不得了，语言功底颇为深厚。台词太生动啦。借古喻今的佳作。            
(4星)	 小时候的精典            
(4星)	 这些都是带着回忆啊            
(3星)	 只看一部即可，后面的都是一个套路出来的~~            
(4星)	 第一部还是挺有创意的            
(3星)	 国产电视剧大王出现了            
(3星)	 有点野史的味道，不算正剧            
(4星)	 老爷啊老爷饶了我吧~您不累吗？            
(3星)	 陪妈妈看的片            
(3星)	 话痨皇帝1            
(NA)	 那个太监，你能别跟宫女暧昧了吗。。。。。。            
(3星)	 不记得情节了……            
(3星)	 康熙来了 首部～            
(3星)	 没看全            
(3星)	 爷爷特喜欢看这个书生皇帝。            
(4星)	 感觉没戏说乾隆好看 是男的不帅 还是女的不漂亮 还是先入为主呢？ 可能都有吧            
(4星)	 小时候看得津津有味~豆瓣评分好低呀            
(5星)	 经典电视剧总是让人难忘！借古讽今，很有味道！            
(4星)	 奶奶爷爷最爱            
(4星)	 看過第一部就行了            
(4星)	 反正就是百看不厌            
(NA)	 春发芽 夏抽穗 秋天满地花 东西事 南北事 事事谁当家 出了宫 进了殿 忠奸明眼辩 忠奸明眼辩 入了乡 遂了愿 百姓才是 百姓才是头上天金瓦金銮殿皇上看不见一朝出了武门口一个名字两只手金瓦金銮殿 皇上不坐殿一朝出了京门口百姓的事儿牵着走牵着走三皇五帝千秋百代万事民为先            
(4星)	 小学的时候甚是风靡，电视上总是一遍又一遍地放啊放不停。后来再看的时候发现：咦，怎么每一部都要出现一位美女以身相许呢？这是为什么呢？……            
(5星)	 还是喜欢第一部..            
(3星)	 ……%￥%%奴家既不喜欢小姐，也不喜欢丫鬟……%杨若兮鼻孔太BH            
(5星)	 第一部还是好看的。            
(NA)	 深夜必看            
(5星)	 客观不了，不错。            
(3星)	 小时候看的，张国立的形象迄今不变            
(4星)	 矮油小时候每天都看啊...啧啧...            
(3星)	 康熙专业户。            
(5星)	 经典啊，儿时的记忆~            
(3星)	 其实我不怎么喜欢戏说康熙的故事 因为康乾盛世最喜欢康熙了..            
(3星)	 ★★★☆            
(NA)	 看过些些            
(3星)	 三得子            
(NA)	 看了一部分吧..也不记得是第几部了..            
(4星)	 犁头记、铜鼎记、八宝粥记、紫砂记             
(NA)	 清宫剧最红            
(4星)	 津津有味. 老少皆宜.            
(5星)	 很有爱。            
(2星)	 中国为什么越来越多这样的电视剧~期待明君吗？我丫拍死你~            
(3星)	 比后面好多了            
(4星)	 片尾曲蛮喜欢的。没看完整部            
(3星)	 这人不大像皇帝啊。            
(3星)	 [昔日所看]            
(4星)	 挺经典的。            
(4星)	 还不错拉～            
(2星)	 这一系列都是YY            
(3星)	 有一段美丽的传言 传说邓婕是我们小学的 而且在怎么说赵亮也是重庆的也            
(NA)	 当时觉得挺好看的。对片尾曲有些印象            
(3星)	 那时候很流行啊~            
(3星)	 康熙真的是个传奇皇帝，风流。            
(NA)	 就假装挺好看的            
(4星)	None
(4星)	 第一部其实挺好看的，最起码不是很商业和恶俗...            
(3星)	 8错的~~！！            
(5星)	 反正我爱看！            
(NA)	 不知道是什么电视台也总是在午夜档日复一日年复一年的不知疲倦的放映...            
(NA)	 小学的经典！到现在电视台还总有重播的呢！            
(NA)	 电视的刷屏时代             
(4星)	 童年记忆  我爹的最爱之一            
(3星)	 其实没意思，就是看美女            
(4星)	 其实前面都蛮好看的啊……越拍越不靠谱了而已……            
(5星)	 最好看了            
(5星)	 以前最喜欢变吃刀削面变看康熙微服私访记了。。            
(4星)	 喜欢。            
(3星)	None
(3星)	 就记得片尾曲了……            
(4星)	  以古讽今            
(4星)	 每一部的最后一集皇帝穿着龙袍牛逼哄哄的出场,以往跟他打过交道的人纷纷目瞪口呆的场景总是让我也跟着神气起来,介是嘛心理???            
(3星)	 不是闲的话，没必要看的            
(3星)	 犁头记、铜鼎记、八宝粥记、紫砂记 。            
(3星)	 其实还是挺好看的，只是电视台日也放，夜也放，12345轮着来，脑白金广告似的轰炸，有意思么有意思么。            
(5星)	 和家人租片看的说            
(3星)	 唉，每一次都有美女以身相许，后宫佳丽三千人就是这么来的……            
(4星)	 打得都是感情分~和我妈一起看的            
(3星)	 天下的美女都爱你            
(4星)	 原来我看了这么多啊……            
(NA)	 第一次在荧幕上看到蒋勤勤，惊为天人            
(2星)	 讨厌张国立            
(4星)	 中国的廉贞明君普及剧发泄剧琼瑶剧            
(4星)	 补充            
(4星)	 紫砂记            
(4星)	 这我都不知道我看了多少遍！！从记事儿就看吧好像。。            
(3星)	 很小的时候看过的。            
(4星)	 美女挺多，每个故事不长，有耐心看。            
(5星)	 常看常新！            
(3星)	 片尾曲不错。完。            
(3星)	 童年回忆            
(NA)	 不怎么看的            
(3星)	 不知道捧出了多少女明星啊。。。            
(2星)	 小时候一直很纳闷这皇帝TM访了这么久。。。谁在朝廷管事呢？不早朝？            
(5星)	 怎么当老百姓比当皇帝还难            
(3星)	 无话可说啊。。。。都是哪个路数            
(4星)	 我想说。。怎么那么风流            
(3星)	 我爹的菜。            
(4星)	 类似于古代的《三言二拍》！中国人就喜欢这种叙事风格！            
(4星)	 借古讽今            
(4星)	 看过第一部            
(3星)	 6/10            
(3星)	 我突然很奇怪我初二那年那么闲...看那么多古装剧...是因为SARS么...            
(3星)	 重播最爱。            
(4星)	 戴娆的片尾曲很好听。走的是人间的道，扛的是顶风的旗。            
(4星)	 不错不错～            
(3星)	 初看不错            
(3星)	 小学风靡。            
(3星)	 时过境迁，感觉不再            
(NA)	 母亲的喜爱            
(4星)	 不错            
(3星)	 第一部挺好看的，美人众多            
(NA)	 康熙微服私访1还是挺好看的，但是后来的有的好看有的就没有什么意思，感觉有点拖拉。            
(3星)	 我的校长也是个好人            
(4星)	 消遣……            
(3星)	 跟爸爸看嘚            
(3星)	 他还是演纪晓岚好些            
(4星)	 那时候嗷嗷喜欢            
(3星)	 单元剧            
(NA)	 1，2，3，4都看过 不一一列举了            
