http://movie.douban.com/subject/2259857/	香樟树
(5星)	 潘虹演出的电视剧都好看！            
(5星)	 大学在寝室看的不亦乐乎            
(3星)	 劇情有點假呢。蔡琴唱的片尾曲，那時覺得不好聽，不過比起她現在的歌，真是好很多。。。            
(4星)	 它们到最后，都会化成一种亲情。            
(4星)	 友情 的确是万岁的。。            
(NA)	 这些都是陪奶奶看的……            
(4星)	 当时就被韩波的眼睛电到了……            
(NA)	 补遗               
(5星)	 我很喜欢的一部电视剧..很喜欢..            
(5星)	 因为年轻。            
(5星)	 太喜欢了呀，当时还喜欢《梦里花落》，然后就可耻的觉得剧情还蛮像，于是喜欢就又多了份重叠。            
(4星)	 高二时候的政治老师和里面的女主之一简直是一个模子刻出来的！            
(5星)	 顾老师的作品当然是精品            
(5星)	 宿命的友情。            
(4星)	 就最烦那个老好人陶妮儿了            
(4星)	 我不想当陶妮            
(5星)	 初三时的记忆，我想让你知道，            
(4星)	 熟悉的校园 怀念的友情             
(3星)	 我就记着内歌好听呀            
(4星)	 关于友情            
(5星)	 陶妮，小衫，芳芳，三人行            
(NA)	 看完后开始害怕语文老师            
(NA)	 模糊了            
(3星)	 池小寧?            
(3星)	 电视剧就是用来看完忘记的            
(4星)	 初中看的            
(4星)	 很好的演员,现实的故事            
(5星)	 初中的时候吧            
(4星)	 当时看的时候还蛮向往大学生活的。。。            
(4星)	 友情万岁            
(4星)	 关于友情            
(NA)	 女孩子們的故事            
(4星)	 那浓郁的香樟树~三个女孩真心的友谊            
(4星)	 梅婷演得太……果决得恰到好处了。只看了一点点，才发现整个故事又大又长            
(4星)	 记得当年为这部电视剧留的眼泪，亲情、友情家爱情，怎么能不赚眼泪，不喜欢陶妮这角色，没个性老好人            
(NA)	 那种纠结的珍贵的友谊与缘分 爱情 不是每个人都有的            
(NA)	 感觉里面想表达的价值观有问题的陶妮指证没什么问题啊，但是编剧把她命运安排的不是很好，有没有打击正义的嫌疑？让人相信世界是黑暗的人，而且无法改变的人，他就是黑暗统治者的本身或者其帮凶            
(4星)	 我记得很好看            
(4星)	 每个人的人生啊，一步都错不得            
(1星)	 我还在火车上连夜读剧本呢。后来看完了很生气。骗子。            
(3星)	 是大陆难得刻画友情的片子...            
(3星)	 一直记得“铁三角”。            
(NA)	 大学那段真美好。            
(4星)	 会有一种友情叫一辈子。            
(4星)	 女生间的关系都是微妙的。            
(3星)	 陶妮是美丽的中国妇女--不十分漂亮，不十分个性，只是清楚明白地做人，生活。越是普通越是彰显它的重要和特殊。和这种女人恋爱结婚生子，是任何一个成熟男人都不会拒绝和后悔的。我开始喜欢看生活片了，因为不想再被别人的生活所骗了。            
(NA)	 蔡琴唱得真好听            
(5星)	 友谊万岁！            
(4星)	 我妈也喜欢看~            
(5星)	 从中看到我们自己            
(5星)	 喜欢的为数不多的内地剧之一。            
(4星)	 女生间的友谊总是那么像诗            
(5星)	 我想让你知道 永远 我不会忘掉            
(3星)	 喜欢那个傻傻的大哥            
(3星)	 演员不错            
(NA)	 小亮哥和嫂嫂~            
(NA)	 十年。。。当时每晚电视机前的守候            
(4星)	 香樟~~            
(4星)	 美好的感情使人成长，友情.            
(4星)	 不错的片子，喜欢看女人的友情            
(4星)	 温情脉脉啊            
(4星)	 404~~            
(4星)	 我喜欢刘琳            
(4星)	 友情的考验            
(4星)	 其实这部电视剧现在想来 还挺文艺的~            
(4星)	 都会死是吗            
(4星)	 印象不清晰了，但是记得是部好情感剧            
(4星)	 隐约记得 这片是讲友情的            
(4星)	 潘虹出现的电视剧起码还能再拔高一个档。            
(4星)	 香樟树下，埋葬无处安放的青春。            
(5星)	 三个女孩的一生。。            
(3星)	 记不得了            
(4星)	 难得国剧出精品            
(3星)	 陶妮            
(4星)	 好看 经典             
(4星)	None
(5星)	 蔡琴的片尾曲 香樟树 很好听 友情啊 友情            
(3星)	 潘虹为什么总是恶妈妈？            
(3星)	None
(4星)	 比较纠结。。。潘虹很适合大家庭里的家长角色。            
(NA)	 多么希望能回到和外婆一起在电视机前的日子。            
(3星)	 印象中是在青岛拍的            
(3星)	 现在还记得当初看这部电视剧是的情景，那时候妈妈工作中午不回家，爸爸中午在外应酬，每天放学回家偷偷的打开电视，中央八套，之前是都是天使惹得祸，后来这部接档。偷偷的看，听到脚步声就赶忙把电视关了回自己屋装作好好学习的样子骗父母。至今都过去六年了~时间过得快啊！前半段不错，后半段一般。            
(5星)	 友情            
(4星)	 关于三个人的友情~            
(NA)	 N年前看的了···            
(4星)	 读书那会蛮喜欢的  还推荐战斗机看            
(2星)	 旧时光            
(4星)	 又一部害我没写完数学作业的剧！！            
(4星)	 不知道怎么说了            
(3星)	 我想让你知道，永远，我不会忘掉。            
(4星)	 這裡的友情讓我感動！！！            
(5星)	 初中时感动的一塌糊涂~            
(5星)	 初中的时候断断续续看过，喜欢梅婷的角色            
(3星)	 - -小时候看过好多电视剧。。            
(4星)	 梅婷梅婷！            
(4星)	 三十岁约定，青春散场，现实残酷。            
(5星)	 初中时候看的，非常非常喜欢陶妮            
(4星)	 曾经的友谊            
(4星)	 小杉她怎么就死了就死了呢，到死韩波都不知道那是他的孩子，我很难过。。            
(5星)	 质量不错            
(5星)	 真实，感动，触动我心了~喜欢梅婷~喜欢那首“一路走来”            
(NA)	 片尾曲！            
(4星)	 还想再看一遍            
(5星)	 没经历类似深刻的友情是体会不到其中的真谛的            
(4星)	 CCTV8            
(4星)	 结尾草率了点            
(4星)	 3.5            
(4星)	 心目中永恒的司马小衫            
(5星)	 看过N遍 总觉得里面有一种和其他电视剧描述的不同程度的感情 曾经也无限希望自己能拥有那种友情            
(4星)	 那个时候 初中的我们 三个 多有爱             
(5星)	 轻狂的年少，谁能忘得了！            
(3星)	 记得当时很喜欢            
(NA)	 轻狂的年少，谁能忘得了。            
(4星)	 那年我们一起淋过那场雨  雨还是下着  你呢            
(5星)	 三个同年同日生的女孩，三种互相交错的人生，看过哦，哭过，笑过，感动过，留下记忆过`还记得那棵香樟树！            
(4星)	 最后一集哭得稀里哗啦我爸还让我去给他倒茶！！            
(NA)	 我想讓你知道，永遠，我不會忘掉。            
(4星)	 初中看的，感叹于曾经那么美好的大学姐妹，怎会落到如此地步。大学与社会，终究是两个世界。            
(5星)	 不知道为什么，再看，能想起很多            
(4星)	 三个好友的故事！那样的开头那样的结局            
