http://movie.douban.com/subject/2245679/	西游记后传
(5星)	 神一样的电视剧 佛祖都被干掉了。。            
(1星)	 豆瓣怎么没负分……这电视剧都把我看出了强迫症。左一下，右一下，再左一下，再右一下。连场景都不带改的，直接把画面对翻一下。每当这时，我总是会觉得自己的时间观，和世界观有问题。有段时间做事非得做两下……PS。这不是西游记续集……            
(1星)	 特技烂到令人发指！一个打斗动作多角度重放N遍还绝不打折！不过，片尾曲《相思》真动听~~            
(1星)	 怎么会有这么糟糕透顶的电视剧呢？能不能不给星？            
(4星)	 你们少装些逼会死了，这部除了动作不好，成本低之外，有故事情节的好吗？颠覆有没有？善恶一念有没有？三界结构梳理有没有？联系到不周山共公有没有？            
(1星)	 我每次看到那个武打动作他慢.慢.慢.慢.的一遍遍回放的时候我就诅咒这个导演            
(3星)	 奇哉怪也，记忆中这片不错呀，怎么评星这么低？            
(5星)	 每次暑假都放，好看到我都不想出门！！            
(5星)	 你们都装什么逼，好看的要死啊，最后一集我感动的哭了            
(5星)	 大爱！            
(5星)	 豆瓣太装逼了 有的人真伤不起能给宫打五星却给这个片子打了一星 ，真没脑子可言了.曹荣黄海冰吴健不比现在的傻逼妖男帅多少倍 看过的我就不说了因为人各有志，没看过就尼玛跟风一星你爹脑子让驴踢了吧。少跟点风会死？            
(1星)	 极烂！居然看完了。年少无知啊年少无知。            
(1星)	 此剧纯粹是为了看笑点以及研究重复镜头使用而存在的            
(1星)	 虽然中国电视剧的平均水准已经很低，但这并不能影响西游记后传成为中国电视剧历史上的一朵奇葩。            
(1星)	 妈呀，真难想象我竟然完整看完过那么恶心的电视剧！！！！！            
(1星)	 恶梦            
(1星)	 史上最滥的电视剧。无天还不错            
(5星)	 剧情推理非常非常好，揭谜底的时候有恍然大悟的感觉。碧游，灵儿还有现在已经成为放浪女的马娅舒，每一个人的表演都可圈可点，片头片尾曲也很好听~放的时候我还在上小学，靖江台放的。灵儿有危险的时候碧游挡在他身前的那个动作我一直都记得，因为我也曾经对某个人这样做过，只可惜他已经不记得了。。            
(1星)	 这一星是为毛阿敏打的            
(1星)	 囧一个             
(3星)	 当时看的时候觉得还行……就是改的太厉害了，丫唐僧都超牛的武功了，如来都挂了……            
(4星)	 当年很喜欢啊 ~ 一调到电视台在放就一定要看....!我果然不是文青么.......*呆            
(NA)	 KUSO             
(1星)	 面无表情的孙悟空和大BOSS以及一个武打动作重复三边的神奇电视剧            
(1星)	 我真想一星都不给好吗。            
(4星)	 编剧钱雁秋后来捯饬出了一套《神探狄仁杰》            
(NA)	 分居然这么高！！！            
(1星)	 看到我想死。            
