http://movie.douban.com/subject/2156718/	锦绣良缘
(NA)	 小脸美女文颂娴             
(4星)	 文颂娴，袖珍美人！            
(3星)	 有我没看过的TVB剧么？影响真大            
(5星)	 我的情怀，我最爱的女明星啊！            
(4星)	 众多搞笑高手联袂主演 喜庆节日看最好不过            
(4星)	 看得满开心的剧！            
(4星)	 文颂娴我也喜欢 戏也少- -            
(5星)	 大好笑            
(4星)	 搞笑，好玩            
(4星)	 文颂娴呀文颂娴！            
(5星)	 以前电视里反复播我反复看的一部戏。。。当然，现在播的话估计我还是会看！            
(3星)	 很好玩。            
(3星)	 好歡樂~            
(3星)	 郑中基哈哈            
(3星)	 到现在不知道结局，虽然猜也猜得到            
(3星)	 TVB            
(3星)	 很可爱啊            
(5星)	 文颂娴曾经大爱            
(3星)	 郭少芸也惊艳过我            
(3星)	 开始添加TVB...            
(5星)	 热闹啊            
(5星)	 好看啊！！！            
(5星)	 我超级奈            
(4星)	 顿珠            
(5星)	 每次看都心情好好            
(3星)	 射手男+巨蟹女            
(NA)	 有相当一段时间，我还是相当喜欢港剧哒~             
(3星)	 家和万事兴，是真理也是事实。为了争夺家传生意，兄弟反目被人陷害，所幸，他们及时醒悟，才换来和美的幸福家庭。            
(1星)	 从来没喜欢过文颂娴            
(4星)	 还是因为文颂娴。这部片子实在太痴头怪脑了，我喜欢的风格，哈哈哈            
(5星)	 喜欢女主角好多年啊好多年~            
(2星)	 ms在新知台看了一部分……            
(4星)	 当年快高考联播都不能塌下阿            
(3星)	 新年片啦            
(5星)	 这部剧看了好几遍，喜欢，想来也是十年前的剧了啊            
(4星)	 顿珠！            
(4星)	 那时候好喜欢啊~现在不记得剧情了。。OTL            
(5星)	 点起来真的停不下来            
(3星)	 只依稀記得文頌嫻。            
(4星)	 我很喜欢文颂娴的            
(4星)	 每次电视上演都会看            
(5星)	 初中时的我好中意，每晚绿叶剧场            
(4星)	 我很喜欢老四这一对，虽然这剧是典型的港剧剧情            
(NA)	 文妹妹的老剧一直挺喜欢。            
(3星)	 女主很可爱~~还有郑中基~~眯眯眼~~哈哈哈~~            
(3星)	 打发无聊的人生            
(3星)	 配角都很出彩.            
(4星)	 很搞笑            
(4星)	 依然是被娘拉着一起看的。很好玩的片子。            
(NA)	 文颂娴在TVB整个被遗忘了            
(3星)	 kao我果然還是看掉了 果然有美女我就會一直看下去么- -            
(4星)	 又是看了几遍~~~电视上换着台放~~~            
(3星)	 古代版家庭剧            
(3星)	 女主好漂亮啊!            
(NA)	 不怎么喜欢男主角。            
(NA)	 由记得当年很喜欢^            
(4星)	 一直觉得文颂娴很可爱~            
(4星)	 文颂娴多可爱啊！            
(3星)	 终于看完了,因为 文颂娴 也因为自己的无聊,所有的想看的都看 了...............            
(4星)	 挺好            
(3星)	 文颂娴转到TVB的力作，不过这之后好像就没什么戏了。            
(3星)	 电视台爱放剧~            
(3星)	 文颂娴，文颂娴            
(2星)	 还是文颂娴。。。            
(NA)	 n年前电视在放的。n年后电视还在放。            
(3星)	 很婆妈的一部剧，我竟然还看了不止两遍。想想真是脑子进水了。            
(4星)	 到现在没看完整的港剧！            
(4星)	 這部文文應該也算是女一號吧            
(4星)	 喜欢雯雯            
(NA)	 这个曾经很热播,我记得是翡翠台放的            
(4星)	 真的很搞笑            
(3星)	 。。。            
(NA)	 那时候觉得文颂娴很是可爱.现在好久没听过她的名字了.郑中基在里面饶是很活宝.            
(NA)	 我是TVB粉丝～～            
(3星)	 当年很爱之二……            
(3星)	 还好 还好            
(NA)	 看完之后好喜欢文颂娴。。            
(4星)	 谁说看女人斗嘴不是乐趣            
(4星)	 偶喜欢文文...            
(5星)	 喜欢顿珠傻傻的可爱！没有心机的女孩子，坚强的女孩子，让人喜欢呢~~            
(5星)	 爱死两位主角！            
(5星)	 文文            
(NA)	 小时候很爱看，尤其觉得里面人穿的衣服都好！看！极！了！            
(4星)	 看了这个喜欢文颂娴的吧            
(NA)	 【2001-01-05】            
(4星)	 我就喜欢这样的皆大欢喜happy ending!!!~            
(4星)	 那时候电视上经常放，也爱看。            
(4星)	 主题曲好听=▽=            
(4星)	 喜庆又八卦的            
(4星)	 这个很好看的！            
