http://movie.douban.com/subject/3075962/	惊艳一枪 驚艷一槍
(2星)	 自在门的3位极品 一个么天天缠着师弟不睬织女 一个么小李飞刀 把自己女人送兄弟 一个么蠢钝如猪 天天要找师兄比武……            
(3星)	 某次回到家已是半夜睡不着，在中央1或8？看的，好像是夜里1点到早上6点的午夜场。主题曲大爱。陈松伶大爱。            
(NA)	 马德钟和佘诗曼很搭吗？            
(3星)	 老大嘛就是秀外慧中，老二嘛就是自命风流，老三嘛就是弱智欢乐了。好基友啊~            
(2星)	 那时觉得剧里三个女人都好好看            
(3星)	 元十三限实在太讨厌了！            
(3星)	 仅能凑合看，但很舒服            
(3星)	 天蝎男+水瓶女+巨蟹男+双子女+金牛男，摩羯男+巨蟹女，            
(2星)	 烂片            
(NA)	 TVB式的标准武侠剧~            
(NA)	 媛叉说人设已经算尊重原著，情节就……呵呵呵呵……于是姑妄看之            
(3星)	 20            
(3星)	 马佘的组合，以后不会再看到了吧。突然就很想念他们那。            
(3星)	 看了十极就放弃了            
(NA)	 忘了改说点啥，佘诗曼继周芷若，阿九后又演了一个从心地善良到腹黑复仇的女人            
(3星)	 马德钟&amp;SS啊            
(3星)	 原来除了四大，这个也被改成电视剧了啊，真是后知后觉了！编剧毁了小花啊~而且居然只有冷追|||            
(3星)	 印象里是没看完的，片尾的字幕很个性            
(1星)	 佘诗曼太丑，马德钟太楞。            
(3星)	 兄弟如手足,女人如衣服.谁动我手足,我扒他衣服 你对我真的很好。不过很可惜，我们深爱的人都不是对方。你可以对我无情 但我不能对你无义            
(NA)	 我快看不下去            
(2星)	 马德钟戏里真招人喜欢啊，陈松伶很美            
(3星)	 当年很迷马德钟～            
(NA)	 超喜欢里面的织女。            
(NA)	 文颂娴和陈锦鸿这对好乖 陈松伶好美唷            
(3星)	 看过一点，还可以            
(3星)	 再看一遍，就只有不断吐槽直到无力= =真是何苦啊            
(1星)	 还是2005年排的，我简直服了，很差，尤其是动作戏，太粗糙了            
(3星)	 中央台瞥过一眼，文颂娴~            
(3星)	 普普通通            
(3星)	 男主让爱让的莫名其妙，女主恨的莫名其妙，男二性格转变也没处理好，女二也是            
(2星)	 还记得CCAV播过，佘诗曼的造型好差            
(3星)	 = =白瞎了好听的主题曲。如李寻欢一样让爱式的男猪，自虐兼虐自己的爱人。            
(2星)	 这主角的爱情真脑残···            
(3星)	 其实还成的。。除了马德钟不喜，至少还有三位可人儿可以欣赏。以及欧锦堂和陈锦鸿可看。。。~~~尤其陈松伶美啊美╮(╯V╰)╭            
(3星)	 十三死的时候好伤心            
(3星)	 我只是温瑞安迷，然后当时很喜欢阿佘，才去看的这片……            
(3星)	 阿廉叫什么来的，喜欢他那一对。。            
(3星)	 温瑞安的东西原本就没有金庸的精彩，如果不是因为演员或许我不会选择看这部戏。其实，我想知道的是ss和欧锦堂是不是能够有一部能够有好的结局。            
(3星)	 纯粹为了听粤语            
(4星)	 后面的剧情很无语，可我超级喜欢小镜的可爱、天衣的睿智、织女的执著~~~            
(2星)	 烂片！~            
(3星)	 只记得大年初一的晚上央一在播            
(3星)	 光捡着文颂娴的戏份看了            
(3星)	 天雷滚滚的我呀~            
(NA)	 @cctv8            
(2星)	 这剧的style...只能说太适合ccav了。            
(2星)	 因为此剧，我对马德钟的讨厌达到了巅峰！            
(3星)	 小镜的造型有点僵            
(4星)	 十三很惊艳            
(3星)	 还行　古装的            
(3星)	 当年竟然是在中央八台看的，那个清晰啊，感动...            
(3星)	 小镜~            
(2星)	 马德钟不能拍古装，人太高了。            
(NA)	 狗血的剧情造型            
(4星)	 在2005年还有这样好看的，难得。            
