http://movie.douban.com/subject/2249496/	公主小妹
(NA)	 看多了这种东西果然容易降低智商。            
(1星)	 张韶涵笑起来很假            
(1星)	 腦殘            
(3星)	 从今以后不给三星以下，我要努力发现别人的优点。            
(3星)	 朋友发给我说，男主角长得像大学对象，虽然剧情无聊幼稚，结果还是看了一夜停不下来....真是长得一模一样，弄得我心神不定..衰            
(2星)	 有钱就是好啊            
(NA)	 经典啊            
(2星)	 这种东西你们怎么拿得出来？台湾真是抢钱抢疯了。            
(4星)	 吴尊的演技提高了。爱情真的是斗智斗勇的事儿。            
(1星)	 恶            
(3星)	 越到后面越无趣。            
(1星)	 看不下去了，放弃            
(1星)	 打发无聊时间的无聊工具            
(2星)	 这个真的比较烂。            
(2星)	 雷人的剧情和演技。            
(3星)	 呵呵，我初中时超爱看的漫画，哈哈            
(1星)	 你妹            
(1星)	 哎。。。。            
(2星)	 当没看过。。            
(2星)	 所以说剧本是王道，甭管是谁演            
(2星)	 小白台剧孜孜不倦毁日漫。            
(1星)	 = =            
(3星)	 剧情比较烂。。。。人物比较帅            
(3星)	 看了半天才发现是根据以前看过的一本日本漫画改编的~            
(3星)	 算不上很喜欢            
(3星)	 童话而已 烂童话            
(3星)	 就看看吴尊也挺开心~            
(3星)	 雷啊！            
(3星)	 白烂            
(NA)	 几年前看过几集 基本无感            
(2星)	 除了吴尊能看之外。            
(3星)	 实在不感冒。            
(NA)	 我真的看过几集...            
(NA)	 而且我还看过这个！太fz了            
(1星)	 什么时候可以不这么水            
(NA)	 补遗                  
(2星)	 为毛我曾经看台剧看得那么high ╮(╯▽╰)╭            
(2星)	 剧情幼稚的可以把我杀死。            
(2星)	 我对编剧无语            
(NA)	 少女公主梦~            
(3星)	 原谅我的幼稚吧。有一阵狂追台剧            
(2星)	 pia qi            
(2星)	 /_\            
(2星)	 吴尊呆呆的             
(NA)	 2008|789时            
(2星)	 没看完。            
(3星)	 没感觉。            
(3星)	 嗲剧            
(4星)	 为了吴尊先生~实在太养眼了~            
(2星)	 纸醉金迷的俗套剧，虽然这俩主演都很梦幻～            
(NA)	 吴尊很有王子气质            
(3星)	 感觉还可以。因为喜欢男女主角。            
(3星)	 有点短．就偶像剧来说还可以．            
(1星)	 其实我就是为了吴尊那张脸            
(3星)	 我也真是有够无聊。            
(1星)	 意淫片，啊不，意淫失败片            
(1星)	 乐色            
(NA)	 难看            
(3星)	 寒假闲得            
(NA)	 基本是为了看吴尊            
(3星)	 结局真是烂，大烂尾，编剧有没有逻辑啊，简直就是一部弱智电视剧。看完它完全是冲着吴尊，没办法，他实在太帅了，尤其是侧面，简直是从漫画里走出来的一样，完美~~圆了我的少女漫画梦~~扭~~&gt;&lt;            
