http://movie.douban.com/subject/2990222/	阖府统请
(NA)	 鲍鱼知识大扫盲            
(4星)	 看了4次的港剧，囧~            
(4星)	 那个时候觉得袁洁莹好漂亮好漂亮            
(NA)	 小学2年级嘅事，太古旧了... 唯一记得名同王喜..            
(5星)	 五分全是给袁洁莹的。当时把年少的我给秒杀了。。。            
(4星)	 30            
(4星)	 黄金炒饭，好好味！            
(4星)	 友情变爱情，轻松温馨的生活剧 超爱王喜！            
(4星)	 我还记得黄金炒饭和煮鲍鱼。。饿了            
(NA)	 最喜欢王喜啦            
(5星)	 王喜和袁洁莹的搭档很好啊！！cast很强大，张兆辉、刘家辉和朱咪咪梁家仁，都很了得~~            
(4星)	 不错的            
(3星)	 還ok囉～不過郭可盈當時很老氣            
(4星)	 王喜演技了得            
(4星)	 記得係好笑的…但details就唔記得啦…            
(NA)	 蓝光DVD已入手            
(4星)	 不知道为什么，最近老想找一些以前的港剧看，这本看到介绍后觉得不错，演员也蛮多的，所以打算看看。            
(3星)	 long long ago了            
(3星)	 i remember i saw it            
