http://movie.douban.com/subject/2190934/	陀枪师姐
(5星)	 陈三元浑身上下散发着处女的纯洁气味。            
(5星)	 荷姐BOB~~三元跟她老公，戏里戏外的经典配对，一去不复返了。            
(4星)	 喜欢看程峰和三元爱情朦胧那一段 哈哈哈            
(4星)	 魏俊杰和滕丽名的定情之作，回头看看真是唏嘘不已，那时候的无敌年轻。            
(4星)	 欧阳震华真的很可爱.            
(5星)	 滕同学曾让我相信爱情，可是。。            
(4星)	 超喜欢三元～～            
(5星)	 上世纪的TVB，真令人怀念            
(4星)	 我确实看过非常多港剧，我忏悔~            
(4星)	 还是1最好看 小生啊            
(4星)	 欧阳震华跟关咏荷就是绝配嘛。            
(3星)	 曾经迷恋            
(5星)	 经典剧目，1比2好~            
(5星)	 我太喜欢。            
(5星)	 应该就是TVB港剧启蒙篇了吧 从小我只认关咏荷叫娥姐的嘛 真心美好爱她            
(5星)	 当年 魏俊杰 还不错看呢~~现在也……            
(NA)	 真休闲·            
(NA)	 太女人了喜欢鹅姐喜欢啊关重新再看一遍还是那么好看鹅姐就是鹅姐            
(3星)	 久远回忆            
(5星)	 魏骏杰还是反派帅些            
(3星)	 貌似我只看过1 2都没看多少            
(4星)	 好看            
(3星)	 很早接触的            
(4星)	 TVB             
(4星)	 非常非常喜欢的一部，关咏荷+欧阳震华            
(4星)	 相当经典的港片！关咏荷和欧阳震华其实真的很配            
(4星)	 高中回忆            
(5星)	 陈小生！陈三元！！            
(4星)	 当初看得很开心            
(4星)	 童年回忆啊            
(5星)	 曾经的经典。            
(4星)	 爱三元。            
(3星)	 荷姐从来不是我喜欢的            
(3星)	 开始添加TVB...            
(5星)	 看了n遍，荏苒大爱！            
(4星)	 哎呀 那個時候好喜歡關姐姐哦 ～～～            
(4星)	 为何TVB这么盛行?            
(4星)	 三元和程峰啊...还没开始            
(5星)	 我喜欢胖乎乎的小生            
(4星)	 陀枪师姐            
(5星)	 经典            
(5星)	 正！            
(5星)	 肥仔配娥姐 三元配榴莲 续集都是多余            
(3星)	 关咏荷 。吼吼。小时候看的 。女性的美丽和魅力 。            
(3星)	 小时候我哥说我唱主题曲很像郑秀文……            
(NA)	 警察            
(5星)	 太喜欢            
(4星)	 老片子。            
(5星)	 喜欢｀｀            
(4星)	 一直不是很喜欢关咏荷 虽然她演得的确很好            
(5星)	 续集都是浮云……停在第一部就好了……            
(5星)	 最最好看的还是1！！            
(5星)	 大经典            
(4星)	 想当年英姿多飒爽！            
(4星)	 谢谢TVB            
(NA)	 大学时每天午饭后的时光            
(4星)	 小時候超愛            
(4星)	 关咏荷 欧阳震华 绝配            
(4星)	 小生的女主一号：娥姐            
(4星)	 稀饭陈三元            
(5星)	 很大程度上影响了我的价值观和爱情观！            
(NA)	 儿时很迷陀枪师姐系列            
(NA)	 欧阳震华  ！            
(5星)	 好看~            
(4星)	 关咏荷 欧阳震华   我总觉得他俩应该是一对            
(4星)	 关泳荷演得太棒太棒了            
(5星)	 我最喜欢陈三元了　哇咔咔            
(4星)	 胖子的演技一直都辣么好＝ ＝。～～～～            
(4星)	 不错的老港剧            
(5星)	 陈小生啊 陈小生            
(5星)	 补tag            
(4星)	 岁月的味道。            
(4星)	 小时候看就觉得女警帅爆了！以后一定要当警察！            
(3星)	 很喜欢欧阳震华啊！            
(5星)	 娥姐            
(5星)	 虽然有BUG，但我还是好喜欢！！我爱陈小生！            
(4星)	 關詠荷的時代一去不返，滕麗名卻仍然還是滕麗名。            
(4星)	 人头那神马的  我又吓死。。。            
(5星)	 经典            
(5星)	 华丽丽组合！            
(5星)	 娥姐            
(5星)	 小学每天必看，曾一度激发我女警的欲望~~~~~~            
(4星)	 送给欧阳和关姐。            
(4星)	 心理阴影*10000000000000            
(5星)	 那时候的三元魏俊杰多帅气            
(4星)	 好看            
(5星)	 面具色魔!!!            
(4星)	 回不去的小时候...曾经陪伴我的TVB...            
(5星)	 看当年的眷履如今两散            
(4星)	 也是只有这一部好看，至今不明白魏俊杰这么帅的帅哥为毛要跟滕丽名在一起            
