http://movie.douban.com/subject/2228626/	心网
(4星)	 常宽 梅婷 以及拍完就倒闭的人人网 囧            
(3星)	 老娘当初在离开cl才不久的时间看到这部剧里的严宽，顿勾起无限伤感。日啊！奴家尊滴难以抵受这种阴柔气质美少年。            
(NA)	 那是很囧原来常宽也演剧            
(5星)	 读高三时候在我们安徽卫视原来13点“青春剧场”看的，觉得还可以！            
(5星)	 这是当年的人人网赞助拍的，轮到现在傻逼校内凑热闹。            
(3星)	 = = 想起一个人人网。。以及始终想不通常宽那脸怎么能当主角= =            
(NA)	 小学时看的~有7,8年了吧,感觉还不错            
(4星)	 挺好看的            
(4星)	 当年的。。。            
(4星)	 那是个网络入驻中国的年代             
(2星)	 除了记住人人网的广告，没什么印象            
(NA)	 补遗               
(5星)	 小时候超级迷。。            
(4星)	 那个时候，有人说我像里面的梅婷来着，小飞侠是也~            
(NA)	 网恋，印象最深的是最后地铁那段，没记错吧，反方向坐，看能不能再遇到@@             
(NA)	 小时候好红的这部。。。。            
(3星)	 哟 -0- 又挖出一部            
(3星)	 就记得卓越网...那时候我还没qq呢！！！！！            
(4星)	 当时看到有人人网我还上来着。。不过没成功，还以为是个虚拟的==            
(4星)	 看过的还可以再看，可找不到当时看的心情了            
(NA)	 华葱，我就记得这个名字            
(4星)	 想当年 看这剧的时候我还小学啊            
(3星)	 啊哈当时喜欢常宽。            
(4星)	 当年的偶像剧            
(4星)	 总半夜起来看这个偶像剧~不一样的梅婷 小飞侠            
(3星)	 华亭路小飞侠 这便是记忆            
(3星)	 最深的记忆是梅婷那条彩虹一样漂亮的裙子，记得有一个情节是梅婷的腿烫伤了，常宽给他上药那一段，当时迷死了。            
(NA)	 反正当年迷恋的都是这些.            
(5星)	 我之记得了严宽和            
(5星)	 迷了很久的电视剧。当时觉得常宽真帅阿。。。。乳前龙井就是在里面学的。            
(NA)	 很久之前看过的            
(3星)	 唯一记得 小飞侠            
(5星)	 为什么大家都没看过啊　我觉得那个任宽很帅            
(4星)	 羡慕她独立生活的屋子~场景很漂亮~            
(4星)	 哈哈 那时候这个片子很潮诶 第一个网名小飞侠来源于此…囧            
(NA)	 现在很难想象常宽这样的能演偶像剧男一号            
(4星)	 小时候看着挺好            
(3星)	 很久之前看过的。            
(NA)	 小时候很爱看哇            
(4星)	 小飞侠&gt;&lt;            
(4星)	 某段时间很爱看            
(NA)	 高中或者初中时候的片儿，只记得梅婷的彩虹裙子。            
(NA)	 我还记得最后的时候 是两个人随意坐地铁吧 碰到的话就在一起 啊 青春的回忆啊            
(5星)	 纪念旧时光            
(4星)	 算是小时候的回忆了吧。。。            
(3星)	 最早的人人网就是这里知道的。。。            
(3星)	 那时候觉得常宽特帅            
(NA)	 第一次知道人人网            
(5星)	 童年回忆            
(4星)	 一度很迷，罗湘晋真漂亮            
(NA)	 小飞侠......            
(NA)	 歌好听~            
(4星)	 那时候很喜欢常宽            
(3星)	 当年的偶像剧。。            
(1星)	 不好看            
(4星)	 很喜欢常宽和满江的呢，还有他们的声音。不过后来他们没演过什么了。            
(4星)	 我现在都还记得在农行看的时候，觉得常宽还挺帅的。梅婷叫小飞侠。            
(5星)	 小时候看哭了看到常宽坐在梅婷的病床前，拉着她的手，却只能走掉……明明相爱却不能爱的痛苦……            
(5星)	 我不会忘记的启蒙青春片。虽然朋友们都BS这哪里青春了。那是因为许多年前，的确是主角们的青春            
(4星)	 那个时候真的很喜欢看！ 喜欢石灰地            
(4星)	 初中时讨论的话题啊            
(4星)	 记得那时晚上挤出作业时间，期待            
(5星)	 大葱鸭            
(3星)	 现在才发现小时候看过的电视剧还真多            
(3星)	 印象最深的是严宽以及和他配戏的普通话很不咋地的女演员            
(3星)	 那会子挺喜欢看的～～            
(4星)	 小飞侠            
(4星)	 这部很老的剧很好看啊            
(4星)	 當年看到嚴寬驚為天人            
(4星)	 好吧。。看过            
(5星)	None
(3星)	 17岁。            
(4星)	 小时候还挺爱看呢！            
(4星)	 当年觉得很好看！            
(NA)	 只记得小飞侠梅婷了            
(4星)	 喜欢满江。            
(3星)	 只记得最后的缘分游戏很有意思            
(3星)	 当年蛮喜欢看的            
(3星)	 小飞侠~~            
(4星)	 突然想起来自己小时候看过这部剧，浓浓的夏天气味，还有上海那些记载我童年的拍摄景点~            
(3星)	 初中很喜欢了，记得里面有首歌很好听，想不起名字了            
(4星)	 我那時候覺得常寬很帥 = =            
(5星)	 好怀念，十年前电视一放必看。葱头。            
(4星)	 今天和猴子突然谈论起来，小飞侠和满江~            
(3星)	 我还看过这个？？？？            
(4星)	 小时候觉得很好看            
(3星)	 哎，常宽这么丑，也是红过的……            
(3星)	 那个时候都挺年轻的            
(4星)	 当时觉得特好看……年轻又荡漾            
(3星)	 严宽帅死了，应该男一才对的            
(4星)	  13岁情感大戏            
(3星)	 真的蛮意外能在这里找到这片，其实一直没记得是叫心网还是星网，anyway，高中时候跟着电视看的。            
(4星)	 当年就记住个人人网，哦，还有小飞侠什么的            
(3星)	 想当年我是多么厨满江这个眯眯眼的男淫啊……            
(NA)	 今天突然想到了常宽，就想起当年看过这么一部电视剧来着…初中的时候放假在家看的不亦乐乎啊！而且迷恋满江很长时间…            
(4星)	 挺有意思的            
(5星)	 为了自己的回忆和逝去的韶华，给五星！            
(5星)	 小学的时候可喜欢看了…            
(NA)	 最记得里面那个人人网            
(4星)	 常宽和梅婷，在地铁里打的赌。。            
(4星)	 好久之前看的，梅婷，小飞侠！            
(3星)	 小时候看过。忘了演的是什么了。哈哈            
(3星)	 当时觉得梅婷真可爱。。            
(NA)	 当时是叫《一网情深》吧。            
(4星)	 当年能拍出这样的爱情偶像剧，这样的音乐。现在都不及，现在全是芒果台的烂剧。            
(NA)	 我真想为这来写个评论。那一天感动得像狗一样，不会再有了            
(3星)	 小时侯觉得严宽真好看            
(NA)	 小学时的偶像剧，主题曲还蛮好听的。            
(4星)	 那时喜欢看，按喜好度给分            
(5星)	 OH马力哟,呵呵.            
(NA)	 还真怀念呢            
(5星)	 完美的生活=活的简单+三两知心朋友            
(5星)	 有我家小满~            
(4星)	 这句在我心里几个关键词：小飞侠、恋爱中的城市。满江哥哥还演过别的电视剧咩？            
(3星)	 整个一中年偶像剧，记得还有周迅客串            
(3星)	 我爱小飞侠。。呵呵，很久很久以前看的了，，第一次看见梅婷演的小飞侠，爱上梅婷，爱上小飞侠。很爱很爱。。还有江路的爆炸头，印象很深刻啊，，安            
(4星)	 有梅婷？当时没概念，小飞侠倒是记得很清楚            
(3星)	 人人网当年还这么做过广告……            
(5星)	 曾经为此片，每天和妹妹打架抢电视~            
(3星)	 就记得里面有一段周迅有客串，很好玩            
(5星)	 再看一次也很经典            
(5星)	 很有感觉！有内容！不像现在的台剧，韩剧。            
(3星)	 当年觉得特好看呀。然后《至少还有你》那个时候就一直听            
(4星)	 又是一个美好的回忆呀 梅婷 满江 严宽 看着都比现在顺眼            
(4星)	 挺美好的感觉            
(3星)	 小飞侠            
(4星)	 话说这里面是不是提到迷迭香了            
(5星)	  小学六年级暑假的回忆            
(NA)	 好片，第一次意识到了上海，好美。            
(3星)	 结局的桥段我很喜欢。那个时候上海只有１号线吧，现在想找估计就困难了。            
(5星)	 真的是当初的回忆哈 里面讲述的爱情缘分似乎让我记忆犹新            
(4星)	 好多人从izaobao过来哦，呵呵。 其实不记得具体的了， 但记得renren和华亭路小飞侠            
(5星)	 为什么还是觉得小时候的偶像剧好看 难道是那时不成熟？            
(4星)	 以前非常沉迷的一本片。            
(4星)	 好久了            
(4星)	 初中班里风靡一时，还记得满江的《恋爱中的城市》很好听。            
(NA)	 回忆啊~~~中学的时候看的吧~后来去上海还去了港汇广场的店呢~            
(3星)	 网络正在普及。            
(NA)	 喔唷．．那首主题曲．．满江唱的什么＜恋爱中的城市＞            
