http://movie.douban.com/subject/4320255/	摩登新人类
(5星)	 胡歌不容易，把这么个单一平民化无发挥的又容易被男二粉吐槽的男一号角色演得让我居然还蛮喜欢的。。。这年头，不把富二代演成霸气道明寺你都不好意思说你演过偶像剧！            
(4星)	 想上陈柏霖的同学举个手···            
(5星)	 胡歌阿胡歌  和谁演都立马像一对            
(4星)	 好吧，我有私心的为了陈柏霖推荐，80和意涵火花很多，这么多遍看下来他俩是我最大的动力。。            
(3星)	 只是为了看胡歌和陈意涵，剧情还真的恶俗地让人心疼。胡歌是怎么长得啊，怎么跟什么女的站在一起都无比般配呢。。            
(2星)	 情节薄弱，表演造作，陈同学你为毛要接？！            
(1星)	 小毁陈柏霖，大毁陈意涵，胡歌接着毁            
(5星)	 猪脚们好萌。即使剧情老套，外加有点拖沓。但是你们都好配！！！！ps：胡最后的造型太霸气了。真心水！！！            
(5星)	 我很不客观地在打分。陈柏霖！！！！！陈意涵！！！！胡歌！！！            
(5星)	 很期待胡歌与陈意涵的合作，他们两个我都很喜欢，而且这部电视剧感觉蛮清新的，是很纯净的青春偶像剧....            
(3星)	 胡歌&amp;陈意涵5分，剧情-2分，总分3分。            
(5星)	 看完之后满脑子都是胡歌= =            
(3星)	 還行吧，偶像劇真是一蠢到底啊。。。大發有點做作過頭了。。。            
(5星)	 7.5 饭勺部分是8 其他部分是7  萌是萌的 三个主儿要颜有颜 演技也不差 关键还是编剧导演驾驭不了群戏啊            
(4星)	 想给三星，但见着是老胡和大发，多给一星吧……            
(3星)	 世界上最痛苦的是什么？兴冲冲为了胡歌看这片，悲剧了啊！啥子人啊！男猪女猪都无爱啊！喜欢的大萝卜被炮灰了啊！桑心            
(NA)	 喜欢胡歌来的，希望早日能看到这剧，还真挺期待，就是主演太多了点。            
(5星)	 冲着胡歌来的            
(4星)	 我再次爱上胡歌了啊！！！            
(4星)	 剧情好白痴哦，但是我喜欢胡歌~            
(2星)	 陈意涵，马思纯各一星。剧情惨不忍睹，都别抱什么期待了。            
(NA)	 听说里面有好多新演员呢，就爱看帅哥演的戏，强力推荐哦~！            
(4星)	 陈大发 (づ￣ 3￣)づ            
