http://movie.douban.com/subject/1863947/	神雕侠侣
(5星)	 古天乐就是杨过，李若彤就是小龙女            
(5星)	 李若彤当年在我眼里那就是仙女！古天乐更是绝了，这才是一见杨过误终身的杨过啊！！！            
(5星)	 怎么看都是李若彤版小龙女最小龙女            
(5星)	 不能超越的杨过和小龙女。            
(4星)	 李若彤似乎完全符合了我想象中的小龙女            
(3星)	 李若彤就是小龙女            
(5星)	 李若彤美若天仙！            
(5星)	 这个是我最喜欢的版本。。李若彤是这几个版本当中最象小龙女额。。            
(4星)	 李若彤...实在是太符合小龙女这个角色了...古天乐那时候还是小白脸时期啊...            
(4星)	 《归去来》好听。            
(4星)	 最好的小龙女             
(3星)	 最喜欢这个版本。李若彤真漂亮            
(5星)	 小龙女李若彤            
(4星)	 李若彤真漂亮            
(5星)	 喜歡這個版ㄉ小龍女眼睛真美             
(5星)	 李若彤那形象最经典了。            
(4星)	 李若彤也是我的梦中情人~~~~~~~            
(5星)	 看的第一版神雕侠侣。当时觉得李若彤真的是好漂亮啊~~~还去买她的卡片来着……越久越不耐看？            
(5星)	 问世间情为何物直叫生死相许            
(4星)	 超喜欢李若彤            
(4星)	 姑姑还是那个姑姑，过儿却不是那个过儿了            
(5星)	 杨过、小龙女、李莫愁、绝情谷夫妇、郭家俩闺女等等都十分成功 再看看别的版本。。。啧啧。。。            
(4星)	 最经典的杨过&amp;程英.            
(5星)	 要不要每个角色都那么讨人欢喜呀。除了男女主演，还有李绮红张可颐雪梨傅宪明甚至是变成阿姨的魏秋桦……            
(NA)	 自这片古天乐黑的一发不可收拾，对，是黑的~            
(4星)	 话说那时你还是小白脸            
(4星)	 比83版动作戏提升，节奏加快，虽然人物变得单薄，但选角成功加之煽情音乐，取得了很高的欢迎度。            
(4星)	 看神雕这版最好啊            
(5星)	 俊朗飘逸古天乐脱凡超俗李若彤，最经典的神雕侠侣，没有之一。            
(4星)	 这次是我真的决定离开，远离那些许久不懂的悲哀，，这么多年还记得歌词，你说这部剧对80后影响多大，一直觉得李若彤就是小龙女，刘亦菲什么的都是浮云，之后谁再翻拍都是鸡肋，剧中任何一个形象都无法超越，因为永远无法战胜的是时间。            
(NA)	 一段时间特别流行他们的明信片，卡片，贴纸。。。            
(5星)	 能给10星吗？？            
(5星)	 最经典咯            
(5星)	 古天乐当时多年轻啊～当个小白脸不好吗？干吗非得搞成现在这幅大叔样            
(5星)	 从此之后再也容不下别的杨过小龙女            
(5星)	 爱的就是姐姐，不，是姑姑            
(4星)	 經典。            
(4星)	 归去来~~            
(5星)	 古天乐天生演技派～            
(4星)	 古天乐那时候好白好帅哟 ToT            
(5星)	 那次是你不经意的离开 成为我这许久不变得悲哀            
(5星)	 那次是你不经意的离开,成为我这许久不变的悲哀            
(5星)	 片尾曲不知让我迷醉了多久，反正就知道当时那杨过帅到弊了。            
(3星)	 那时候他们都年轻。            
(2星)	 整个就一室内剧，唉。            
(5星)	 我最爱的片。最经典的杨过和小龙女。最好看的版本，无可超越！！！！            
(4星)	 从此认识古天乐～            
(5星)	 论世间情为何物，只叫人生死相许            
(NA)	 小白脸古天乐……            
(5星)	 从此，世间再无杨过            
(5星)	 当年巨喜欢，觉得枣核丁和一阳指是最帅的武功…今天随便看一集，突然发现金轮法王和郭襄有萌点，李莫愁徒弟长的跟钟汉良一模一样！            
(5星)	 可能是先入为主吧 还是喜欢这个版本的。            
(4星)	 李若彤很美啊            
(4星)	 我对杨过小龙女的感情始终没兴趣XD            
(4星)	 永远的姑姑~            
(5星)	 重看            
(5星)	 这么经典我不用废话了。            
(5星)	 最爱这个版本了。            
(4星)	 最喜欢这个版的！            
(NA)	 还没黑的古天乐.            
(4星)	 李若彤就是小龙女的化身啊……            
(5星)	 问世间情为何物,执教人生死相许...主题曲&lt;天下有情人&gt;值得传唱.            
(NA)	 好片 好片 对本人呢影响之深，让人憧憬啊            
(5星)	 傻蛋啊傻蛋。。            
(NA)	 还是这版的神雕最好看~            
(4星)	 刘亦菲同学，美人要有灵气，你看看人家若彤姐姐。            
(3星)	 嗯，其实没认真看过，李若彤的气质和小龙女还是很符合的。            
(5星)	 过儿。龙儿。            
(5星)	 为什么？            
(NA)	 古天乐是不是从这部开始红的？            
(3星)	 神雕侠侣就这部最经典吧            
(3星)	 李若彤啊~            
(4星)	 那时候很迷，主题曲也风靡            
(4星)	 最爱这版的人得扮相~~~            
(4星)	 其实没看完...            
(4星)	 不错。            
(5星)	 小学，和姐姐边吃瓜子边追。            
(3星)	 那时的小古同志还是白面书生~~            
(5星)	 李若彤是我的女神..            
(4星)	 四粒星都係因為有李若彤。            
(4星)	 几个版本还是这个最经典。            
(NA)	 不喜欢小白脸古天乐，喜欢李若彤            
(5星)	 经典啊~~~            
(4星)	 最喜欢的版本，人物造型都太经典了。            
(5星)	 古天乐唯一白白的时候拍的聚剧集，唉……            
(NA)	 苏玉华和张可颐            
(4星)	 没看完过几部古装剧。这算其中之一吧。            
(5星)	 没有一版超出此版            
(5星)	 这次是我真的决定离开            
(4星)	 这个仙女姐姐也不一幅不食人间烟火的样子 感觉很好 另外吧 我一直对古帅哥有个疑惑 就是他演这剧的时候绝对没有后来那么黑！我发誓！！            
(4星)	 小学时候为了晚睡几分钟看看小龙女和杨过，每天和我爸爸打游击，什么撒泼耍赖的手段都用过了。            
(4星)	 我看过的神雕侠侣第一个版本            
(NA)	 古天乐 李若彤            
(3星)	 那个时候的古天乐还比较像小白脸,可是杨过和小龙女的爱情怕是每个人的理想.            
(5星)	 最喜欢的金庸爱情            
(4星)	 原来我还喜欢过古天乐            
(4星)	 记得小时候看觉得李若彤演的小龙女跟仙女似的`````````            
(4星)	 漂亮，经典，中意！            
(3星)	 觉得有点腻            
(3星)	 这版不喜欢，死板。            
(NA)	 好像只看過這個版本的神鵰那時的古天樂還是小白臉....            
(NA)	 百看不厌            
(4星)	 经典。            
(5星)	 杨过就是古天乐，小龙女就是李若彤，这是最好的一个版本，大爱！            
(5星)	 小龙女啊。。            
(5星)	 最近重温 真的很感动            
(5星)	 只爱这一版            
(5星)	 近日又重温一遍粤语版的，每个眼神都让人感动！            
(5星)	 心目中的经典            
(3星)	 那次是你不经意的离开，成为我这许久不变的悲哀            
(5星)	 李若彤是小龙女的完全正确答案！            
(3星)	 喜欢看傅明宪。            
(4星)	 过。            
(5星)	 小时候着迷的现在还是一样喜欢            
(5星)	 那时候的古天乐好白哦。小时候最爱……＝　　＝            
(5星)	 两个主角都超级美            
(5星)	 那绝对是经典中的经典，无法超越，无可比拟。我的最爱！小白脸的古天乐真是帅到不行啊~李若彤，不用说，真是天仙级别啊~            
(NA)	 姑姑真是美死了            
(4星)	 诸版本中最喜，正当武侠开蒙……            
(5星)	 小龙女。            
(5星)	 最经典版本的小龙女。像赵雅芝就是白娘子一样，无人取代            
(5星)	 问世间情为何物 。。。            
(5星)	 李若彤就是小龙女 无出其右            
(4星)	 这个十六年后，真是神仙级别的重逢了            
(4星)	 古天乐不管白的黑的都那么好看            
(5星)	 喜欢片头片尾曲……谢谢，不是那个归去来            
(5星)	 看过太多遍            
(4星)	 开始添加TVB...            
