http://movie.douban.com/subject/2156698/	洗冤录
(3星)	 TVB毒害了我，搞的我一直以为自己是个侦探            
(4星)	 欧阳那帽子。。。            
(4星)	 恐怖片            
(4星)	 喜欢林文龙            
(4星)	 好看滴            
(4星)	 高中时，每晚晚饭时，河北经济生活频道6点钟，一天一集。            
(5星)	 喜欢宣萱            
(3星)	 那個噁心的喜歡謝天華的郡主你把整部戲的水平都拉低了！！！            
(5星)	 好看            
(5星)	 只看欧阳震华            
(4星)	 TVB            
(4星)	 非常港剧风格的古代断案剧            
(3星)	 就看个欧阳震华            
(5星)	 宋慈牛人            
(4星)	 又名：세원록←卧槽这个又名闹哪样啊！            
(4星)	 兒女長情好多 那些部份看的想睡覺            
(4星)	 10年暑假...上天宽恕我...            
(3星)	 沒看完的            
(3星)	 那时陈妙瑛正当时 宣萱还是脸嘟嘟的唐思            
(NA)	 不太记得了。            
(4星)	 一般般a            
(2星)	 我記得那時候和表姐擠被窩里不敢看，哈哈            
(5星)	 只要是破案我都爱            
(4星)	 喜欢            
(5星)	 最后两个都娶了，多和谐            
(4星)	 没看完~胖子的剧集都不错的            
(4星)	 很耐看的洗冤录版本            
(NA)	 欧阳震华  ！            
(4星)	 刚开始狂爱看，把我妈也拉下水；然后突然变成她狂爱看，我开始烦这剧            
(3星)	 还不错，算TVB的上乘之作之一            
(4星)	 這是大二的那年末末推薦的。看的很是投入挖~            
(3星)	 非常好的一部基友片。台词无限基。哈哈哈哈哈，姐笑的开心极了            
(4星)	 以前的TVB            
(4星)	 重溫中特么有愛的片子哦。結尾設計得明明很完美的，但破案不是很嚴密哦咧。            
(3星)	 其实内容挺傻的。。。            
(4星)	 少年百科！            
(4星)	 好看            
(4星)	 好看            
(NA)	 港版宋慈。            
(5星)	 就因为宣萱我就看这个片子，我喜欢！            
(4星)	 棺材崽            
(NA)	 法医好~            
(4星)	 一无字幕古代剧，小累的说。喜欢Bobby            
(3星)	 多少能学到点知识            
(3星)	 造型太傻            
(4星)	 年少回忆。            
(4星)	 很久以前·····            
(5星)	 记得小学时候偷看这个电视,还被妈妈骂...            
(4星)	 不错看的~            
(NA)	 我真的去借了《洗冤录》来看，薄薄一小本。欣赏这种科学态度，虽然现时它已不代表科学。            
(4星)	 古装法医~            
(3星)	 我喜欢欧阳胖子            
(4星)	 不错的剧集            
(5星)	 喜欢这类型的~            
(4星)	 对欧阳震华各种喜欢            
(3星)	 其实现在想起来也不是这么好看的。。            
(NA)	 验尸总动员。。            
(NA)	 好看            
(NA)	 这个应该是初二的时候看的,那时候追得快疯了,天天下晚自习就回家看            
(NA)	 那时候同学很喜欢看.一直没看完整但是我一直对这类片子很喜欢.有些侦探类的.后面还有佘诗曼            
(3星)	  TVB的都一样            
(4星)	 仵作 其实什么名字都好 都不重要 只记得中学的我照着电视在笔记本上记下的步骤  牛血 鸡血 猪血 哪样更像人血呢？            
(3星)	 比大宋提刑官好太多拉            
(3星)	 破案的。神医啊。            
(3星)	 以后的鉴证实录、csi等都是因为看了这个才开始看的，总体来说还好吧~~            
(4星)	 喜欢oo和那个帅气的知县！            
(4星)	 1999年的戏，13年前的啦。真的可以看出TVB编剧和演员、导演等一众的进步。此剧也堪称经典。不过结构看得好清楚哟。            
(4星)	 好看！            
(NA)	 【1999-12-20】            
(3星)	 老哥最爱的宋慈，因为他的强烈推荐才看的            
(2星)	 22集的篇幅里面真正能看的可能只有十集上下，儿女情长占了大部分的篇幅，三角恋甚至四角恋让人无比恶心，人物的感情纠结到死，情节拖沓到死，但是最过分的还是为什么每一个犯罪类的港剧里面都会有一个让人恨的咬牙切齿、特别明显的坏蛋，和一帮子傻老娘们傻老爷们，真可怕，灾难！            
(3星)	 总是不大喜欢这种身份假冒的故事            
(5星)	 童年回忆好加分            
(NA)	 这真让我对TVB失望透顶！            
(NA)	 查漏补缺            
(4星)	 好看死了！            
(4星)	 感怀啊感怀~~~            
(4星)	 挺好看            
(3星)	 还是比不过《法证先锋》啊……            
(4星)	 唐思----宋慈            
(4星)	 不喜欢里面的萱萱            
(5星)	 之后还特意搜了《洗冤集录》来看，我的法医梦啊啊啊            
(NA)	 以前看尸体吓死了 现在。。。唉            
(5星)	 大爱欧阳震华演的宋慈~原来这里就有林文龙了啊~好早时候看的了，现在看起来，原来我也挺爱tvb的，不过很多经典的片子还没有看过            
(3星)	 重新看的时候在16集发现了陈键锋~~~原来他是那个小仵作陈华~            
(4星)	 话说大叔当年还年轻的时候还是走可爱路线的呢~            
(3星)	 儿女情长太多，案子太少，质量也不高，没有恍然大悟之感~             
(4星)	 最后的boss还算有看头            
(3星)	 看了八百次都没看完，次次看个三两集就放弃了，到现在还有四五集没看            
(4星)	 法医鼻祖又得齐人之美。            
(4星)	 两部都很经典。            
(3星)	 开始还可以，后来好拖沓。            
(4星)	 林文龙，你这个披着羊皮的狼！            
(3星)	 聂枫真恶心，朋友的男人也抢。宋慈除了会验尸，人品也不怎么样，见一个爱一个            
(4星)	 最近在翻欧阳的老片来看～            
(4星)	 当年看得我很心惊            
(4星)	 跟着电视看得 喜欢宣萱            
(NA)	 还是第一部好看            
(4星)	 比《金玉满堂》好点            
(NA)	 果排好多戏都有欧阳震华，依家好似唔知去咗边咁。            
(4星)	 原来指纹在那时已经开始做为鉴定之一了            
(4星)	 迷萱萱和欧阳震华的时候租来看的。很耐看的洗冤录版本。            
(3星)	 一夫二妻啊。。。            
(4星)	 小时候我看的时候要有人陪同            
(4星)	 唔错喔~            
(5星)	 赞赞赞            
(NA)	 没仔细看            
(3星)	 破案片,一般了            
(5星)	 Bobby的片都好看            
(5星)	 小虾米！棺材子！野丫头!o !!!!各个爱！必须爱            
(4星)	 欧阳震华啊啊            
(4星)	 好像也没看全。。。            
(NA)	 除了古天乐，和宣萱气场最合的就是欧阳叔叔了。            
(4星)	 宋慈            
(5星)	 经典之一            
(4星)	 结尾的时候有点草率了            
(NA)	 舍友看的，我被看了。震华兄还不错            
(5星)	 超级经典的港剧之一，情节可谓是跌宕起伏、幽默风趣，每一个人物塑造的都独具个性，又很立体、丰富。            
(4星)	 还不错            
(5星)	 个人非常喜欢的类型，很好看，古版鉴证实录            
(4星)	 一个人。。。            
(NA)	 相当好看            
(3星)	 有点拖            
(4星)	 第一部还好，dvd机上看的            
(4星)	 TVB经典            
(5星)	 boby a             
(3星)	 tvb            
(3星)	 港式的推理据虽然不能说逻辑多么好,但闲下来看看还是很不错地~~~            
(NA)	 继鉴证实录之后又一部令我想做法医的剧            
(4星)	 经典之作么，之后几部续集都不错。这类的片子，TVB拍得都有看头，欧阳很可爱。            
(4星)	 小时候看的，当时好像很痴迷，现在仍然很喜欢悬疑剧            
(3星)	 完整了...            
(5星)	 主演长得像我爹            
(4星)	 喜欢唐思~            
(3星)	 比央视版动不动搞得跟恐怖片似的好多了            
(3星)	 反正比第二部好看。            
(3星)	 印象最深刻的是女主角一死死两个            
(NA)	 看过一点            
(4星)	 仅仅记得了这个书是宋慈写的。仅此而已。            
(3星)	 挺好看的法医故事~            
(3星)	 宋慈是法医...蛮好看的...            
(NA)	 一起看的吧            
(NA)	 我承认我超喜欢这部，不过刚开始还不太能接受欧阳震华那个样子。            
(3星)	 挺无聊的            
(3星)	 不错，没新意            
(3星)	 更喜欢大陆的大宋提刑官            
(4星)	 挺好玩~OO不錯            
(3星)	 喜欢这类揭秘死亡真想到剧。            
(5星)	 精彩            
(4星)	 很喜欢看破案的。第一部最喜欢了。            
(4星)	 古版鉴证实录            
(3星)	 不如《大宋提刑官》精彩。            
(3星)	 欧阳这个胖子演的港剧还是挺好看的。            
(NA)	 始终觉得歐陽震華是tvb難得的實力派            
(2星)	 讨厌宣            
(5星)	 真是喜欢BOBBY，演的剧都是我的心水。            
(NA)	 喜欢悬疑             
(4星)	 我喜欢法医系列的电视剧~~            
(5星)	 大爱，因为tvb，因为破案，因为古装哈哈            
(4星)	 每个案子都不错。            
(NA)	 古代悬疑剧            
(4星)	 第1部好看            
(5星)	 就是喜欢欧阳震华            
(4星)	 long time no see!            
(NA)	 主题曲不错            
(4星)	 仵作的故事...            
(5星)	 宋慈有兩位好友，真是幸福啊，還有兩位紅顏知己，不過到後面兩位紅顏知己沒有陪伴他繼續走完人生，到時最後一位佘詩曼扮演的角色，在一起了，這部戲百看不厭！尤其破案驗屍很精彩！            
(3星)	 欧阳震华啊            
(4星)	 法医,案情            
(3星)	 其实是李倩小姐给我讲的印象比较深            
(5星)	 很好看喔～～～            
(NA)	 。            
(5星)	 比起大宋提刑官,人家香港人就是拍得吸引人            
(4星)	 推理片强迫症            
(3星)	 这个貌似出了很多部~~~唉            
(4星)	 比后来的施公12好好多            
(4星)	 宣萱和古天乐，宣萱和欧阳震华，最爱的老搭档~所以最后宋脚踏两条船泥马我气到了            
(5星)	 看TVB是可以增长知识的             
(5星)	 好看死!!!歐陽震華超正點!!!!話說港劇越出越爛...還是以前的經典啊            
(5星)	 TVB最爱的剧，开启了我对法医的无限向往，可惜现在走偏了……            
(NA)	 又是在马桶台看的。貌似结局是左拥右抱？人家喜欢宣萱啦~            
(4星)	None
(4星)	 凑热闹的，有我爱的laughing~            
(4星)	 不错啊            
(4星)	 小时候看的            
(4星)	 那时陈妙瑛正当时 宣萱还是脸嘟嘟的唐思             
(4星)	 很喜欢欧阳胖子，这部算是接触的比较早的tvb的探案剧了，当初看的时候，觉得宋慈各种强            
(NA)	 经典。            
(4星)	 无比喜欢欧阳震华            
(4星)	 记得小时候和别的小朋友一起看，怕得一起窝在一个单人小沙发上。被加班回来的阿姨和妈妈嘲笑了很多年            
(3星)	 好的啦            
