http://movie.douban.com/subject/2310149/	刀马旦
(5星)	 那个时候的陈锦鸿和周慧敏。一个文质恭谦，一个温婉恬美。            
(5星)	 周慧敏-小时的偶像，《红颜知己》太好听了            
(5星)	 就记得那时候陈锦鸿真特么帅！！            
(5星)	 读初中时看过，可惜只看到前几集，俺一直敬佩剧中女主角的坚强勇敢。            
(NA)	 记得我那年才12岁。。。。            
(4星)	 还有人记得这部剧吗？            
(4星)	 很复古            
(4星)	 迷上周慧敏的开始            
(4星)	 好爱的一个电视剧，看完之后对于里面巴赫的那段背景乐，都爱得不得了。爱上陈锦鸿始于这部片。            
(3星)	 童年记忆            
(NA)	 盖鸣晖的反串            
(3星)	 为了防腐剂小周看的，小小个就懂得玉女的概念了哈~            
(4星)	 小时候可喜欢啦~~            
(3星)	 中文台            
(3星)	 周慧敏很玉女            
(NA)	 我就记得周演过刀马旦吧。            
(4星)	 粤剧妆唱京戏=。=罗文cos梅兰芳耶~            
(3星)	 周慧敏主演的电视剧，除了大时代外，貌似就这部还叫的上。            
(3星)	 依稀记得当初的OP百乐大钟千古鸣很有些味道。。。            
(4星)	 TVB很會拍亂世中的情緣，刀馬旦、火舞黃沙、義海豪情……戰亂年代，人性與感情備受考驗。看的時候還只有小學，但這部劇中的百轉千回始終難忘，眾人命運沉浮於世間，就算心已經麻木，身體卻依然知道要掙扎要反抗。另：相比周杰倫寫給李紋那首，我更中意周慧敏唱的《刀馬旦》。            
(2星)	 看的时候超级讨厌周慧敏！            
(5星)	 很好看啊~~~ 周慧敏唱的主题曲很好听~~ 片尾曲也是我爹最爱的舒伯特的小夜曲~~~~~            
(4星)	 周慧敏哎，当年好喜欢。。。            
(5星)	 就给五颗星，哼！            
(4星)	 曾经很迷片尾曲那段京剧唱腔            
(NA)	 陪我妈一起看的            
(3星)	 还有印象。对清纯玉女素来无感，挺喜欢梁佩玲的。            
(5星)	 人生如戏，戏似人生。女人争风吃醋之戏，男人争权夺利之戏，男女情感纠纷之戏。台前幕后，潮起潮落，跌宕起伏，数不尽道不清，念旧情理不清。生旦净末丑，你有你的手段，我有我的花脸，恩怨情仇，消散如烟。人生如戏，切勿儿戏！            
(4星)	 周慧敏的扮相好美呀            
(5星)	 很不错的细腻局因为有我亲爱的梁佩玲            
(3星)	 有陈锦鸿哟            
(NA)	 long long ago            
(5星)	 当时发现周慧敏也演电视剧就惊呆了            
(5星)	 看周慧敏在里面真讓我神魂顛倒            
(NA)	 周慧敏～            
(4星)	 还不错            
(5星)	 美死了            
(NA)	 一部挺深刻的片            
(NA)	 草大帅的儿子挺好玩的            
(4星)	 编剧还不错.            
(NA)	 那时侯全家喜欢谭耀文.已经忘记剧情.但是全有难以磨灭的印象             
(4星)	 很多年前看的。。。梁佩玲演技足以完爆周慧敏            
(3星)	 只记得周慧敏很漂亮，别的都忘了~~             
(NA)	 记得小时候看这部戏的时候讨厌死周慧敏那些死人师姐师妹了            
(NA)	 完全忘记剧情了            
(4星)	 宫保鸡丁            
(4星)	 女子赞歌。八九十年代的tvb总是这么正。            
(5星)	 小时候的记忆，周慧敏好美            
(5星)	 周慧敏和陈锦鸿都是这么爱上的，隔墙听来的情思，石阶上袅袅的戏词。            
(4星)	 上高中看的，觉的陈锦鸿好帅呀。。。            
(4星)	 我記得好喜歡梁佩玲的            
(4星)	 美好记忆。片头《红颜知己》的京剧片段。            
(4星)	 再看一遍刀马旦            
(4星)	 谭耀文好坏啊...            
(3星)	 20            
(4星)	 Vivian太美丽~            
(5星)	 觉得特别感人。            
(4星)	 那时候的周慧敏是有多漂亮哇~~            
(5星)	  也好早的剧哇 不过越早真的越好看            
(NA)	 周慧敏太完美了            
(4星)	 印象里貌似很好看的樣子            
(5星)	 现在去KTV总是找不到慧敏的这首刀马旦 那时看电视剧的时候觉得她好美            
(3星)	 其实我忘记讲什么的了            
(4星)	 到现在我还能哼哼两句那个主题曲……            
(3星)	 動盪的年代            
(NA)	 我反而更喜欢菊笙，心疼她，菊仙的命运比菊笙是在好太多..            
(3星)	 对周MM的唯一印象            
(4星)	 谭耀文变坏变的很经典啊！            
(4星)	 那时的周慧敏真的很漂亮呢            
(3星)	 那时周慧敏红得咕咕冒泡            
(3星)	 记得是拿块肥皂 沓上钥匙嘚形状            
(4星)	 经典死了            
(5星)	 港剧经典            
(4星)	 小学的时候，偷偷起床看            
(4星)	 谭耀文在这里多么的有型啊 有仇必报 爱憎分明 深情款款。。。他的死让四年级的我郁郁寡欢了好几天            
(4星)	 惊为天人的周慧敏~            
(NA)	 依稀还记得好多情节，那时候很喜欢            
(NA)	 小时候好喜欢            
(4星)	 周慧敏很美的。。。            
(4星)	 周慧敏，大美！            
(5星)	 哇靠...            
(4星)	 在那样混乱的年代,爱情真敢奢求永恒~            
(2星)	 谭耀文那时就很阴             
(5星)	 乱世的爱，喜欢周慧敏 美哉            
(4星)	 周慧敏演技蛮好的唉，出乎意外            
(4星)	 三星给谭耀文，一星给美貌的周慧敏。很喜欢#谭耀文#的小路子，小时候就喜欢，大爱！            
(NA)	 最初的记忆            
(4星)	 那些年少时的日子，演员也是如此的青涩。            
(4星)	 小时候很喜欢，还因为这部剧知道了舒伯特的小夜曲            
(4星)	 天天为了看这电视，洗脚洗一个小时。彼时的陈锦鸿正是最好的时光，戴上眼镜，说不出的温文尔雅            
(4星)	 小时候的记忆            
(5星)	 天安门，紫禁城，永乐大钟千古鸣            
(4星)	 小时候可算是被虐惨了的            
(4星)	 我也有我的&#34;小四喜&#34;..   能流畅地重温小时候东拼西凑也看不全的电视剧就觉得恍然又高兴            
(4星)	 因为这部剧喜欢上了陈锦鸿，当时整个一正太啊，现在有些惨不忍睹啊            
(5星)	 萬千寵愛！！！            
(4星)	 重溫了一遍 很喜歡主題曲 童年回憶吶            
(NA)	 因此知晓周慧敏~绝对美艳~            
(4星)	 周慧敏真漂亮，主题曲真好听！            
(5星)	 超喜欢！            
(4星)	 玉女掌门。            
(3星)	 就是结局没体~！            
(NA)	 天安门　紫禁城　永乐大钟千古鸣     十三陵  大前门　香山红透枫叶林            
(4星)	 主题曲好明显占据很大位置啦            
(4星)	 周慧敏            
(NA)	 周慧敏很靓很善良，梁佩玲很坏，男一帅啊帅，爱情很美好            
(5星)	 为了看大结局哭着求daddy的记忆到此时还是历历在目啊~            
(NA)	 周慧敏，很有灵气的说。《刀马旦》中周慧敏唱的《红颜知己》里面的一段京剧唱腔是来自于京剧梅派女师李胜素音色圆润优美的演唱。。。。。。            
(5星)	 红颜知己            
(4星)	 当年爱极“天安门，紫禁城，永乐大钟千古鸣”。            
(3星)	 小时候和外公看的这部电影~时隔久远~~在今后的日子里 如此的讨厌京剧的根源就在这部电影里  刀马旦啊刀马旦 现在依然对京剧表示各种不喜欢            
(5星)	 看了不下五遍吧~特别喜欢那个时候的陈锦鸿和周慧敏            
(4星)	 周慧敏诠释了何为“秋水为眸”，我心中永远的女神，不解释。梁佩玲一如既往的倔强和坚强，可惜早已销声匿迹。有些夸张的剧情却打动我心。            
(4星)	 剧情设定不错            
(4星)	 当年还学唱主题曲！            
(5星)	 何止是四星。如今的年岁看已然与童年的感觉多了几层意味。时局动荡，情却始终如一。重看发觉菊笙小路亦有让人可惜之处，吴优与菊秋也是很可爱的一对。            
(5星)	 只记得她很美            
(4星)	 里面的歌曲也是不错的            
(3星)	 记得是初中电视台重播时每天中午边吃饭边看的，没有什么特别印象，就觉得周慧敏很漂亮            
(4星)	 好老的剧，就看过一次。剧情很纠结            
(5星)	 ！！！！！！            
(4星)	 我也看过周慧敏的。            
(3星)	 年代戏加上京戏名角的悲欢离合总让人顿生苍凉感            
(5星)	 周慧敏至靓女 陈锦鸿至型的一部剧  主题曲好动听            
(5星)	 那时候可喜欢了            
(4星)	 这个简直就是周慧敏的代表了，很不错！            
(4星)	 京剧！京剧！北京梦！！北京梦！！！            
(NA)	None
(4星)	 很小的时候看过。剧集的播放在某天突然中断，那段时间电视里放的全是法轮功的事情。            
(NA)	 小学看过，很怀旧            
(4星)	 小时候觉得这部剧超级好看，周慧敏那么美，一群因为京戏而结缘的女子            
(4星)	 早期的很多港剧都觉的拍的还可以啊。            
(NA)	 ……            
(NA)	 也是很久以前看过，其实很好看；特别是那首红颜知己很有味道            
(4星)	 以前也是读初中时看的，现在重温还是那么喜欢周慧敏，其实在戏里喜欢了菊仙的那个由谭耀文影的那个小子，其实能爱得那么专一也不错，当然还是互相的爱比单一的爱要好些            
(5星)	 慧敏最漂亮 爱死她了            
(4星)	 周慧敏，玉女啊！当时很喜欢她呢！            
(4星)	 当年很爱            
(3星)	 只记得周慧敏很美            
(4星)	   很虐恋~            
(4星)	 当年冲着玉女宗师去看的，太爱了。结局忘了，好像没看完。。            
(5星)	 很好看的这片子            
(5星)	 周慧敏很漂亮。            
(4星)	 偏执的爱死周慧敏，讨厌梁佩玲，从此以后，对任盈盈无感！            
(5星)	 周慧敏实在太漂亮了！            
(5星)	 不大记得了            
(3星)	 看到最后才知道是革命剧            
(3星)	 周慧敏很美。            
(4星)	 岁月的印记            
