http://movie.douban.com/subject/1830528/	三国演义
(5星)	 唐国强的诸葛亮是永远无法被超越的了~~            
(5星)	 鲍国安演的曹操真是神了。对新版三国完全不报任何期望，最后无非是部哗众取宠的烧钱作，非常无聊。            
(4星)	 滚滚长江东逝水，浪花淘尽英雄。黯淡了刀光剑影，远去了鼓角争鸣，眼前飞扬着一个个，鲜活的面容~~            
(4星)	 从此我心中的诸葛亮就长这模样。。。            
(5星)	 爸爸            
(5星)	 虽然技术放到现在不算很好，但是很经典。。。《三国演义》毛版的书前题词《临江仙·滚滚长江东逝水》被拿来当主题歌，再加杨洪基老师的演唱，喜欢~            
(4星)	 鲍国安。            
(5星)	 演员选得好啊，尤其唐叔的诸葛让人不得不爱，秋风五丈原那集哭得死去活来，此后每每不忍见到。少时不知神不神话，只料定做官都该如此鞠躬尽瘁死而后已，比如孔明比如恩来。            
(4星)	 吴导啊，咱别赤壁了，好好学学三国演义怎么说人话吧～            
(5星)	 此片耗费巨资，时间之久，规模之大都前所未有。拍摄制作人员历史责任感强，完全尊重原著，人物形象塑造成功，自始至终，布景逼真场面宏大，整片气势磅礴，波澜壮阔，外加配乐优美，乃国产电视剧中不朽之作。            
(5星)	 在看            
(4星)	 小时候听不懂，等有机会重温一下            
(5星)	 两字：经典。            
(5星)	 只爱诸葛跟关羽。            
(3星)	 一般            
(4星)	 在对战争艺术想象力有限的人这很不错了。            
(4星)	 我前阵子又重新看了一遍            
(5星)	 初中时经常谈论            
(NA)	 最最最喜欢的电视剧，，，最喜欢的一本书，，，，，            
(5星)	 已经不记得了。。            
(5星)	 最贴合内心人物形象的三国！！！            
(4星)	 不错。            
(NA)	 还是书更好看～            
(5星)	 其实想完整再看遍            
(4星)	 很可惜，最后一集没看着，那天该死的CCTV居然一晚上放了两集，还把第二集放到了10点多。那是我上初中的时候            
(4星)	 ★★★★ 其实演得还是挺有那股劲儿的。曲子做得也蛮好。            
(4星)	 对七擒孟获那部分的大场面记忆犹新。。。            
(5星)	 没看全，太多集了。。。            
(5星)	 四大名著中我的最爱            
(3星)	 潘粤明非常细小客串            
(5星)	 百看不厌，我爱三国            
(4星)	 不错,经典,估计很难再超越了            
(3星)	 糖果强。            
(5星)	 童年的我曾是多么崇拜诸葛亮啊。。。。。            
(5星)	 基本上每年看一次            
(1星)	 最没有勇气的改编，最呆板的电视剧。            
(5星)	 滚滚长江东逝水            
(2星)	 迂腐。            
(5星)	 跟着我爸没少看。。。            
(5星)	 小时候在你们都喜欢刘备的时候，我就喜欢曹操了            
(3星)	 挺尊重历史的。但是演的和制作都很烂。            
(3星)	 我讨厌刘备！            
(4星)	 一言难尽            
(4星)	 滚滚长江东逝水~~~~~            
(5星)	 爱3            
(5星)	 一百星            
(4星)	 这个诸葛丞相看着还是很不错的~            
(4星)	 没看完，有空再看吧            
(5星)	 全凭当年的感觉 期待新版本的。            
(2星)	 花大价钱拍出来的广播剧。            
(4星)	 看了没有十遍也有八遍了            
(5星)	 一个词：经典            
(5星)	 四大名著中最爱的一部，改得也还算争气~            
(5星)	 我想这片子我还是看过的！            
(NA)	 小学的时候每天晚上我总是搬个小板凳准时收看CCTV1~~~            
(4星)	 唐国强爷爷很强大……            
(4星)	 再加把劲，能拍得更好，不是说他不好，因为三国实在不好拍            
(5星)	 &#34;滚滚长江东逝水&#34;            
(4星)	 看电视 赏名著。            
(5星)	 经典是不容磨灭的。            
(5星)	 鲍国安演得没得说            
(5星)	 历史,总是我喜欢的.要站在一个大的角度去看待三国.            
(5星)	 老豆最中意看            
(5星)	 一有现在新版相比，这个简直是又复古又美丽啊~            
(5星)	 3年級時看的            
(3星)	 看了一点点，装腔作势的大陆人            
(3星)	 就是土太大            
(NA)	 时在武汉            
(NA)	 我爹喜欢看..记得每日都是在毛阿敏大妈唱完片尾曲的时候我说.我吃饱了...            
(NA)	 每每看到诸葛亮嗝屁我就看不下去了……泪奔            
(NA)	 没看完            
(4星)	 经典的题材，经典的剧集。我小时候的那版。            
(NA)	 94年            
(3星)	 四大里面儿第三喜欢的            
(5星)	 经典的是三国鼎立前的一段            
(NA)	 跟爸爸一起看的            
(5星)	 一口氣看完，需要一個特定時段。            
(5星)	 几乎覆盖了我整个少年            
(NA)	 那个时候的可都是经典啊            
(5星)	 眼前飞扬着一个个鲜活的面容...            
(5星)	 这部戏越看越有味道。剧本、演员、道具、场景都是一流的。            
(5星)	 滚滚长江东逝水，浪花淘尽英雄。经典中的经典。            
(4星)	 顺势 野心 求才 明主 隐忍            
(5星)	 我看过最好的电视剧            
(5星)	 90年代真是中国两岸三地的电视剧的黄金年代，各种经典层出不穷。大陆首推这部三国演义。毛阿敏的主题曲也是极好。            
(5星)	None
(5星)	 就是这个味儿，古典、霸气、英雄该有的都有了            
(4星)	 片头片尾的音乐都好极。            
(5星)	 好长啊！！！            
(4星)	 小时候被这部电视剧和原作小说迷得要死，不过小说原作再被美化吹捧到什么程度，也改变不了它开启了堂皇地篡改和编造历史的事实            
(5星)	 中国目前为止最好的电视剧了            
(5星)	 46 59 71            
(5星)	 为什么我觉得三国的空气就该是这样的？            
(NA)	 初中看完原著不甘心，又把电视剧找来看一遍。。。            
(5星)	 小时候经常跟着爸爸看，当时却也看不懂，重温下经典。            
(4星)	 无需多言~            
(5星)	 老三国如此的让人不能忘怀~或者吾命天机?            
(NA)	 当时其实看不懂。。就一直看一直看。。            
(NA)	 充其量听过片头片尾曲            
(5星)	 这个不错的。就是文言文太难了。            
(4星)	 以前觉得这片子烂到掉渣，现在看看新版，怎么也好意思拿出来放？！还是给小朋友看老版吧。            
(NA)	 小时候看过点点            
(5星)	 再拍长一点就好了            
(5星)	 从小看到大，一直大爱老版            
(5星)	 老版让我抱你的大腿吧！【哭】            
(4星)	 不给5星，是因为还想让它更好。            
(5星)	 话说天下大势分久必合  ~·合久必分~~            
(3星)	 不管怎摸说，总是拍下来了            
(5星)	 很好很好。            
(5星)	 不会再看任何新版的了            
(5星)	 昨天看动画片时想起来的 再来看看 经典~~~            
(4星)	 太长了，我也就看过三分之一            
(4星)	 三国是我看得最闷的世界名著~            
(5星)	 大片啊~~~~小学毕业考，我要看，我妈不准，我爸帮我~~XDD            
(3星)	 我真的是不太爱看这个片子，尽管我爸爸还群众演员过赤壁那一战            
(4星)	 大爱这版诸葛大神~            
(4星)	 我不认为GXX能超越……            
(NA)	 跟没看过似的，我得再回味一遍~            
(5星)	 其实我小时候最喜欢的不是红楼梦 是三国=。=            
(5星)	 因为是历史，所以无法超越～            
(4星)	 还是很正的            
(3星)	 闷            
(NA)	 我们全家一起看的剧目之一            
(4星)	 里面出现不多的女人，貂蝉啊小乔啊都好漂亮。            
(5星)	 比《赤壁》好看多了。            
(5星)	 最经典的版本，唐国强的身影永在我心中~            
(5星)	 鲍国安的曹操，陈红的貂蝉，何晴的小乔            
(5星)	 不错的            
(5星)	 小时候就爱看~那时觉得诸葛亮就是神呃~            
(4星)	 现在觉得，里头的那些人太帅太有风度了~            
(4星)	 没办法，这是三国演义            
(5星)	 还记得小时候，缝纫机旁的彩色电视机。三国演义就在那放着了，那承载着我童年的记忆。我那时候无法说清楚他真的怎样，现在重头断断续续地看，依旧是经典。经典。            
(5星)	 经典..            
(5星)	 古今多少事，都付笑谈中。            
(5星)	 这个还用说吗？经典！            
(5星)	 虽然三国演义里面周瑜被拿来当诸葛亮的陪衬了，但是这个版本里面洪宇宙演的周瑜我非常非常喜欢~~            
(NA)	 那时一定没看懂            
(5星)	 我最爱的大陆连续剧。国产还是拍这种最有味道啊            
(5星)	 最爱曹操和周瑜            
(NA)	 看过之后，始终坚信，不会有电视剧再复杂过它了            
(5星)	 孔明            
(3星)	 跟书比起来还是差多了            
(4星)	 四大名著里最喜欢三国            
(3星)	 经典的三国演义。            
(4星)	 [昔日所看]            
(4星)	 劉備賣席匹夫而已 焉能與孟德媲美            
(4星)	 书．．            
(2星)	 把诸葛亮演的跟GAY似的，经典个蛋！            
(NA)	 当时每一集名字都记下liao~            
(5星)	 分久必合，合久必分            
(4星)	 人物的塑造如果不是后无来者，那肯定是前无古人的。还有歌曲，无一不是经典。现在我还能静下心来，看这样慢吞吞文绉绉的片子吗？80集，多少心血在其中。。。            
(4星)	 那时候天天和老爸一起看            
(5星)	 演员都不错啊..印象最深的是曹操和诸葛亮            
(4星)	 中国大陆            
(5星)	 怎么翻拍，这部都是最好的。            
(4星)	 滚滚长江东逝水张飞说：“曹操卧槽泥马！”            
(5星)	 四大名著中，这是拍的最好，最有历史底蕴的一部。以后恐怕不会再有那个组织拍出如此之壮阔历史了。            
(NA)	 高级货            
(4星)	 翻拍就得死！但是这部拍的有点傻。==            
(NA)	 只能我负天下人，不能让天下人负我！            
(4星)	 这个是经典            
(5星)	 我的曹操！            
(3星)	 还可以            
(4星)	 最喜毛阿敏版的片尾曲            
(NA)	 经典。。。经典。。。            
(5星)	 人物，事件都很细致，唐国强那个灵啊~            
(5星)	 本人最爱电视剧，不带“之一”的。            
(NA)	 小学时看得。至今有时候去K歌还会偶尔听到人唱它的主题曲            
(5星)	 真的很不错，经典的电视。看完也够累的，花了我10天。罗贯中写这部书必定累得很那~~~            
(3星)	 羽扇纶巾，谈笑间，樯橹灰飞烟灭            
