http://movie.douban.com/subject/3041557/	真情告别
(NA)	 这剧让我对倪景阳印象深刻 这妞 当时看太有范儿了            
(3星)	 续集。            
(5星)	 我一直觉得瞿颖和胡兵是绝配啊            
(2星)	 怎么比真情告白差那么多！            
(2星)	 恶            
(2星)	 失望了。            
(3星)	 妈呀我到底还看过多少！！！            
(3星)	 当时还是很喜欢看的～ 瞿颖那时候真的土啊但还是很纯的            
(3星)	 很喜欢张亚东的曲子，嗯，浓浓的张亚东的味道啊，胡兵唱的就不砸了            
(NA)	 补遗               
(3星)	 没觉得他两多配诶            
(2星)	 上海白领折腾记.....            
(1星)	 胡美丽不是一般恶心，还拉个哥哥胡东            
(1星)	 烂尾了            
(3星)	 其实满好看的，瞿颖满漂亮的            
(4星)	 从前很爱啊            
(3星)	 第一次认识了保剑锋………………            
(1星)	 大妈大叔省省吧！            
(3星)	 没有前面的好看            
(3星)	 这一对模特男女哟            
(3星)	 也是小时候看的            
(4星)	 当时我还觉得胡兵在里面挺帅的            
(3星)	 还是刚上初中时候看的吧            
(4星)	 好玩，湖滨唯一好玩的电视剧，虽然演技很差            
(3星)	 不想受约束才故意不带表.喜欢每天穿的外套....胡兵唱歌真不咋地...            
(NA)	 好像跟《真情告白》是一系列的 但我还真想不起讲什么了 囧            
(2星)	 恶，简直侮辱真情告白。            
(2星)	 记得是2个人搞杂志 真他妈假的内容            
(2星)	 很傻 除了演员们的衣服好看之外 一无是处            
(NA)	 这几个玩意我一个都看不上            
(4星)	 那時候我還多喜歡瞿穎和胡兵的………            
(4星)	 当时觉得特别好看啊~            
(3星)	 歌！！那歌好听！！！有年过年通宵看的！            
(5星)	 实话当年大爱这个片子            
(3星)	 那时候真的喜欢看            
(3星)	 男女主角的演技让我接受不了啊            
(2星)	 老早以前看的            
(3星)	 瞿颖傻乎乎还挺招人喜欢的，那阵跟胡兵看着还是金童玉女，然后胡兵就出息了…            
(4星)	 记得好蛮好看的~            
(3星)	 哈哈，陪我妈看的～            
(4星)	 神马时候看的？            
(NA)	 以前看的时候喜欢的要死啊            
(4星)	 哎呦喂～兵哥你真意思遭精你亲哥～            
(3星)	 那个年代啊。。。。            
(3星)	 就记得 里面 胡兵的歌 有一句 人山人海 好的我才爱            
(1星)	 完全没有第一部好看            
(3星)	 青春啊~            
(NA)	 胡兵是泰国籍的~~哈哈哈哈哈哈哈哈哈哈哈哈哈哈和哈哈哈哈            
(3星)	 那时候胡兵不是和瞿颖在一起吗？            
(4星)	 怎么着咱曾经喜欢过            
(NA)	 瞿颖~~             
(1星)	 做作做作做作            
(3星)	 当时是好喜欢胡兵和瞿颖啊            
(4星)	 看过，那时喜欢的···！            
(NA)	 对真情告白的影响最深啊            
(NA)	 已经没得耐心看结局 最讨厌女主角那种软绵绵 老好人的性格            
(3星)	 保剑锋和倪景阳，一对很搞怪的冤家CP。            
(NA)	 话说小时候看过了不少的电视剧。。            
(NA)	 当年真的好喜欢好喜欢啊！！！充满着对魔都的憧憬啊！！！乃至后来一直觉得“夏日香气”是抄袭这的。。。            
(1星)	 当年这三个人的组合祸害了一堆电视剧。。。            
(3星)	 还是原版的couple好，剧情坑爹也是好...            
(3星)	 那段时间这两个主演都挺红的，那时上学坐车还看到胡兵在街上拍戏。就戏本身没什么印象了。            
(5星)	 O(∩_∩)O哈哈~            
(NA)	 真胡闹，真情告白之后再告别。            
(3星)	 小经典了。            
(3星)	 我看过这个我看过这个。。。救命啊= =            
(3星)	 一直觉得男主的名字很非主流~            
(3星)	 童年就这样被摧残了。            
(3星)	 小时候觉得不错啊~            
(3星)	 多少年前的了啊            
(3星)	 不及“真情告白”经典。            
(3星)	 当时不知怎么花痴起了胡兵一阵特意找着看完的，里面知道了easy和登喜路啥的，而且胡兵经常穿白色衣服有耐脏的感觉，好帅            
(NA)	 当时看过这部剧后 把胡兵视为理想型 O(∩_∩)O哈哈~             
(3星)	 小时候看的！！！印象还蛮深刻的……            
(2星)	 除了大家长的还不错之外……没了……对了，不得不说，倪景阳真酷呀！！真酷！            
(2星)	 第二部是真的歇逼。。            
(4星)	 那个时候的时尚都市剧嘞            
(3星)	 就记得最后一幕，在加拿大的雪地里吧？            
(3星)	 那个雪山美            
(3星)	 话说我当时还因为那剧情恍惚了好几天，现在想想也不过如此……            
(1星)	 小的时候就觉得发展很不合理。            
(5星)	 第一次感受快餐感觉。。清晰记得福建东南，全天播放，看了两天半，好像差个结局没看完，周一回学校了。            
(3星)	 看过一点，没第一部轻松            
(3星)	 想当年的银幕情侣            
(4星)	 当时那个喜欢啊……而且当时我跟穿越了一样，总觉得看的那集已经看过了，都知道剧情怎么发展的……里面还有我喜欢的倪景阳和后来终于出名的保剑锋~发现的时候着实吓了一跳呢~            
(3星)	 小时候迷的不行            
(4星)	 四星给保剑锋            
(3星)	 真脚的他2挺配的..pity,,gay~            
(4星)	 当时蛮喜欢的啊            
(3星)	 情节我真记不得了~            
(3星)	 小时候觉得瞿颖长得还行            
(3星)	 好老的电视，8过当年还挺迷的，嘿嘿            
(4星)	 当时很喜欢，现在想想，剧情无比狗血啊！！！            
(5星)	 Perfect！有很多回忆~            
(3星)	 当年的胡美丽还是很美好的。            
(3星)	 真情告别时，这片挺时髦的。            
(4星)	 倪景阳和保剑锋二度合作            
(3星)	 只记得高，帅~            
(2星)	 跟真情告白简直不能比 造型也不行            
(3星)	 寻找童年记忆= =。。。            
(3星)	 当时少有的关于时尚职场的剧啊            
(2星)	 装嫩装白痴            
(3星)	 。            
(3星)	 不如真情告白好看            
(3星)	 掉入俗套了。。。不过那时候真的很希望胡兵和瞿颖真的在一起。。。如今。。。物是人非了。。。            
(5星)	 保剑锋和演佩佩的那个女生还在里面当配角呢            
(5星)	 金童玉女啊。            
(3星)	 倪景阳这妞 太有范儿            
(2星)	 不如真情告白好看            
(3星)	 看了真情告白，就以顺便看了这个，虽然这两部戏在剧情上没什么关系            
(3星)	 老早以前看的            
(1星)	 很难看            
(5星)	 初中时候为了他，期末考试前一天还在看，真是无敌呀            
(3星)	 我不懂，为什么国产片的海报都这么地……            
(2星)	 变味了            
(2星)	 还有续集？            
(4星)	 初中的时候 总是跟我妈一起看的 启蒙时尚片 什么叫上海、杂志、法语、加拿大 还有不少明星都是这个捧出来的吧             
(4星)	 小学四年级大伙儿一起追过的剧集呀！            
(3星)	 真情告白姊妹篇            
(2星)	 没有印象            
(4星)	 当年他们还是一对的吧？            
(4星)	 那个时候觉得他俩 好配啊~·            
(3星)	 差点就忘了……            
(NA)	 胡兵和胡东是兄弟这件事我至今都无法接受            
