http://movie.douban.com/subject/2287264/	末代皇孙
(5星)	 剧好 主题曲更好            
(4星)	 哦煽情的鬼迷心窍啊可怜的小宝            
(4星)	 春风再美也比不过你的笑            
(5星)	 有人问我你究竟是哪里好，这么多年我还忘不了，春风再美也比不上你的笑，没见过你的人不会明了……            
(4星)	 小时候看的，每天和妈妈一起看，有吻戏的时候妈妈就叫我拿杯子捂住脸，其实都在偷看            
(5星)	 小时候超爱啊。主题曲李宗盛的《鬼迷心窍》。            
(4星)	 我只记得如意很漂亮~~~            
(NA)	 歌曲印象深刻~~            
(NA)	 只记得剧情之混乱复杂让人想砍死编剧            
(4星)	 杨佩佩的经典片子之一            
(3星)	 不错            
(5星)	 片头曲鬼迷心窍百听不厌            
(NA)	 鬼迷心窍            
(5星)	 超喜欢！电视还有主题曲~！            
(4星)	 这小时候看的，只记得一点情节了，突然找到有点开心            
(3星)	 剪不断理还乱            
(5星)	 只想再看一遍。。。            
(NA)	 主题曲《鬼迷心窍》            
(4星)	 如意如意，当年的周海媚多美            
(NA)	 只记得《鬼迷心窍》            
(5星)	 突然想起这部剧，《鬼迷心窍》啊            
(NA)	 狗血            
(4星)	 好人很迂腐很纠结，坏人很好运…狗血片必备元素。。也许是演员所以看了下来，对老片总是有宽容的态度..主题曲和片尾曲为片子增色太多~要是小时候看肯定要感动的一塌糊涂，现在是质疑这种爱情。早已不相信一生只爱一个人了，所以说这是种古典情怀啊。海味扮丫头是曲玲珑的时候最有爱，小宝男装好~            
(4星)	 小时候看了很多次得。            
(4星)	 小时候看            
(5星)	 春风在美也比不上你的笑没见过你的人不会明了            
(NA)	 主题曲呀。。            
(NA)	 末龙 鬼迷心窍            
(5星)	 周海媚在里面太美了            
(4星)	 片尾曲印象很深。            
(4星)	 当年看过两遍            
(5星)	 小时候在松江亲戚家看的。原来那时候松江的电视台和我们市区播放的节目完全不一样的。新白娘子传奇首轮一天就可以放4集。而且，亲戚小孩子普遍都是晚上12点以后睡的，这在于我是完全不可思议的。我妈逼我8点半睡觉。            
(5星)	 记得小时候就比较爱看这部剧，可是许多情节早就不记得了。前些天终于又有机会再完整的看一遍了，嘻嘻，因为它，头一次试过了一夜不睡坐在电脑前面，随着一集集剧情的展开，心中被一种情感渐渐填满，想到了很多小时候看过的影片剧集，一些现在或许早就淡出影坛的名星们永远都是我们这些80后偶像……            
(5星)	 只要一听到鬼迷心窍这首歌自然会想到末代皇孙这个电视剧            
(4星)	 小时候看的，感觉男女主角一度没希望在一起了，还好最后还是在一起了，对主题曲印象很深，后来才知道是李宗盛的《鬼迷心窍》            
(3星)	 顿觉我的童年是在偷看电视剧中度过……                  
(3星)	 儿时记忆            
(4星)	 男女爱的真的好恼火……，哈哈。主题歌不说了，永远的经典。            
(4星)	 “请观赏 末代皇孙”            
(4星)	 小时候喜欢的呐            
(NA)	 消失的恋人，痴情的男主            
(5星)	 《鬼迷心窍》这首歌一直记忆犹新            
(4星)	 妈妈很爱看这类型的戏，我是陪她看的，不知道记忆有没有出入最后好像是小宝牺牲了自己成全了男女主角，因为想到她我一直都不认为这是个完美的结局！主题曲经典！            
(4星)	 主题曲是李宗盛的《鬼迷心窍》耶！            
(4星)	 有人问我你究竟哪里好，这么多年我还忘不了            
(3星)	 主题曲是李宗盛大哥的鬼迷心窍吧            
(NA)	 记不清楚了，不过有些片断我印象深刻            
(4星)	 好看呀。怎么小时候的片片都这么好看呀。片尾曲《冲不破情网》哼了多年。            
(3星)	 罗慧娟  鬼迷心窍（李宗盛）            
(4星)	 鬼迷心窍。。。。            
(3星)	 很小的时候，妈妈看的，我只觉得周海媚好漂亮呀~~~~~好在我还记得周海媚，不然那种完全没有关键字可由于小时候在心中留下阴影的片子怎么还搜得出？强迫症神马的就是这样……            
(3星)	 鬼迷心窍：…春风再美也比不上你的笑…。怀旧老片。            
(NA)	 唔，那时候不喜欢，可是而今一回想，太好了            
(3星)	 整部电视剧都凄凄惨惨的……            
(4星)	 被鬼迷心窍勾起的儿时回忆。曲折执着的爱。appriaticial..            
(NA)	 小时候            
(NA)	 鬼迷心窍。            
(5星)	 剧情很纠结，人物命运很曲折……            
(NA)	 主题歌……            
(5星)	 小时候看的啊，恋恋不忘，终于找到这部片子的名字了。记得周海媚，记得谢祖武，却忘了黄日华。还以为是马景涛呢。            
(4星)	 为了小宝落泪            
(4星)	 痛苦的青蛙~~~            
