http://movie.douban.com/subject/2230669/	我的野蛮奶奶
(3星)	 阿姐演疯婆婆，真蹉跎，黄宗泽好像谢君豪            
(NA)	 leelee的TVB豆单总算添完，推荐http://movie.douban.com/doulist/150442/            
(5星)	 小时候看了四五遍都没厌            
(3星)	 无耻了只看了半集也收藏一下. 黄宗泽哦`~            
(3星)	 蛮好玩的。            
(NA)	 我是被迫在旁边看的。。。。。。。            
(2星)	 超不喜歡胡~            
(5星)	 TVB很有才            
(3星)	 從頭罵到尾。            
(3星)	 这个蛮好玩~            
(4星)	 引用彩云的话：我笑得肚子都弯了。。。            
(3星)	 很少看tvb古装。            
(4星)	 如果沒了胡小姐,這劇肯定值得評5星            
(2星)	 多看一次之后就知道它的无聊 石修太好了！            
(4星)	 欧，胡囧囧            
(4星)	 黄宗泽从这一刻开始红下去~            
(3星)	 胡杏儿……哎            
(3星)	 2009.2.15            
(3星)	 我接受前半部~            
(3星)	 不知为什么，对这部不感冒            
(3星)	 末路的港剧的回光返照。。            
(4星)	 这个挺逗的            
(4星)	 轻松 诙谐幽默            
(3星)	 怎么都没法喜欢胡杏儿；我妈居然很喜欢            
(3星)	 还蛮有趣            
(3星)	 消遣看看            
(5星)	 好搞笑葛..            
(NA)	 看在我无聊到去看港剧的份上...还要听见鬼的普通话配音...            
(4星)	 现代那部也好笑            
(3星)	 看见胡杏儿我就纠结~不过阿姐挽回不少分数。时装的就差远了。            
(3星)	 完全是为了看汪明荃。胡杏儿真的丑。            
(NA)	 BOSCO~            
(4星)	 还挺好玩的，虽然有点夸张啦。            
(1星)	 汪明荃现在怎么了            
(4星)	 超爱黄宗泽。            
(4星)	 小春春.............            
(4星)	 虎头蛇尾了            
(3星)	 不喜欢胡杏儿,但喜欢黄宗泽.有些地方很好笑。            
(3星)	 很早以前看的，现在也很记不清楚了，不过觉得只要不碰上这样的婆婆就万事大吉了            
(3星)	 年少回忆。            
(4星)	 好看啊！喜欢胡杏儿            
(1星)	 雷            
(4星)	 很有意思~~            
(NA)	 很好笑蛮有意思，港剧就是不拖泥带水。拍了两部，都没看全，但还蛮有趣的。            
(4星)	 不错不错哟             
(4星)	 心情不好时候看真的很好笑            
(4星)	 最后的结局狗血得要死了。。。。            
(3星)	 羡慕羡慕  单纯的男子 简单的爱            
(NA)	 胡杏儿不美，但是够可爱。            
(3星)	 老人家受苦总是让人掉眼泪..            
(NA)	 百折不挠            
(5星)	 就是因为这部片子喜欢Bosco的～～            
(4星)	 Bosco，Bosco~~            
(3星)	 好搞笑~胡杏儿虽然丑了点，演古装还是挺可爱噶~            
(1星)	 不喜欢...            
(4星)	 打发时间看，有意思            
(4星)	 就是很轻松 很搞笑 不过胡杏儿可真丑            
(3星)	 男，女主都不喜。            
(5星)	 很久没有那么搞的古装剧了！            
(NA)	 很可笑啊            
(4星)	 黄宗泽和胡杏儿真的很般配            
(4星)	 Bosco饭。            
(3星)	 黄宗泽             
(3星)	 蛮好看的.特别是胡杏儿.泼辣的时候文静的时候都很可爱.            
(NA)	 花痴茂春！            
(4星)	 还好，比较搞笑            
(3星)	 2005            
(NA)	 哈哈这个老嘎老嘎了。            
(4星)	 我最近才知道胡杏儿和黄宗泽走在了一起啊。            
(NA)	 【2005-07-18】            
(4星)	 虽然这部戏的演员都不喜欢，特别是汪明荃，不过真的挺好笑            
(4星)	 胡杏儿 就这个系列我喜欢 虽然开始觉得不好看 后来越看越顺眼了             
(NA)	 我居然……看得下去……            
(5星)	 五星 因為我是澤杏粉 澤杏澤杏澤杏 ＝W＝            
(3星)	 剧情老套，但很欢乐~喜欢黄宗泽~            
(4星)	 还是蛮欢乐的……            
(5星)	 喜庆~            
(3星)	 一起野蛮。            
(2星)	 唉，丑毙了黄宗泽。。。            
(3星)	 大姐汪明荃领着新一班TVB花旦小生            
(3星)	 原来我看了那么多港剧。= =            
(3星)	 所有人都二了吧唧的            
(4星)	 特别喜欢宁茂春。            
(NA)	 我喜欢黄宗泽演的宁茂春。            
(4星)	 当年安徽卫视天天放～            
(3星)	 补            
(4星)	 如果从剧情来讲我是比较喜欢古装版的，也是因为这部电视剧，我开始觉得黄宗泽是有点帅的模样。            
(5星)	 胡杏儿吹水墨画那段把我笑弯了。            
(4星)	 挺逗的，稀罕黄宗泽！！！            
(3星)	 有点扯            
(2星)	 受不了汪明荃            
(4星)	 古装版比较经典。            
(3星)	 前半部多搞笑的，后半部就有些腻味了……            
(3星)	 要是没有汪明荃，俺真的不晓得看什么            
(5星)	 配死了！            
(3星)	 现在还在演...            
(3星)	 我总算看玩鸟，前面好玩后面不好玩            
(4星)	 十一啊，你家茂春好帅            
(4星)	 被Bosco的古装迷住了            
(5星)	 喜欢得不得了。貌似从这部剧开始接受胡杏儿的。            
(4星)	 小面人，哈哈哈哈            
(4星)	 就喜欢胡杏儿怎么地。            
(4星)	 黄宗泽怎么什么范儿都有^^            
(5星)	 超搞笑的，消遣时候的好片            
(4星)	 大爱黄宗泽啊,看到他和胡杏儿心情就好~~             
(NA)	 电视上放滥了,还真是不太喜欢,但也看了,谁让电视台就放那么两部港剧呢            
(4星)	 我觉得比2好看            
(4星)	 搞笑            
(4星)	 还蛮搞笑的！~            
(3星)	 很吵 很闹 看完我脑袋嗡嗡的 婆婆和媳妇 长的都很香港 真的很香港~            
(3星)	 P.S. 黄宗泽            
(4星)	 不留名真是帅            
(4星)	 发现黄宗泽了。            
(4星)	 以前看的，纯添加……            
(5星)	 非常搞～            
(3星)	 以前看过一点。不太喜欢。            
(4星)	 还是古装的好看。            
(2星)	 汪明荃和胡杏儿两个人的演技是最差最讨人厌的            
(4星)	 第一部的黄宗泽帅的不行。            
(NA)	 胡杏儿其实傻乎乎的怪可爱的   不要瘦就好            
(4星)	 汪明荃太适合这个角色了            
(3星)	 还是第二部比较好看一点~~~            
(2星)	 黄宗泽好看吗？好看吗？            
(5星)	 太搞了 現代版也不錯            
(4星)	 黄宗泽            
(NA)	 喜欢黄宗泽            
(5星)	 沟通最重要。            
(5星)	 从古至今的婆媳大战            
(3星)	 2008年寒假东方卫视播放的。            
(4星)	 喜欢胡杏儿~咔咔            
(4星)	 还不错            
(4星)	 2007.            
(4星)	 很喜欢那个黄宗泽            
(3星)	 胡杏儿的绿蛙妆事隔多年还记忆犹新|||            
(3星)	 好奇怪啊，明明都不太喜欢这几个人，还是坚持看完了。            
(4星)	 呵呵。            
(3星)	 蛮曹的            
