http://movie.douban.com/subject/3128189/	幻影神针
(2星)	 这片子完全浪费小四            
(1星)	 噗！            
(4星)	 是很喜欢的戏。            
(2星)	 我发现自己没事就会找点囧片来雷雷自己，一颗星给梁小冰，一颗星给温碧霞，可以吧            
(3星)	 貌似这故事还挺腹黑。。。            
(3星)	 看过内容一点也不记得了。。            
(NA)	 看到他，又想起小时候。。。            
(5星)	 就是想看看杨小四~~杨小四为这片加三颗星。。。温碧霞于波各一颗。。            
(2星)	 超级讨厌那个香港的女的，心机贼多，恨死她了，真心想不通杨俊毅干嘛喜欢她。            
(3星)	 我实在喜欢杨俊毅啊，不管他演什么            
(3星)	 小时候除了玩就是看电视。            
(NA)	 貌似初二看的，片尾曲因为和剧情契合，给的印象很深啊。            
(NA)	 曾阅，标记。            
(4星)	 还是很喜欢于波和杨俊毅啊~~            
(1星)	 吐槽无力……            
(NA)	 完全是冲着连凯看的。。。果然又帅又有型！            
(NA)	 不知道结局啊...= =            
(3星)	 额。有点小淫乱            
(3星)	 典型挫片。            
(3星)	 记得当初是为了看紧接着这部播的《绝对计划》，每一集都守着等            
(3星)	 今天查古天乐的时候发现这部 幻影神针 居然过去看过，呵呵。            
(3星)	 于波和杨俊毅 他俩怎么总一起演戏            
(1星)	 我居然看完了            
(1星)	 两位男主一定觉得自己很帅吧。。。            
(2星)	 周易影视的吧，越做越烂啊，让偶这少年王水月洞灵境一路看过来的情何以堪我居然还看完了好像            
(2星)	 剧本还能再烂一点不？有小四也看不下去啊            
(3星)	 于波在这里蛮瘦的所以看上去很好~就是剧情太囧了=.=感觉是周易公司古装剧当中剧情最不好的了...            
(2星)	 何必呢            
(1星)	 死难看            
(3星)	 这个系列的……            
(NA)	 = =            
(NA)	 小学时候的夏天在耀达商场万分窘的看。其实我觉得温碧霞是最美丽气质的港台女星T T            
(3星)	 美貌的温碧霞小姐以及梁小冰。            
(2星)	 看了几集，实在看不下去            
(2星)	 貌似那个公司出品的武侠，都烂，极品烂。            
(NA)	 温碧霞            
(3星)	 好丑啊            
(2星)	 一般性。。            
(2星)	 还需要我说什么么？不需要吧            
(3星)	 那个时候喜欢杨俊毅，不喜欢于波            
