http://movie.douban.com/subject/2271718/	通天干探 通天幹探
(4星)	 庄文希一出场，整部剧都亮了            
(3星)	 浪费了那么多豪华卡司 意外喜欢郑嘉颖这个变态的角色 黎姿这样的美女怎么样都美            
(4星)	 从郑嘉颖出现以后看起。KC真是帅爆了，演坏人都这么有型，花痴一下花痴一下~            
(4星)	 我也是从17集开始看的，17集庄文希出现，kc真是帅爆了，把庄文希演的入木三分，除了kc别人都是泡沫了，就冲kc，这部剧给4星不夸张的。            
(3星)	 yoyo一如既往的好看，陈豪出人意料的有型(¬_¬)            
(4星)	 看不惯GIGI扮丑。。。还从头扮到尾            
(4星)	 gigi啊。。。。moses啊。。。            
(3星)	 在这部剧看到了郑嘉颖            
(NA)	 极度某名奇妙的电视剧            
(3星)	 後面的劇情有點無語。灰姑娘終究是灰姑娘。            
(3星)	 最后方显出王心慰一贯的宿命感~            
(3星)	 太墨迹了。案子太少，净感情戏了。            
(NA)	 太肥皂聊~            
(2星)	 剧情真烂真烂~            
(4星)	 我爱YOYO~嘉颖是坏蛋…55555            
(2星)	 这部剧是我见过的最跟标题不一样的的剧了……除了第一个案子，后面全是感情戏，扯啊扯啊，活生生扯了30多集……            
(3星)	 后面的剧情很不好看的说！            
(4星)	 狗血的结局...雷死人 囧            
(3星)	 太老了啊，而且不美型            
(3星)	 这个电视剧妙就妙在，最后法律也没有制裁KEVIN演的人，反而是陈豪做掉。            
(3星)	 我一直以为荔枝最后会变漂亮，结果就死了。。。            
(4星)	 案子不够精彩            
(NA)	 开始觉得郑嘉颖不错了，黎姿太傻了里面。            
(2星)	 基本上可以归类为言情，虽说是打着破案的旗号，不过推理之类的东西真是少之又少。            
(5星)	 是真的好看啊真的精彩 我不得不说 里面没有我喜欢的演员 但是演的真特么的好啊 陈豪演技太剽悍了            
(NA)	 庄文希！！！！死都死得很型啊有没有            
(NA)	 08年看高兴咯。            
(3星)	 开始还不错，后面剧情不紧凑，越看越没意思            
(3星)	 难怪只有6星...那别黎姿在里面丑得太过了点 我好不容易对她堆积的好感瞬间崩塌            
(3星)	 全部看完后，晶晶居然死了，阿龙竟然变成一个那么可怕的样子，好讨厌郑嘉颖演坏人的样子            
(3星)	 铃子同学没别的事儿了            
(3星)	 郑嘉颖十分猥瑣变态和恶心.            
(2星)	 元彪显老了...剧情转的好快            
(3星)	 结尾太糟糕了。陈豪长的太丑了。            
(NA)	 最后的结局让我很无语~~~典型的TVB式虎头蛇尾...            
(4星)	 还不错，能够看下去            
(4星)	 弱智            
(4星)	 一开始很精彩，后面越拍越烂 黎姿竟然还死了··            
(NA)	 广州补粤语看的新片。            
