http://movie.douban.com/subject/2761775/	真命小和尚
(4星)	 长残了 可惜 小时侯多小可爱 就被宝莲灯演残掉了            
(3星)	 曹俊长大了不可爱了~            
(4星)	 很喜欢片尾曲张学友的《微尘》            
(5星)	 诶哟 我曾经的最爱啊            
(5星)	 呀曹俊小和尚很俊呢。            
(2星)	 演员太丑            
(3星)	 和尚叫开心，我还记得。            
(3星)	 呃，曹骏小时候好乖哦。主题曲是张学友的微尘，印象很深。            
(2星)	 超級不待見這小孩兒            
(NA)	 孩子们都看过吧。。。            
(4星)	 不错哦。            
(3星)	 小时候的我真是天真活泼啊~~什么都能看，什么都爱看。            
(NA)	 小和尚没觉得聪明可爱了 也就是抖机灵吧            
(4星)	 这个当时看就跟一休哥一样的            
(3星)	 哈哈！开心~            
(2星)	 这个演小和尚的明明是宁波人嘛，还冒充上海人。上海人有什么好冒充的。            
(NA)	 补遗               
(3星)	 还是美好的回忆~            
(4星)	 童年剧            
(3星)	 我还记得这部放好以后就是还珠格格= =            
(2星)	 记得这个挺烂的            
(2星)	 这个...我也居然看过            
(4星)	 当年可爱曹骏了            
(NA)	 这个是新加坡的电视剧，不是大陆的，标记错了。            
(NA)	 内会儿曹骏特火...            
(3星)	 其实主演还有好多。            
(3星)	 除左小龙我最中意曹骏            
(4星)	 欢乐剧            
(5星)	 喜欢主题曲，暑假看            
(NA)	 曹骏小时候长得好可爱的            
(5星)	 小时候是可爱，功夫也好。跟释小龙一样的命运。            
(4星)	 老早很喜欢的。。。            
(NA)	 脚踏七星啊            
(3星)	 童年。★★☆            
(3星)	 。。            
(3星)	 0.0唔！            
(3星)	 哈哈哈哈哈哈            
(4星)	 童年的偶像哟            
(NA)	 看过            
(NA)	 还是记忆里的最好看            
(4星)	 里面出现鬼的那个片段，真着迷。            
(NA)	 哎呀呀~~~            
(4星)	 那真是曹骏同学的全盛时期啊……            
(5星)	 挺好玩的            
(3星)	 曹俊小朋友还真是可爱呀~            
(3星)	 = =            
(3星)	 总觉得有些恐怖            
(3星)	 熊爷的最爱            
(4星)	 哈哈哈，以前真的很喜欢这片子！            
(5星)	 童年记忆啊……            
(3星)	 haha !            
(3星)	  曹骏 还蛮鬼灵精怪的            
(4星)	 当当当当当当当,当当当当当.            
(5星)	 开心啊 开心呢 无字天书 小曹骏            
(4星)	  哇~~这片可真够经典            
(4星)	 一直记得，上家教时候，坐在前面的小胖墩，他就是皇觉寺的那个老是问开心“为什么为什么？”的胖和尚。            
(3星)	 开心 铁桶 还有印象吧            
(4星)	 当时我说 看完这个我就不看电视了            
(4星)	 张学友唱歌还真是好听啊~            
(4星)	 挺哈李锦梅的那个角色，我果然公主控。            
(4星)	 这是在宁波拍的＾＾            
(3星)	 果然岁月是把杀猪刀，长残了            
(4星)	 多年前回乡下的时候看的            
(3星)	 idiot~            
(3星)	 也是。。竟然看完了！！            
(3星)	 totally bullshit  time killer……            
(5星)	 从小觉得曹俊可爱死了            
(4星)	 我那时候也很爱看这个 - - ，我就是想打四星。。。            
(3星)	 小和尚可爱死了啦            
(4星)	 也是记得歌啊张学友《微尘》～            
(3星)	 欸，谁说曹俊还是以前那个小和尚呢。            
(NA)	 电视的刷屏时代             
(2星)	 妈的！哪个小和尚老可爱了。。。            
(NA)	 小时候的偶像啊.......            
(5星)	 童年啊  我的童年！！！！            
(NA)	 这个当时觉得好好看            
(4星)	 害怕走火入魔而不敢盯着看有无字天书的近镜头            
(5星)	 这才是童年好么            
(4星)	 酒桶师叔。。。是这么个名儿吧            
(3星)	 暑假            
(3星)	 小时候觉得那些带头套的人老可怕了~~~~~~~~~~~~            
(NA)	 这小和尚 据说长残了             
(4星)	 啊啊啊啊小时候的记忆啊啊啊             
(4星)	 小时候很爱看。。            
(4星)	 小时候看的 搞笑            
(4星)	 曹骏小时候真是阔爱！！！            
(4星)	 正太如是            
(3星)	 小时候好喜欢。为什么现在不重播了。TAT~~            
(NA)	 红极一时            
(5星)	 我当时真的超级喜欢这部片子- -            
(4星)	 曹骏是我们学校的。。。。            
(4星)	 我内时候对曹骏芳心暗许！信不！            
(4星)	 这个当时素很喜欢的，小和尚好口耐，怎么后来又残了呢。。。            
(3星)	 当年小曹骏是有多可爱哦！            
(NA)	 曹骏长大后就咧歪了            
(4星)	 这个貌似更早吧，那时候　记得还不怎么认字            
(4星)	 古装 国产电视剧 新加坡             
(4星)	 打得都是感情分~当时多喜欢曹骏~~~            
(4星)	 小学的挚爱，那个时候曹骏好萌哦            
(4星)	 记得那时很喜欢看的            
(NA)	 真可爱啊真可爱            
(3星)	 这个 真不记得内容了  就记得小和尚的名字呃。。            
(3星)	 哇哇哇 全是小时候看的 那时候笑死我了            
(3星)	 师叔是亮点            
(4星)	 曹俊当年多可爱。。。            
(5星)	 曹俊小时候很可爱 现在残了～            
(4星)	 小时候每天晚上守着的            
(4星)	 这部是大陆和新加坡全拍的，有两部，第一部比较好看，小时候看的，曹骏现在都好大了。地方电每晚六点档。霍霍……            
(4星)	 小时候巨喜欢 开心            
(NA)	 这不就是一休的故事么            
(NA)	 是不是割弟割弟割弟割弟的一休桑是不是啊？            
(4星)	 什么时段看什么片子。曾经接受            
(4星)	 记得很搞笑的啊~            
(3星)	 无字天书!!            
(3星)	 张学友唱的主题曲            
(NA)	 这个我一集不差            
(3星)	 我已经忘却的差不多了。            
(5星)	 无字天书!!!            
(4星)	 当年我也跟他差不多大，我怎么当时觉得特可爱呢。            
(4星)	 小时候最爱了            
(3星)	 曹骏啊！！！！！！！！！！！！！！！            
(3星)	 我那時候覺得曹駿真是帥呀白馬王子呀~（喂。）            
(4星)	 这个当年好像很喜欢的-0-            
(4星)	 我太爱开心了            
(3星)	 不好看             
(4星)	 因为报名，错过大结局怨念了好久。            
(2星)	 没劲。。。            
(4星)	 看过第六集。那女的叫裴光光。            
(3星)	 开心超可爱的~            
(5星)	 小时候大爱啊。。。            
(4星)	 哈 那个好玩 铜人阵            
(4星)	 小时候跟姐姐和弟弟一起在昆明每晚在床上看得特带劲            
(5星)	 无语了，还有这个！            
(2星)	 曹峻的烂片实在多            
(3星)	 脚底有七颗星……            
(3星)	 小时候看了好几遍~            
(3星)	 是啊我看过啊            
(4星)	 小时候的回忆啊！            
(4星)	 就因为这片子，我初二之前都是蘑菇头，没办法，奶奶太喜欢里面那个日本女孩子了            
(4星)	 小时候爱看的片子            
(4星)	 喜欢小时候的曹骏            
(NA)	 我以前真是……            
(4星)	 当年还是个小正太            
(5星)	 那时候还只有凤凰卫视放。。。。            
(NA)	 也是小时候看的破电视剧            
(5星)	 不是新加坡的么            
(4星)	 小曹俊是真的很可爱。            
(3星)	 当年挺喜欢的，就是剧中的女子丑了点            
(3星)	 小学时的事            
(3星)	 开心那会儿多可爱啊~            
(2星)	 补漏            
(5星)	 小时候看的 真命小和尚~哇            
(3星)	   当时看过，主题曲是张学友唱的            
(4星)	 孩子长大了 不知成啥样了            
(5星)	 曹骏小朋友超可爱~虽然只比我小两岁。。            
(NA)	 我一集都没有落下            
(4星)	 久违了，之后曹骏的片子怎么看他怎么不顺眼            
(4星)	 小时候超爱的~            
(5星)	 当年曹骏多可爱            
(NA)	 开心小和尚.小时候看过电视剧.            
(4星)	 旋风小子里的那两童星长大后都不可爱了，还是曹骏的斯文样子不咋失望            
(3星)	 以前挺喜欢曹骏的，后来看这片子很扯感觉，不记得了            
(5星)	 小时候好像还害怕过            
(4星)	 小时候电视剧            
(5星)	 曹骏当初就是个标准的小正太嘛！怎么大了，也还是残了呢。。。好可惜啊            
(5星)	 又是新加坡剧            
(NA)	 好可爱的            
(3星)	 这都多少年以前看过的东西了...小和尚师兄死的时候还是挺伤心的            
(3星)	 小时候看过一点点。。很模糊的记忆了            
(NA)	 基本上忘了            
(NA)	 这男的不说都快忘了            
(3星)	 越来越没劲            
(5星)	 小时很喜欢            
(5星)	 小时实在是太爱看了！以至于他在我的心目中很有地位~~哇嘎嘎~            
(3星)	 那时候的铁桶师兄记得太深刻了。            
(3星)	 小小小冤家，小时候的武侠梦啊            
(4星)	 小时候可喜欢了            
(4星)	 一帮小孩很逗            
(3星)	 不太记得剧情了，就是那本无字天书印象很深刻            
(NA)	 剧情忘了 但好像不错            
(4星)	 小时候的记忆            
(4星)	 曾经的大爱呀~            
(NA)	 开心            
(2星)	 长残了当年多可爱一孩子            
(3星)	 小时候不挑食            
(4星)	 曹骏你现在肿么样了？            
(NA)	 我记得..看这个的时候我还没上小学...            
(4星)	 很治愈            
(4星)	 曹俊小时候好可爱啊            
(3星)	 老片了。。。。。            
(3星)	 曹骏小时候长得真可爱            
(5星)	 铁桶师叔。。            
(NA)	 还不错哟其实~~            
(2星)	 忘记多少年前看的了            
(4星)	 高中的欢乐剧~            
(4星)	 嗯嗯，小时候很爱看哦！小和尚很聪明哦！            
(2星)	 只记得看过            
(4星)	 不错啊            
(5星)	 开心小皇叔~            
(4星)	 那时的曹俊好可爱。            
(3星)	 还行。。。            
(3星)	 80末出生的人是这样成长的～            
(4星)	 小开心现在出落成什么样捏            
(NA)	 现在再看完全无感呐亲！            
(3星)	 老纸的童年！            
(3星)	 哇...这个久哦，无字天书            
(3星)	 = =            
(3星)	 皇后和铁桶            
(5星)	 可爱的小曹骏            
(5星)	 小时候第一个熬夜看结局的片子~            
(5星)	 哈哈哈哈。            
(4星)	 小时候还和弟弟猜情节...            
(3星)	 童年……            
(3星)	 没什么印象了            
(3星)	 诶  老了 不太记得了，，，T T            
(4星)	 这个还是蛮有意思的，我记得里头有个裴光光好搞笑~~            
(NA)	 无语了 怎么就不能找个可爱的小孩演呢            
(5星)	 一直觉得小和尚像我弟！            
(3星)	 小时候很喜欢哪，真美好~            
(4星)	 幼兒園那會兒看的片子= =....            
(4星)	 曹骏小时候挺萌的，不过长大后就。。            
(2星)	 小时候看的，我实在不喜欢曹骏，……            
(5星)	 喜欢开心开心开心！            
(4星)	 小学看的            
(4星)	 也是很小的时候看的。            
(4星)	 当时看着还是挺喜欢的～小孩子嘛～            
(3星)	 貌似小时候很爱看            
(5星)	 这是小学时候啊。            
(4星)	 记得小学时看的，主题歌好像还是张学友唱的            
(4星)	 那时候。。。            
(3星)	 想当年 曹骏也是一个正太呢            
(4星)	 很小的时候看的吧，很喜欢            
(3星)	 小时候真是包览所有古装剧。。。            
(2星)	 曹骏残了。            
(3星)	 那年我还小            
(4星)	 曹骏            
(5星)	 为了我爸学习小和尚的招式，给五分            
(3星)	 呵呵...            
(3星)	 从小到大看过的剧无限多啊            
(3星)	 又一个长残了的，又一个皇子跟和尚有千丝万缕关系的。。。            
(4星)	 我也相当和尚            
(NA)	 沉香            
(3星)	 小时绝对看过，印象中还以为开心是释小龙演的            
(5星)	 豆瓣真的是一朵奇葩，这个也可以有？？？            
(5星)	 小时候的记忆啊            
(4星)	 原来淳于珊珊去了新加坡。            
(NA)	 看的不完整，这是童年的记忆了            
(5星)	 那时候天天等啊，被蚊子咬也不在乎啊            
(NA)	 举手！小时候超级爱看            
(4星)	 被那时的小娃娃萌翻了（¯﹃¯）！            
(2星)	 童星长大还出名的，很少            
(5星)	 这个太早了            
(5星)	 小时候啊            
(3星)	 好小好小的时候看的，感觉过了好久好久，岁月是把杀猪刀啊...            
(NA)	 这个也就是只能小时候看的，现在木有神马感觉了。            
(3星)	 好可爱！            
(4星)	 逛着豆瓣，无意间看到了这个，当年最喜欢的电视剧，天天准时坐到电视机前看，一集没落过，我记得还有第二部来着，都很好看。            
(3星)	 曹骏那会真是个超蒙的正太啊            
(4星)	 小时候的回忆            
(4星)	 那时年少各种剧~            
(NA)	 看这个的时候还小，怎么也想不起来那个小和尚的名字叫什么，很好看的小孩啊，也很有演戏的天赋            
(3星)	 其实主演还有好多。            
(5星)	 超可爱的一群童星  现在一个个太惊悚了  完全不见当年的初生牛犊不怕虎那种精气神            
(2星)	 很小很小的时候看的。男主角个小孩子比我还要大            
(3星)	 一个武打场面五六遍的重播，当我们的脑子是金鱼吗？！！！            
(4星)	 美好的童年。            
(4星)	 记忆并不是太深            
(5星)	 O(∩_∩)O哈哈哈~小時候最愛，曹俊小時候多可愛啊n(*≧▽≦*)n             
(4星)	 忘了            
(5星)	 其实内容是啥我已经忘了            
(4星)	 我以前很喜欢的。            
(3星)	 那时候貌似挺爱看，但真心不记得剧情了            
(4星)	 记得小时候跟老妈一边包饺子 一边看~            
(5星)	 喜欢喜欢喜欢。w            
(NA)	 当时真的很爱很爱呢，各种好笑。            
(5星)	 小时候就是可爱，长大就不怎么了            
(1星)	 为什么我看不下去。。。            
(4星)	 那一年的夏天，很喜欢看的一部电视剧。很久很久以前的故事了，真的很久远了。            
(3星)	 那个时候看这个还蛮搞笑的            
(4星)	None
(2星)	 那小和尚那时太乖了！            
(4星)	 以前真好看            
(5星)	 我的童年电视剧 啊            
(4星)	 我是看着你长大的。            
(1星)	None
(3星)	 很欢乐，很抽风，适合当年幼稚的我，但是，为什么父母当时也看的津津有味？！            
(NA)	 补tag            
(5星)	 童年有他，很精彩            
(3星)	 哦，曹骏            
(3星)	 小时候的会议啊。对曹骏，只有这部电视剧还有一个什么县太爷有印象。。。            
(2星)	 。。我果然成天看电视剧啊。。怪不得现在一事无成！            
(4星)	 貌似以前自己还装十八还是十二铜人阵的，小时候就玩cosplay呀！！亲。            
(NA)	 那个时候真是喜欢死小和尚了            
(5星)	 好喜欢曹骏哦~还是和父母一起看的~~            
(3星)	 最近还在听张学友的微尘            
(NA)	 那首《天地微尘》的调调现在都清清楚楚啊            
(5星)	 小时候特喜欢            
(5星)	 O(∩_∩)O            
(4星)	 剧情已经忘记了，可是还是小时候很不错的记忆            
(5星)	 看这个电视剧有好多年了，现在还能想起来里面的插曲节奏            
(4星)	 还是很小的时候看的呢，很喜欢            
(NA)	 小时候就觉得龙儿那个演员好可爱啊啊啊O(∩_∩)O~            
(NA)	 找个时间再看看吧。            
(4星)	 我知道我看过！但是我完全忘记剧情了！！小学时候看的啊！！            
(3星)	 我现在就是一点一点靠着底下的“也喜欢”来找我死活想不起来名字的那个剧！            
(4星)	 小时候很爱看来着，曹骏那时很萌的。            
(3星)	 小时候的曹骏很可爱            
(4星)	 小曹俊挺可爱的。。我记得小时候挺喜欢的            
(4星)	 当年很喜欢的说            
(4星)	 真心当年觉得曹骏好可爱呀。            
(3星)	 那是曹俊多火啊            
(3星)	 童星当道的时代。            
(3星)	 主角很萌~             
(3星)	 老爸当年很喜欢看呐。。。。            
(4星)	 记得小学的时候好喜欢这部电视剧。。。            
(4星)	 童年回忆之一            
(3星)	 怎么那时觉得这种事情发生很必然啊            
(NA)	 对可爱的小孩从小时候就没抵抗力            
(4星)	 那时还记得是跟我姐姐一起看的            
(5星)	 童年的各种美好啊！！超级超级好看！！            
(3星)	 事实证明，小可爱长残的机会是很大的            
(4星)	 原来小时候有这么多好剧。            
(5星)	 当年家人都喜欢看。记得有陈天文的。            
(3星)	 估计现在的小鹏有都不看了吧。。。总之，我喜欢科幻的            
(5星)	 小时候超爱看！            
(4星)	 小时候美好的回忆啊            
(3星)	 看过么看过吧            
(5星)	 经典必顶            
(NA)	 我同学可以做片花里的全套武打动作~~~            
(NA)	 后来曹骏变成了我们的校友            
(4星)	 应该是小学一年级看的。            
(5星)	 童年的美好回忆            
(NA)	 挺好玩的！            
(3星)	 童年剧            
(3星)	 还能记得 真不错=。            
(3星)	 铁桶师叔呀            
(4星)	 要上小学了。。。每天偷着自己在家看。小时候的回忆啊。曹骏也长大了。            
(5星)	 啥都不说啦。。。全是回忆啊。。            
(4星)	 那时释小龙好可爱啊            
(4星)	 好像没看完~  不过印象很好~            
(3星)	 小学必备片之一，主题曲张学友印象很深啊！            
(5星)	 小开心好可爱~            
(5星)	 童年。            
(5星)	 超好看,超级好看~~`            
(3星)	 哈哈 童年啊~~            
(4星)	 小时候很喜欢的～～            
(4星)	 我的童年啊            
(NA)	 皇帝到处留情后的结果            
(5星)	 去年电视上还重播了这部剧，还是觉得很好看。少年的曹骏很可爱，长大后的还不错            
(4星)	 小时候觉得挺好看的，还有第2部好像            
(4星)	 可爱的小和尚            
(5星)	 这个代表了我的一部分童年            
