http://movie.douban.com/subject/1863941/	天龙八部 天龍八部
(4星)	 拿到小龙女执照则可以扮王语嫣            
(4星)	 我看过的最好版本的乔峰.            
(5星)	 最佳版本的天龙八部。            
(5星)	 很喜欢，爱华健的《难念的经》            
(NA)	 主题曲荡气回肠            
(4星)	 袁腾飞：“电视剧《天龙八部》里萧峰他爹被人误杀了，在那个墙壁上刻字。香港拍的剧，萧峰他爹刻的是蒙古文，我很佩服导演，没让他刻英文。大陆拍的，刻的就是契丹文”。单纯觉得袁Sir这段吐槽很好玩~            
(5星)	 觉得人选的超好            
(5星)	 这才是最经典的天龙八部，黄日华、陈浩民、樊少皇，这三兄弟诠释的绝对是最好的版本，尤其是乔峰，让人热血沸腾，太经典了，无法超越。            
(5星)	 看过的最棒的一版天龙八部了...            
(4星)	 李若彤真是美爆            
(3星)	 周华健的主题曲唱得好！            
(5星)	 最经典的不容撼动版            
(3星)	 樊少皇选得好啊～            
(5星)	 超爱            
(3星)	 这个挺好的 俗的很有道理            
(5星)	 心在最完美的天龙八部，拜托不要乱翻拍了！！！            
(3星)	 tvb这些金庸剧基本上我都不喜欢。            
(4星)	 也挺經典的。            
(5星)	 哈哈，樊少皇的六块肌！            
(4星)	 一直不太喜欢萧峰，但黄日华演的萧峰不能不喜欢，主题曲周华健的《难念的经》印象深刻            
(4星)	 还傻傻地改结局。            
(3星)	 我2年级的时候在扬州姨婆家最爱看汤真业演段誉的天龙八部老，这个版本里头黄日华怎么跑去演桥风老，他还是虚竹时候帅啊            
(5星)	 最喜欢的版本啊            
(5星)	 如果阿朱的死可以让你记住她一辈子，我也可以! 阿紫到底有多爱乔峰，最后抱着乔峰跳崖那段太泪奔了，心疼阿紫还有游坦之，如果有足够的时间来相处，乔峰会接受阿紫吗？好想有个现实版乔峰 问世间情为何物啊              
(5星)	 一看到片名就想到主题曲，太经典了            
(3星)	 印象最深是难念的经            
(4星)	 喜欢啊，主题曲难念的经            
(5星)	 还是这部最好了            
(4星)	 与妈妈一起看            
(5星)	 这个版本非常好，我在安徽电视台一套看了有3次吧。我一直觉得电视剧里樊少皇肌肉发达，那时候就是我的梦中情人啊！！好爱他……            
(5星)	 看了至少5遍，小时候吧，看电视，看过还看，小时候可能傻            
(4星)	 赵学而的木姑娘 刘玉翠的阿紫            
(3星)	 《难念的经》，至今流利全唱的粤语歌。            
(5星)	 我最喜欢段誉 哈哈~            
(3星)	 最烦这版。。            
(5星)	 看了不知道几百遍，在红遍天下的还珠格格播出那年，12岁的我人生第二次去了江西，第一次是2岁我早已不记得，那年我偷偷爬上房顶，站在漆黑一片中，为了安心的偷看邻居家的天龙八部，我就那样爬在墙头一个暑假，我不知道城中的家里，我的同学都在看还珠格格。那时天龙八部对我而言，太有吸引力            
(5星)	 李若彤才是我心中的神仙姐姐，陈浩民才是我心中的段誉，鄙视央视版！！！！            
(5星)	 我要会生死符.就牛逼了.            
(4星)	 当年的段誉确实是少年            
(4星)	 这一版的段誉和王语嫣比较配诶。            
(5星)	 啊，段公子啊~            
(2星)	 混账            
