http://movie.douban.com/subject/2367860/	婚姻物语
(NA)	 15年后再看            
(5星)	 真是 当年的陈松伶和郑伊健在我幼小的心灵中那就是男神和女神啊 好像古天乐还是一很羞涩的白面小生            
(4星)	 好多年前看的 时间。。。。            
(3星)	 讨厌陈松伶。            
(NA)	 小时候超迷这一对的，17年后重新再看。主题曲一响起心都揪起来了啊！不过这个剧情不就是一个费尽心思的小三各种坚韧不拔，趁虚而入最终得逞的故事吗！            
(NA)	 蜗就是喜欢E松恋！            
(5星)	 又是绝配，但是我怎么就记不起来这里边有古天乐？            
(NA)	 分分钟需要你            
(3星)	 陈松伶不错            
(NA)	 小学看婚姻早了点            
(NA)	 小学时……            
(3星)	 松松和郑伊健  ，里面有个纯情男是古仔            
(3星)	 同学以前很喜欢，上学的时候没时间看，是比较轻松的港剧！            
(5星)	 郑伊健陈松伶当时就是绝配            
(3星)	 当年松松还很红，和伊面貌似天生一对            
(NA)	 一度欢喜陈松伶             
(4星)	 又见包文龙            
(3星)	 1994            
(4星)	 看的时候好喜欢松松跟伊面            
(NA)	 古天乐            
(4星)	 怀念一下古仔没晒黑前的模样……自从看了《笑看风云》后，就好喜欢陈松伶和郑伊健cp的 &gt;&lt; 哪知伊面的女友换了一个又一个 OTL 松伶也嫁到内地来了 ORZORZ            
(3星)	 唇红齿白的古仔一出场就震到我了            
(3星)	 这部剧弥补了小时候看笑看风云留下的创伤~            
(NA)	 ??????????????            
(4星)	 那时候超喜欢郑伊健啊~            
(NA)	 童年的记忆啊 ~~            
(3星)	 这片子现在看来最有意义的，是让某人发现了白面古天乐，推荐他进入tvb。            
(4星)	 Ekin            
(4星)	 恩..            
(NA)	 天乐好年轻。            
(NA)	 从看了这部电视剧开始喜欢ekin的 一晃已经好多年的            
(4星)	 美美和分分钟……            
(3星)	 好早的片子啊 剧情全忘了就记得片头曲怎么唱了            
(4星)	 小时候的回忆呀，美女帅哥，都好喜欢。            
(NA)	 当时古天乐多纯情啊~            
(4星)	 陈松伶，郑伊健~            
(NA)	 当年好喜欢这对cp的            
(5星)	 童年记忆            
(2星)	 冲着青葱的古天乐看的 但戏份太少了 我实在忍受不下去松松的至美              
(5星)	 这么好看的剧，居然只有6.9？            
(NA)	 好好看。主要为了怀旧。剧情狗血的一塌糊涂。哈哈。着装居然还是很喜欢~~~            
(4星)	 当时对古天乐惊为天人，认定此君不捧就大大浪费了。            
(4星)	 分分钟需要你~            
(3星)	 其實劇情是零印象的，只記得係古天樂第一部劇~哈            
(3星)	 小时候的片子 其实不错            
(4星)	 这部一直没有看完。            
(4星)	 &#34;这部剧弥补了小时候看笑看风云留下的创伤&#34;            
(4星)	 青梅竹马            
(NA)	 姐姐喜欢看            
(3星)	 虽然是松迷，但不是很喜欢此剧中至美的角色，拖泥带水的。相比之下，反而更欣赏家希的洒脱。            
(3星)	 3集  不想看了            
(3星)	 白面古仔的第一部戏我就深深记下他了。            
(3星)	 要经历磨难才能发现的爱情，还是爱情吗            
(NA)	 拍的还可以！http://dingxiangnvren.5d6d.com/            
(3星)	 小学的时候看的！            
(3星)	 很久很久以前，不过还是有印象            
(4星)	 很实在，没有那种很不现实的完美，爱情婚姻就是拖泥带水、错来错去后的结果            
(3星)	 从笑看风云开始觉得郑伊健和陈松伶就该是一对            
(4星)	 N年前咯，分分钟需要你真的很好听            
(NA)	 分分钟LIKE！            
(NA)	 好看            
(3星)	 完全没印象啦            
(NA)	 我看古仔的第一部电视剧            
(4星)	 那时的古好白 =0=            
(3星)	 好象是初中那会看的，印象不深．只有好看的难看的才深刻＾＾            
