http://movie.douban.com/subject/3126164/	溏心风暴Ⅱ之家好月圆 溏心風暴Ⅱ之家好月圓
(5星)	 才看了5集，太TM好看了！看的老子泪眼婆娑的~~//终于看完了，看的我很纠结。不过20集之后没有之前精彩。超喜欢管家仔，超讨厌于素秋和凌至信。阿红很可怜，每次做坏事都被人揭穿，哈哈~~            
(NA)	 当学习吵架好了.            
(4星)	 讨厌于素秋！            
(4星)	 传统的港剧套路，中间部分冗长拖沓得太厉害了，我都能感觉编剧实在力不从心了点，演员的表演也太用力了。嗯，看完终于知道世界上最可怕是“事到临头，倒打一耙”这一招。            
(NA)	 这是一家无赖            
(5星)	 比第一部还牛            
(4星)	 分分钟需要你。            
(2星)	 没有人看出溏心风暴系列是tvb大烂片吗            
(5星)	 我变师奶了。。            
(4星)	 最后几集简直是反转剧啊            
(3星)	 某男主减星            
(2星)	 钟嘉欣和徐子珊一比马上就不JP了            
(4星)	 陈豪是亮点哦            
(5星)	 好剧！            
(4星)	 结局仓促了点……            
(3星)	 两粒，攞女一粒，sa姨一粒。            
(5星)	 中秋开始果断重温这部...好应景呐...老剧好经典啊还有黄宗泽好帅啊...            
(4星)	 熬了四个晚上看得我想吐啊。。。。管家仔嘻嘻。。。            
(4星)	 只有多點吵            
(4星)	 虽然有很多逻辑错误..但是每天追一集的日子还是值得怀念的            
(4星)	 自认为是林峰演的最好的一部剧。            
(4星)	 看完之后只有一个疑问。。HK那边真的不介意表兄妹之间恋爱结婚么。。            
(4星)	 说实话 这样的家庭 有点让我发憷。。。            
(4星)	 一边重新折腾电脑一边听完了这部看了1年的老剧，时而笑到翻地，时而哭至尽兴。            
(4星)	 对自己人品没把握就不要冒险生小孩啦            
(NA)	 我算明白了 现在tvb的大戏都是搞来搞去搞来搞去 其实真的很无聊 我就是为了看黄宗泽……            
(4星)	 我们家BOSCO在第十六集时终于出现了。。。不晓得啷个偶同意他的决定            
(4星)	 TVB的片子现在不行了,大学时候可迷恋着看了.            
(3星)	 发烧时迷糊迷糊的半听半看完的...印象比较深刻的是我好像喜欢黄宗泽 ..            
(NA)	 看过鸟｀｀｀｀            
(4星)	 让我重燃对TVB的热情~决定追下《珠光宝气》            
(4星)	 TVB又一巅峰作，我爱峰少。            
(5星)	 节节高潮。            
(NA)	 我不看了 等连载不是我喜欢的            
(5星)	 近年来tvb最好看的能排前三了吧 几乎每一集都有高潮 当然好看的剧还要靠老戏骨撑着 唯一的败笔就是中加心吧            
(4星)	 3.5星。宁愿选择回顾原版。            
(4星)	 人在做，天在看。            
(4星)	 我靠,于素秋角色太贱了，去你妈的雅典娜公主！！            
(4星)	 林峰！！！！            
(2星)	 典型港剧，中规中矩，好人有好报。            
(5星)	 重溫了一遍好看到不行 管家公真好             
(2星)	 莫名……對我來說沒劇情啊            
(3星)	 同理 没有钟嘉欣就可以到四星            
(5星)	 看完整一个电视剧容易么~            
(4星)	 比第一部更好的剧情。其中一颗星给剧中的几个实力派。            
(4星)	 好人太假坏人太坏            
(NA)	 还不错啊。。不过看个最后7集。。大概就可以了            
(5星)	 因为亲情 我给满分 因为母亲 所以是我看过最好的剧            
(5星)	 我看得很感动的呀,我喜欢Linda还有怡            
(2星)	 编剧是白痴么？转折太快了把，一点铺垫都没有，说是好人马上就变成好人了！！！            
(4星)	 雖然成日吵架..但勝在劇情緊湊..並且攻于心計...            
(NA)	 啊啊啊啊啊啊~~~太好看了            
(5星)	 堂呀大過姑，姑呀大過姨，姨呀大過表叔公，表叔公呀大過表叔婆，表叔婆呀大過表伯，表伯娘呀表叔，表嬸，表姑媽，表姑姐，表姑丈，表舅公，表舅婆呀表姨婆，表舅父呀表舅母，表姨媽，表姨丈！             
(3星)	 肥水不流外人田，兔子专吃窝边草，这一家子财不外漏，人也不外漏~~虽没血缘关系，但怎么看，从小一起长大的兄弟姐妹，搞在一起像乱伦一样。比第一部逊色很多，很多情节都在套用第一部，新意不大，结局太过仓促~~            
(5星)	 学会珍惜 这不是什么吹牛的话~            
(4星)	 让我启发很多~            
(4星)	 感觉比溏心风暴好看点            
(NA)	 话说刚整理了一下我曾经看过的港剧，那真是多了去了，我自己都吓着了，太可怕了，我的青春都奉献给了TVB，我的少年时期真是一浪费光阴的年代，那都是陪伴许多80末孩子的电视剧，现在已经逐年减少观看的数量，今年看过的也就是家好月圆和一伍咏薇演的内啥，哈哈，这一侧面又说明我长大了！            
(4星)	 虽然还是一味的坏人得志，好人吞声，也速食了不少人生秒锦，很喜欢演荷妈父亲的周聪爷爷，好慈祥好可爱，鹤发童颜的最美体现，祝他老人家快乐平安健康。            
(5星)	 每集都能看哭，没用~            
(4星)	 还是没有第一部好啊            
(NA)	 還是出國前和媽媽一起看的耶....            
(5星)	 看得我老流眼泪。            
(5星)	 很久前看的            
(4星)	 李司棋关菊英两位阿姨真的是忒贫了，不过很可爱。港剧越来越有韩剧风采了，不但剧集裹脚布，内容也相当够血，什么雅典娜赛亚人，囧。            
(4星)	 精彩，却还是很狗血            
(3星)	 额..            
(5星)	 吵吵闹闹，哭哭笑笑，每集都很high            
(NA)	 米看完 大年初一呀 我看家好月圆呀            
(4星)	 其實挺好看的…但是說實話看得人太纍了。。心纍。。看得我光想罵人。。。            
(2星)	 剧情突兀没有逻辑 林峰钟嘉欣的戏很无聊很多余            
(5星)	 勾心斗角~哈哈            
(4星)	 家好月圆庆中秋            
(4星)	 每次在好人被逼入绝境的时候，会有坏人良心发现。。。。。            
(4星)	 处女女+处女女，白羊男+处女女+双子女，白羊女+射手男+射手男            
(4星)	 亲情是最朴质最无私的。任何东西在它面前都无力了。            
(NA)	 看快进都看死我了。。。。妈妈唉            
(4星)	 的确是TVB少有的一部好剧。有时间或者完整看一次。            
(3星)	 最终我还是开始看这出剧            
(5星)	 中间跳了好多集，哈哈哈！我觉得阿卡好好笑啊            
(2星)	 我还真是受不了这东西啊。。            
(4星)	 还有第三部么？            
