http://movie.douban.com/subject/3032431/	刁蛮公主逍遥王
(5星)	 啊呀呀，当时最迷会燕云十八翻那个小子了，他为秋霜真是感人，还有玩世不恭又深情的逍遥王~而且演员和小学同学像的很。。            
(3星)	 小时候貌似很喜欢，居然还追着看－ －            
(3星)	 没电视看的时候勉强一集集看下去了            
(3星)	 真心喜欢邵峰，我一向是喜欢小白脸的，他是罕见的招我喜欢的胡子男之一            
(NA)	 邵峰的胡子-。-            
(3星)	 我喜欢过的王爷！            
(3星)	 当时年纪小            
(4星)	 喜欢天心啦            
(1星)	 我的幼年就是被电视台那群傻逼选片人折磨大的            
(NA)	 太搞笑了胡子。            
(4星)	 造型都很不能接受的说。。。不过当初啊。。。追的好起劲。。            
(4星)	 补。邵峰好帅！！！            
(3星)	 看过，不过后来弃剧了。            
(3星)	 某个暑假看的。            
(NA)	 以前无聊电视上看的            
(3星)	 还不错啦。            
(2星)	 我爱大叔，吼吼~            
(2星)	 山……寨感包括里面人物的名字            
(4星)	 因为有邵峰呗            
(5星)	 貌似那时还看得挺high的……秋霜可真是又美又灵气，这下可把公主比下去了。            
(2星)	 不知当初为啥看这片。。。            
(3星)	 布景超级滥，不过男主角还可以。            
(3星)	 不知道怎么看完的囧剧            
(2星)	 就天心还好            
(3星)	 那个时候超级喜欢两主人公。真的好配啊。            
(4星)	 一天看完的。。            
(4星)	 龙兄 龙兄 娃哈哈哈！！！！！！！！！！            
(3星)	 Parts..            
(4星)	 挺喜欢邵峰的~            
(4星)	 挺好玩的。            
(3星)	 剧情简单，漏洞不少，经不起推敲，茶余饭后消遣娱乐用。女猪脚比配角还丑，男主还不错，冲着他忍痛看完全剧。            
(2星)	 天心挺美的            
(5星)	 千万别在事前就先断定一件事，比如说你断定你绝对不会嫁给一个老头子，结果没准你就偏偏喜欢上了那个“老头子”呢？这个世界真是够多彩的，什么事情都不是绝对的            
(3星)	 正经看过不少电视剧捏            
(4星)	 我好像还蛮喜欢看的……            
(3星)	 小时候看的咯……当时好喜欢！            
(3星)	 那时候觉得天心和邵峰都好不错~所以看着还蛮好~            
(4星)	 剧情还好啦，不过总觉得演员不怎么好            
(4星)	 虽然有点粗制滥造，但是还是蛮好看的            
(3星)	 全都是小学初中时看过的。。。。。。            
(5星)	 偶然翻出来这一部……巨心水的剧～            
(2星)	 逍遥王。。记忆中的了。。            
(3星)	 我真是喜欢天心啊~~~            
(1星)	 初中时看过的一本湾湾言情改拍的电视剧，看书时各种美好各种向往，看电视时，天啊，让我瞎了这双眼吧            
(4星)	 这个我记得非常2啊            
(2星)	 不喜欢啊..以前同学好喜欢看            
(4星)	 好人有好报。            
(4星)	 刁蛮真刁蛮，逍遥真逍遥。            
(2星)	 诶……多么奇妙的演员阵容            
(3星)	 是吧是吧我看过，但是没印象了完全= =            
(3星)	 为的王爷看的。但这个剧的服装和场地也太过不去了吧。。。。            
(3星)	 这剧情太欢乐了 哈哈哈哈哈            
(4星)	 暗恋过王爷的默默撸过……虽然剧情巨狗血……加星……TUT            
(1星)	 天心 你肿么了            
(3星)	 就秋霜还成……其他都诡异……            
(3星)	 很扯的故事，觉得很顺眼的天心            
(NA)	 小时候在电视上看的，想当年……            
(2星)	 很久很久以前，很小的时候为了打发时间看的            
(3星)	 太简陋            
(3星)	 我小时候真挺喜欢看的            
(3星)	 好像看过印象不深            
(5星)	 回忆勒~~逍遥王啊逍遥王~~逍遥王啊逍遥王~~            
(1星)	 多久以前看的烂片            
(2星)	 这剧的造型实在太失败了，一个丫鬟一个猥琐。            
(3星)	 ！            
(3星)	 邵峰            
(1星)	 明明是美女，为什么要用这样的造型呢，要不是喜欢男女主，一定不看的            
(5星)	 这个 乌龙闯情关  穿越时空的爱恋的插曲都一样  是陈冠蒲的太多    很好听啊            
(3星)	 冲着天心去的 不记得故事了            
(1星)	 那个逍遥王太现代装了            
(2星)	 好烂……不是一般的烂……这剧组也忒穷了吧，服装跟从别的剧组买的丫鬟服似的……还有邵峰的小胡子……娘啊……            
(3星)	 主要是男主角我觉得可以            
(4星)	 高中的时候好迷。。。那个逍遥王。。= =            
(5星)	 貌似很好的样子~~            
(3星)	 天心那时候还蛮可爱的            
(2星)	 原来古人也有短袖穿= =长见识了。。            
