http://movie.douban.com/subject/1787819/	明朗少女成功记 명랑소녀 성공기
(3星)	 那时候张赫还挺傻的 哈哈            
(5星)	 初中时候看的。            
(3星)	 喜欢可爱的张赫，还有极其搞笑的杨顺爸妈~~            
(3星)	 蛮喜欢张赫的，是个很会演戏的人~            
(4星)	 我很喜欢张娜拉的那个时候...            
(3星)	 张赫特好玩            
(3星)	 青涩的。            
(3星)	 很久以前看过，都忘记演啥了。。但是我记得有个男同学一直追着看来着。哈哈            
(3星)	 张赫肉肉的过去。。。囧            
(4星)	 勇敢可爱的车杨顺最后和大叔在一起啦·~~~哦也            
(3星)	 张娜拉同学应该也有一两部好看的,这部算烂的了            
(3星)	 高中英语夏令营的回忆。            
(3星)	 韩剧总是快餐化            
(3星)	 好久以前看的了            
(2星)	 2003张娜拉有身衣着是我的菜 为此多加一星 大十岁的大叔嫩得跟同龄人似的            
(3星)	 050129提            
(4星)	 超爱张赫~~~            
(5星)	 迷大叔~~~~~            
(5星)	 赫啊~~哈哈！            
(3星)	 那时我傻逼            
(2星)	 没感觉 不过里面描写人生要实在 要付出 倒是认同            
(NA)	 那一年非典爆发，我们被圈在宿舍楼里看校电视台灌溉连续剧，一茬一茬的肥皂剧喂饱我们，在《寻秦记》之后看的这片，张赫有点肥，很叔叔，后来我呼唤比我年长些的男生都叫叔叔，以为显得亲热，谁知给人的心灵造成了严重的打击，扼杀了一段又一段的粉红绯闻史。            
(3星)	 讲snowy公司的破事实在编造太低级，哪有这么愚蠢的勾心斗角？            
(NA)	 很早看的，都忘了            
(1星)	 超级讨厌张娜拉            
(4星)	 前半段真的不錯            
(3星)	 当年，张娜拉很红。。。            
(4星)	 和老哥一起看的。很轻松。            
(3星)	 看过的少数韩剧之一，喜欢的是女主的个性：敢于正视现实，凭自己的努力去争取一切。总体不喜欢韩剧，但这部还好。            
(1星)	 .....骗小学生            
(3星)	 小时候和姐姐租碟看的，张赫挺帅的嘛（虽然我现在完全想不起他的脸），现在都不见了。            
(NA)	 张赫 帅            
(4星)	 张赫年轻的时候挺囧的。他的胡子比较帅。            
(3星)	 阿加洗~            
(NA)	 原来我从小到大看了那么多韩剧..因为男女主角我都不喜欢            
(3星)	 不可思议。            
(1星)	 电视抢不过妈妈，只好看之19            
(3星)	 张赫大叔很有爱的            
(4星)	 long long ago            
(3星)	 土土的。。            
(4星)	 呵呵~不错的~            
(NA)	 当时喜欢张赫哎            
(2星)	 她的剧都没意思            
(NA)	 傻气            
(NA)	 好早的。            
(3星)	 比另个张娜拉演的好看内么一点点            
(NA)	 张娜拉的动作太硬了            
(3星)	 呵            
(NA)	 05年的暑假~~迷上了帅帅的张赫~~            
(1星)	 oh my god，原来男主角是张赫！可能看得太晚，觉得剧情俗气，张娜拉的校服难看1            
(NA)	 更奇怪自己为什么看这部片子？！(打死不给星，讨厌张娜拉)            
(4星)	 看过两遍的电视剧            
(5星)	 张娜拉和张赫            
(3星)	 当时觉得张赫帅呆了,长得像玄彬呃......            
(3星)	 因为张娜拉看的~            
(4星)	 坏怀的张赫。            
(3星)	 无聊时看看还可以            
(3星)	 张赫            
