http://movie.douban.com/subject/2193492/	屋顶上的绿宝石
(2星)	 总是有人傻傻的付出。            
(4星)	 要不是霍建华我怎么能忍完30集。结局竟还这么残念            
(4星)	 纯粹是喜欢孙俪            
(3星)	 最终莫家绮说，为什么我们这么努力，最后还是不能在一起。            
(5星)	 当年就为了这部片去的海南啊啊啊啊啊            
(3星)	 当时看的津津乐道，不知道为什么            
(NA)	 Q            
(4星)	 青春片经典的总归少，只要风景好，就值得肯定。            
(2星)	 ==+            
(2星)	 一般般吧。            
(3星)	 哈哈哈 我居然看过这个~ 这部电视剧让我发现霍建华很帅啊~ 哇咔咔~            
(NA)	 补遗               
(4星)	 Hell！哪个杀千刀的编剧搞这种假悲情的结局 老娘真想一刀捅死你算了！What a hell！            
(5星)	 那个暑假看的疯狂            
(3星)	 爱情吧总是波折了又波折。            
(3星)	 高中时候晚上吃饭必看的 脑残剧            
(NA)	 因为这部剧认识郭静的歌~            
(3星)	 “很多事情是不能强求的，就像海南岛永远都不会下雪一样。很多事情过去了就是过去了，回忆终究是回忆。梦醒了，你还是得回到现实里面去。”             
(4星)	 当年看得我眼泪哗哗的~霍少那叫一个美啊~~            
(2星)	 女主角真是一大败笔！！！            
(3星)	 男主角你的身高实在让人促狭            
(2星)	 什么破名字起的            
(4星)	 农历八月初四是白露——太阳过黄经165度 夜凉水汽凝结成露 听说在白露第一道曙光出现的时候 把一颗绿宝石交到恋人的手上 那么这对恋人不管遭遇多少的磨难 他们的恋情将永远无坚不摧            
(4星)	 相爱的人就应该在一起，即使是自私的            
(NA)	 我们都这样越来越苍老            
(3星)	 终于看完了，于是我从4星给到了3星，后半部分拍的不好            
(NA)	 最不喜欢这种情节的电视剧了，烂俗。            
(NA)	 结局太悲伤            
(3星)	 一部别扭的青春片，不过总体还行            
(NA)	 言情。。            
(4星)	 剧情狗血，剪辑坑爹，尤其是在uk那段，念中的生活场景一集里重复了3次...uk外景很有限...london bridge出现率好高，每次都是夜景，一度以为是棚里幕布orz...不过仍然会勾起在uk的回忆...另学生时代那段很有共鸣，真的很无忧很happy哦，孙俪演技不错~1星场景            
(3星)	 = = 一直把孙俪当成张韶涵            
(3星)	 最后一集，扭转得生硬而又夸张，成了彻头彻尾的悲剧            
(3星)	 胡宇崴！！！！！！！！！！！！！！！！！！！！！！！！！            
