http://movie.douban.com/subject/2377263/	紫藤花园
(4星)	 等了许多年，还是等不到下部！            
(3星)	 永远在等下部- -            
(3星)	 MS只记得名字            
(NA)	 很喜欢的一部电视剧，可惜只拍了上半部            
(NA)	 姥姥，下部一直都没出呢            
(4星)	 当年看的很迷，似乎只有上半部            
(3星)	 剧情差不多快忘记了            
(1星)	 貌似超级无聊的...            
(5星)	 看过的第一部爱情片啊。            
(5星)	 这电视剧从来只放上部不放下部！！！！一边难受一边看完了结局！！！！            
(NA)	 10年之后还看了这个剧的书，唉。。。当时记住了一个词儿叫“相敬如宾”            
(NA)	 早上起来看这个。            
(4星)	 我妈妈超爱的  这么多年也没看到下            
(NA)	 就記得有個要生孩子的女的            
(3星)	 记得华生            
(NA)	 没有下部            
(3星)	 记得有点傻乎乎的两条辫子            
(4星)	 一直记得那一片紫藤~            
(5星)	 记忆又深刻又模糊            
(NA)	 小时候看的烂尾电视剧。。。            
(3星)	 发现了，我看的电视剧是杂。。貌似这是个悲情剧            
(4星)	 记得，一直在等待结局……            
(4星)	 童年回忆            
(4星)	 小时候的记忆            
(4星)	 这么冷门的电视剧我也看过，我就是这样长大的。            
(NA)	 哦...小时候的回忆啊！！            
(3星)	 看过，记得大概，好像不是结局的结局            
(3星)	 小时候和妈妈的最爱，囧。            
(3星)	 小时候迷恋得不得了，现在想起来，大概也就是觉得男主很帅吧，女主还是比较乡气的。            
(NA)	 N年前看过的了，除了记得这个名字啥也不记得了            
(3星)	 印象已经非常模糊了，但居然记得剧名            
(NA)	 好像很小很小的时候看的很起劲的电视剧~~~            
(3星)	 就记住了紫藤花~            
(5星)	 因为妈妈喜欢！            
(2星)	 还是小时候的垃圾电视剧            
(3星)	 终于找到了,印象很深            
(4星)	 印象里，劇情好像很糾結？            
(3星)	 哈哈哈哈哈哈哈我竟然还记得，姥姥姥爷也记得            
(3星)	 在哪儿能再看一遍呢            
(4星)	 基本是忘记了            
(3星)	 怀念啊，痴恋啊……            
(4星)	 我记得那片头曲我小时候觉得很很很好听            
(NA)	None
(4星)	 我擦 小时候我看过这个！            
(3星)	 哎呀我还看过这个！！            
(3星)	 无论你离我多么遥远 我永远是你藤枝上的绿芽            
(NA)	 很想看下一部            
(2星)	 和妈妈姐姐一起看的，一直期待着续集，可惜没了，印象最深的是插播的广告：城里的人啊，乡下的人啊，都一样.........洗发水广告来着            
(NA)	 这个片没有播完就没有了            
(NA)	 啊，也是初中的中午播出的电视剧啊，其实我喜欢里面那个少爷            
(3星)	 OMG勾起我童年回忆啊            
(4星)	 小时候和家人的回忆            
(3星)	 感觉好雷雨啊!            
(4星)	 居然还有这个，貌似结局不太好，印象很深            
(3星)	 卧槽 我小时候也看过欸！！！大辫子姑娘什么的！！！只记得大辫子了！！当时我家还是十八寸电视机欸！！！时光倒流二十年什么的。。            
(3星)	 记不清了 但是好像是看过的            
(5星)	 我真的很想再看一遍！！！            
(5星)	 小学时候，热播的全班都在讨论。。。            
(NA)	 小时候还觉得紫藤挺好看，怎么现在看很囧            
(3星)	 只记得那颗紫藤树            
(3星)	 还去找过书来看，这片化妆不行，女主身材不行~~~~~~~            
(3星)	 小时候和奶奶一起看的。            
(3星)	 年轻深情的男人，有挺直的鼻梁和桀骜不拘的性格，迷人啊。女主却不够漂亮。            
(NA)	 4            
(4星)	 一直期待过续集~            
(3星)	 这片有印象，小时候看过~            
(NA)	 只记得我看过。            
(5星)	 那时对女猪脚的名字好生喜欢~~            
(3星)	 借用陈辰的话：记忆又深刻又模糊。            
(3星)	 其实现在看紫藤的演员，觉得有点壮，当时还是很喜欢的。            
(4星)	 遥远的记忆啊～紫藤花园！            
(NA)	 小时候看的时候就一点都不同情女主角，隐约觉得里面的恋情太畸形，女主角多灾多难是因为自作自受，毕竟一个丫鬟就该本分些嘛。            
(4星)	 我们这一带的人大概小时候都看过。校区的紫藤花很漂亮呢。            
(NA)	 对人的设想，是要分时间段的。   人再多的聪敏智慧在动乱的 环境中也还是会手足无措。            
(NA)	 记得当时年纪小a~            
(4星)	 少爷爱上了丫环，如果用现当代文学史老师的观点分析，这其中有不可逾越的阶级鸿沟，不可能真正走到一起。故事还是很吸引人的，可惜没有看到结尾。            
(5星)	 当年的胡亚捷多帅啊            
(NA)	 第一次邪恶地站在反面人物的战线！            
