http://movie.douban.com/subject/4236823/	偷心大圣P.S.男
(1星)	 养眼的卡斯，俗套的定位，狗血的剧情，还有那个到处装无辜的锅盖刘海小孩，哎:[[[[[            
(2星)	 千篇一律的剧情就是台剧。还有造型，只要是类似灰姑娘的角色，女主角一定戴一副黑框大眼镜。            
(4星)	 为蓝正龙给4星~~            
(2星)	 马小茜性格塑造得不好，婆婆妈妈，扭扭捏捏。还有，是人都会选孟承恩            
(3星)	 长久不看，弃了。偶像剧的价值在于一集一集追，对隋唐实在无爱。            
(2星)	 看到06集决定放弃，尖酸刻薄油嘴滑舌，耍小聪明，摆酷耍帅这些都可以接受，甚至觉得有点可爱，在那张帅脸的陪衬下，直到预告07为了1500W要爆自己追求的女人的打隐私上报，iQuit 。《GG》里C为拿回酒店而默认B去陪自己叔叔，B quit。不拿心爱的人做交易这有多难？            
(4星)	 温升豪一出场就好弱...完全斗不下去嘛            
(2星)	 剧情...抄袭的德国的甜蜜幼儿园...哎~             
(3星)	 看见Blue的发型我就不想再看下去了            
(3星)	 一上来恶搞蔡康永和小s很赞            
(2星)	 正男被毁!!!            
(4星)	 隋唐演技过于刻意，蓝正龙这个够不要脸演得好            
(NA)	 夏和杰选择马小茜，我选择不看            
(4星)	 没办法啊。。蓝正龙是我的菜～            
(3星)	 都是隋棠            
(5星)	 近期很好看的一部！            
(3星)	 马蹄铁钻戒！！！奥老啊~            
(3星)	 可怜的BLUE，可以与你配戏的女人，越来越失水准            
(3星)	 滥俗死，不过靠蓝正龙的脸真的可以撑足几十集。。追看电视剧。。恩，从高中毕业后就没干过这种事情。。我真该睡觉了。。            
(3星)	 隋棠就算这样也是大正妹好吗 麦闹了~~ 差不多该结束了，一集我花五分钟就看完了。隋棠温昇豪再加上蓝正龙和标准女配钟欣怡，怎么也算是硬底子团，出了这个效果编剧真的应该自己把自己吊电扇上找人抽打自己然后想想到底怎么了。            
(3星)	 看了半年才看完。            
(2星)	 倆人搞對象搞了18集還沒搞上有這時間我自己搞了            
(1星)	 女主角难看演技还暴差，是我近五年内看过演技最差的女演员了（比大S,钟嘉欣还差）还有编剧脑残的常识匮乏令我震惊 不然仁慈的我还能给个三星            
(4星)	 温升豪我的理想型            
(3星)	 最后的一集太假了！            
(2星)	 太拖了            
(2星)	 做作！集所有做作于一体！亏我还喜欢白白和隋棠，那演技简直没法看。拜托凯渥下次让他们的模特拍戏前先把演技练练好！            
(3星)	 为了赵哥看了第一集，后来就没看下去了。第一集cos小S好像！康永哥就有点挫了。。            
(3星)	 其实我只是去看第一集的            
(2星)	 棠棠是我的女神呢~太完美了~            
(2星)	 剧情抄《无耳兔》，眨眼抄我的《鬼马》，哼。            
(3星)	 学长在preview里很帅，那个侧面，啧啧啧.......            
(3星)	 隋棠好看            
(4星)	 隋棠好美。            
(3星)	 无聊的时候在芊芊家看的，姐们几个实在受不了。            
(NA)	 纯童话            
(3星)	 好吧，看到11就有点看不下去了            
(3星)	 和马小茜一样不敢相信虽然结构还是老套~可是又喜欢看happy ending            
(3星)	 冲白白和隋棠去的。。。美女帅哥唯一看点            
(3星)	 没有Blue 根本不会看 哎~            
(NA)	 蓝正龙很帅 白歆惠很美 小小彬很可爱  这就够 了            
(3星)	 太糾結了..來來回回的。藍正龍好帥..小小彬戲份好少..            
(3星)	 就看看吻戏什么的= =偶像剧真的不是我的菜，都不被感动的。看了快十集弃掉了            
(3星)	 blue总有点大S男人通有的残留味道。            
(3星)	 开场不错...非常轻喜...第一集就看到赵哥 XDD             
(NA)	 瞎            
(3星)	 两大名模不可忽略的光芒各减一星。蓝先森，你的演技用不着他们来衬的吧~~            
(3星)	 好稀饭白歆惠            
(3星)	 真不忍心刷这种条目……吐槽一下超级无敌像蔡明的阿嬷！            
(4星)	 不錯的台劇了            
(NA)	 一集棄，太鬧了。            
(2星)	 剧情太假，努力了半天没有跟下去            
(3星)	 看了10集 - -先放着            
(4星)	 温升豪好帅!!!这种有帅哥美女的剧才好看!!!!            
(4星)	 还不错啊 评价好低啊~            
(2星)	 隋堂一般，没觉得很漂亮啊            
(3星)	 蓝正龙 很帅 =。=            
(NA)	 就没有坏人了咩？也太完美了吧。。。            
(3星)	 果然孟成恩是我的菜            
(NA)	 哎，看了个开头，只好跳着把剩下的看完。            
(3星)	 我竟然有耐心把它追完，神啊&gt;&lt;！            
(3星)	 blue真的越来越帅了啦~~            
(3星)	 宝岛姑娘倾情推荐，但是不待见隋棠这妹子撑死两集弃，其实蓝正龙还不错，《金色年华》里可棒了好吗（心            
(4星)	 常听人感慨现在这个社会再也没有刻骨铭心的爱，看了它以后，我觉得恐怕是我们每一个人都不敢不顾一切的爱，100%的爱另一个人，信任一个人。纵然到最后，我们没有在一起，也不会有什么遗憾，因为曾经的你付出了100%的真心。与其患得患失，亦步亦趋，倒不如痛痛快快，无痛不快            
(4星)	 又是一个美丽的结局。。。            
(3星)	 昨天追到13集，马小茜是不是太理智了一点。明明喜欢却要拒绝这个人进入自己的人生。这选择是对是错啊。结局依旧圆满。            
(2星)	 如此脑抽的台剧我居然也看了，god, i need help            
(2星)	 为了看白姐我通宵居然看台剧。。草了 纠结了。隋堂我好恨你！偶像剧TM为毛非要找个齐刘海做作又可爱又心地善良的村姑演世界才美好？操 白姐我爱你。看这你11集哭了 我也为你深深的流下了眼泪。。。            
(3星)	 看完最新出的完结 想说 这种含蓄的表达爱了的方式 很喜欢~            
(4星)	 没想过，当中一些台词还挺特别。虽然依然是一部狗血的偶像剧，可还真切合时代步伐。。。            
(4星)	 隋棠，正！白白，优！            
(4星)	 台湾剧情都差不多，不过看看帅哥美女也不错。            
(NA)	 歌还行啊            
(2星)	 隋唐SB            
(3星)	 额 是吧 我是冲着赵哥去的 看不下去了            
(4星)	 雖然結局狗血了點，但也算是大齡女青年的福音啊。            
(3星)	 我倒要看看这编剧要怎么拗回来。。。。囧。。。。。第一次觉得蓝正龙好帅            
(4星)	 只为隋棠而看            
(3星)	 主题曲和片尾曲真好听~！&gt;&lt;蛮喜欢这次的演员阵容            
(3星)	 看了几集= =            
(3星)	 重新爱上Blue.            
(3星)	 剧情是在有够扯的 节奏慢到不行 全剧只为温升豪而看            
(NA)	 這種片子每次到最後都看不下去。。。。。。            
(NA)	 看了甜蜜幼儿园就不想看了，弃于。。。第5集吧            
(2星)	 哎 臺灣嘔像劇啊..            
(NA)	 后面看不下去了。。。            
(3星)	 第一集看上去还行，不过——烂尾了烂尾了烂尾了烂尾了烂尾了烂尾了每个人都演的好干……            
(2星)	 看不下去了            
(2星)	 台剧真是数十年如一日地烂啊！！            
(3星)	 看不下去了。。。中途放弃            
(NA)	 最後一集劇情有夠硬掰的...= =            
(3星)	 纯为看蓝正龙            
(4星)	 具备偶像剧的一切元素 男一男二性格差不多  男一像言承旭和陈坤的合体            
(1星)	 除了还是很喜欢隋棠之外，一无是处！！！！一地老梗。每个梗都给我猜到了，我做编剧好吗？如果不是我妈要我陪看，我真半集都看不下去            
(NA)	 【2010-02-28】            
(3星)	 片头什么的都挺吸引人的。。。但是看完了没啥印象- -            
(4星)	 故事虽然无聊也老套，但是里面的台词是比较赞的，可能 也有抄袭和翻版，但是蓝正龙倒也能够念得酣畅。有部分拖沓，但也不乏紧张和让人觉得想看下去冲动，所以，我愿意给他四颗星。            
(4星)	 给蓝正龙的星            
(2星)	 horrible ending            
(3星)	 学长又垫背了 T^T  实在不喜欢隋棠            
(3星)	 花痴。。。我都看了些什么。。。            
(4星)	 矮油，隋唐好清纯啊。            
(5星)	 蓝越来越帅了            
(2星)	 只有片尾曲合我心意。。。。。。            
(3星)	 这个……剧情设定也太抄袭了吧            
(NA)	 所謂的愛情專家卻在真愛面前徜徉膽怯，受過傷害裹足不前，可恥，女主更是不豪爽扭捏至極，將愛人拱手相讓就是偉大，可笑，男二霸氣深情一片，不畏女主的拒絕，那場深夜奪車輸血救愛形象大贊，女二犧牲名譽成就真愛付出真心，遭受拒絕，勇敢向前，男女主角個性塑造太過失敗，反而成就了男女二號的光輝            
(3星)	 哎呀~~蓝正龙变活泼了            
(NA)	 我们没有在一起至少还像家人一样总是远远关心远远分享你不知道吧后来后来我都在想我们没有在一起至少还像朋友一样你远远的关心其实更长            
(4星)	 孟承恩很帅            
(4星)	 花心臭屁假文艺，但是男女之间那回事，讲得真是好，撇开演技啦            
(3星)	 不知道自己是怎麼堅持看下來的。            
(2星)	 想看隋棠。但是这个片子的人物塑造都走偏了。            
(3星)	 假假的。蓝正龙还不错。            
(3星)	 13集以后开始快进，女主角的脸和个性真受不了，变帅的蓝正龙是我看下去的理由            
(3星)	 剧情很拖沓阿，女主角们的演技那真是十分的狗血，爱死温SIR了，怎么总是那么帅阿            
(2星)	 没点            
(2星)	 没有温升豪这部剧简直不能忍.... 抱歉我还是弃了我跟我妈坚持到第10集实在撑不下去，情节太烂女猪明显选错演员了隋棠的假刘海看得我火大，蓝正龙演技提升了角色揣摩却偏了，我不知道男猪是本来就贱还是被他演成这样的。白白依旧花瓶着，2星温升豪全给温升豪了妈的他什么时候可以演男一！！！            
(4星)	 总是喜欢狗血男二号~            
(3星)	 电影院表白那段特有共鸣。结局皆大欢喜，挺好，就这样吧。            
(3星)	 蓝正龙帅的.但是剧情越来越拖拉            
(NA)	 蓝正龙很对味            
(3星)	 学长依旧是亮点            
(3星)	 没有看完。。。看不下去了            
(3星)	 两个男主演是亮点，女生都不怎么样。。。            
(2星)	 好长的一部剧。实在受不了女主。一星给温升豪。            
(3星)	 狗血的剧情，浪费了尽力的表演。            
(3星)	 越往后越拖            
(NA)	 断断续续的看，编剧真是烂吖，浪费开头结尾那么好听的两首歌。            
(3星)	 开始很恶心 中间能接受了 结尾很啰嗦             
(2星)	 冗长无趣            
(4星)	 晚节不保，那么大岁数了又开始看台湾偶像剧，还因为这部剧迷上了蓝正龙···剧情太拖沓，不过男主角性格很新鲜，不像是一般偶像剧里面会出现的，女二号也不是传统意义上的”坏人“，女一号嘛，难得现在台湾偶像剧里有那么漂亮的女一了            
(NA)	 烂尾了。。。            
(2星)	 烂。            
(2星)	 一周一集的折磨我 到了19集我彻底受不了隋唐的假了 连蓝正龙的美色都吸引不了我了            
(3星)	 搁下了就没情绪看下去了。。。            
(NA)	 我還是覺得BLUE很帥 還是很喜歡看沒有營養的偶像劇            
(3星)	 纯粹是为了看blue和隋棠，不过这结局也太仓促了吧            
(3星)	 越到后面越拖沓。。。            
(5星)	 大爱啊！！！！！我追过的最猛的一部作品。            
(2星)	 快进中的快进。。。我~@！@#@！￥￥#%%￥……            
(3星)	 女主角 你不要太聒噪  你不要优柔寡断好吧 我是为了小小彬去的            
(3星)	 11集之后无法忍受            
(1星)	 看了第一集完全不知道讲了些什么，很无聊，我只期待小小彬~            
(3星)	 小藍的角色特質越來越固定了            
(4星)	 喜欢blue，不是因为大小s，因为他是blue            
(3星)	 总有一盘台菜，是你喜欢的。            
(3星)	 看了半年才完，佩服自己的耐心啊~~~一句话还真不怎么好看！            
(3星)	 为了北极熊学长看的，白歆惠和隋棠身材真好            
(1星)	 弃            
(4星)	 弃            
(NA)	 哎呦我勒个叉叉 我真不好意思说我看过。            
(3星)	 我的耐性已经完全被磨灭了~~~            
(4星)	 才发现，蓝正龙真的很帅，垃圾结局，sb编剧            
(3星)	 换个名字我就给4星！Blue@_@!            
(3星)	 又瘦又高~~基本看完了~            
(3星)	 梦想很坚定，但最后的实现太过虚假。            
(3星)	 又是莫名其妙的绑架，下一站幸福也是，三立的编剧是不是只会用绑架ending啊！            
(3星)	 豪豪好帅，blue好拽。。            
(2星)	 最后的马老师变得一马杀手似的= =            
(3星)	 结尾太仓促。            
(NA)	 不喜欢女猪脚，弃。            
(2星)	 nnd，为了blue看了多少雷人的电视剧啊，编剧和女猪脚简直就是sb中的sb            
(3星)	 我真是不懂得欣赏白目女主角及其白目家族。全当是为了看白歆惠。但也终于忍不住，弃于第7集。            
(3星)	 20            
(4星)	 完全是因为喜欢白白~            
(3星)	 最近每周追剧，被蓝帅秒杀，大S喜欢他不是没有道理的            
(3星)	 温升豪帅翻了啦！！！结局真狗血……            
(3星)	 很好听的主题曲，强大的卡司（配角比主角马相好），养眼的道具（apple,audi应该是赞助商），俗套的剧本。最后一集还没播，我放弃了。            
(3星)	 如果没有孟成恩+2星  这部片应该死的很难看            
(4星)	 原先是冲着blue去的 结果吧再次觉得温升豪灰常滴帅这种绝种好男人生活中根本不存在啊 隋唐还是气质款            
(2星)	 除了第一集  实在看不下去了             
(3星)	 仅以一个习惯的状态看完整不电视               
(4星)	 蓝正龙………………            
(3星)	 惨绿青年温升豪            
(3星)	 Blue还是那个Blue，可是很多东西都变了。白白很喜欢，比隋棠好太多。总之，终于完了，这剧太虎头蛇尾。            
(4星)	 一直追，看到后面就无趣了，囧            
(NA)	 囧,好壮的白白,无趣了            
(3星)	 其实很不喜欢马小茜这种女的，好像永远都对自己身处的环境不满意，整天丧着脸，好似怀抱梦想又很不阳光。好歹看到了结局，勉强给个及格。            
(2星)	 在第二集 弃！！！！            
(3星)	 真的是纯粹看人了，啊，没有很喜欢的剧情，只有严爵的配乐比较喜欢。            
(3星)	 其实真的很一般，也不喜欢蓝正龙这个角色，太痞了，还是温升豪的角色后面转变的还比较让人能接受~看到的是许多偶像剧的影子的缩影，真的还是觉得很一般，我还是喜欢任光唏~PS本来对隋棠很期待的说，但是平刘海真的很没有魅力，穆雷莎杀多了            
(2星)	 copy狗仔男友的内容            
(2星)	 三立制作的偶像剧里算比较差的            
