http://movie.douban.com/subject/4016485/	杜拉拉升职记
(1星)	 雷！跟电影比起来，电视剧更不堪入目，这哪像是世界500强公司的职员啊？！            
(4星)	 李光洁版的王伟实在是太赞了！！！            
(1星)	 好吧，我承认我没看过就评分了。因为有王珞丹。。来拍我吧拍我吧拍我吧我讨厌王珞丹            
(3星)	 比想象中好很多，起码比电影版强出几倍，至少有不少关于职场的内容，至少有些台词很逗乐，至少桥段虽然俗气可是看着不让你腻歪，至少明星虽然不是特别大牌但还有陈慧珊，至少李光洁版的王伟比黄立行帅的甩出几条街。。。断断续续看完了            
(NA)	 1.王伟的每个眼神和表情，都太有爱了，他完全成为一个形容词！李光洁完胜！ps:他和王拉拉好配！2.没有事是完美的，你就是我心目中的王拉拉，干得漂亮！            
(4星)	 比电影版好看多了~            
(2星)	 很失望啊，根本就是钱小样升职记嘛，哪有二百五加倔牛升很高的职啊。。。而且书里面拉拉一直鄙视王伟的情商，这里面王伟的情商明显比拉拉高            
(4星)	 比电影靠谱多了！            
(4星)	 每个女生心中都有一个王伟。            
(5星)	 相当好看，人物刻画的很真实，李光洁演的很不错            
(NA)	 比電影強多了。            
(4星)	 在电视剧的面前，徐老师的那部电影就是尘埃！            
(3星)	 比電影好            
(4星)	 不错 情节丰富曲折 比书里的故事更像500强外企职场 李光洁演的挺好 北京爷们儿 很贫 hiahiahia            
(3星)	 李光洁感觉不错            
(2星)	 王珞丹是个好演员，本子也挺有意思，可到底为什么这剧拍出来像一个粗制滥造的华研MV杂烩合集？            
(4星)	 这电视剧拍得虽然很土，没有电影版的时尚和华丽，但是很接近原著            
(3星)	 王珞丹比老徐更像拉拉，李光洁的王伟比黄立行强百倍！            
(4星)	 值三星，但是在国剧普遍只值一星的条件下，再加一星鼓励。我觉得王珞丹就是杜拉拉，这是部披着偶像剧外衣的正剧，你可以把它看成励志故事。李光洁应该偶尔演点这样轻松的作品，绝对的实力派，应该让自己更多元。            
(2星)	 鸡肋。男主角倒真符合小说里的。            
(4星)	 喜欢王珞丹 于是乎她所有的电视剧电影都看了····讨厌李彩桦的表演 永远是那么假 不过看这部剧 瞬间对李光洁很有好感 硬朗型的男人 总是能够让人沸腾~            
(NA)	 严重同意“李光洁就是王伟”这个说法，王珞丹演技没有很多突破，不过仍然很喜欢她！大爱他们的版本！            
(4星)	 挺好，至少比电影强。Ps：王若丹很傻，李光洁刚好            
(4星)	 贴近小说人物形象，一气呵成，不枉期待            
(1星)	 囧   我觉得王珞丹很像林无敌            
(3星)	 剧情从中间开始比较忠于原著，比电影好多了。最大的惊喜是李光洁，不错，演技好，人也有轮廓！            
(3星)	 比电影版的靠谱，王珞丹超过了我的期待，李光洁演得很不错~            
(2星)	 这个杜拉拉，一股子钱小样的味道            
(4星)	 杜拉拉告诉我很多小秘密。让我胸怀广阔。真是好姑娘。            
(4星)	 sigh&#39;~上天赐我一个王伟！！！李光洁绝对的实力派呀~~除了偶像剧戏份虐心点，我觉得这一对儿还挺看不够的~不够华丽，却比电影踏实多了。。。            
(4星)	 只想说，比电影版好看多了~好喜欢李光洁~把王伟诠释得很好！！！            
(2星)	 这有演技可言吗。。。。。            
(2星)	 烂得不行            
(5星)	 想要个王伟！！想去静冈！！推荐            
(1星)	 为什么我觉得糟糕透顶，这个杜拉拉完全失真，太2了，求你们了，这是职场故事不是灰姑娘，杜拉拉是白骨精不是傻大姐            
(4星)	 比电影版靠谱多了            
(2星)	 王珞丹我服了你 太傻叉了            
(3星)	 谁送我个王伟！！！！ = =！整个剧就为了哈他。。。            
(4星)	 比电影版好很多。李光洁把王伟塑造得很饱满嘛～王珞丹弹性还行～            
(5星)	 不要总拿原著说事，我到觉得电视剧版把人物刻画得更丰满            
(3星)	 李光洁李光洁……            
(NA)	 我喜欢李光洁            
(4星)	 被王珞丹的上海话萌到了，“好伐啦！”            
(3星)	 王珞丹的米莱太深入人心了，以至于以后所有的角色都像是在看米莱跳槽一样···            
(2星)	 王洛丹的米莱形象改不了了            
(2星)	 好无聊啊，爱来爱去的。            
(4星)	 李光洁把王伟演活了。。赞！            
(2星)	 这杜拉拉简直被拍成了傻大妞一个            
(1星)	 比电影还不靠谱，真是的，乱改什么，原本聪明厉害的杜拉拉被改成了一个神经粗大、老实好欺、傻不隆冬的笨女人，看得真叫一个郁闷！            
(3星)	 选角很不行，跟靓丽的电影版不能比~配乐，背景都很不行……特别是女主角，一个北京天真小丫头来演城府颇深野心勃勃的杜拉拉，要人情何以堪啊……特别是她的哭戏，哭得好难听好丑~~相比之下，老徐演的太好了。。。            
(NA)	 不好看~            
(NA)	 没有电影版都市            
(3星)	 这个编剧一定看过《浮沉》。。。。            
(NA)	 老师编剧的戏            
(4星)	 王珞丹一直挺喜欢            
(4星)	 很韩剧的杜拉拉，很北京爷们儿的黄四宝版王伟，很眼熟的纠缠不清的两男两女，很金枝玉孽的职场战争，很和谐的结尾，很爱看。            
(NA)	 一看电视剧就发春。以后不看了，肯定不看~~怎么会有李光洁版王伟这样的男人~            
(3星)	 广告比咱想象的大！            
(4星)	 如果将电视剧独立出来的话，还是国产电视剧的佳品......只是，不怎么喜欢结局            
(4星)	 看拉拉从&#34;傻姑&#34;怎么变成&#34;白骨精&#34;,最后情场职场双收.前十五集赞，后面就堕落成偶像剧了。            
(1星)	 一泡大便一样的杜拉拉             
(NA)	 剧情俗的一塌糊涂。            
(4星)	 1.哭点竟然是在公司物是人非而不是爱情戏!李光洁很有味道啊!2.虽然不喜欢&lt;说谎&gt;,但是看几分钟就来一遍林先生的声音我还是很荡漾的!3.王珞丹在这部戏里没有前两部的感觉好4.杜拉拉这种人是不太可能真出现在职场上的吧5.在上海拍的,各种地点都好熟悉- -感觉跟家门口看戏一样!            
(4星)	 忠于原版，过程比较精彩。两天一下子看完，作为一个一直追逐原作的，对于这样的改编的满意程度，远远大于电影。杜拉拉，不单单是纯粹的爱情剧，或者说你弄些漂亮衣服就可以打发掉的。这点电视剧版做的还算挺不错的。            
(4星)	 我梦见了 两个人的荒岛 你要不要            
(4星)	 比电影强多了~李光洁把王伟演的很有魅力！杜拉拉也觉得就是自己身边一个朋友样，一步一步成长。有亲切感            
(2星)	 难道是对王珞丹期待太多?开头的两集杜拉拉做为一个职场菜鸟也菜的太过份了点吧...导致没有看下去的欲望...            
(3星)	 我其实对王伟这个名字很是接受不能，之前电影版的更是叫我浑身难受。但是看完电视剧之后，我真的很想大叫：王伟，我爱你呀！李光洁长的太正了，除了太阳穴那边有些沟壑。瑕不掩瑜。造型师真的很偏爱他，女主的演技太差劲，女二确实比以前漂亮了很多，十分厌恶夏红老公。片子还可以就是觉得有点虎头蛇尾            
(3星)	 还不错，比较接近我们普通职员的生活，比较有亲切感，还不错吧            
(3星)	 看这演员阵容一定会很好看滴\(^o^)/~            
(3星)	 跳脱不出米莱的“杜拉拉”。            
(2星)	 杜拉拉爱情记？            
(3星)	 拉拉……你穿的衣服真的好怂啊。。。            
(3星)	 比电影要好，仅此。            
(4星)	 没看过电影版，所以绝对电视剧还算不错！            
(1星)	 一泡屎            
(2星)	 太矫情了……王珞丹从头到尾都是苦瓜脸谁看谁郁闷……            
(3星)	 没有王络丹就没看点了。            
(3星)	 王珞丹再不突破下演技就要完蛋了            
(3星)	 终于看完了 虽然比原著差很多 但我觉得王伟演的不错            
(1星)	 王珞丹就是假 有你这么上班儿的 一撅嘴就有人哄着你 你谁阿            
(NA)	 就是喜欢王珞丹啊。。。            
(2星)	 你们敢拍得再土再山寨再矫情一点么，糟蹋了个好本子啊啊啊            
(2星)	 跟电影比 略强有限 各种莫名其妙            
(3星)	 离谱了，王珞丹不适合杜拉拉的角色            
(4星)	 比电影好看多了~生物钟被打乱了，我的黑眼圈。。            
(4星)	 开始觉得王珞丹演得火候不够，但看到后来觉得她把拉拉那种感觉演出来了！            
(4星)	 虎头蛇尾。            
(NA)	 此片很喜欢让林先生唱《说谎》╮(╯_╰)╭            
(4星)	 麦斯威尔很好很强大~~            
(3星)	 李光洁不错，其他的差强人意，王珞丹就算了。            
(3星)	 比徐静蕾那个中老年版看着靠谱儿。            
(2星)	 土得掉渣的视觉，土得掉渣的演技            
(5星)	 电视剧版比电影版靠谱.            
(3星)	 这个比电影的剧情要好很多。            
(4星)	 有些改编剧不能当原著看四星很勉强，要是能精简点就好了            
(3星)	 老徐太赚了，赚票房、赚广告，还可以赚个帅哥抱来楼去            
(3星)	 说实在的两个拉拉我都不喜欢 害得我连看书的兴趣都没有了            
(2星)	 王珞丹演杜拉拉太做作了。求你别再假惺惺的笑啦。。。。|得，我是真的不想看了            
(4星)	 还可以            
(4星)	 1.和電影版相比 更喜歡這個一些 不過不管cast還是服裝都不如電影的養眼 2.看電影的時候不喜歡杜拉拉以為是因為老徐 看完電視劇我還是不喜歡杜拉拉 看來我是不喜歡杜拉拉本人 3.李彩樺怎麼被摧殘成這副德行了 而且永遠都只有一個表情            
(NA)	 一个为男人死去活来的老拉拉            
(5星)	 爱上了李光洁~~O(∩_∩)O哈哈~角色魅力吧大概~            
(1星)	 囧，好在我去下了小说看……            
(3星)	 这社会杜拉拉越来越多了...            
(3星)	 我觉着吧...王珞丹貌似感情戏不行...总觉得不在点上诶。            
