http://movie.douban.com/subject/1476422/	新成长的烦恼 第一季 Lizzie McGuire
(4星)	小时候看过的，那时非常喜欢。某一集里看到了我那时发梦想嫁给的AaronCarter
(5星)	那年夏天。
(4星)	感觉身边的朋友很重要，在学校生存
(4星)	这个电视剧是她最黄金的时刻
(3星)	歌还可以……演员挺烂的！
(4星)	CCTV8 喜欢Adam Lamberg的Gordo
(2星)	抽风和不好看……看了一集就不愿再看了。
(4星)	很赞。和老版本比起来一点不差。
(5星)	是我最喜欢的美剧。
(NA)	以前在中央8看得。还蛮有意思的。嘿嘿
(5星)	全是童年的回忆
(3星)	虽然肥皂但是是我喜欢的美国校园~
(4星)	就是有这样精灵的bff和百问不倒的类似gay闺蜜守护宠幸你
(3星)	Duff的身材真是婴儿肥十足，剧情，我都忘了。
(4星)	旧了点
(4星)	。。。
(5星)	还剩最后一集 就没有了 我的生活该何去何从呢？
(4星)	作为青春剧还是蛮好看的，当时暑假很喜欢啊~~~
(5星)	初中时代的暑假~~弟弟超贱超可爱
(5星)	我喜欢liz和aaron carter的那一集！！！那个kiss太有爱了。。。我爸爸妈妈都最喜欢马特！！！讨厌的孩子
(5星)	mark多可爱。Hilaryduff标准美国小甜心呀。
(NA)	I&#39;M TOO OLD FOR IT.
(NA)	算瞅过
(3星)	央视放的....
(3星)	看过几集
(NA)	还是等考完专四先吧……还是没等到专四&gt;_&lt;没有字幕光靠听~
(3星)	我还蛮喜欢Hilary Duff这里面的，较天然
(4星)	还是不错的，虽然不能跟以前比
(4星)	弟弟比交抢戏
(5星)	贴近生活，平凡小人物的悲与乐
(3星)	没有老版好看。。不过时代气息很浓。。
(4星)	完全撇开希拉里 故事本身也很好
(2星)	拜托别翻译成 新成长的烦恼，和成长的烦恼无法相提并论
(NA)	哈哈
(4星)	其实挺温暖
(NA)	hilary
(3星)	胖嘟嘟的Hilary
(4星)	以前怎么就没觉得她弟弟和黑人傲娇小男友之间是多么的基情四溢。。。
(5星)	那时候觉得戈多好帅啊→_→
(4星)	中学那时候可喜欢看了。。。特羡慕人家的校园生活。。。
(5星)	那会儿最爱看的就是这个!!!!!!!!!!!! 射射CCTV8!!!!!!!!!!!!!!
(4星)	少年记忆 =-= 我就记得aaron carter客串了...
(5星)	老子小学时的最爱！！
(5星)	我爱这个
(5星)	译名太次了
(5星)	亚当你个萌神。。。。
(4星)	冲着戈多给4颗星
(5星)	陪伴我一整个暑假 CCTV8=。=
(3星)	小Duff
(5星)	非常爱这一部
(NA)	喜欢戈多 那个聪明冷静活在同龄人之外的戈多
(4星)	超喜欢的电视剧
(4星)	2005.7～8 中央10套
(NA)	暑假的回忆呢
(3星)	我老鸟
(5星)	06年初寒假销魂的再见阿郎后以及盛大富翁
(4星)	喜欢里面那个小卷毛.就是剧情比较少女
(5星)	早期的HD~
(4星)	马特很可爱...
(4星)	第一次认识希拉里
(4星)	哈哈 没有以前的经典 还是让我很激动
(5星)	啊我还想看。我记得那暑假天天下午蹲电视前边儿等着。咳。
(3星)	劇情很一般，但小姑娘長得實在漂亮。。。。
(3星)	和后面的猛瘫娜比起来 这个可好看多了
(NA)	突然好怀念这个 初中看的 那时候喜欢的不得了啊 超爱戈多还有利奇的弟弟~现在美剧什么的也看了一些 但都没有每天守在中央六就为了看几集利奇时候的那种感觉了 年轻的时候哦 还记得最后一个镜头是 照毕业照的时候 戈多终于亲了利奇的脸蛋儿~
(4星)	喜欢Aaron carter出场的那集～
(NA)	很好看哈
(3星)	惯例的美式青春片……男主角五官很漂亮……
(5星)	搞笑
(3星)	看过几集。还是之前的经典
(5星)	每一个台词超过５句的演员都非常特色鲜明过眼不忘
(4星)	她的电影都挺 活泼地..~
(NA)	对她的喜欢丝毫不减，而且递增……
