http://movie.douban.com/subject/3240649/	多情刀客无情刀之回旋刀 回旋刀
(3星)	 系列3部,水准渐次走低,剧中动人的戏点远逊于上两部;饰演反派boss的陈鸿烈刚在香港过世;齐人之福…（我的恶趣味）幸好这“鬼眼”晚上灵光～            
(4星)	 我觉得拍得还蛮好的，起码演员都很好看，特别是一水闪亮的女配，连念祖妈妈都是黎美娴这样的大美人，最后三个老婆也风格各异，前半段呆呆的念祖很萌，坐享齐人之福时的扮相很好看。            
(3星)	 章烈华不值……            
(3星)	 小时候看过的啊            
(NA)	 嗯。。得多吃几个补补内力。。            
(3星)	 刀歌 三            
(4星)	 为虾米念祖不喜欢湘雨呢？            
(5星)	 短小精炼，很快看完！最扯的是一次取三个老婆，哎，真是艳福不浅啊！年轻的贾静雯真漂亮啊，她真应该像林青霞一样，专演男扮女装，很帅气！            
(2星)	 此剧硬伤：20年养育之恩，就凭几句话变了仇人.....            
(4星)	 三段式单元剧，三把截然不同的刀。            
(3星)	 堪称武侠经典之作。结局真他妈狗血！天理是人的天理，所谓正义之士真想一个个抽死            
(NA)	 哥的武侠剧            
