http://movie.douban.com/subject/3546595/	圆月弯刀 圓月彎刀
(NA)	 玉树临风 英俊潇洒 颜如宋玉 貌比潘安 玉树临风 风度翩翩 面如冠玉 目如朗星 鼻若悬胆 唇若涂脂 长身玉立 风流倜傥 剑眉星目 温文尔雅 剑眉入鬓 眉目疏朗 丰采高雅 神明爽俊 雅量非凡……这些在小说中存活了多年的词语可以在脱离小说之后依然继续存在，古天乐的丁鹏是做出了巨大的贡献滴，我们要表扬他            
(5星)	 即使十多年后重温过后必感的粗糙又如何？粗糙的只是表面，内心独白、剪辑与闪回，宿命存在感的情节、古龙那荒凉孤寂超现实的江湖，复杂矛盾的人物，隔了多年始终认为无出其右的古龙改编甚至武侠改编（对原著的拓展更显出编剧的功力）。内里价值观的探讨给了尚年幼的我十足的震撼，即使今天看来仍有余震            
(4星)	 丁鵬同學雖然非常不可愛，但是擁有至高無上將人瞬間轟殺至渣的顏！            
(3星)	 至少比原著靠谱            
(4星)	 如此哥特的电视剧~如此暗潮的配乐~            
(5星)	 当为情死 不为情怨            
(4星)	 我总是对那句“黄花树下不见不散”念念不忘，当初还是很喜欢这部剧的，拍得很唯美，当时古天乐身上英气很足（现在还是比较帅滴），温碧霞很漂亮（和黄花树很相配，场景超美~），梁小冰很纯很干净，我很喜欢当时的那个青青，还要表扬一下的就是主题曲很好听~            
(4星)	 少有电视剧也能拍出那么诡异的感觉出来            
(4星)	 伍咏薇的《意难平》，港人唱歌讲究浓郁深情，让人觉着纯粹的好。            
(5星)	 古天乐是帅哥 梁小冰是美女            
(5星)	 小楼一夜听春雨。黄花树下，不见不散。            
(4星)	 小说和人都喜欢            
(NA)	 受天涯帖子诱惑看了一遍            
(4星)	 反派柳若松，真是演技一流            
(5星)	 爱到不行，我最爱的古装武侠片，跟金大哥的明显区别开。            
(3星)	 梁小冰美!            
(3星)	 《和平饭店》古装版。            
(3星)	 后面发展的我有点跟不上节奏了            
(3星)	 喜欢梁小冰，但是古龙的武侠始终还是无法认同，人物的性格都太阴暗了~~            
(3星)	 港剧            
(5星)	 重新看完，唯一一部把古龙小说拍的像点样的电视剧，尽管和原著改动很大.....            
(4星)	 梁小冰很可爱。            
(NA)	 额。。这个是跟着我爸看的。古天乐这个时候颜好正！            
(NA)	 被背叛的时候那个心疼啊            
(3星)	 古天乐两分温碧霞一分 剧实在是看不下去了             
(3星)	 古天乐。            
(5星)	 重温一遍粤语版 爱死这部剧啊 最帅的古天乐 最美的梁小冰 最妩媚的温碧霞 加上姬神的配乐 经典无法超越 神啊赐我一个青青吧 好爱梁小冰            
(4星)	 如果不看粤语版就不算看过~~~            
(5星)	 力荐，大爱这部，有点王家卫的风格，不知道为什么这部剧当初没有大火过，喜欢古仔与小冰的搭配，古仔的亦正亦邪，小冰的清理脱俗            
(5星)	 黄花树下不见不散。这句话在我心里来来回回十几年，看了原著终于知道没有黄花树，也没有秦可卿和丁鹏的不见不散，终了只是场很美的梦。            
(4星)	 對三個人都喜歡死了  每次放學回家都正好已經開始半集叻，煩球！            
(4星)	 记忆中梁小冰很漂亮，我还记得结局，古天乐误杀了梁小冰！小时候觉得很好看啊            
(4星)	 喜欢青青~！            
(3星)	 我一直觉得梁小冰很丑            
(5星)	 超级喜欢丁鹏和青青            
(4星)	 怀念古仔的白净年代 还是喜欢他别那么巧克力的样子 感觉人晒黑后 气质都变好多。永远的丁鹏，他的邪气与野心霸气和深情古仔都演绎的很好~此片表达的情感有些不同于其他的武侠片，有一种淡淡的伤感环绕在整部剧中。不一样的武侠。温碧霞很漂亮。            
(2星)	 古天乐还是白面小生 温碧霞嘴还没歪            
(5星)	 我小于或者等于五岁的时候爱这个爱到要死！            
(5星)	 温碧霞美极了！！好希望她能够跟古天乐再在一起！            
(5星)	 梁小冰版青青太美，同古天乐太登对！还有武咏薇献唱的那首主题曲实在好听，找了很多年，一直没找到。            
(4星)	 古天乐&gt;&#34;&lt;            
(3星)	 好像改了好多哦!            
(2星)	 对这本感觉一直不好            
(NA)	 人是各种美，就是剧情烂            
(5星)	 温碧霞真是又哀怨又美丽            
(4星)	 古天乐太美了  尼玛            
(4星)	 小楼一夜听春雨。            
(3星)	 玉树临风 英俊潇洒 颜如宋玉 貌比潘安  风度翩翩 面如冠玉 目如朗星 唇若涂脂 长身玉立 风流倜傥 剑眉星目 温文尔雅 丰采高雅 神明爽俊 雅量非凡——强大的形容词   为了纪念我的童年，多给一分            
(5星)	 怀旧ing，古天乐那时候真是帅，个人不喜欢黑皮肤。。。。。。。。            
(NA)	 我记得梁小冰很美~温碧霞很美~还有些很少儿不宜的剧情好像            
