http://movie.douban.com/subject/1763607/	巴厘岛的日子 발리에서 생긴 일
(4星)	 她说/她没有把心给他/是为了保住最后一丝自尊/但其实她是爱他的/虽然最后说出来时已经晚了·/在上帝和原罪面前 /自尊是微不足道的/爱是一种本能/即使没有了自尊···            
(3星)	 韩剧最讨厌的地方在于，放一集中间要唱至少三次插曲，不唱要死吗????            
(5星)	 最爱的一部韩剧。很多东西值得思考。看过之后无法不爱上赵仁成。            
(5星)	 这里面的赵仁成真是无敌；李水晶自尊隐忍把自己裹的严严实实，真是要命            
(5星)	 很虐很虐的剧。赵寅成真的不是让人一般心动啊~            
(5星)	 很多人看完后纠结于水晶到底爱谁？我认为她都爱 只是在民的爱她承受不起而仁旭的爱她又不忍伤害 其实剧中的四个人物都是悲剧的 这部剧真正诠释了爱情的高贵与贫贱！            
(4星)	 除了结婚什么都能给你，在民的话让人彻底绝望。我能明白水晶为何第一次背离自己对金钱的追求离开这座金屋，当心一旦沦陷在那个人手里，她又何尝不是也期待那个人给的承诺，可是在民永远给不了，直至天堂相见才能幸福的恋爱吧。            
(5星)	 因为灰姑娘的父亲是贵族，所以灰姑娘最后和王子结了婚，否则的话，即使她穿上了水晶鞋，也会被人认为是偷来的            
(5星)	 第一次看还是05年，一晃眼那么多年过去了，随着年龄的增长，越来越理解李水晶的心路历程。很喜欢河智苑和苏志燮。            
(4星)	 成成帅~最喜欢看他哭了~赶紧退役回来吧~~            
(5星)	 时隔四年再看依然让人心酸：在民是喜欢过英珠的，还在巴厘岛为她打了一架；仁旭也曾爱过英珠，直到遇到和他一样卑微却倔强努力的水晶。金钱、名望、权势、美貌、才智，哪怕同时全都拥有都不能保证会幸福；没有人肯放弃，于是执拗成我最爱的现实主义悲剧。赵寅成演得实在是好。2010.11.6.下载            
(5星)	 苏志燮后遗症            
(5星)	 看过比较好的韩剧之一            
(NA)	 这真的不是一部脑残韩剧思密达。。。赵仁城是我的菜！            
(5星)	 超级好的片！！！！！！！！强烈推荐~~~~~~~~~··            
(NA)	 成成帅            
(NA)	 双肩包背得才乖哟~~~            
(3星)	 三條主角都紅了...印象最深的是女2的的胸,嘖嘖~            
(4星)	 最后男主女主被男二捉奸在床，然后双双被击毙的狗屁剧情还真的是 振奋人心啊            
(4星)	 可爱的小成成居然开了那一枪，灭了所有的希望，爱情在绝望的瞬间绽放灿烂的光芒。杯具得无法再杯具了，只好怀念那曾经存在的美好。那些开心，愤怒，痛苦，哭泣着的脸不过是因为那人已经深深刻在心里，以为自己可以不在乎，却发现已经重要得如同氧气，失去彼此便是失去生命。如此，只能以死亡结束。            
(3星)	 结局很过分。            
(5星)	 2004年 曾经hc无限的仁成            
(5星)	 很喜欢里面的赵仁成，脾气虽然很坏，但很单纯，如此单纯的喜欢着水晶，纯粹到令我很心痛；水晶，虽然什么也没有，也想保留着自尊，但在在民的进攻中如何能不心动，最后还是动了心；仁旭，我不喜欢，最后的结局让我太不能接受了，我难受了两天            
(5星)	 很现实，很让人心疼，赵仁成的哭戏很厉害~和天桥风云一样好看            
(5星)	 正民这个傻孩子            
(5星)	 还记得当时爱死赵仁成的日子，我喜欢最后不圆满的结局，嗯，要再去温习一遍            
(4星)	 当年的赵寅成，如今的张根锡            
(3星)	 剧情太狗血，只看赵寅成不错。            
(5星)	 TMD我受不了赵先生和苏先生的演技了~~太板拉！！！！！！！！            
(5星)	 啧啧，一部好看的电视剧里一定要俩男主角都帅且不做作，这部太好看了，再看看湖南台那泡沫之夏，我吐...................从黄晓明恶心到大S            
(4星)	 不知道为什么，看这样一部电视剧竟然一滴眼泪没有掉，只是有一种莫名的空虚，只想说，在民只是个善良幼稚的孩子， 也许一切的悲剧只在于，水晶的爱太自私，为了她为自己留下的自尊，缘起巴厘岛的那四个人的人生、三个人的生命成了最终的祭品……            
(2星)	 原以为会是轻喜剧，结果剧情太拖沓，看得无聊到半死，结局又是大悲剧，主角全死光。。。拜托，这什么年代啊，还搞这种超现实梦幻型的夸张悲剧！河智苑又黑又难看，笑起来像猴子……苏志燮怎么那么胖了……好象还变矮了似的，一点都不像《对不起我爱你》里面那么帅气！唯一出乎意料的是赵寅成，卡挖一~            
(5星)	 不愿接受，但是事实。唯一找不到的是感情的依据，只是发生的还让人愉快，只可惜怎么盼也走不到结尾，哀，但还是要爱。            
(4星)	 尽管结局是预见到的极端，却让我觉得郁闷，不喜欢结局。巴厘岛。            
