http://movie.douban.com/subject/1906453/	天地男儿
(NA)	 张智霖 古天乐 宣萱             
(NA)	 又一经典            
(5星)	 就在此时喜欢上了宣萱~            
(4星)	 古天乐还很白的时候，哈哈            
(5星)	 经典啊！            
(4星)	 罗嘉良坏上位            
(3星)	 子建真是可爱；叶成康还没晒黑，纯少爷派            
(NA)	 回忆            
(5星)	 无论好坏，其实每一个男人都是痴情货…………罗嘉良真是演技派，啥角色都驾驭的如何好！            
(5星)	 我的最爱。            
(5星)	 结尾十集弱了，但整体经典            
(NA)	 一琢磨烈火雄心我都看了7遍了还是先补这个吧TT            
(4星)	 经典家族戏            
(5星)	 喜歡萱萱和陳松伶來著~            
(5星)	 这部很好看的 演员我都很喜欢            
(4星)	 編劇和演員都很有功力呢！！            
(5星)	 “怎会如此”，子健还是最爱雪凝。            
(5星)	 宣萱真是十年如一日。            
(5星)	 经典..看到徐家立恨到想掐死他.. 演得实在好            
(4星)	 秋倌啊秋倌。            
(4星)	 不错。            
(4星)	 为剧中宣萱张智霖这一对唏嘘不已啊，那么美好却又残酷的CP线.....            
(5星)	 印象中秋官就是丁蟹 -_- 所以这部看他扮圣母很不习惯呢 -_- 古天乐真嫩，能掐得出水来 -_- 雪凝和子建真虐 &gt;_&lt;            
(3星)	 这个都有点晚了            
(NA)	 未完整            
(4星)	 这个很棒，男人的戏            
(4星)	 驚艷的葉曉冰            
(5星)	 呵呵，直到如今我的名字还是霖。            
(3星)	 久远回忆            
(4星)	 小时候迷死罗嘉良了...            
(5星)	 回顾戚其义的天地系列 TVB的辉煌都已是过去 而如今的无线只是万人配角撑起的闹剧 有如鸡肋~尤其是在叶清和苏柏丽老师离开后 这两年 杜燕歌的声音也不见踪影 凄凉            
(3星)	 看过早忘记了。。。            
(5星)	 记得里面有个警察 叫三条四 哈哈~~            
(NA)	 一九九六年的古天乐好美少年＠．＠            
(5星)	 重溫了一遍 看到了電視沒播的那集 這是我最喜歡的港劇 結局哭到不行            
(5星)	 就喜欢宣萱和罗嘉良            
(4星)	 看之前听说是神剧，因此再未觉得是神剧。            
(4星)	 這絕對是一部恐怖片。            
(5星)	 当年经典剧集之一。            
(5星)	 现在看是无比讨厌蓉蓉！！            
(4星)	 秋官wwwww            
(5星)	 因为这部剧而喜欢上宣萱罗嘉良古天乐            
(5星)	 老经典老经典了。片头曲好熟悉。            
(4星)	 内心跟着罗嘉良的时正时邪而激荡。            
(NA)	 童年回忆            
(NA)	 情节都忘了。。。好像歌不错            
(5星)	 去外地内几集还拜托别人给我录像 现在内录像机都坏了            
(5星)	 纠结  00            
(5星)	 初三小区终于装了有线电视,暑假从头看到尾,JESSICA的珍珠耳环            
(5星)	 心中的罗子建。永远的张智霖和叶清。            
(4星)	 雪凝~            
(3星)	 第二首会唱的粤语歌。            
(5星)	 罗子健是我的梦中情人！！！            
(4星)	 瓦。。。好老的片。。。            
(5星)	 又是一部当时人人都看的好片子            
(3星)	 啊想当年我很喜欢陈松龄的            
(NA)	 第一次看到古天乐，那时他还没红类，可是我看出来了，他帅。            
(4星)	 实实在在的好剧集，罗嘉良太帅了！            
(4星)	 港剧启蒙            
(5星)	 好好看~~~~~~~~~~~~~~~~~~~~~~~~~~~            
(5星)	 罗嘉良的演技真不错            
(3星)	 创世纪的前版吧，古天乐那时真嫩            
(4星)	 很好看 小时候全家看得欲罢不能            
(3星)	 如果我是雪凝，我不会爱上罗嘉良。。。啊！忘了他在剧里的名字&gt;_&lt;            
(5星)	 徐家立 真的是男人不坏 女人不爱 对这个奸角无法抵抗            
(5星)	 补tag            
(5星)	 很愛當時的張可頤。            
(5星)	 剧情已经完全木有印象咯~            
(4星)	 经典            
(NA)	 看过，忘了            
(NA)	 那时好港片何以这么多            
(5星)	 很早之前看过的经典TVB。好喜欢子健和雪凝啊啊啊。            
(5星)	 陈松伶、张智霖            
(NA)	 太久了            
(5星)	 相当的好看            
(5星)	 超爱的~小时候每集不拉的看~            
(5星)	 啥都不说            
(5星)	 我记得98年夏天看的。。            
(NA)	 古天乐没改变地 形象(*^__^*) 嘻嘻……            
(5星)	 也许。我们都是大马哈鱼。 　　寻寻觅觅的。 　　是当初的自己。 　　和。不断洄游在路上的感动。            
(4星)	 这个戏就是，爱你也可以爱别人爱的死去活来，松松遇见谁，再不是那时的包文龙            
(5星)	 永远的经典，永远的张智霖，永远不会忘记的那些人。            
(3星)	 看多了就有点麻木了            
(4星)	 童年回忆，那年我还是小学生。            
(4星)	 想那个时候我跟妈妈还一直把陈松伶和宣萱混成一个人在看。。。真是不知道在看什么哈哈哈            
(5星)	 中间有一段一直跳过去没看。如果子建和蓉蓉最后没有在一起我想我一定很纠结，还好。。。            
(3星)	 妈妈在看，所以我也跟着看了。。。            
(5星)	 永远不会忘            
(4星)	 商战，爱情，亲情            
(4星)	 呀！！！就凭这一部我这辈子以后看见罗嘉良都会转台。。。            
(5星)	 张智霖帅啊            
(5星)	 据说，古先生还白的时候。            
(4星)	 当年这剧可火了~！那时我最喜欢张可颐了            
(4星)	 伟大的tvb时代啊。。            
(3星)	 我记得里面的那些女子            
(4星)	 中意张智霖~！！            
(5星)	 罗子健啊罗子健。。。。            
(5星)	 无敌经典！《大时代》+1。            
(4星)	 印象最深就是子键和雪凝的爱情，令人唏嘘            
(5星)	 我尽力过，却也斗不过天意的微妙；困在回忆里留恋，空有些追思。            
(3星)	 尼玛感情戏也太错比了吧            
(4星)	 古天乐出演的第一部剧。把姐姐迷倒了。            
(NA)	 喜欢里面的张智霖，自觉胜过后来的创世纪。            
(4星)	 认识他们都是从这部戏里。            
(NA)	 遥远的回忆了            
(5星)	 TVB的又一经典剧 绝对五星            
(5星)	 罗嘉良&amp;张智霖时刻            
(5星)	 叶承康            
(NA)	 我的雪凝我的子健            
(5星)	 当古天乐还是一枚白皮帅哥时            
(5星)	 又一经典……            
(3星)	 雪凝为啥那样傻徐家立为啥那样坏还是子建最可怜...港剧的情感纠缠和换妻路线和美剧那是如出一辙啊，从这里开始tvb我都没耐心看完了            
(5星)	 从小到大看过的最好的家族剧，值得每个喜欢港剧的人去品味            
(NA)	 那时候就喜欢古天乐            
(NA)	 二00八年以前，TVB电视剧果然是量产。            
(5星)	 好看的经典剧集            
(4星)	 叶承康，古天乐横空出世了。            
(4星)	 最爱三人组：张智霖 宣萱 张可颐            
(4星)	 一向纠结饿剧情就是伊拉饿特色            
(4星)	 家族 商战            
(5星)	 到头来我竟然发觉我真的很爱那个人，既然我知道我无论走多远，我始终也离不开他，那就不如和他在一起，离开这个地方。             
(NA)	 家族系，出场人物众多，开展情节方便，观众可以看热闹，^_^            
(4星)	 很怀念小时候和l\c挤在一起看这部剧的日子            
(4星)	 很喜欢的片子内容故事帅哥美女都很多.还有大爱张可颐.我喜欢年轻一辈.            
(NA)	 天地男儿            
(5星)	 明星很多，群众的力量！！！            
(5星)	 这电视剧我看了不知几遍，以前希望宣萱和张在一起，后来想想柔柔那么好的女孩，张当然是该选择她的            
(4星)	 不喜欢为什么让雪凝就那么死掉啦！！她应该跟罗子健幸福的在一起才对啊！！            
(4星)	 陈松伶            
(5星)	 其实傻子演坏人时候真的很坏哦。            
(4星)	 TVB老班子            
(5星)	 因为这部片子爱上咯宣萱，最近在随机学粤语！            
(5星)	 最后子键哭得好难受            
(5星)	 白面的古天乐。            
(4星)	 很早的了...不过很经典。            
(3星)	 曾经的经典            
(4星)	 不记得            
(NA)	 绝对经典。不可攀跃的高峰了唯独不喜欢方巧容            
(4星)	 港剧现已走下坡了            
(5星)	 经典            
(5星)	 就这样爱上港剧            
(4星)	 怀念看剧的那个年代            
(5星)	 这次休息又重温了一遍，65集粤语版看到我头昏眼花。　　　　子健最初和最终的爱人始终还是蓉蓉。雪凝就像她自己说的，配不上子健。雪凝对家立的感情自始至终都在那里，飞蛾赴火一般；而家立，可能就像上面谁说的，雪凝代表他的过去，他还有人性时候的那个过去---最终家立最后的一点人性泯灭，            
(4星)	 看完顿觉空虚            
(5星)	 当年古天乐还是白的            
(NA)	 【1996-02-05】            
(5星)	 十多年前的假期，在姥姥家有线二台一日四集连放。年少的时候，喜欢蓉蓉和子键的爱情。如今重温一遍，还是喜欢蓉蓉和子键在一起，除却爱情，也喜欢看父子间兄弟间的亲情戏了，人长大了，更愿意去体会亲情和友情带来的感动。更喜欢看永邦和慧芳的感情了，中年人的爱情没有那么热烈却更温情脉脉细水长流。            
(5星)	 我爱老港片，我爱张智霖！            
(5星)	 罗子健&amp;方巧容！讨厌宣萱演的那个角色。            
(5星)	 罗嘉良 古天乐            
(5星)	 最爱！            
(4星)	 张智霖！            
(4星)	 哎呀，到现在听到片头曲还会很激动~~            
(4星)	 好早啊...            
(5星)	 每一个演员都很完美，每一句台词，每一个场景都精雕细琢。。。黄金年代，一去不复返            
(5星)	 怀念小时候全家看得眼红脖子粗的            
(4星)	 雪凝！            
(5星)	 凡事不放弃。            
(5星)	 秋倌            
(5星)	 那个时候,纯粹的爱情,简单的人,在今天看来,兴许会被人说成&#34;狠傻很天真&#34;...            
(NA)	  张智霖就是我小时候的梦想            
(NA)	 如果你想看还很白的古天乐……白白又修长，脸型有棱角的他长得多像漫画里的人啊。多明星的剧集。主题歌鼓励我过完了枯燥的高中生活。古天乐张智霖和陈松伶是重点。照例无视宣萱。            
(3星)	 好多明星啊发财了！            
(5星)	 张智霖 古天乐啊啊 ！            
(5星)	 经典。。。。            
(5星)	 那我也重新复习下吧。。。好吧 我复习的时候直接看了前面几集那个案子然后就跳到最后雪凝自杀那边去了。。            
(NA)	 好看！～古天乐好嫩。秋官演技好！张智霖演技稍欠,,,陈松伶，不知道为什么总觉得演技不好啊...有点做作啊...            
(4星)	 我是港剧迷            
(NA)	 超爱            
(5星)	 我所看过的最好看的港剧            
(3星)	 为了古天乐            
(5星)	 古天乐，难得的白皮肤  。剧中积聚了很多熟脸孔明星，当年的经典            
(5星)	 至今爱你十四载，那些流连于校门口小摊贩寻觅卡片的年岁已不再。            
(5星)	 这部戏里的所有人后来就成了 港剧的最爱啊啊  ~            
(5星)	 我的蓉蓉 我的子健。。。。。。。。            
(NA)	 2010-11-11            
(4星)	 就是这部剧迷上小智智。。。希望他永远年轻。            
(3星)	 好像都看过可惜都忘得差不多了            
(4星)	 张可颐在里面真的好惊艳            
(NA)	 这些港剧是暑假必看的            
(5星)	 眼见如今TVB的没落，真是无限感慨。            
(NA)	 陈松伶            
(NA)	 何愁面前浪破浪，涌个无了期，何愁落泊我只要一口气，雷或雨我也傲然经过，潇潇洒洒向美梦高飞；何妨混和泪与汗一笑无皱眉，谁歧视我我偏要争口气，从成败里冷暖后才知道，丝丝点点永记在于心，凡事不放弃。            
(5星)	 TVB当年好多经典哦，再回来看看。。。            
(5星)	 看得难受死了，那个配乐，小时候的梦魇！            
(5星)	 后无来者。            
(4星)	 杯具，只记得看过的..            
(5星)	 那时候我多么热爱子建啊。。            
(5星)	 好早的港片            
(NA)	 看的我累死了              
(NA)	 太经典了            
(5星)	 最爱之一            
(4星)	 这是多么多么的经典呀~~~！！            
(5星)	 经典的港片之一，但是有点遗忘了，有空再重温一下            
(5星)	 都说罗子健喜欢张雪凝,我却不曾怀疑他对方巧蓉的用情之深.徐家立那么坏,却忘不掉那个为他喝下半瓶酒的张雪凝.            
(4星)	 最早的古天乐            
(5星)	 那时年少的古天乐如今何在?            
(5星)	 有多少人明白。它有多经典。            
(5星)	 TVB的家族剧我最喜欢的就是这部。            
(3星)	 。            
(5星)	 谁没有一些，刻骨铭心事，谁能预计后果。谁没有一些，旧恨心魔，一点点没心错            
(4星)	 好老,完全忘了            
(5星)	 没话讲！！！经典！！            
(4星)	 陈松伶~            
(5星)	 这是我看过最长的TVB剧了             
(2星)	 小时候，看完了，神奇            
(4星)	 1998年，此片是我们那班学生对抗高考压力的缓冲垫            
(5星)	 经典之六`            
(5星)	 一丝丝记忆勾起了一串串滋味             
(5星)	 蓉蓉！            
(NA)	 松松            
(5星)	 第一步TVB剧  大爱陈松伶            
(5星)	 地球人都看过吧            
(4星)	 哇塞，那时候觉得张智霖超帅的~            
(5星)	 大爱啊            
(NA)	 很早看的，很经典觉得，喜欢那种困难面前笑看人生的劲            
(4星)	 初识张智霖，帅~~            
(5星)	 也是大爱。罗sir和蓉蓉。            
(4星)	 記得，蛮經典的。            
(5星)	 那时古仔还没晒黑，宣萱一脸稚气，捞家散发着亦正亦邪的男人味。有的戏小的时候看了很多遍不觉得，现在回想起来才知经典难忘。            
(4星)	 那时真的真的很喜欢看。。。。            
(5星)	 黄金时代呀            
(5星)	 绝对经典             
(5星)	 就光想着萱萱今天喜欢这个明天喜欢那个            
(5星)	 这是不会忘记的港剧呀。            
(5星)	 = = 咱又看了...MD蓉蓉神马的真是太有福气了..为神马承康神马滴子键神马对她那么好!!             
(5星)	 看了101遍            
(4星)	 古天乐此后变黑皮……            
(4星)	 ~那时超喜欢陈松龄~~好小好小的时候了。。            
(3星)	 想当年还在租录像带的时候看的这个剧。完全被冷艳的叶晓冰吸引，也在那个时候认识了张可颐，到现在我最喜欢她的还是这个角色（每次出场那个暧昧的音乐就响起）~不管被陈松伶张智霖弄得多倒胃口都好，我都坚持看完了。张甩陈的那几巴是我看这部戏感觉最爽的时刻，我也想冲上去甩上几甩~            
(4星)	 怎会如此            
(5星)	 陪我度过漫长的假期            
(4星)	 初识古天乐            
(4星)	 松松的笑容～            
(4星)	 家族剧总搞得人晕头转向            
(5星)	 太喜欢！            
(NA)	 那时的alex霖啊``古天乐那时还是白色的            
(5星)	 很喜欢这部剧，有励志的作用，很喜欢徐家立、张雪凝、叶晓枫这些人物，呵呵。            
(5星)	 喜欢里面的宣萱和张智霖这对，罗嘉良演的坏人印象很深刻。            
(NA)	 到现在唯一一部TVB剧目            
(5星)	 喜欢宣萱~~~当时对罗嘉良咬牙切齿的而且记得小时候看的是非完整版            
(5星)	 再回首……            
(NA)	 白净的古仔            
(5星)	 形形色色男人的大家庭            
(NA)	 小时候了            
(5星)	 因为子健认识了chilam，喜欢上了chilam。            
(5星)	 接触到的第一部商业体裁电影            
(5星)	 十年后再睇返，依然咁经典            
(4星)	 儿女情仇...好看的...            
(5星)	 喜欢这个时候的古天乐，很喜欢……            
(4星)	 太经典了，好像是我看过的第一部港片~            
(3星)	 太长了..            
(5星)	 曾经那么喜欢徐家立，即使他是个坏人，现在看雪凝挺可怜的            
(3星)	 没看全……感觉不错，编剧还是很强悍的            
(5星)	 超喜欢里面的张智霖，那个时候特别喜欢看香港片。            
(5星)	 捞家又一部作品            
(5星)	 我的chilam啊……            
(3星)	 古天乐留中分很逗趣。            
(4星)	 被那个时候的古天乐萌死啊！            
(4星)	 65            
(3星)	 好像小时候看过，没什么印象了            
(4星)	 最喜爱的两部tvb剧之一            
(4星)	 TVB大戏            
(4星)	 那个时候古天乐还是白的...            
(3星)	 那个时候，我怎么有那么多时间天天看港剧呢？            
(5星)	 豪华阵容，很多老片再看还是经典            
(NA)	 古天乐 的皮肤还是白色的!!~            
(4星)	 最近又温习了一遍            
(NA)	 喜欢张智霖~~那个时候古天乐真白            
(5星)	 再经典不过了            
(4星)	 我真的不觉得家立是坏人            
(4星)	 何妨混和泪与汗一笑无皱眉 谁歧视我，我偏要争口气            
(5星)	 我的最爱啊            
(NA)	 罗嘉良这么上位的。张智霖太帅了。古天乐这时还不会演戏。            
(NA)	 又一部TVB经典之作            
(4星)	 当年古天乐还是小白脸，张可颐真是惊艳。            
(NA)	 爱港剧            
(3星)	 好像当时看过，反正看过很多郑少秋演的··            
(4星)	 最后的最后，我们都会发现最初的美好。            
(4星)	 爱不能太自私。            
(4星)	 重温中            
(3星)	 都系甘噶啦！！大家族斗黎斗去……古天乐好白啊!!            
(5星)	 1998            
(5星)	 看来我很喜欢家族传奇，最后一幕是说2007吗？当时觉得十年以后遥不可及，现在已经都过去了……            
(4星)	 台庆剧一向比较好看            
(3星)	 主题歌很大气。            
(4星)	 长剧的经典之作            
(3星)	 好长的首播的时候太小 没耐心看完第一次重播的时候觉得又长又烂第二次重播的时候用来打发漫漫假期 结果还看出了黏头            
(5星)	 雪宁半夜看&lt;缘分的天空&gt;,一遍一遍流泪的样子,很喜欢..            
(2星)	 不是我喜欢的类型            
(5星)	 难得一部剧让我看了好几遍，并且还想再重看。            
(NA)	 long long ago&amp; memorey            
(4星)	 张智霖哭得很好看~            
(3星)	 小張和小古兩大帥哥大比拼，當然不能不看，但是小古還是一臉稚嫩的樣子。            
(4星)	 其实我有时候会跟笑看风云混起来不过看了这个让我妈喜欢上了罗家良,演技很好~            
(5星)	 永远的子建            
(5星)	 TVB最棒的电视剧 张智霖和陈松龄的演绎完美无暇            
(3星)	 好长好长好长……其实后面的~连累了一部好剧            
(5星)	 百看不厌！！！            
(4星)	 当然没看全，那么长            
(5星)	 经典港剧            
(5星)	 如果你喜欢上了他。请你一定要为了他更好的学会生活，那个已经慢慢渗透入你生活点滴的人，那个常常使你热泪盈眶的人，那个笑容干净甜美的人…            
(4星)	 张智霖&amp;陈松龄 喜欢的香港演员            
(5星)	 看过的tvb太多了。添加不过来。只选择了几部自己最喜欢的：）            
(5星)	 古天乐            
