http://movie.douban.com/subject/2303811/	烟锁重楼
(4星)	 有七重古老的门，关住了七百年的青春。            
(NA)	 挖，其实我挺狠的呀，这个都看过。哈哈            
(4星)	 第一次看到钟镇涛，惊为天人            
(5星)	 初一那年寒假在铜陵电视台一套看的。好多电视剧都是在铜陵电视台一套看的，感谢铜陵电视台！            
(3星)	 久远回忆.应该没看全.            
(5星)	 歌好好听            
(3星)	 不喜欢钟大头～            
(NA)	 天上有新月如钩，地上有烟锁重楼            
(5星)	 其实烟锁重楼蛮好看的，勇气啊。里面陈红美的恍若天上            
(2星)	 剧情记不得了。只依稀记得配曲很好听。            
(3星)	 牌坊戏是在安徽黟县拍的吧            
(NA)	 现在看还是会哭的，小时候很喜欢钟镇涛的雨杭。。不知道是喜欢剧中人物还是钟镇涛==+。。永恒两部，这部比新月内个强多了            
(4星)	 有一天繁华落尽，有一天故人远去…            
(5星)	 那时候挺着迷的            
(4星)	 那个时候的钟镇涛。。。            
(3星)	 有七座古老的门。            
(4星)	 琼瑶就是全世界            
(3星)	 我就记得一群人围攻着刘雪华那桥段            
(NA)	 对哭功的最初认识            
(3星)	 这是我认真看的第一部琼瑶剧 貌似也是唯一一部            
(2星)	 雷            
(5星)	 在又怕又痛的脚伤24小时内再次重温了这部催泪剧集，江雨杭呀江雨杭，从少年时代就植根在心里的“他”的样子，客观评价这部剧集在情节上还真是设计得不错的，各种元素都具备咯，神马身世之谜，家族纷争，儿女情长，亲子关系......一出接着一出哦。我喜欢，推荐之！            
(4星)	 很小的时候看过的一部电视剧。。。好像是讲旧社会的。。。那里面有个小姑娘巨惊悚。。。整天不说话不做事就盯着几个排列成牌坊状的杯子看，一移开视线就会抬着头发了疯似地哭，整个人一动不动脸上也没有任何表情。。。            
(3星)	 24            
(4星)	 剧中的女人都好美~~~ 书晴小朋友不是得的抑郁症吧……            
(3星)	 那个牌坊戏啊 印象深刻            
(3星)	 看着 琼瑶的电视剧长大的。            
(NA)	 看过的这类片子还真不少            
(5星)	 印象最深的就是七重牌坊，和被吓坏的小女孩            
(4星)	 琼瑶奶奶还能写出这么有深度的东东            
(4星)	 开始喜欢钟镇涛, 还有外景地在哪啊,风景真好            
(3星)	 很小时候看的...过牌坊的时候要挨打...            
(4星)	 刘雪华这个水龙头不得了。            
(3星)	 跟老经典琼瑶片比不得了            
(3星)	 歌好听啊……            
(3星)	 钟镇涛演这个角色有些别扭            
(3星)	 喜欢王艳演的妹妹和焦阳的戏            
(3星)	 老片。这是唯一一部认真看的琼瑶剧 。当时看的眼泪哗哗的，潘越云唱的片曲《七重门》太动人了。 .            
(NA)	 鐘鎮濤挺帥哇~            
(4星)	 我对那个牌坊印象很深。王艳真心好看啊。            
