http://movie.douban.com/subject/3047987/	冲上人间
(3星)	 以前的tvb剧情内容可比现在的丰富生动多了。            
(3星)	 郭晋安            
(3星)	 多年以前能看得开心，真好            
(3星)	 家宜很可愛~            
(3星)	 又一部轻松搞笑的小品剧，稍弱，但不赖            
(4星)	 温馨的都市轻喜~痞子张~可惜没找到粤语的清晰片源~只有结局和第一集看的粤语。            
(NA)	 传说中的大烂片。。为什么我觉着挺好看的。。女人在里面女鬼装那么可爱 还魂装那么清纯 跟安仔的CP也好有fu的 还有林晓峰演的鬼波仔。。还有那个变成了开头的结局。。            
(5星)	 我才想起来，最早看的就是这部？！            
(4星)	 喜欢张可颐~~~            
(3星)	 20            
(3星)	 很好看的爱情故事            
(3星)	 青春真美好啊！！！结局很潦草啊！            
(3星)	 很无厘头- -            
(3星)	 果然智商难返情商可逆…情绪不受控竟然能看哭T T            
(4星)	 当年可喜欢了.            
(3星)	 惠英雄很有喜劇感            
(3星)	 忘了。。。只记得开场的点子还不错~            
(3星)	 张可颐那时多水灵啊。            
(3星)	 早年看过的，TVB陪伴长大的            
(3星)	  张可颐还是很可爱的            
(5星)	 可爱，迷糊的家宜~            
(NA)	 年少度日            
(5星)	 多可爱的女鬼～            
(3星)	 彼时年轻非常的人们集合演绎了这部如今看来有点老土的喜剧。但是郭晋安叔叔年轻的模样还有为了体现出被女鬼附身的状态而娘味十足穿过街道……萌点还是具备的。最大的特点应该是任何一个路人拉出来都是熟面孔啊熟面孔！            
(4星)	 那时候狂看了很多张可颐的戏，这个时间段TVB的戏很神奇就是出现很多超自然的现象我一度怀疑编剧家里是不是出了什么事情开始大写这种不死的题材。            
(5星)	 人与地府差役的爱情            
(4星)	 和老姐一起熬夜的日子~            
(5星)	 感動于這些兒時的記憶            
(NA)	 郭晋安             
