http://movie.douban.com/subject/3012310/	女巡按
(3星)	 我记得第一集张铁林打了个酱油            
(4星)	 这个电视剧真是傻不啦叽的，但是小时候坚持下去的动力就是看丹凤眼陈阿叔谈恋爱，啊哈哈哈哈哈~~~还有就是我对各种女扮男装戏没有抵抗能力得稀罕.......真是怪事了.......            
(4星)	 有看过！            
(4星)	 记忆深处            
(4星)	 陈道明当年很帅啊            
(4星)	 给爷一个刘非啊啊啊啊啊~~~            
(5星)	 先生的外在条件可以拍偶像剧            
(NA)	 我比较晚熟，这是我看明叔的第一部片子。            
(4星)	 爱是一道光芒~~            
(4星)	 小学时候看的，当时陈道明大叔就让我那颗萝莉（斗胆自称一下 - =）之心萌动啊~            
(4星)	 大概是初中吧..这么想来明叔演的师爷应该是我迷上的第一个大叔？o(*////▽////*)q            
(5星)	 小时候梦啊！！！！            
(3星)	 小时候很喜欢看的电视剧，如今还依稀记得部分情节。这里的人物，无论性格是泼辣的还是闷骚的，但他们都是性情中人。比较萌这里的陈道明。在我心中陈道明本身的气质更适合扮演智者，举手投足虽有将相风范，但是他的性情释放的不够洒脱纯正，缺少惊天地泣鬼神的霸主气势。            
(NA)	
(2星)	 我只是因为陈道明和翁虹才记得这部片子            
(5星)	 明叔太可爱            
(NA)	 刘师爷，你还犹豫什么            
(3星)	 大概初一看的吧 陈道明戏精一个 就是不喜欢女主的长相 演技还是值得认可哒            
(5星)	 真想天上掉下个真刘非啊。。。。            
(4星)	 真心觉得不错~还有就是徐怀钰的《爱是一道光芒》出彩            
(4星)	 明叔难得演这么萌的角色。            
(4星)	 這部劇的看點是陳叔叔和孫antie一起賣萌            
(5星)	 很喜欢这个，但是没看完            
(3星)	 我竟然看过！！！ 囧翻了，有木有，明叔的形象瞬间幻灭……            
(5星)	 嗷嗷嗷！！！！            
(NA)	 好早的。。。            
(4星)	 当年没看完 好想重新看～            
(5星)	 孙小姐和明叔，这个么得说了。。。明叔千年难遇的狗血台湾8点档和轻喜剧啊。。。。。。太经典            
(4星)	 道明哥            
(5星)	 那個。。。。。。五顆星全部給道明蜀黍。。。。。誒~各種淡定不能啊。。。。。我要失眠了說= =             
(4星)	 喜欢陈道明            
(NA)	 明叔！            
(1星)	 我不胡思乱想            
(NA)	 哇，你当年演这个真是彻底把我萌翻了呀。            
(5星)	 我依稀记得那句“海角天涯，我都会找你。”            
(4星)	 我喜欢孙翠凤。。。            
(4星)	 好好笑....            
(2星)	 其实我是为了看道明叔……但这片太囧了            
(5星)	 虽然是烂片，但有明叔的地方都绝了！~~~            
(5星)	 书生刘非好销魂好妖孽~            
(5星)	 好看!            
(5星)	 好吧，还能说什么呢。本命。            
(5星)	 大爱啊~明叔的神作！            
(4星)	 女扮男装什么的，都好看！            
(NA)	 我记得老早叫真假公主来的？！            
(5星)	 超级好看 剧情紧凑 人物鲜明 各种颠覆  想看撒娇傲娇的陈道明么 想看有感情戏的陈宝国么！！女巡按全部满足你  当然还有美美的孙姐            
(3星)	 无意间发现，我还看过这个            
(3星)	 第一次注意到道明叔            
(3星)	 看了几集，不错，陈道明很到位，孙翠凤、翁虹也不错            
(4星)	 我一直不太习惯女猪脚那个蹩脚的普通伐。。。            
(4星)	 明叔你太帅了            
(5星)	 第一个单元特别出彩，几乎每集都有亮点和笑点，而且不落俗套。还有李立群等老戏骨的加盟，演技精湛又不失幽默。很抓人眼球的一部剧。            
