http://movie.douban.com/subject/4287175/	一起又看流星雨
(1星)	 讲的是一群被流星雨砸脸上的青年的故事……            
(1星)	 第一部让我痛恨豆瓣为何没有负星的电视剧。            
(1星)	 还敢再弱智点吗？            
(1星)	 你娘个脚啊，这么差劲的            
(1星)	 又是湖南卫视的垃圾            
(1星)	 所有主角都好丑 台词变态 内容完全不是中华人民共和国人民的真实写照            
(3星)	  本来还蛮期待看的。  不料看到个谈莉娜真太恶心拉 真是一立老鼠死打碗一涡汤 啊  --  我看咯第二集    就不在看拉     好多朋友都说看到那个谈莉娜就想吐啊            
(5星)	 最近天热的难以入睡，自从看了这部剧，我感冒了            
(1星)	 其实我1分也不想给            
(1星)	 只有更傻X，没有最傻X            
(1星)	 是给人看的么？！            
(3星)	 没想到昨晚才播，已经有这么多人评价了，哈哈。 我知道很雷很恶心，可是我就是想被雷，不想看的地方快进，想看的地方我就傻乐下，找乐呢么，那么严肃干嘛。所以我打3颗星。            
(1星)	 昨天瞄了一集~花泽类你的花轮头没了我还看个屁啊~朱梓骁你的混音技术真是。。。。慕容家的山寨奔驰没了我们还有啥乐子啊！强烈要求芒果台给我们换雷阵雨！            
(4星)	 不开心的时候看看。真的会开心。            
(NA)	 。。。。。。。。。            
(3星)	 既然是自制剧，必定会用植入广告来强奸观众            
(NA)	 除了植入广告，其他的完全不够第一季给力！！            
(4星)	 谈莉娜真是丑死了！！！！            
(3星)	 谈莉娜怎么那么丑啊            
(1星)	 俞灏明瘦了，瘦了，竟然瘦了~~衣服不崩了。我说王栎鑫啊，我家晨晨雷了，你还要插上一脚，真是...悲剧了            
(1星)	 他们残疾了、他们失忆了、他们绝症了、他们全好了、囧            
(4星)	 支持下国产偶像剧，不容易啊            
(1星)	 终于瞎了……http://www.letv.com/ptv/pplay/25629/33.html            
(4星)	 我非常喜欢张翰郑爽啊。            
(NA)	 去死            
(3星)	 同室的女孩在看，就让我再雷一遍            
(5星)	 必须5星             
(2星)	 晚上闲来无聊看了两集,雷。            
(1星)	 忍不了            
(2星)	 其实演员都不错的，就是这剧太sb了。郑爽是个美人。16集，看不下去了。            
(3星)	 没第一部好看。            
(1星)	 女主又丑又磨叽穿得也土   男主太丑没文化没气质  真拿自己当偶像剧啦？               
(2星)	 寝室的你们受苦啦！哈哈哈~            
(NA)	 廣告植入少了，沒那麽雷了。換了堆角色看不慣。不過舅舅還是最搞的。崔西和解甲龍好娘！！！内個~他還知道自己雷陣雨呢~奶得！！！！鑫鑫内白痴好可愛！！！！哈哈哈哈哈~~            
(2星)	 一起又看雷星雨！            
(3星)	 张翰变帅了            
(1星)	 能好好演不？！！            
(NA)	 我又看了            
(1星)	 诶，芒果台，你还能在雷一点吗            
(3星)	 亮点多多啊            
(4星)	 冲着郑爽和张翰去的            
(5星)	 可好看了= =            
(2星)	 豆瓣的评分啊，明明第二部狗屎这么多，分却比一高            
(1星)	 当笑话看的 确实很有趣哦~            
(4星)	 芒果臺 其實是個很角色！  男女主角很入戲... 我也很入戲...            
(1星)	 显得那么土            
(4星)	 总体来说感觉不错，能让人欢乐的剧就是好剧，很喜欢，在我不开心的日子带给我快乐            
(5星)	 我觉得这部电视剧很好看，也比第一部进步了很多。我很喜欢看。我非常的期待！！！            
(1星)	 去你妈的流星雨            
(NA)	 我只是求刺激……            
(2星)	 我看能被雷多久            
(2星)	 好雷。。。            
(3星)	 简单一句话，比1好看不是一点半点，但水准也就那样了。继续讨厌端木磊。云海还是一副不太像贵公子的样子，不过已经比1里的穷酸样好多了。继续大爱郑爽，这才有又清纯，又活泼的可爱女生。            
(2星)	 其實我期待有個再再再再看流星雨.然後我希望可以打3星.            
(4星)	 电视剧总是拍给人看的。。多少都有点不现实。。但是人们就是爱看。。因为只有在童话中才能得到现实中无法满足的快乐。。            
(2星)	 我居然無聊到又看了!!!!╮(╯_╰)╭            
(1星)	 我真想为了他的雷的外焦里嫩而打5颗            
(3星)	 蒋媛慕容云海大贱人            
(5星)	 从第31集开始看的            
(NA)	 表妹家就只有芒果台 上午是 中午是 下午不变依旧是 不是杨丞琳 王心凌 便是林依晨 现在多了颗流星  每年暑假永不变 不过却是最快乐无忧的时光             
(3星)	 至少没第一部雷。            
(NA)	 我艹这世界上还有比这更恶心操蛋的电视剧么！？            
(3星)	 我觉得还好撒～            
(1星)	  给傻逼看的            
(3星)	 看完《天天向上》和《快乐大本营》之类的，忘了换台就瞄了几集。郑爽看起来还不错。男主就不行了，张翰的脸长得不算立体，线条也不流畅，真的是相貌太普通了。俞灏明别的还好，嘴巴那块儿长得实在破坏了整体效果。魏晨，太黑瘦，感觉气色和气质都不太好。就朱梓骁，算是四人中五官长得最好的一个人。            
(2星)	 哎，老了            
(3星)	 编曲比编剧好            
(1星)	 红苹果乐园算很成功的了 = =            
(3星)	 。。。            
(1星)	 太挫了            
(2星)	 雷片收藏。。。            
(3星)	 还可以还可以……            
(5星)	 尼玛 这么好的片 为什么豆瓣没有6星~             
(1星)	 片子水准之低劣，让人汗颜；演员演技之粗糙，让人蛋疼。某某台简直是在降低全民的欣赏水平，愚弄全民的智商，广告的植入完全不加掩饰，不得不佩服。打着所谓的浪漫励志爱情喜剧的幌子，演的其实是一出闹剧，片子所宣扬的爱情观让观众都不好意思承认——只要你坚持不懈地犯傻，就能找到爱你的白马王子。            
(5星)	 咋了，我觉得大陆第一部不错的偶像剧            
(3星)	 何必那么苛刻            
(2星)	 我的眼和耳朵都被和谐了==            
(5星)	 一起又看流星雨没有让我白白等待，真的很精彩。不过看到他们爱情受挫也挺伤心的。            
(3星)	 雷阵2~！            
(1星)	 这个夏天，你是欢笑            
(5星)	 挺好看的，造型比第一部好看，我非常喜欢！赞！            
(NA)	 当有人问我要不要看这部时，我小鄙视地说“不看”，当第一集开始时，我已经调好频道坐在沙发了；当我看到新浪微博说本剧首播三天，收视全国第一时，我小怀疑了下，当我细想之后，觉得这是个真命题。硫酸雨阿硫酸雨，你倒是快点泼完啊，姐忙着呢。            
(2星)	 你们BS我吧！我确实在看            
(1星)	 中国幽默搞笑大片            
(2星)	 朱梓骁怎么越来越像黄二哥了？            
(NA)	 继续找雷            
(2星)	 准备好避雷针 一起又看雷阵雨            
(NA)	 打5星的是在开玩笑吧            
(NA)	 傻X            
(2星)	 剧情怎么比一还雷还难看？人物造型稍微好点。            
(NA)	 半集都没想法看完。。。。。。            
(NA)	 快来吧，快来吧- -            
(3星)	 哈哈哈哈哈            
(3星)	 我说比第一部好很多，你信么。。            
(4星)	 为了张翰，给四星。            
(1星)	 没有演技可言。。            
(2星)	 雷雷更健康！            
(1星)	 看短评发现，很多人打一星是因为没有第一部雷了。笑死我了。            
(1星)	 傻逼            
(NA)	 E....            
(5星)	 我真的不是故意要给五星的！此剧实在牛逼！            
(2星)	 本来想给个三星的- -可是最后一集实在是太二逼了。。。            
(1星)	 依旧很雷            
(1星)	 为嘛没有负分！！！            
(NA)	 恶心！！！！！！！！！！！！！！            
(1星)	 让费电和材料的无聊片。免了罢            
