http://movie.douban.com/subject/2279943/	英雄少年
(NA)	 前几天抽看了几集，找回点年轻时的感觉            
(4星)	 小的时候的电视剧 好怀念  尤其那个片尾曲            
(5星)	 哇！！记忆！            
(5星)	 怀念啊！            
(NA)	 主题曲李丽芬《得意的笑》            
(4星)	 反正就是喜欢！            
(NA)	 就是这个！！！！水生！！！！            
(5星)	 怀旧。。            
(4星)	 我就记得我得意的笑。。。            
(4星)	 我得意的笑,我得意的笑~~~            
(4星)	 我得意地笑。            
(4星)	 得意的笑            
(4星)	 我得儿意的笑~~            
(5星)	 用心的台湾电视剧。            
(3星)	 从此对李立群印象深刻！还有，当时觉得蓝心湄好漂亮……            
(5星)	 就记得很好看，歌现在听来都超好听！            
(4星)	 还想再看一次.            
(4星)	 挺搞的。            
(3星)	 一集没落。。。            
(4星)	 原来那个是蓝心湄，儿时的记忆啊            
(5星)	 经典啊！主题曲超级赞！我得意的笑又得意的笑~~~~~~~~            
(5星)	 想起来了！ 怀念啊~~~            
(4星)	 年轻的谢祖武真帅~现在苦情了            
(5星)	 很感动 童年的记忆 忘不了呢 还有记忆深刻的歌曲             
(5星)	 居然在PPS上看到了 怀念啊~            
(5星)	 李立群，蓝心湄， 当年爱死了这部剧。。 看的我得意地笑~~~            
(5星)	 童年的回忆啊~~~~            
(NA)	 我得儿意得笑~我得儿意得笑~            
(5星)	 超搞笑，超经典的，只是现在网上都找不到全集，哎，好想看啊            
(5星)	 小时候看的印象最深刻的一部电视剧            
(5星)	 知道李立群是在这部片子，演技很厉害~            
(NA)	 太欢乐了。            
(4星)	 一度非常喜欢谢祖武和蓝心湄            
(NA)	 我得意的笑 就得意的笑            
(5星)	 记得小时候特别喜欢看，后来电视就在没演过，超喜欢谢祖武&amp;蓝心湄             
(5星)	 这个电视剧真的很好看，一直梦想现实就是这个样子，并却一直在朝这方面努力，快乐似神仙，快乐似神仙，快乐似神仙。。。上个星期看了一遍，感觉真好，唯一的遗憾就是怎么搞的这么不清楚，哪里有压缩的DVD，可以在大陆再看一遍，就好了。谁有啊？            
(5星)	 以前的台湾古装片真的很有中国传统文化味道            
(5星)	 我最喜歡江富貴哈哈            
(4星)	 当年看得那叫一个投入            
(5星)	 想当年初中的时候爱这个电视剧呦~~~~~还记得刘承威对湘儿说：即便你失身于他人，我依然爱你。。。。当时觉得这个男人好深情哦            
(4星)	 我得意的笑~我得意的笑~            
(4星)	 当然看过！！            
(4星)	 《得意的笑》人生本来就是一出戏恩恩怨怨又何必太在意名和利啊什么东西生不带来死不带去世事难料人间的悲喜今生无缘来生再聚爱与恨哪什么玩意船到桥头自然行且挥挥袖莫回头饮酒作乐是时候那千金虽好快乐难找我潇洒走走条条大道我得意的笑又得意的笑笑看红尘人不老            
(3星)	 童年记忆····            
(4星)	 片头曲一开始是玻璃打碎的声音然后才开始李丽芬的《得意的笑》            
(4星)	 小时候很喜欢呐            
(4星)	 好看            
(4星)	 因为听得意的笑，重新发现这部看过的作品剧情真的不记得了，总之一看开头就知道有印象好玩的片子啊            
(4星)	 台湾电视剧少有的精品，真正搞笑            
(4星)	 得意的笑            
(3星)	 只记得很喜庆，当初看的很积极            
(5星)	 经典回忆，童年的乐趣全溶于在这部戏中，我得意的笑，快乐似神仙            
(4星)	 美好的童年啊~~~水生，阿玲~~好像还有个第三者！！！            
(4星)	 爱            
(5星)	 超喜欢~！！            
(4星)	 老电视了            
(5星)	 小时候好爱啊！~哈哈哈            
(5星)	 超喜欢这部电视剧的主题曲            
(NA)	 是蓝心湄演的，原来。小时候都不知道演员谁是谁。            
(3星)	 为什么最后一结三好？？？不爽。。。。            
(3星)	 没看完，只记得得意的笑            
(4星)	 小时候看的电视剧，很有乐            
(4星)	 我得意的笑 我得意的笑            
(5星)	 原来我最喜欢的女演员叫潘仪君            
(4星)	 永远的得意地笑            
(3星)	 好玩            
(NA)	 我得意的笑            
(5星)	 2011年3月，时隔17年再次从头到尾欣赏一遍，尤为喜欢。特别是前半部分，收尾几集有些许失望            
(4星)	 年轻的谢祖武很口奈。            
(5星)	 以前的回忆~值得一看~~            
(4星)	 好看。他有两个两个。好看。得意的笑。快乐似神仙。            
(NA)	 得意的笑~            
(5星)	 很久以前看过，挺想再看看，不过可能没那么多时间            
(5星)	 赞            
(4星)	 这个男主角 现在胖的都不成样子了！            
