http://movie.douban.com/subject/2295783/	碧血剑
(3星)	 江华版的夏雪宜是大爱，你敢再帅一点吗？            
(4星)	 江华的扮相太美            
(3星)	 林家栋其实演的蛮好，袁承志本就是凡人            
(4星)	 我喜欢这个版本。大头不能和阿九姑娘在一起，让我哭死了。袁承志这个角色限制了演员的发挥啊，好在 林家栋 在里面还是可爱的。            
(2星)	 江华OK，其他人真是要多假有多假，尤其那个温青青，不知道是谁的关系能出演。            
(4星)	 金蛇郎君夏雪宜            
(3星)	 唯一看点就是江华            
(3星)	 江华确实不错            
(NA)	 卧槽！！鼻血贱！！            
(NA)	 金蛇郎君夏雪宜 | 青青...青青...            
(3星)	 除了江华，演员都太次了            
(3星)	 那时候很喜欢滕丽名。            
(5星)	 夏雪宜TT            
(3星)	 碧血剑原著不怎么样，所以改编没个好的            
(NA)	 这个袁承志不太帅~~            
(3星)	 过。            
(NA)	 我只耐关宝慧~~            
(2星)	 佘诗曼你看看你演了多少招人烦的角色 用你那没有演技的演技            
(3星)	 我到底什么时候开始觉得佘诗曼好看的啊            
(2星)	 不喜欢小说，电视剧更讨厌            
(4星)	 情节改太多了。。。            
(4星)	 重温一遍，感觉甚好            
(2星)	 节奏慢。            
(4星)	 主题歌不错            
(4星)	 ！！！            
(3星)	 你骗我骗了好久……            
(3星)	 此时的阿佘胖胖的，蛮可爱的~ 有一种让人怜惜的感觉，现在怎么就让人觉得很刁蛮呢，演大好人都觉得别扭~~~            
(3星)	 金蛇郎君，吼吼！            
(3星)	 喜欢何红药，夏雪宜烂人一个啊！江华演得很好，温青青的演员不好看            
(4星)	 四星给江华。            
(3星)	 难看            
(NA)	 啊原来我曾经喜欢过佘诗曼的角色的            
(3星)	 不忠于原著. 跟朱七七白飞飞一样. 女配出镜. 女主让位.            
(NA)	 我就只看过这个版本的碧血剑，无从对比，但还算喜欢            
(4星)	 我最喜欢青青,她别扭的时候的撅嘴,下嘴唇撅起来,那样子真可爱.            
(3星)	 可以看            
(NA)	 金蛇郎君，温仪，金庸笔下最喜欢的男女。            
(3星)	 佘小姐一直让我挺讨厌的，这次的阿九倒是让我稍微改善了一点印象。人家说她好看，我也就这次满算看出来了            
(NA)	 没有什么深刻感受.但是很喜欢阿九.一直觉得阿佘演这类人很逼真.            
(1星)	 青青这么难看！和庄静而版的差的那叫一个银河宇宙。。。再一看小袁兄弟那张饼脸，基本上晚饭可以省了。。。尽管我十分不喜欢佘某，可三主角里就数她最顺眼了。。。终于，老金的东西也到了谁都可以生灵涂炭一番的境地了，管他CCTV还是TVB。。。            
(4星)	 当时每个人都看，不知道哪那么好看            
(3星)	 江华很帅            
(3星)	 电影版的看多了，这个比较无感            
(3星)	 并没有喜欢上佘诗曼的阿九，也没有很爱实在不好看的青青，却始终记得最后，温青青说，不管他最爱的人是谁，最后陪在他身边的是我。            
(NA)	 【2000-11-20】            
(NA)	 除了男女主太丑之外没有印象            
