http://movie.douban.com/subject/1302832/	洛神
(NA)	 叉烧芬的甄宓美得太惨绝人寰了            
(3星)	 其实蔡少芬才是我心目中真正的TVB一姐。。。            
(4星)	 蔡少芬和我心目中的甄宓还有一段距离，角色如果可以和郭羡妮换的话……            
(4星)	 蔡少芬真的好靓            
(4星)	 狐妮永遠成不了人            
(4星)	 难得蔡少芬可以将甄宓这个完美得可怕的人塑造得完全不讨厌。四大演技之首当仁不让。            
(4星)	 陈豪，蔡少芬。            
(5星)	 马浚伟同ada演的好好            
(3星)	 郭羡妮倒是满会演戏的，正邪均可，是个人才，而且耐看            
(5星)	 最喜欢的古装片。            
(5星)	 「休迅飞凫，飘忽若神，陵波微步，罗袜生尘。动无常则，若危若安。进止难期，若往若还。转眄流精，光润玉颜。含辞未吐，气若幽兰。华容婀娜，令我忘餐。于是屏翳收风，川后静波。冯夷鸣鼓，女娲清歌。腾文鱼以警乘，鸣玉鸾以偕逝。」难忘曹植双鬓斑白，洛神赋字句悲凉。应该是马浚伟最好的一部剧。            
(5星)	 真心觉得是这么多年来最棒的一部港剧。            
(5星)	 蔡MM的古装扮相好漂亮～赞～好喜欢前面几集的曹丕            
(5星)	 蔡少芬还真是迷人            
(4星)	 冲着惊艳的菜菜芬而给的4星            
(5星)	 好看！！蔡少芬是我心中最美！！无人替代！！            
(4星)	 曹植未免被人设地太过偏激了            
(NA)	 众人徒嗷嗷，安知彼所观。            
(5星)	 ada演的入木三分 经典中的经典             
(4星)	 还不错，但是也没看完            
(4星)	 勿作隐恶于暗室，罔招阴遣与神明            
(5星)	 万事从来转头空，沉醉清梦            
(4星)	 说真的，有点做作，但是蔡少芬当真不错。陈豪也不错。这个兜兜齿加X型腿。哈哈哈。我对曹操一家人颇具好感，我都想看三国了。- -            
(3星)	 蔡少芬~            
(3星)	 太长了我放弃了……            
(4星)	 我真是好有空哦！            
(5星)	 我为了看这部剧之后我要很痛苦的练琴!大牺牲啊            
(3星)	 我爱《洛神赋》，也爱蔡少芬。可偏偏，她不适合演甄宓。            
(4星)	 对蔡少芬没好感。。。。            
(4星)	 當時個個都因爲這套戯而叫我[洛神]OTZ            
(5星)	 虽然是戏说却也精彩万分，甄宓绝世容颜仪态万千智慧过人难怪是一代传奇啊...            
(3星)	 蔡少芬差洛神太远太远            
(4星)	 甄fu实在是有情有义深明事理            
(4星)	 蔡少芬演洛神好好            
(4星)	 @hangzhou            
(3星)	 我真不觉得蔡少芬美            
(3星)	 甄宓对比狐妮~            
(4星)	 为了蔡少芬给4颗            
(5星)	 或许的确洛神更喜欢曹植，不过也看到了现实的残酷吧，一旦曹丕变为平民，他们的生活只能在物质中挣扎，何来爱情。她对曹丕最不该用的就是威胁，否则不至于如此不幸吧。            
(4星)	 矮油我觉得结局很感人的，郭羡妮丑的要死            
(4星)	 蔡少芬最美的时候            
(5星)	 暑假看的            
(4星)	 终于把《洛神》看完了，痛啊。甄宓、曹植、杨修、荀文若、丁仪，为他们惋惜，可惜历史是无法改变的，曹操费尽一生心思篡汉，终还是被司马懿用四十六年改魏为晋            
(4星)	 所谓红颜祸水，一个女人引发的两个男人+另一个女人的四人八卦故事。            
(5星)	 好心没好报。            
(4星)	 以前好中意噶            
(3星)	 其实甄宓跟洛神真没关系……            
(5星)	 突然想起以前看过的洛神。爱甄宓。爱蔡少芬。            
(5星)	 初中一放学就回家看 郭女王好的            
(4星)	 从这部开始讨厌郭羡妮            
(3星)	 蔡少芬的经典之作            
(NA)	 人妻爱好世家            
(3星)	 恨人神之道殊兮 怨盛年之莫当            
(3星)	 蔡少芬mm的演技还是那么好啊~~~            
(3星)	 看到开始变成后宫戏就不想看了 前期的曹丕蛮招好的            
(NA)	 没有看完            
(4星)	 应该有哭过的。            
(4星)	 蔡少芬古装太美鸟~~            
(5星)	 南国有佳人，容华若桃李。朝游江北岸，夕宿潇湘止。            
(NA)	 他们已经很用力地表现潇洒与豪情，但总难摆脱二十世纪港片常见的江湖气息与小市民品味            
(NA)	 窝在外婆房间看的。甄妃被毒的那段伤心死了。            
(3星)	 桥段好象都是上一个时段的了，但是故事本身还是不错的            
(4星)	 因为这部剧，迷恋甄宓很久，还抄了《洛神赋》            
(4星)	 第一次知道Ada的惊艳            
(5星)	 当时看蔡少芬死的那场戏，哭惨了。            
(NA)	 江南有二乔 河北甄宓俏 裸身不是洛神 我在回顾我很有好感的马浚伟            
(5星)	 原本因为《洛神赋》而看的 没想到拍的竟然很圆很好看 看我的泪流满面～唉唉唉～            
(4星)	 蔡少芬演得出神入化啊！！我拜倒！！女神！！            
(3星)	 蔡少芬在里面还蛮美的            
(4星)	 菜很美~            
(4星)	 菜菜还是胖点儿好，刘姬的主题曲不错。            
(5星)	 蔡少芬演得太赞了~~            
(5星)	 我非常喜欢这部电视剧            
(5星)	 到现在我都认为这是我看过的最好看的TVB古装剧集            
(3星)	 年少回忆。            
(4星)	 对曹植的印象源于这里~            
(5星)	 最好看的TVB            
(4星)	 郭羡妮的套路基本就是演好人也一副奸人相= = 蔡少芬真美呀            
(5星)	 以前也看过，现在有时间想重看重温下呵呵~看后果然感触颇多~            
(NA)	 唉，看这片我得了内伤            
(5星)	 俺滴挚爱之一！            
(3星)	 小时候大家一起围在电视机前面看的            
(4星)	 lovelove蔡少芬..            
(4星)	 Ada啊！            
(NA)	 喜欢            
(NA)	 那时候，我觉得我挺懂历史            
(4星)	 从这里认识郭羡妮.虽然不是女主也不是好角色.可是喜欢她狠的样子.从这里爱上曹子建.只可惜缺少霸气是他的命门.            
(NA)	 连着17个小时看完的呀！最疯狂的一次            
(4星)	 看看看。重温初二的电视剧。            
(NA)	 演员选得还是不错的，尤其演曹孟德的，有气势少些奸险，蔡少芬倒是大方得体，不过演完美女神还是有点力不从心。唉曹家后院的事也难办得很呐～            
(5星)	 美的有意境            
(3星)	 从这时候就看郭羡妮不顺眼            
(4星)	 TVB的电视剧都差不离，但这一部是最让我回味的。“惜花”这首歌很美～            
(4星)	 乱世桃花逐水流。这是蔡少芬演员生涯中最悲情的角色。            
(4星)	 看到最后一集的最后五分钟 邓一君出来打酱油的时候 还挺惊喜。            
(4星)	 那个时候的蔡少芬美啊            
(3星)	 蔡少芬 演的甄宓  也太完美了              
(4星)	 蔡少芬给我印象最深的是甄宓这个角色 仙女般存在着童年的回忆里            
(NA)	 当初就给我一种朦胧的ZZS拆CP的雷感= =总之特别的小言……            
(4星)	 甄宓和曹植            
(5星)	 一声叹惜            
(3星)	 这是一个曹植斗不过曹丕，曹丕斗不过司马懿，以及各种英雄难过美人关的故事。            
(3星)	 我怪胎，我在看，我自豪            
(5星)	 回想起来，陈豪也奸角也那么有爱，但还是希望甄宓和温润贵公子在一起            
(4星)	 喜欢刘惜惜 喜欢得不得了            
(5星)	 这个太惊艳！            
(5星)	 看了很多遍，唯一会看哭的古装连续剧。            
(4星)	 就是喜欢这里面的蔡少芬啊            
(4星)	 多年以前看的。蔡少芬太美丽            
(5星)	 曹植啊啊啊啊            
(NA)	 作为一个丕少控，本剧把劳资的雷点踩得一个不漏……洛神你妹！知己你妹！            
(3星)	 蔡少芬一直算是我喜欢的女艺人，洛神里漂亮得一塌糊涂，印象最深的是七步诗，泪眼婆娑，还有结局曹睿为母报仇的部分。            
(3星)	  90年代初期的时候真的觉得蔡少芬特别的好看，不过到了这个时期面相已经显得刻薄而不太适合演绝世美女了，但演技确实是在上升的。anyway，片子总体不错            
(NA)	 不好看。            
(5星)	 最后几集是哭的看完的，为什么那么完美的女神总是红颜薄命~~马浚伟真是太有气质了，难得的小眼睛帅哥            
(4星)	 做人点解要背负咁多责任？一早走咗，咪冇人可以再分开我哋。            
(5星)	 这部片子里的蔡少芬美的惊天动地！！超爱！！！！！            
(4星)	 大学。这一部没有看完，一直停留在曹操乱点鸳鸯谱之际，不敢往下看。            
(4星)	 Ada美极！看得好难过啊 TVT  一声叹息            
(3星)	 蔡少芬超级美            
(4星)	 8年前的片子            
(NA)	 在天愿作比翼鸟，在地愿为连理枝            
(3星)	 三个男人不能更假了！            
(4星)	 看得我好憋屈            
(NA)	 当时看得情绪非常激动啊！            
(4星)	 拍的不错。曹植很帅啊。            
(4星)	 蔡少芬 你也太美了吧            
(1星)	 又见玛丽苏。子建是爱他阿兄的呀……            
(4星)	 那时候的蔡少芬真的太美。            
(3星)	 补            
(4星)	 还是老剧好看啊~~~我爱杨修!=.=            
(3星)	 就是蔡少芬没有洛神女的样子……            
(5星)	 一切为了刘惜惜！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 蔡少芬在里面是圣女            
(4星)	 甄宓啊。             
(4星)	 黑夜中的一盏明灯            
(4星)	 马浚伟。蔡少芬。            
(5星)	 Ada演得太好了 尤其最后几集。            
(3星)	 不觉得蔡少芬漂亮            
(5星)	 美人少芬姐姐~            
(3星)	 初中看的一部电视剧，大结局我哭得超厉害。后来再看了一遍，依然非常感动，虽然有些地方与史实不符，但是这些杜撰并没有突兀，反而有真情实感，所以这样的改编是成功的。蔡少芬和马浚伟都演得很好，只可惜有情人没有终成眷属。            
(4星)	 甄宓是她最美的时候            
(5星)	 欣赏这样的女子。            
(NA)	 天下才共一石 艳共一疋 子健独占八斗 宓占三丈            
(4星)	 蔡少芬演技&amp;造型得啊~~            
(4星)	 很喜欢的电影。宓儿是女子的典范和榜样，elegant，知书识礼。人生本来就不完美，但我们依然要顽强，依然要坚守一些信念。            
(5星)	 小时候的最爱            
(4星)	 以前超爱的。            
(4星)	 人家好评不断，我却是断断续续看完的。            
(5星)	 乱世花，耗尽半世情未浓。            
(4星)	 蔡少芬很美            
(4星)	 当时只看了一点点后来就没看到了&gt;&lt;记得那里面蔡少芬超美！            
(4星)	 《宫心计》前身吧…让我对三国野史大感兴趣            
(NA)	 不喜悲剧            
(3星)	 本是同根生，相煎何太急            
(4星)	 无论如何 结局是不会变的            
(2星)	 看了好几次,都没看进去....            
(5星)	 历史剧果真能让我心潮澎湃，唏嘘不已。            
(5星)	 五星。蔡少芬演绎的很好。让我无声地流了两次泪。一次是甄宓7月早产时，一次是甄宓死时。            
(4星)	 喜欢蔡少芬            
(3星)	 其实木觉得蔡sf多美，至少没有美艳到惊人。洛神这等美女也是谁都可以演绎的么？！  再加上鞋拔脸啊鞋拔，囧    这里面倒是陈豪造型很帅，很英气！            
(5星)	 芬芬~~芬芬~~~~~~            
(4星)	 有情人不成眷属！            
(3星)	 歌赞~            
(5星)	 很喜欢蔡少芬扮演的角色！            
(4星)	 最近看了好多郭羡妮的劇。            
(5星)	 喜欢上曹植...才发现马浚伟的魅力.....            
(3星)	 喜欢曹植多一点            
(5星)	 不知为何 就是很爱            
(5星)	 相信世間還有一種至情至性            
(5星)	 蔡少芬美的不行 。记得那时初三。            
(5星)	 情节很紧凑，演员也演得很好！            
(4星)	 ada好美            
(5星)	 真的真的非常喜欢。            
(4星)	 好看，但是知道了啥是虐。            
(5星)	 我看不下去连续剧了            
(3星)	 惜花單獨拿齣來更好听            
(3星)	 快进，快进，我看完了。            
(4星)	 人生无常啊  不过感情是很动人的            
(5星)	 洛神转世的神话流传于世，而甄宓与曹植的爱情故事众说纷纭，至今无结论。淮南子、太平广记还在诉说着多情的陈思王曹植，李商隐也在《东阿王》感曹植“君王不得为天子，半为当时赋洛神。” 千年以后，他和她已在历史的云烟中飘远。留给我们的是无限的追思，可望而不可即，盈盈一水间，脉脉不得语。            
(5星)	 好看！            
(NA)	 彼时很迷蔡少芬呢~            
(5星)	 这个大爱啊。甄宓真是美啊            
(NA)	 喜欢插曲歌姬熙熙所唱《惜花》.欣赏甄。2009-6-28            
(5星)	 即使在最后 眼里还是只有一个人而已。            
(5星)	 宓儿，好美的名。            
(5星)	 10集后那个精彩绝伦，前面稍显拖沓            
(5星)	 大爱ADA!            
(4星)	 本来喜欢大团圆类的,没想到心情不一样,口味都转.看下来最喜欢的居然是曹丕心口不一苦恋甄宓的那段.            
(5星)	 我心中蔡少芬和马浚伟最好的片子。            
(5星)	 初三的时候背着良心看得哭得稀里哗啦的            
(4星)	 大爱蔡少芬            
(4星)	 一些细节很精致            
(5星)	 寒来暑经春复冬，看得浮生总是空。 金也空，银也空，死后何曾在手中。 官也空，侯也空，尽是苦债恨无穷。 妻也空，子也空，黄泉路上不相逢。             
(4星)	 尽管如此，这个片子真的不是在宣扬后宫争宠且BL/GL么。。。            
(3星)	 哎。            
(5星)	 经典啊经典            
(5星)	 惊若天人的甄宓~            
(4星)	 七步诗的场景太感人了。“本是同根生，相煎何太急。”            
(4星)	 郭女王的由来 HAHA~~            
(5星)	 ADA的古装代表作，真是完美的女神。            
(5星)	 Ada的經典之作~~            
(5星)	 ADA太漂亮啦！！！            
(4星)	 甄宓 刘惜惜 水仙 三笑 曹操            
(4星)	 马浚伟和蔡少芬的爱挺可惜的            
(5星)	 经典            
(3星)	 开始关注陈豪            
(5星)	 翩若驚鴻 婉若遊龍            
(5星)	 蔡少芬在里面让人惊艳了一下            
(5星)	 &#34;寒来暑经春复冬，看得浮生总是空。 金也空，银也空，死后何曾在手中。 官也空，侯也空，尽是苦债恨无穷。 妻也空，子也空，黄泉路上不相逢。&#34;             
(4星)	 江南有二乔，河北甄宓俏            
(4星)	 乱世桃花逐流水。经典之作。            
(5星)	 26            
(NA)	 我能带走的 恐怕只有你含泪的嫣然一笑             
(4星)	 蔡少芬在里面真是倾国倾城~            
(NA)	 天妒红颜，乱世飘零……            
(3星)	 Ada很惊艳~~            
(4星)	 相当同情马浚伟，甘样卑陈豪抢自己条女……            
(NA)	 一贯的tvb....            
(NA)	 没看完            
(3星)	 还是不错的，至少我还记得“惜花”            
(3星)	 因为讲的是三国时的故事才看的            
