http://movie.douban.com/subject/2299648/	杨贵妃
(2星)	 一直觉得向海岚是个传说 这么丑怎么可以演那么美的人！            
(3星)	 江华很帅很够味！            
(2星)	 向海岚真心丑啊            
(2星)	 向海岚作主角，这演技真是天无眼。            
(NA)	 当时大结局没追到啊～痛心            
(3星)	 虽然向海岚是鞋拔子脸，但素江华演唐明皇就实在是风流倜傥~~！里面的反角惠妃演的不错，够贱。演梅妃的吴美衍，也真是和野史中传说的那样出尘脱俗，清高冷傲。            
(NA)	 杨妃一笑千秋媚，明皇赴约千世惊。            
(3星)	 吴美珩的梅妃还是相当有味道的            
(4星)	 到了初中畢業我們還在宿舍裏唱這個電視劇的主題曲扮楊貴妃...            
(3星)	 向海岚实在不适合演杨玉环啊！！！故事也粗制滥造            
(5星)	 这分绝对偏低了 莫非是因为剧中没一个能拿出手的女人 但片子真的很好看  最后一集泪奔  李隆基太让人❤疼了  赐还是不赐  美人江山2者皆重啊TT            
(NA)	 皇上不给力            
(3星)	 那时候是不是还没有电视剧频道。。反正是从电视上一集一集追下来的。。。。            
(NA)	 粤语版的好看 声音嗲 我一直记得那些女的老叫 陛下 （白哈）            
(4星)	 杨贵妃和三郎的情，如今又有多少人能懂？            
(3星)	 天平女+天蝎男+处女女+金牛女            
(3星)	 向海岚太做作            
(3星)	 向海岚丑的一滴老卤            
(3星)	 向海岚丑成神马样子还风华绝代╮(￣▽￣&#34;)╭             
(3星)	 本来为了江华可以给四星的。。。但是向海岚这个猪扒我就-一星            
(4星)	 蛮好看的呀，虽然不比金枝欲孽的勾心斗角            
(4星)	 我觉得还是可以。。。            
(2星)	 换频道的时候暼了几眼 不好看            
(3星)	 六军不发无奈何 宛转娥眉马前死   在天愿作比翼鸟 在地愿为连理枝 天长地久有时尽 此恨绵绵无绝期            
(3星)	 其实一直觉得 男女主角都好看不到哪里去            
(3星)	 向海岚也是聪敏的女子在娱乐圈混不下去就来上海不像杨贵妃            
(NA)	 其实我觉得向海岚真係几靓嘎.            
(3星)	 向海岚怎么可以演杨贵妃。。。            
(3星)	  向海岚太苦命相            
(NA)	 喜欢，江华            
(5星)	 只记得当时哭得好凶~            
(4星)	 虽然向海岚不是特美，但是很杨贵妃            
(NA)	 【2000】            
(3星)	 当年脚的贵妃娘娘漂亮的/(ㄒoㄒ)/~~             
(2星)	 没见过脸那么长的杨贵妃             
(3星)	 我爸说这里面最漂亮的是皇帝            
(2星)	 向海岚好丑            
(3星)	 梅妃很美丽，不喜欢向海岚。            
(2星)	 马脸杨贵妃，日。            
(NA)	 考试的时候一直看！            
(3星)	 我小时候看过的好像就是这个版本            
(1星)	 丑到爆的杨贵妃            
(3星)	 我觉得还OK            
(2星)	 杨贵妃简直丑死了！            
(NA)	 小时候看过这个，刚才又翻出两集来温习，那可真是。。。让我说什么好呢。。。            
(4星)	 人设不错的            
(4星)	 好想念那个梅妃            
(5星)	 港版很唯美。            
(4星)	 当时记得杨玉环真的好美。            
(3星)	 我竟然还是看过。。。            
(1星)	 无论是人物还是剧情，都是囧字一个！            
(5星)	 江华粉丝~             
(2星)	 特么谁找这么瘦的人来演的!!!!            
(3星)	 以前，还是可以看看的            
(2星)	 向海岚也太丑了点吧~            
(1星)	 这片子烂的我都没法说了……            
(2星)	 憎恶向海岚！！！喜欢江华~~~            
(NA)	 不知道为什么觉得向海岚的杨贵妃扮相还不错，不过剧情是很无厘头了点。唐玄宗有那么年轻吗，这是TVB的硬伤，戏说得太厉害。            
(3星)	 哎..杨贵妃是个瘪嘴阿瘪嘴            
(3星)	 喜歡郭少芸            
(3星)	 向海岚...缺乏说服力            
(3星)	 印象中向海岚唯一一部演女1的剧            
(NA)	 其实不错的            
(4星)	 当年可爱看了            
(3星)	 喜欢祸水            
(3星)	 随便看看，打发时间            
(2星)	 只为了向海岚看。            
(4星)	 说实话，平面照上不好看的向海岚，流动中有种难以言说的古典婉约。难得的那类美！            
(3星)	 20            
(3星)	 记住的，是她的那一声：三郎...            
(3星)	 这个。。。她不是这个扮相会比较美            
(3星)	 感觉有点不是很正式，有点歪曲历史。            
(4星)	 失实！点解向海岚同埋其他女人唔肥D啊？！皇上都有难为的事！            
(NA)	 向海岚那大鞋拔子脸丑死了……            
(3星)	 TVB老片了..            
(3星)	 向海岚真心适合古装戏。            
(NA)	 童年回忆            
(3星)	 其实我一直觉得鞋拔脸向海岚还可以啊...            
(3星)	 。。。小时候看的古装戏，杨贵妃真美。            
(4星)	 唉 回憶啊 沒辦法            
(3星)	 原来看我过这么多电视剧            
(5星)	 上个月才问了舍友向海岚去哪里了，好久没在电视上看到她，舍友说她嫁入豪门了            
(4星)	 我觉得老片都很经典的 = =            
(NA)	 TVB总有那么一点特别的迷人            
(NA)	 当年江华是我的偶像梦中情人啊！            
(3星)	 就觉得向海岚丑死了。            
(4星)	 哎呀最后结局好啊            
(5星)	 我的至爱T-T            
(5星)	 江华和向海岚都好钟意。。            
(3星)	 已经忘记剧情了，但还是很喜欢吴美珩X江华这一组合，可惜每次都是擦肩而过            
(3星)	 又是最美杨贵妃。。。。            
(3星)	 那个时候~觉得向海岚演技很差~当然现在也这么觉得~            
(5星)	 向海岚在里面真是美~！就是那个味~！            
(3星)	 一般般            
(3星)	 这个贵妃不是很好看啊。。。不过看在她跟我一个姓，勉强3星吧。。。            
(5星)	 向海岚演的好！            
(3星)	 那时少年各种剧~~~            
(4星)	 以前看过的 但还是又看了一遍~挺童话的 虽然基本都是瞎编的。。。            
(5星)	 向海岚好美啊！            
(3星)	 好老的片子 向大姐還真適合去唐代…            
(4星)	 向海岚版的杨贵妃风华绝代！            
(5星)	 红颜薄命啊！！！！我觉得向海岚 几好噶  细个体~~~~~            
(4星)	 觉得那个杨贵妃不好看            
(4星)	 当时觉得向海岚一点都不丑            
(4星)	 为了江华，我忍            
(3星)	 陪老妈一起看的            
(3星)	 我也觉得蛮好看的呀            
(3星)	 不知道为什么，当时觉得向海岚好漂亮。。。。。。            
(4星)	 重温了一遍 竟觉得向海岚美了起来 也许是被现在的小花旦荼毒的也许是七姊妹里留下的好感。。。            
(1星)	 鞋拔子脸的杨玉环...哎！我忒讨厌向海岚。            
(2星)	 向海岚真的不好看...            
(4星)	 我觉得向海岚气质不错哒，吴美珩也很好            
(5星)	 在我年少（小学）的时候最喜欢的电视剧= =            
(5星)	 以一生去换你一段情            
(NA)	 那个时候真的觉得很好看            
(3星)	 后来就不喜欢向海岚了            
(3星)	 喜歡這個版本的楊貴妃，因為我喜歡江華吧~~哇卡卡卡卡~~~美男啊~~            
(3星)	 長得不算太醜不等於就可以演楊玉環。。            
(3星)	 小时候到电视上看的 这个女主总是演美女            
(3星)	 我哥觉得向海岚的演技屎得要命，脸还很大            
(3星)	 向海岚不漂亮。            
(3星)	 真的不喜欢向海岚            
(4星)	 挺喜欢向海岚演的            
(2星)	 向海岚真是不漂亮。            
(3星)	 对杨贵妃眉心的符号印象很深            
(3星)	 向海岚很苦瓜脸啊。。电视机上看玩的。            
(3星)	 因为大夏天晚上想看这电视，爸爸不让，躺地上挨了一顿踢，然后开始写日记，然后被妈妈偷看，这部电视背后故事更精彩啊！            
(2星)	 后宫什么的最恐怖了            
(4星)	 虽然向海岚的确不杨贵妃 但有江华的皇帝就够了            
(4星)	 当年我和妈妈都爱看            
(NA)	 很早很早以前看的，就记得那首超级复古的主题曲，很有感觉。向海岚有点猪腰子脸啦，不算很漂亮，但是江华江华有江华噢。戏说成份太大了，谁叫这是TVB呢。            
(3星)	 其实一直不觉得向海岚漂亮，为嘛总演美女呢！！！            
(4星)	 好想念向海岚诶            
(3星)	 改得面目全非，贵妃不够丰满不够美            
(4星)	 喜欢三郎玉环的故事，尽管不甚符合历史，喜欢向海岚的端庄。            
(NA)	 很老的戏了，女主角都在上海做白领了            
(3星)	 向海岚演的杨贵妃并非我杯茶，反而吴美珩所饰演的梅妃善良孤傲，是至今我仍记得的角色。            
(5星)	 完全被美女迷住            
(3星)	 我看了多少            
(3星)	 即使向海岚演技不给力……            
(3星)	 对杨的最初印象  = =            
(3星)	 湖南卫视前几年重播过，其实剧情还是挺有看头的，就是TVB的场景神马的太简陋寒碜了！            
(3星)	 马脸贵妃　那叫一个嗲            
(4星)	 以前觉得向海岚的杨贵妃美si了            
(1星)	 杨贵妃丑的不能更丑了！            
(3星)	 虽然人是花王脸，但是演技还好。。            
(4星)	 四大美人我最喜欢杨贵妃            
(4星)	 为了美丽的梅妃            
(4星)	 小学 哦 只记得当时觉得扮演杨贵妃的姐姐不好看了 还很瘦            
(3星)	 梅妃好漂亮。杨贵妃好丑。            
(NA)	 还可以，很普通的港剧，不得不提的是江华还是很适合演皇帝的，那种韵味，也许别人还模仿不来。            
(3星)	 反正怎么看怎么看向海岚都不是杨贵妃                
(4星)	 江华特有皇者feel            
(2星)	 最后，竟然要死？太恐怖了            
(3星)	 又是向海岚……            
(2星)	 我为什么看了。。            
(4星)	 小时候居然也把这部剧当笑料看。            
(4星)	 想到杨贵妃还是会跳出向海岚的模样，那年笑的那么明媚            
(4星)	 虽然简陋。但颇好看。            
(3星)	 衣服相当漂亮            
(3星)	 杨贵妃蛮美的，有点虐            
(5星)	 记得看的时候，是高一，很忙，好友一直在追，不解，剧情改得不象样了，为何还追。好友答，就是要追着看还能怎样狗血法。            
(4星)	 这部戏评价很不好，但是我挺喜欢的            
(NA)	 就是他！我曾经迷恋过的一个无人应和的我以为是小片子的片子，我郁闷了很多年            
(4星)	 记得梅妃是吴美珩来的 ，还有江华叔叔和她还挺一对的。            
(4星)	 郭少芸            
(NA)	 麻麻的各种贡献            
(3星)	 当时觉得这个杨贵妃好丑！~            
(NA)	 其实我喜欢那个吴美珩多一点~~~还有那一套蓝色的宫女服装在 宫心计里面好像也看到啦 囧~~~            
(3星)	 烦死向海岚了            
(3星)	 挺喜欢里面几首歌的            
(3星)	 实在是不够杨贵妃的美貌            
(2星)	 杨贵妃要是长成这样，唐玄宗干脆死了算了。            
(5星)	 看过，不知为什么当时挺喜欢的            
(4星)	 杨贵妃太丑了，不过小时候人家是看剧情来的            
(4星)	 这里的杨玉环也很美 一舞风流            
(2星)	 这么瘦的杨贵妃...            
(NA)	 一般            
(5星)	 好喜欢江华            
(2星)	 杨贵妃怎么可以是大饼脸！            
(3星)	 小时候也喜欢看的啊。。            
(1星)	 向海岚丑死了！僵硬死了！            
(4星)	 最经典都系被强奸个一幕！            
(NA)	 想到杨贵妃脑海浮现的就是向海岚~~            
(3星)	 皇帝觉得演的很不正经啊，唐明皇至少前期还算有点作为的应该不是这个样子吧            
(3星)	 呃……            
(3星)	 向海岚怎么老演巨美的美女啊            
(2星)	 这贵妃娘娘长得也太苦情了            
(3星)	 有那么瘦的杨贵妃？            
(3星)	 其实我当时觉得向大姐还蛮好看滴。。。            
(4星)	 这是一部已经看过很久很久的电视肥皂剧~当时哭得很凶~也是唯一一部过了十年我还能总是哼着它片头曲的电视剧~~~~~~            
(3星)	 不喜欢向海岚。。。            
(3星)	 相当的误导人，完全不符合历史。给李隆基编制了一个可以圆谎的结局，多么的迫不得已。喜欢梅妃~            
(NA)	 当时对梅妃那个痴迷啊             
(3星)	 我觉得玉瑶这个角色还不错~~            
