http://movie.douban.com/subject/4891786/	夏家三千金
(3星)	 看了几集，不知为什么每次到真真、皓天、友善的剧情开始快进，反而会专门看天美和严格的那部分，他们俩很养眼，很青春，即使是老套牙的爱情故事，但至少看得赏心悦目~            
(2星)	 夏天美傻的要死！杨真真假的要死！夏友善贱的要死！把一部狗血剧拍出80集，还拍的那么脑残！真是把现代年轻人走向犯罪的道路！！！估计很多看到一半要活活气死！！！这辈子要是一定得嫁给钟浩天这种混蛋，我宁愿出家当尼姑！！！            
(3星)	 长了点，准备出完了直接拖着看吧……比较喜欢天美和严格两人，其他的就算了，嗯。            
(1星)	 每天都得陪老妈看此剧，弱智剧看多了会报复社会的！！！            
(2星)	 张檬演的烂透了，感觉像是白痴院走出来的白痴一样。我算是够喜欢美女的了，怎么看到你就想揍你骂你。就算被潜了也至少需要正常点的人来演吧。还叫真真呢，真是个真白痴。            
(2星)	 各种懦弱+不明真相的男人，各种无语的配音。            
(3星)	 整整八十集……我居然看完了……人才啊……            
(2星)	 看了两集忍不住吐槽了，台词写得真的太平淡了，剧情基本没有吸引力，只有陈楚河一如既往的帅...            
(2星)	 浪费了唐嫣....            
(1星)	 整部剧逻辑都很傻逼。那个什么真真最假了，哭起来又丑的一比。            
(1星)	 春节无聊种下的封建余毒，让没蛋的人看了都蛋疼！还“真善美”，拜托抄“夏娃的诱惑”抄得还不如韩剧，我勒个去，孙晓菁哪能好跟金素妍搭脉呢！你看连戚薇都有演技了，其他演员有点追求好不好？张濛你有本事做作到直接竞争影后好了！陈楚河只有Dylan神父成功。黄文豪大好，永远的程铁衣，敦厚！            
(2星)	 唉............这神马...像台湾狗血八点档...            
(2星)	 看阵容,剧情很白烂!            
(3星)	 戚薇演坏女人也太神似了吧。。邱泽。。囧。冯大叔。。HIGH~~~            
(4星)	 为了短发戚薇，看到一半，看不下去了。女主真的很没好感。邱泽和唐嫣真的好可爱            
(4星)	 那配音让我有点...................白瞎了唐嫣啊真是..邱泽好帅衣服好土╮(╯▽╰)╭            
(2星)	 这么烂的剧本和台词..还有配音－ －....真可惜了那么多的俊男美女啊！！心痛啊～～～～            
(NA)	 唐嫣原来还可以演傻姑娘，好狠            
(NA)	 这俩男主太没出息了去死吧…女的，善恶分明的要死…            
(NA)	 1            
(1星)	 试水者请后退，危险一级恐怖片，看前或者继续看之前，请一定要三思.. 再三思... 若是一定要看的，请先做好心理建设，并自备降压药、受气包，要记得时刻准备好，你一定用得着的。            
(1星)	 吐            
(2星)	 好作啊……            
(1星)	 陈楚河和邱泽颠覆了我心中男主角的爱情 懦弱善变滥情花心博爱 这尼玛到底是干嘛呢 唐嫣和戚薇才是亮点  张檬那傻逼手舞足蹈我就没看出来她什么时候是不瞎的            
(2星)	 我妈和我在家的时候就看这个磨时间啊            
(1星)	 垃圾！雷的我想吐            
(1星)	 神马破东西= =            
(NA)	 這簡直是挑戰人類白癡極限的垃圾連續劇，簡直是在侮辱觀看者的智力！我隻看了幾集（因為媽媽看，當時在吃飯，躲也躲不了）。劇情就是：沒事硬找事，有事再找事！            
(1星)	 烂            
(3星)	 = =不忍心再看他们虐下去了 烦死了虐个屁啊好好在一起不就行了= = 戚薇这脸还真整得看上去够坏女人 邱泽有点帅啊 跟贺军翔好像喔 唐嫣也太瘦了吧 张檬演技实在是烂            
(NA)	 杨真真被张檬演残了，各种残。            
(3星)	 第一部还是可以的，后来就变得又臭又长，以至于每个主角的性格都开始扭曲不堪了            
(2星)	 除了唐嫣 尼玛一无是处 不能更烂了            
(1星)	 唉呀我草            
(3星)	 唐嫣你就做萝莉吧~            
(3星)	 虐心！最喜欢夏友善，性格突出。爱的方式不对！            
(3星)	 崩溃的编剧。。。            
(3星)	 好羞愧啊，因为时间真的很难打发，狗血的电视剧又颇受家中其他成员的欢迎            
(1星)	 导演,您以为演员都是傻的吧!            
(2星)	 狗血电视剧 老娘独好这一口。。。            
(1星)	 不要和琼瑶阿姨讲物理，不然晕倒的会是你。            
(1星)	 剧情超烂超狗血，后期配音别扭。            
(4星)	 美女帅哥，忽略情节吧            
(2星)	 - 刚才吃饭时电视播的这个 跟我妈说其中一女的下巴都削骨还那么难看 结果一查竟然是传说中的唐嫣= =还中戏校花。最大的两点是那个导演什么一起来看雷阵雨 千金百分百阿 全都是他导的！！！！！！！            
(1星)	 这个片可吐槽的地方太多了。一星给杨真真长的漂亮的妈妈。。            
(3星)	 俗到爆，但我居然看了            
(NA)	 你妹妹妹妹阿 要死的            
(2星)	 唯一感觉是邱泽还不算残。            
(NA)	 瞧咱泱泱大国的电视剧制作水平……            
(2星)	 看在邱泽面子上 两颗 这个片子又臭又长 看得我要砸电视了            
(1星)	 必须一颗星，丫太牛逼了！            
(3星)	None
(2星)	 中国卫视假日档            
(3星)	 虽然只看了邱泽剪辑版。不过我无耻的假装我都看过了！            
(3星)	 从没看过那么长的剧...居然还真的看完了！囧            
(1星)	 唐嫣你演这部剧真是毁了！！            
(3星)	 是，剧情是很烂，但是很有野心，因为内容实在是涵盖太多了，因为它竟然有80集.........就凭这点苦劳，再加上有些演员很卖力，也应该给个3星吧..................... ：目            
(3星)	 原来是邱泽 很有爱 排另外三个人            
(3星)	 看了一些集数 已经听说出了第二部了 实在没耐心看了            
(3星)	 我入戏了，看得是咬牙切齿。。。。            
(NA)	 老套的剧情，倒霉的天美结局还好，喜欢甜美~~            
(3星)	 随便看了几集关于格美的。。。虐就一个字。            
(NA)	 集所有言情狗血剧于一身            
(3星)	 那个囧啊囧            
(2星)	 毫无逻辑，又臭又长，车祸、失明、绑架。。。剧情还能再狗血一点么？！            
(2星)	 这个剧真是是。。好假啊。。。而且还特别长。。。救命啊            
(1星)	 这部戏的狗血程度已经到了叹为观止的一个地步了……我擦……各种狗血剧常用台词大串联，天雷阵阵啦！            
(2星)	 剧情太墨迹，看着太揪心，实在是不想看，却又想知道结果，虽然能猜到结果是什么！            
(3星)	 研后堕落的两个月里我真的什么都看了。done            
(2星)	 台词能再恶心和直白点儿么            
(2星)	 原本开始挺喜欢天美和严格这对，可是无奈变态导演，终于在后面成功把严格弄残了，天美弄傻了。难为一直听御姐的唐嫣了。            
(4星)	 超爱格美组合，也很喜欢恒。            
(1星)	 又臭又长            
(NA)	 看了一集，太狗血了…不过戚薇演坏女人演的太有神了            
(2星)	 佩服编剧！            
(2星)	 弱智剧看多了会报复社会的！！！            
(2星)	 唐嫣，你肿么了！肿么了！            
(1星)	 好雷。。            
(3星)	 80集  直接弃了            
(2星)	 我就无语了，本来很喜欢邱泽，怎么看这个电视剧看的越来越不喜欢他了，还有就是感觉那个友善真是让人恨到极点了，把人家眼睛弄瞎了，又把他妈害死了，真是无语，不得好死啊，严立恒好帅~那个孙晓静和下友善可以组个乐队了~名字叫我俩是禽兽乐队~哈哈            
(3星)	 各种戏码。            
(2星)	 这年头家庭剧就是给没事情干的人用来装饰生活的。            
(5星)	 昨天看了两集，还不错虽然剧情有点像台湾八点档但是还是很好看·            
