http://movie.douban.com/subject/2148680/	创世纪
(5星)	 这个NB了多少年。TVB最最辉煌的顶峰。            
(5星)	 今天突然想起来曾经有一部这么感动我的电视剧            
(NA)	 终于能自豪地说我看完了，太TM长了！！！            
(5星)	 欲罢不能的张自力            
(5星)	 TVB经典            
(5星)	 经典。。            
(NA)	 这剧其实很奇怪在香港不叫好在内地却很叫座 当然都不影响我对其感情之深            
(4星)	 够长，够丰满            
(4星)	 这个太长了 我其实最喜欢第一部            
(5星)	 深夜煲劇熱潮的時候            
(5星)	 我对陈锦鸿很有爱~            
(NA)	 高中宵夜时常看……            
(5星)	 十几天终于看完了，确实经典，第一部好过第二部，最喜欢的人物，JOE和BERRY.            
(5星)	 麻痹，最悲剧的悲剧电视。。。。            
(4星)	 k歌必k            
(NA)	 小5小6。cctv1。每晚十点半。            
(5星)	 经典            
(5星)	 小时候的印象里只有陈锦鸿演的许文彪啊  现在再看一遍还是因为陈锦鸿啊！！小时候觉得他巨帅！！             
(4星)	 大爱。            
(5星)	 仅仅因为当时看过。            
(4星)	 那些还年轻的颜。。。            
(5星)	 张自力            
(4星)	 那年追午夜重播，那些戏份依然很有看头。            
(5星)	 一直想再完整看一次            
(5星)	 未老是天但人会变，难道证实了天与地无情。            
(4星)	 太长了，所以没看得完，对于陈锦鸿怎么由一个绝世好男人变成一个坏蛋的，一直没有搞得清楚~~            
(3星)	 当年沸沸扬扬，实际有什么？            
(NA)	 百看不厌。            
(4星)	 好长啊            
(5星)	 只看了上半部。力薦啊，許文彪死了以後，這部劇就再也不值得看了。            
(3星)	 主要是忒TM长了            
(4星)	 追了一个半月终于重温完了，100多集啊。。。最吸引我的角色还是叶荣添，对事业有理想有追求，香港精神的典范，可惜没跟Hellen在一起。喜欢第一部也多过第二部，尤其是兄弟三人的打拼部分。            
(4星)	 90年代两大经典电视剧与”大时代“都是少年时代回忆，比现在这些穿越格格强不止半点。            
(3星)	 我很TVB。            
(NA)	 对于这种冗长的TVB剧我一直无爱。。。但是又不能否认其优秀。。。所以不能评价            
(4星)	 我喜欢许文彪，喜欢叶荣添，非常喜欢helen...喜欢叶荣添和helen在一起！！！第一部比第二部好很多...            
(4星)	 再怎么不择手段也不能对不起亲人和朋友,这是底线,做事的底线.            
(4星)	 今年正月的重头戏            
(4星)	 开始添加TVB...            
(5星)	 看的这个纠结            
(3星)	 太长了            
(3星)	 古天乐演技的巅峰剧            
(5星)	 顶啊！            
(5星)	 这应该是TVB最近20年最好看的剧集。我已经很爱刑事侦缉档案和一号法庭了，不过比他们还好看。看到TVB所有当家互飙演技很爽。我第一次还是在初一晚上看央视的。            
(5星)	 看的原因恰恰是偶老妈特别喜欢，就跟着看了、很不错            
(5星)	 TVB不可逾越的传奇            
(NA)	 我为什么那么喜欢叶荣添            
(5星)	 郭可盈不错。挺经典的TVB了吧            
(3星)	 全明星蛮震撼的 但是篇幅过长经常横生枝节 临时改戏使得结局很奇怪            
(4星)	 经典中的经典，阵容超级华丽，永远忘不了许文彪和张自立~~~            
(3星)	 现在才发现竟然100集            
(NA)	 很经典.            
(5星)	 许文彪真是可塑性强的人物            
(4星)	 重播多少遍也想看...            
(4星)	 独独钟爱上了汪明荃。            
(5星)	 情节忘光光            
(4星)	 很宏大的经典作。可惜没能看全            
(4星)	 有点长            
(5星)	 每次看都不一样~神剧            
(5星)	 最喜欢的            
(4星)	 tvb无尽记忆~            
(NA)	 绝对大卡斯            
(NA)	 罗嘉良成功转型演正派~~~            
(5星)	 电视剧中编剧的教科书            
(4星)	 经典片，不过太长            
(5星)	 100多集全部看完            
(4星)	 看的是热血沸腾            
(5星)	 射手男+射手女+双子女，天平男+处女女+天平男，摩羯男+射手女+双鱼女+天蝎男            
(5星)	 阵容太强大了长了点也忍了            
(5星)	 唯一一种可以接受拍到100多集的剧集，港剧。            
(5星)	 老爸和我都喜欢的连续剧。那段时间，老爸居然叫得出罗嘉良的名字，并自此成为罗嘉良的忠粉。            
(4星)	 那时候我初三，一个人住。中央八台，我每天晚上的等候。你可知道就快要中考了，我却还是很镇定的每天看到十二点钟睡觉。            
(3星)	 我上初中那阵很火的，直到07年初才看，受不了很长的连续剧，前边还好，后边除了那么多，弄的乱七八糟的，跟越狱似的，就不能见好就收，非得弄个不好的印象给人家。            
(5星)	 TVB年度大戏，阵容强大。            
(NA)	 这也是灰常稀饭的港剧之一，罗嘉良和郭蔼明的CP是我心头大好，看着斯文女终于泡到花心精英，少时心里比较有代入感吧            
(4星)	 初中时候天天偷偷看的电视剧~现在也还是很喜欢！            
(5星)	 很喜欢的电视剧            
(5星)	 21世纪家族恩怨第一剧            
(NA)	 tvb经典            
(5星)	 超级好看 明星云集 情节跌宕 扣人心弦～            
(5星)	 哎哟，终于看完了~~ 想当年他们还那么年轻，哇咔咔~~             
(5星)	 补tag            
(4星)	 早泄剧            
(4星)	 还不错  不过  还是难兄难弟比较好看            
(3星)	 重看了遍上部。。。果然这种超长集数的家族商战片不适合我了，审美疲劳，就不重温下部了。。。            
(5星)	 这是一部影响我整个人生的电视剧。            
(4星)	 还是以前的TVB给力。优秀男人如叶荣添。做女人当如LISA            
(NA)	 我只是马克一下            
(5星)	 這是個甲方的成長故事麼            
(4星)	 一直想在看一遍啊，么有时间。            
(NA)	 从1999年到2009年的十年中，我买过至少十几次百集港剧《创世纪》套碟，每次都把盘看得无法读取或丢失，就再买。10年间将此剧从头到尾看过上百遍。效果是，随便播放一段，我都能接出下一句对白。这是我能为朋友们表演的最精彩的节目，功夫很深。最近我意识到，我很久没看这套剧了。——许岑            
(3星)	 以前D大制作哦            
(5星)	 重温创世纪 经典啊 遗憾Helen和荣添！！！TAT            
(4星)	 很经典            
(4星)	 lisa和tina.. 很多人不喜欢tina耶，我觉得很好呀            
(5星)	 100集終于看完了。。            
(4星)	 初中时的大热门啊，好长！            
(NA)	 好长            
(5星)	 ×_×那是一部多么牛叉叉的电视剧，又是一部极能代表TVB编剧水准的电视剧，错综复杂的人物关系，跌宕起伏的剧情发展，国剧？！颤抖去吧~美剧！？你就路过吧~            
(4星)	 田宁和张自力            
(5星)	 绝逼经典啊！！！            
(5星)	 大家集体看港剧            
(5星)	 当时看的相当鸡冻，大时代以后的一个大片            
(5星)	 跟着我爸妈一起看的            
(3星)	 我怎么不记得有郭晋安            
(NA)	 嗯 够强悍            
(5星)	 恢弘巨制            
(NA)	 在别人都骂张自力的时候 就我喜欢他 哪怕他对田宁左一耳光 右一耳光 我也迷恋他 我真是M            
(2星)	 为情节而情节 太不人道了 情节虽复杂 但均为理性超过情感与人道，太多真情作为理性的工具而利用 使人心寒            
(4星)	 那时多爱古天乐啊            
(5星)	 经典大作；无愧献礼片。            
(5星)	 現在正在看。。。            
(NA)	 大爱里面的古天乐。            
(5星)	 我看过最长的电视剧            
(4星)	 当年100集看的我真辛苦。。。            
(4星)	 第一部可以得八颗星，第二部三星半啦。            
(5星)	 哇哇哇，那时候放学赶紧冲回家就为它。全家一起看            
(4星)	 难得的经典长剧。            
(5星)	 印象最深的老片。            
(5星)	 哦也！我爱创世纪！            
(5星)	 这部剧好强大            
(5星)	 最爱            
(5星)	 我心中最棒最爱的港剧 无可取代 所有爱的演员 可惜再无交集            
(5星)	 每次到法庭戏就被雷得里嫩外焦。。。            
(4星)	 乖乖~~这种片子看的不要太累哦~            
(5星)	 经久不衰，罗嘉良奠定了TVB一哥的地位            
(5星)	 每每重播每每看！！            
(5星)	 残酷的现实呐...            
(5星)	 看过最好的港剧            
(NA)	 看完志强在机场找到了田宁 然后对话了一下 然后都在笑 然后我也睡觉了 各位 安            
(5星)	 嗯~还是学到了一些东西经典港剧            
(NA)	 太长了...            
(5星)	 经典！            
(4星)	 为什么现在的港剧就连让人看的欲望都没有呢            
(5星)	 DVD            
