http://movie.douban.com/subject/6778698/	小资女孩向前冲 小資女孩向前衝
(4星)	我只想说，邱泽好帅！！！！！！！！！！！！
(NA)	我答应你我以后会吃花椰菜 我答应你我以后上班不迟到 我答应你以后你说的我都听 我答应你以后衣服我自己洗 我答应你我去学摩托车以后载你上班啦
(5星)	很好看的轻喜剧，节奏把握的很好，剧情也比较贴近生活，邱泽轻熟男的颜真是无敌了，套用杏仁妈妈的话说他得眼睛还会笑哦，就是一周一集让人等着心焦，台湾人民看连续剧真不容易。
(5星)	很好看，台湾的收视冠军，内地要加大宣传力度才行
(5星)	非常不错而且不脑残的剧  符合逻辑  又轻松搞笑  值得消遣
(3星)	五集弃 每个演员表现都算是出色 柯佳嬿的文艺气质放在这样的喜剧氛围竟也没有违和感 瑶瑶和李毓芬的表演也不仅仅只是花瓶 邱泽很娘炮 算是尚可的偶像剧 但偶像剧的俗套狗血它也一样不落 实在没兴趣看下去了
(4星)	史经理的疯癫已经在第十集达到了小高潮。。。受不了。。。
(5星)	喜欢里面的每一个角色，情节轻快又不脱离职场。
(5星)	清新搞笑不做作，还有额外小资购物时间可以笑掉大牙，对于一部偶像剧来说已经是满分啦~~
(5星)	虽然也很狗血但却是有特别之处。超爱秦子奇和史特龙的搭配诶！每次都笑到爆。
(5星)	邱泽帅气加可爱演绎秦子奇..好看
(5星)	阿泽
(2星)	不打算刻意追了，瑶瑶还真是一副脑残相，邱泽很帅，但是演什么戏都一个表情。。。
(4星)	四星给邱泽。对他的印象一直停留在N年前的那首情歌。现在的样子。还不错。
(4星)	好好看哦！！！
(5星)	帮阿泽顶分数的……不过确实听搞笑的，看着看着不由得笑出声来~
(3星)	吃饭的时候看完的。。。
(3星)	其实女主还不错
(3星)	第一次覺得邱澤演技真好，這個角色很適合他發揮
(4星)	后半段真的太拖沓了，如果没有史特龙的疯狂搞笑插科打诨还蛮难熬的。ps，很喜欢最后的婚礼花絮。pps，花椰菜真的很好吃。ppps，邱泽又变回到好帅~
(3星)	我的娘啊。我一直很想让女二掐死女主角啊。女主角的那张脸怎么配得上我们邱泽啊！！！！！！！！！！T T
(3星)	“我答应你我以后会吃花椰菜 我答应你我以后上班不迟到 我答应你以后你说的我都听 我答应你以后衣服我自己洗 我答应你我去学摩托车以后载你上班啦”三星全部给邱泽，但⋯⋯第八集还是弃了⋯⋯邱泽我对不起你⋯⋯你找个好编剧好剧组吧加油⋯⋯
(4星)	我喜欢小柯～～
(5星)	好看 ！
(3星)	单纯看演员
(NA)	弃剧了。
(3星)	邱泽真的好帅~
(5星)	oh 轻量化飞轮~海 完结了...追个偶像剧容易么我
(5星)	很好看~！
(4星)	看了两年，，，，有点坑爹
(3星)	邱泽好帅啊 连眼睛都在笑
(4星)	邱泽好萌好帅。看完的心情感觉回到很多年前迷恋他的感脚。
(5星)	虽是一碟清淡小菜，细品却让人颊间留香
(NA)	12集以后弃
(2星)	邱泽的颜1星，配角1星，其他，没了。
(4星)	笑死了。。。
(4星)	拖拖拉拉终于看完了...前八集为阿泽的美色,再八集为秦子奇和史经理的神侃,后八集无力挣扎,最后一集为了完美大结局~
(5星)	演员很有张力！特别是史经理！！！哈哈哈哈~看完这部真心喜欢邱泽！第一，嫁给我；第二，我娶你；第三，我们结婚吧。结局圆满真心好！
(3星)	史经理!!!!!!（邱泽长的真治愈系）
(3星)	有点烂尾。。。
(2星)	每年放假都要陪老妈看一堆奇奇怪怪的……
(3星)	看到13集，弃了。冲邱泽看的，整剧也很搞笑，特别是那经理，太抽了，女二长得像徐若瑄，不过看着没感觉。
(3星)	亮点全在邱泽和李沛旭；柯佳嬿毫无气场；传说中的二号Couple中场就失踪是为哪样呢？我为何迟迟未能剁掉追台偶的那只手？
(4星)	尼玛啊原来还没完结啊！！！！！！那我写啥短评啊！！！
(4星)	史经理有爱啊~
(3星)	哦三星就给邱泽侧颜吧-.- 我真的不喜欢女主所以基本都是快进还没看完 不过有的笑点还蛮好笑的啦
(5星)	大爱邱泽，HC到底！
(3星)	我不适合看里面有反派的电视剧。
(4星)	还不错 蛮励志的 也养眼 嗯~ o(*￣▽￣*)o 
(3星)	2011
(4星)	正经偶像剧，有些僵硬。卖的是小清新，柯佳嬿朴素，邱泽装嫩，杨丽音喜庆，郎祖筠亲切，沈孟生老当益壮，不过还是喜欢看李沛旭的龙龙卖萌，哈哈他好贱
(3星)	偶像剧我真的不行啊
(3星)	追到无力，今天终于全部完结了，开始的时候觉得蛮有意思的，但是后面越看越累，15集往后的亮点我觉得是史克龙。
(4星)	真心觉得温升豪很有feel╮(╯▽╰)╭
(3星)	哎哟妈呀，阿文同学！！！！哈哈哈哈哈哈
(5星)	超好cue幼稚星人,完全是我的菜~
(4星)	看过的台剧不多。比较有印象的大概就是之前的痞子英雄了。和日剧比较，小资还是有很大差距啊。同样是一个来小时，日剧11集而台剧25集也就可想而知了。小资还是很棒的，让我重新认识了很多人，比如邱泽，比如李培旭还有Mina姐，以及郁可唯呢~梗很老，但是笑点很多，董事长是楚留香的老酒鬼。（不够写）
(3星)	自流星花园以来看的第二部台剧。就，史特龙这个角色很棒，笑料够足！
(2星)	又是一部唧唧喳喳的传统台湾偶像剧~
(5星)	台湾电视剧又有新高潮了~
(4星)	柯佳燕是我的菜~
(4星)	台詞超搞笑
(NA)	感觉柯佳嬿一般般。有点做作。。。
(4星)	追到11集追不动了，好的电视剧本该见好就收，拖沓拉低前10集的精彩。果断弃。
(5星)	輕鬆逗趣
(1星)	没有打破台剧一贯的风格 挺失望的
(3星)	轻松笑笑不错，只是，女主的颜和发型太让人出戏了。
(3星)	龙龙是亮点
(2星)	八月份开始播播到现在还播不完，完全可以16集完结的，真是越长越臭啊。柯佳嬿演偶像剧整个就呆到不行了你还是去演文艺片吧= =李毓芬是整容整到表情呆滞了是不是，有心机的女人她一点都演不出来全部都一个表情。唯独邱泽还是辣木帅。
(3星)	这个片子的开头值4颗星，但我没见过这么能拖戏的剧。。。
(3星)	不知道為什麽, 我第一次喜歡女二..哈
(3星)	又是一部有钱帅哥男主隐藏身份，最后找到爱情的言情偶像剧- - 和之前林峰演的那个花花世界花家姐好像╮(╯▽╰)╭
(4星)	for阿泽
(4星)	邱泽真养眼！
(5星)	秦！子！奇！
(1星)	瑤瑤&gt;_&lt;
(NA)	就算男主演女主演都耐看不错，也不至于这片子的进度那么慢啊！剧情那么温吞，这不是八点档啊是偶像剧啊偶像剧啊！亲！好吧，真不该对偶像剧还有留恋，拉倒拉倒，犀利人妻都比这个好看多了！乃们拍的不是犀利人妻好吗！！！
(3星)	为了邱泽
(5星)	柯佳嬿!!!
(3星)	邱泽不错
(4星)	还不错啦 不nc的ww剧
(5星)	很搞笑，，
(4星)	曠日持久的小資女孩從年前看到年尾，物是人非了才看完，雖然平淡卻勝在細節的一齣戲，柯佳嬿淡然清新跟邱澤的乖巧俏皮相得益彰，可最喜歡的居然是万年偶像剧大配角李沛旭，台词表演又经典又搞笑，再配上瑶瑶让人眼前一亮的演技，才让我一周一集的看到了今天....
(3星)	前面的劇情比較輕鬆 而且還蠻緊湊的 到后面劇情就显得很拖沓了 其實完全沒必要拖到25的 總的來說 整部片子全靠兩个搞笑源头史特龍和秦子奇 如果沒有他們兩个的搞笑 這部片子就更平庸了 甚至会平淡到根本看不下去
(5星)	巨好看。史经理就是个人才！
(4星)	当沈杏仁存到第一个一百万的时候，站在取款机前久久，直到后排队的人发声：“小姐~这是取款机，不是复印机…”——很励志搞笑的轻快偶像剧，即使丑小鸭变天鹅，那也要成为配得上你的。
(5星)	非常好看。励志。结局邱泽和柯佳嬿的吻让我好陶醉啊~~！好幸福！
(4星)	啊~邱泽好帅！剧很搞笑，就是感觉感情戏弱点，后面比较拖拉。。。啊啊啊~邱泽好帅
