http://movie.douban.com/subject/2296999/	澳门街 澳門街
(5星)	 虽然我喜欢马浚伟 但是这次 你不是文初 你也不是张智霖            
(4星)	 今天突然看见好几年前自己写的一篇《祝君好》的日志，一晃好多年。任由你来去自如 在我心底仍爱慕            
(5星)	 TVB的佳作，主题曲非常好听，来自张智霖的《祝君好》。            
(4星)	 或許真是施比受有福吧，面對自己在乎的人，我願意把自己放到微小的位置，心甘情願付出，即使需要放開才能成全TA的幸福，誰說擁有才是最實在？如能享有TA的信任與需要，我同樣甘之如飴，正如文初所做的，正如歌中所唱的：“寧願沒擁抱共你可到老，任由你來去自如，在我心底仍愛慕。”            
(NA)	 张智霖的酒窝真迷人            
(4星)	 文初就是一傻逼             
(5星)	 多年前的感动            
(5星)	 在那个无线编剧还有追求的时代，给我们留下了一个没有在一起的遗憾。            
(4星)	 你好，祝君好。13，文初的妈真是一点人性都没有，怎么狠得下心扇巴掌。15，那一瞬间，君好爱的就是文初。16，君好给了文初唯一的机会，而那机会，一去不在。            
(NA)	 文初。            
(5星)	 这部剧里面人物，除了文初的命运悲惨以外，沛坚和依雯也很悲惨。            
(4星)	 每次听到祝君好都不能自己            
(4星)	 这是我讨厌佘诗曼的起源！！！            
(5星)	 分分钟~需要你            
(5星)	 张智霖当年太帅了            
(4星)	 狗屁编剧！害我在十年前哭了一次十年后的今天又哭了一次你的大结局怎么还不变成初哥哥同君好一齐！！好鬼死肉尺啊！！！！            
(5星)	 好幸福的君好。            
(4星)	 更喜欢海琳的性格一些。祝君好是幸福的，因为所有人都爱她，都愿意给她最好的，可若换成是我，我会更希望跟最亲最爱的人永远生活在一起，即便不能吃好穿好住好，那，才是我真正的幸福。            
(4星)	 除了君好，个个角色刻画都很丰满：浪子金胜，坚强的海琳，刁钻的依文，优柔寡断的沛坚，还有不会说话的初哥哥。但不知他们重见后会旧情复炽不？            
(5星)	 文初~~~~~~~~~~~~~~~~~~~~~~~~            
(4星)	 澳门个毛毛啊！！！明明就是“十月初五的月光”！！！            
(NA)	 当年觉得张智霖很帅……            
(5星)	 文初很好 为了他哭了几次 但是我更喜欢礼信             
(5星)	 或许多年以后我们才能发现当初的决定是对是错，只是，都回不去了。            
(5星)	 祝君安好，爱你也不说。大仙和阿佘            
(5星)	 主题曲和插曲堪称经典。两句话概括剧情，文初很可怜，君好很幼稚。            
(5星)	 拥有最多爱 却最不懂爱            
(5星)	 看过的最好的TVB剧之一~祝君好，这名字真美好~            
(3星)	 十月初五的月光 寧願沒擁抱 共你可到老            
(5星)	 最喜欢张智霖            
(3星)	 阿佘当年= =.............            
(4星)	 为了张智霖看了一堆片子            
(5星)	 最爱的港剧！！唐文龙！！            
(NA)	 找了4个网站才看全，， 姚乐怡超美阿佘杯具了            
(3星)	 开始添加TVB...            
(5星)	 祝君好             
(5星)	 祝君好            
(5星)	 祝君安好。            
(5星)	 经典啊~~~~            
(5星)	 当时特别想去剪一个佘诗曼那样的短发            
(5星)	 这个剧咋么就那么腐呢，我小时都没发现啊！！！            
(5星)	 文初哥            
(5星)	 原来我这么多年前就看过唐文龙啊~            
(NA)	 祝君好            
(4星)	 张智霖 佘诗曼             
(4星)	 TVB启蒙看这个喜欢马浚伟             
(5星)	 祝君好。            
(5星)	 哈哈,當時看得我猛哭啊~            
(NA)	 宁愿无拥抱共你可到老            
(4星)	 555……%￥总算出条目鸟~~这部剧曾经把俺煽到哭的稀里哗啦滴~~555，俺辣时候尊滴脑子叮当响哦~~            
(5星)	 祝君好            
(5星)	 经典好剧，人物基本都很鲜活，张智霖的表现尤其精彩，里面许多段落都催人泪下。人活一世，只是为一个情字啊。只愿停在远处祝君安好，虽不可亲口细诉。            
(4星)	 结局太让我耿耿于怀            
(5星)	 小时候最爱的港剧之一            
(4星)	 还是很小的时候了~回味            
(4星)	 原来叫妈祖什么的不是            
(5星)	 当年把我看哭了......            
(NA)	 从此以后做一个自私的人……多好啊            
(4星)	 你是十月初五的月光            
(NA)	 反正我是喜欢司徒。            
(NA)	 TVB国语版伴我成长            
(4星)	 这部剧和那首主题曲会在心里一直有一个特殊的位置。            
(5星)	 小时候多希望有文初那样的哥哥……            
(4星)	 《祝君好》前奏在我们这帮人中徐徐响起，大家还云里雾里地谈天喝酒。高潮甫一到来，每个人停下了忙碌的口，放下了手中的酒杯，不约而同望向屏幕那方──其实，其实也不需要屏幕的歌词，那情感早已烂熟于心。            
(NA)	 十月初五的月光             
(4星)	 除了佘诗曼，其他都好。            
(5星)	 哇靠。。。            
(4星)	 温馨            
(4星)	 我觉得这是个永久的遗憾            
(NA)	 三男爱一女。。。。。            
(4星)	 这部剧赚足了我的眼泪。爱一个人不一定要和Ta在一起，初哥哥和娇姨的爱太伟大了，祝君好。            
(4星)	 高几看的 记不清了 只记得当时发疯似的喜欢！            
(3星)	 不太喜欢佘诗曼。            
(5星)	 宁愿没拥抱 共你可到老 任由你来去自由在我心底仍爱慕             
(5星)	 现在想起来还是会小小感动            
(NA)	 初哥哥，销魂啊            
(5星)	 泪奔            
(5星)	 豆瓣猜为我回忆起来的剧集            
(NA)	 初哥哥~~            
(4星)	 张智霖最接近视帝宝座的那一次！可惜还是错失了～            
(5星)	 怎么分分钟需要你总是赚人眼泪            
(5星)	 再难过 讲不出爱没结果            
(NA)	 看过的佘诗曼的第一部戏            
(5星)	 我还是喜欢《十月初五的月光》这个名字..            
(4星)	 曾经感动            
(NA)	 没看全，喜欢张智霖            
(4星)	 祝君好            
(5星)	 我谂哩部係我最中意嘅tvb剧喇.依然觉得最后君好唔可以同文初一齐係我最大嘅痛.反复睇咗有3次?            
(NA)	 不知是不片名和以澳门为北京的缘故，让人觉得特别清新            
(5星)	 很好看 张智霖演哑巴也很棒            
(5星)	 从这部电视剧开始喜欢佘诗曼。虽然负面新闻很多，但还是很喜欢她。再看回这部电视剧还觉得很感人。我还以为到了最后文初会和君好在一起。            
(5星)	 只望停在远处祝君安好，虽不可亲口细诉            
(5星)	 好看好看~            
(5星)	 看得揪心。            
(5星)	 我爱张智霖！！！            
(3星)	 文初哥            
(NA)	 无声的爱情            
(4星)	 经典            
(5星)	 十分懷念。            
(4星)	  经典的片子~好久了！又开始想念了！            
(4星)	 人家明明就叫十月初五的月光            
(NA)	 没看完            
(5星)	 你退一步她退一丈，放手有的时候真的不是坏事。完美的人对于周遭是一种灾难。            
(4星)	 张智霖哥哥mua! (*╯3╰)             
(4星)	 那時的佘詩曼。            
(4星)	 祝君好            
(NA)	 【2000-07-10】            
(4星)	 怕连累你一生一世            
(5星)	 初哥哥。。。            
(5星)	 初哥哥和君好...            
(4星)	 初哥哥哦~            
(NA)	 看过但印象不深刻了            
(NA)	 张智霖也是我cup of tea...            
(5星)	 我要重温粤语原版啊！不要普通话配音！            
(5星)	 老一代虐剧            
(5星)	 金胜，唯一还记得的名字            
(NA)	 哈哈哈哈。好小的时候看的。我居然还记得！            
(5星)	 最愛初哥哥初哥哥初哥哥初哥哥            
(4星)	 哎呀···好怀念的初哥哥            
(5星)	 让人心碎的初哥哥 至今不愿重温的剧            
(4星)	 当时停电，错过了大结局的片子            
(5星)	 开始迷上张智霖的开始，那时熟悉的旋律            
(3星)	 当年一直不明白TVB干嘛用那么优秀的三个男演员来陪衬一个既不好看又不会演戏却万千宠爱的佘诗曼。anyway，文初对青梅竹马的娇蛮女主无私宠溺也算是无可厚非，司徒和金胜的爱就似乎只是为了完成言情剧中的少女虚荣了。三个男人中随便哪两个在一起都很好啊~怡文也不错第十集打金胜骂君好都大快人心            
(5星)	 各种泪。各种重复泪点。            
(4星)	 - -小时候看的            
(5星)	 祝君好。            
(4星)	 祝君好            
(4星)	 祝君好。            
(3星)	 小玄子阿            
(4星)	 大仙儿唱的祝君好好治愈啊~看这电视剧的时候我才初中啊 怎么转眼间就这么多年了~            
(NA)	 高三的时候看的。好远的距离。            
(3星)	 没传说中的那么好看！            
(5星)	 宁愿没拥抱共你可到老            
(4星)	 祝君好            
(5星)	 当年好中意呢部！            
(5星)	 很感动。。            
(5星)	 居然被感动得从第一集哭到最后一集......            
(5星)	 好伤心，好疼惜，又好温暖，好动人的一个故事。            
(4星)	 这里面的佘诗曼还是挺清纯的。之后的片子就……            
(NA)	 中学时候看滴港片            
(4星)	 粉嫩嫩的张智霖            
(2星)	 忽然想起来，我还看过一点这个剧，可惜不好看。            
(5星)	 澳门街。。。接受唔倒呢个名。。。            
(5星)	 十月初五的月光            
(5星)	 文初哥~            
(5星)	 当年初中 每天晚上9点等着看 张智霖 梦想着嫁这样的男人            
(5星)	 旧剧,好睇,主题歌更是深入我心            
(NA)	 君好            
(5星)	 我对澳门的印象就靠这个建立起来的。            
(4星)	 看这个的时候还是能明白事理了吧，不错，张智霖和佘诗曼我都喜欢            
(4星)	 祝 君 好。            
(3星)	 佘演这种人人喜欢的万人迷，真的叫人胃不舒服……            
(NA)	 有些事非得经历后才懂得。            
(4星)	  哦 是阿哑            
(5星)	 心底仍爱慕            
(4星)	 不知道为什么很忧伤            
(3星)	 青春。            
(NA)	 我记得是很感人的…            
(NA)	 只记得佘诗曼短头发从摩托车后座下来的那个画面了　很肥皂啊　怎么豆瓣上个个都对它这么文艺调调……            
(5星)	 初哥哥！！！！！！！！！            
(3星)	 此剧口碑甚佳，但在我看来不是特别喜欢。成全只是看似伟大的懦弱。            
(NA)	 君好嫁给礼信还有什么不好的。。原来最坚强的是海琳            
(4星)	 内牛满面的佘诗曼 我讨厌你!!!!!!!!!!!!!!!!            
(5星)	 我的回忆，真的好像遇到儿时的朋友            
(5星)	 重温中，最最喜欢初哥哥~            
(4星)	 各种老片各种看            
(5星)	 好久没哭得这么惨了。            
(3星)	 苦逼            
(NA)	 把你送上火箭归于人潮里            
(3星)	 很爱很爱~~            
(4星)	 初哥哥。            
(5星)	 马浚伟好老公            
(NA)	 祝君好 | 还有我也要口哨 |             
(4星)	 很喜欢文初。可惜若我是君好，亦会选择司徒。            
(5星)	 突然想吃澳门的葡挞，就想起这部片了。话说这是我小时候第一次看爱情戏哭到稀里哗啦的，为了文初哥不计回报的爱，还有那首祝君好。那时的娇姨还没演过恶婆婆，君好也没背负过骂名，金胜也还没来内地发展。至今都仍是我的港剧top3。张大仙阿~~我真的好喜欢你和你们家袁靓靓。。。            
(NA)	 首歌 出咗名啦 不过 真系好听囖            
(4星)	 很久前看的，当时佘小姐长得还不像电驴，哭惨了            
(5星)	 经典，留着重温            
(5星)	 初哥哥            
(NA)	 当时看的时候就是想不通为嘛人人都在佘诗曼？            
(4星)	 那时每天都在翡翠上看到TVB的各种剧。但惟独对这部印象深刻，张智霖的那张脸让人想落泪……原来编剧是陈宝华，下次见她我要激动地抱她大腿……            
(5星)	 你好，祝君好。真的好想你。            
(3星)	 张智霖实在是太丑了            
(3星)	 无聊的时候我还是会看，大头妹            
(4星)	 温情牌            
(4星)	 祝君好！            
(3星)	 不喜欢佘诗曼。。。            
(5星)	 无敌好睇。激爱            
(4星)	 最近迷上張智霖            
(5星)	 这么多港产片。。只有这部留下深刻印象            
(3星)	 个人不太喜欢,这应该是佘出头的片吧,当时的TVB没什么好剧            
(NA)	 唐文龙~~            
(NA)	 狂爱TVB            
(3星)	 祝君好            
(4星)	 就是从那个时候起 想要一个哥哥~~！            
(5星)	 三个通宵看完，由喜到怨到平静...            
(3星)	 做个好人真难~~            
(NA)	 祝君好~            
(5星)	 最感人的一部港剧            
(5星)	 君好真的幸福吗？初哥哥你给了君好最好的，但你知道那些都是她想要的吗？这样的结局我真的不知道该说什么好········            
(3星)	 煽情            
(5星)	 TVB很经典的小制作            
(4星)	 因为这部戏，所以一直喜欢阿佘            
(NA)	 好看~            
(5星)	 突然想起来这个温暖的剧            
(4星)	 嬌姨爲了君好爸爸有更好的前途，而讓他離開自己。文初爲了君好有更好的未來，選擇利用朋友逼走君好。他們割捨自己的愛情，安靜的站在遠方 祝 君 好。            
(4星)	 留下一首歌，和一个女生的名字——佘诗曼            
(4星)	 祝君好            
