http://movie.douban.com/subject/6057894/	我的完美男人
(3星)	还蛮好看的
(3星)	抱着“女二你别作了药店碧莲吧”的心情看完，天心很美丽，对男一无感，哪里完美了？
(3星)	过了过了 其实还不错
(NA)	找来阮经天都好啊!!我喜欢这种青蛙变王子的狗血剧情，但这个满脸摺的王子实在接受不能。天心倒是蛮俏!!
(3星)	天心演的不错如果不是她出演估计不会看这种无聊的偶像剧吧 倒觉的她与男二挺配的
(3星)	== 人一到无聊时就会倍加需要偶像剧
(5星)	relax~一哥笑起来超可爱的！！就是不能看侧面。。微微的猪腰子脸=。=
(3星)	拍得有诚意 男女主角也都喜欢 可是还是觉得稍有无趣 只能快进着看~ 梁静茹的勇气想起的时候 真的很感动 是被歌感动 还是被剧情感动 还是想起当年听歌时的情绪 就不得而知了... PS 那个神父的对白实在太搞笑了
(4星)	音乐不如那一年的幸福时光，爱上自己的作品是有多带感，肥皂剧也能唤醒基因的某个部分，女主很像一位盆友，记不起是谁
(4星)	我觉得这部片子有点丑男大翻身的迷倒。。。在偶像剧的世界里，爱情都是那么无私。。。那么美好~~~
(3星)	天心演的不差的，很真诚的感觉，哭哭笑笑都有感动到我，拿视后也没什么好说的。拿隋棠说事的，只不过犀利人妻的角色发挥空间大，本来戏剧张力就强。而完美男人这部戏题材有趣却拍的平淡，很多该展开的情绪都没戳到点上。天心很漂亮，好像从我七八岁开始看台湾电视时最先看到的那些人就有她~杨一展的马
(3星)	男模的手都好大！
(5星)	「认识你，是我这一生最好的事……︰）」
(3星)	因为看【光阴的故事】的时候，杨一展演的陶复邦没有选孙一美，所以从那以后对杨一展完全无好感。
(3星)	就是演员老了点，哈哈。
(3星)	对酒窝男毫无抵抗力啊。。。
(3星)	为了天心同学看这个电视剧，感觉最近天心说话的感觉很奇怪，而且化妆服装不好看，以前八号当铺的时候很漂亮呀~~为什么那个人是完美男人啊，不是很好看，皮肤差。这个剧情也诡异。。。
(4星)	泪光闪烁之后就应鼓起勇气继续向前 管他什么完美
(3星)	我居然追完了……天心真的好美，路斯明不错，杨一展太作了。。。
(4星)	13集似乎短了点,希望天心多接时装剧,喜欢看美美的她
(2星)	08已经到我的极限了，哪怕有天心还是不想再看。
(3星)	感觉有点别扭,,,但是没发现是哪,
(2星)	看了九集，弃。男一女一、男二女儿长得都不错，可为什么这四个角色就那么不招人喜欢呢
(5星)	很喜欢天心，因为像言言。很喜欢栗子，因为像土豆。
(5星)	个人挺喜欢天心的~
(4星)	他身上有ex的影子
(5星)	总之我特别喜欢这种剧情。台剧也有很有意思的，不完全都是肥皂剧。不过言铁男变瘦之后就没之前有意思了
(4星)	为了看女2恶毒性格发展史而看的
(3星)	楠竹太丑~配不上天心姐~
(4星)	看几集，流畅幽默，有很多笑点
(5星)	杨一展那大胖子造型真有爱。
(3星)	天心属于不耐看型
(3星)	天心演得挺好的，这个角色也不错。不过南竹，呃。。脸有点怪怪的。
(4星)	为什么我觉得还挺好看的啊
(3星)	杨一展你堕落了。。。
(1星)	剧情江河日下，总算看完了，为自己有始有终的挺了过来而长出一口气。。。
(2星)	越看越没意思了~~
(2星)	無語
(3星)	好纠结。。。。好想看杨一展啊~~~但是剧情实在不是我的菜~还有拜托导演选演员多用点心好哇？杨一展和天心怎么看都不可能是同龄人好不啦？？？？？？
