http://movie.douban.com/subject/2144485/	渴望
(4星)	 妈妈一辈最爱！            
(3星)	 不记得了都            
(4星)	 童年的追忆阿！            
(4星)	 当时哭倒一代人的电视剧~~            
(NA)	 当然看过            
(3星)	 不知道那时候怎么那么迷，还买了原声带，还有那些歌。            
(5星)	 我靠，这个我太深刻了，我才几岁啊，那时候出门玩，吃晚饭的时候就听见渴望的主题曲，那个NB。            
(NA)	 跟妈妈看地            
(NA)	 那时候还在上小学，倒没啥感觉，但是大人那是相当爱看，万人空巷看渴望，具有轰动意义，划时代意义的电视剧。（在我看来这是第一部现实主义的电视剧吧，第一次把镜头对准老百姓真实的生活情感 喜怒哀乐）            
(5星)	 佳作！            
(4星)	 模糊了   ，光记得看过            
(5星)	 刘慧芳很贤惠啊！！经典电视剧！            
(NA)	 印象中的第一部苦情剧            
(3星)	 那个年代的硬感人            
(5星)	 曾经万人空巷。。。。渴望是一种欲望。            
(4星)	  太慘了.            
(4星)	 = =            
(3星)	 当年那个出名啊。            
(3星)	 悠悠岁月，你说当年……            
(4星)	 你爱的人她走了，爱你的人她来了～生于80年代初的孩子们有没看过的么？            
(4星)	 记忆。            
(1星)	 重播的时候看了几集，不知道是什么心态要拍这个戏，调教女人都成为贤妻良母吗？受气就是应该的？希望以后不要出现这样的烂片，不要助长沪生们的气焰。            
(4星)	 当年可是全民渴望啊~可惜那时我太小了            
(3星)	 妈妈爱看            
(3星)	 给三颗星的缘故是我不爱苦情戏 真的 老哭老哭可真要命哦            
(4星)	 被带着看了点。好象。            
(NA)	 风靡了两三代人            
(3星)	 那首主题歌听到最后严重审美疲劳~~            
(4星)	 这个怎么说啊。。。            
(4星)	 其实不值四星，只为当年记忆的追寻。是为补记            
(5星)	 池莉《所以》提到此剧；现在电视台在“怀旧剧场”每隔一段时间就播出。高中时候老师说此剧当年看来经典现在看起来雷得很，但是每次播台再看时候，觉得我还是很喜欢一代人的这部作品。能看出当年编剧们的激情，文学的、爱情的。如今这个年代，编剧还在激情还在吗？被磨光了吧。            
(NA)	 5岁的时候，我妈看，我就记得主题曲了            
(3星)	 完全不记得情节，但主题曲到现在都记得            
(NA)	 老妈前两天还念叨你们来着            
(NA)	 俺记得那几个人名            
(3星)	 我爸妈特爱看……            
(3星)	 好人一生平安啊。            
(4星)	 現在回頭想想覺得很神奇 幾歲的我跟到一大家子人看這電視劇 看得很煽情...            
