http://movie.douban.com/subject/2157132/	少年包青天Ⅲ之天芒传奇
(4星)	 四星打给基情！包拯和耶律俊才天作之合好么❤ALL策就太天理难容了好么❤←求盟友♥            
(2星)	 烂导演烂编剧烂演员            
(2星)	 请告诉我编剧到底是男是女，我好鉴定它是马丽苏还是杰克苏            
(5星)	 当我写剧情简介写到还是会心痛的时候，这五星是必须要打出去。这部戏最让我心痛的一点事，当周围世事人面全非其实都没关系，但当你发现你最爱的那个也是不得不改变的那部分，心底所一直依赖的什么，坍塌是会心碎的。从此在人世上也没有无奈的分离，我不用睁着眼睛看你远走的背影。谈何容易。            
(3星)	 编剧大人你少点抄袭好伐？            
(5星)	 公孙小受～～～T.T             
(3星)	 奸情            
(3星)	 公孙策真是倾国倾城啊啊啊。。让我腐魂爆发了。。            
(3星)	 没事干了。。。坐等结课。后面寡淡了            
(3星)	 喜欢这个版本的公孙策，温文尔雅，人淡如菊，翩翩佳公子，而且，很搞笑，眼睛很传神，笑起来很可爱            
(4星)	 有这么差吗？我觉得还好阿，至少比陆毅那部要好，邓超傻乎乎的还是挺可爱的，就是台词太冗长，有点为了悬疑而拖，节奏可以再快一些。还有内地的电视剧能别老配音吗，据说没有现场收音都是后期的，反正我听着很别扭。             
(5星)	 因为很YY所以给五星了。。。PS公孙策真的是个傲娇受啊！            
(5星)	 策妈萌死了~            
(2星)	 哎 我爱邓超 但我还是喜欢大鼻孔那个版本             
(3星)	 除了第一个故事，其他的时候难以忍受。怎么女人都这么烦，唯一喜欢的还是个伪娘。擦            
(1星)	 这是最恶心的一个包青天版本            
(4星)	 个人还是相当喜欢包三的基调的，但是感觉好像大部分就是当年《少年天子》的班底啊，结局最后部分略显烂尾，其他都很萌，PS：本剧各种腐~~            
(4星)	 得民心者常常得到的不是天下，而是灾难。            
(3星)	 包公就知道吃包子            
(3星)	 这个版本基本可以无视了。            
(3星)	 大部分时候令人火大 也有那么一两分钟里令人心念一动 难以释怀            
(2星)	 太恶了orz            
(3星)	 确实白到能把人雷晕，不过我看的是中年帅哥……所以也就算了。            
(2星)	 看邓超不顺眼。            
(5星)	 不解释，陈鸢，若水。            
(2星)	 你妹 换主角了            
(NA)	 赵阳版的公孙策也是挺有味道滴            
(3星)	 一个人看，可能很无趣。一宿舍人围在一起七嘴八舌似乎有意思多了            
(3星)	 这一系列拍到第三部，每部还是不同的演员演老包，哎，还真是周杰版的是我的最爱~            
(3星)	 展昭长大了ORZ            
(2星)	 这个包拯脑子有坑，但是好喜欢公孙策=W=            
(3星)	 这剧太腐了……            
(3星)	 倒数第三集看哭，但是结局太他奶奶地扯了，你又不打算拍第四部，黄口小儿都知道包青天还有老年版的，编剧您第三部最后把包拯编死了您让以后的青壮年展昭和中年公孙策情何以堪！！擦！            
(3星)	 没有完整看完，但后面部分看，故事整体一般，就看看案情而已            
(4星)	 最喜欢这部。演员全体顺眼。也逗。公孙策你是亮点。最爱庞统。            
(4星)	 看在公孙策的份上给四星吧，难得花痴一回            
(2星)	 我评剧一般都不会给太低，但这部剧实在忍不住给个2星。因为这剧根本就让我看不下去！努力看到第三集实在是看不下去了，只好关掉。编剧如果和一二部是同一个，我只能说，你在一二部的时候本来就已经很糟糕了，这一部你是在挑战更糟吗？演员挑选也很糟。赵阳的表演看不出公孙策的儒雅，邓超就更...唉            
(NA)	 ……            
(3星)	 偶然想起這部無人問津的電視劇.  曆劫了我和沉和赱過的感情時光 感情和劇情一同心照不宣的赱向尾聲.  一切就像都被寫好的一樣。那時候我還很乖 沒有不可一世的和所有人保持距離 會在約會之後返囬教室一邊畫畫一邊看鄧超做推理 蛋卷和西瓜的清甜拉開夏日序幕.  謝謝伱給我的好時光。            
(3星)	 配角比主角顺眼            
(3星)	 请不要将人物和传记神话，谢谢。            
(2星)	 公孙策嘴角含笑和美目含泪的样子真是勾人~            
(2星)	 反正就是越来越差            
(2星)	 女主角要了亲命了            
(5星)	 很深的感动。            
(3星)	 &gt;&lt;公孙策真俊~~~~~            
(4星)	 哟西，公孙策太有爱了。            
(4星)	 若水 多美好的孩子            
(4星)	 追随庞策天道100年不变!!为鼠猫/猫鼠事业奋斗终身!!展策龙策野驴策木兰策热情激萌中..双子有爱兄弟大好..庞赵亦可逆袭至上..包子你还是一边轱辘去吧!!!!            
(NA)	 邓超长了一张帅气但是让人记不住的脸            
(3星)	None
(4星)	 童年回憶            
(4星)	 赵阳，绝版小受！！！这部少包如果没那么神啊怪啊的，其实只当是爱情故事挺好的。什么天煞孤星，只要爱你的人不在乎，又何必执着于时间呢。不过腐剧什么的，真不是盖的，爱男人我不反对，居然爱上个伪娘= =！！！！我当时大shock啊！！！！！HHP碎了一地...            
(2星)	 从此看见邓超就想掐死。。连着他媳妇儿o(╯□╰)o            
(5星)	 特别特别特别特别的感人            
(NA)	 赵阳跟任泉是两种气场，偏偏都能极好诠释公孙策这角色，真是神了~两个版本的八贤王都是人中之龙，至于包拯……呵呵呵            
(5星)	 演员都很萌~~            
(4星)	 发现其实熬过第一个故事这个电视剧还蛮正常的。这个戏最大的亮点就是看展昭等一群人调戏公孙策啊~            
(4星)	 这片子腐成屁了。。            
(NA)	 老子还是很年轻            
(1星)	 老子想给负分亲。。            
(2星)	 第三部就傻逼到家了，没法看了！            
(3星)	 所有的续集都伤不起。。。一个案子9集更伤不起呀。。。            
(3星)	 浸提阿尼            
(1星)	 锦毛鼠！            
(2星)	 女主可不可以不要那么丑丑丑丑！！太雷人了            
(1星)	None
(2星)	 我都看过些什么啊。。。            
(3星)	 ,. ︶︿︶..人物越来越雷了            
(3星)	 失忆的包拯居然成了一个傻子，我情何以堪。还是喜欢任泉版的公孙策。可能是先入为主吧。            
(5星)	 最好看的一部，公孙策迷死人了！！！！！！！！！！            
(4星)	 靠，电视剧频道一天4集。。而且我还有考试。。但是还是追着看完了            
(4星)	 将这一系列提升到一个新的高度，非常期待下一部            
(2星)	 OMG 难看 =。=            
(3星)	 说起来完全是因为腐情节才看的，后来还是被雷了一下。总结：这是一个关于间谍和跳崖高手的故事。            
(3星)	 邓超装傻充愣的时候有点小崩溃            
(1星)	 第一部经典，第二部狗尾续貂，第三部纯属找抽！            
(3星)	 没看全            
(5星)	 展昭长大了，大包成熟了~~            
(4星)	 我其实挺喜欢大陆拍的这些破案片儿的            
(3星)	 残了            
(3星)	 比第一部差点，比第二步好点。酸策童鞋很萌            
(3星)	 觉得第三部故事情节上比之前的好。但还是一部打这悬疑推理标签的言情片而已。从推理剧角度看，剧本实在很弱，杀人手法什么的一看就知道了，不是我聪明，只是多数都在佐藤文也和天树征丸的作品中脱水出来的，稍微熟悉《金田一》和《侦探学院Q》都能看出来。这点还是让人觉得失望。            
(4星)	 喜欢。            
(4星)	 大爱孙阳饰演的公孙策。不过说实话，编剧太狗血了。            
(2星)	 释小龙彻彻底底的长大了真是相当别扭，邓超虽然黑但并不适合出演，而且编剧越来越差了。            
(1星)	 受不了烂剧情还有一群大脸男            
(2星)	 啥破台词 啥烂剧情            
(3星)	 哈哈，发现桃花劫更有趣，葱葱太有才了，好笑。。            
(1星)	 烂导演烂编剧烂演员大失所望            
(NA)	 庞统和公孙策~            
(4星)	 当年追的死去活来的～            
(3星)	 其实烂死了。可是赵阳还不错。            
(3星)	 这个看的相对少了            
(2星)	 除了公孙美人没什么好看的了。。。            
(NA)	 去年某段时间看了大量庞策文以后。。慕名去翻了翻少包三，翻了两集就决定滚回去继续看同人好了== 【哎哟庞策真的大萌 可惜我现在又上不去纵横道了&gt;&lt;            
(4星)	 国产剧还是古装的好...            
(4星)	 其实我把这剧当腐剧看的..包拯和公孙策是多有爱啊~~            
(4星)	 不解釋            
(2星)	 一堆脑筋急转弯，怀念任泉            
(3星)	 这一版只有赵阳扮演的公孙策值得给星。            
(4星)	 阿拉 公孙策 你能不能不那么G            
(2星)	 打发时间搞笑的            
(5星)	 好好看。            
(4星)	 终于抄的比较少，也多少有点自己的调调了，再加半颗星给人设和演员            
(4星)	 - -这个公孙策太对我胃口了 于是我腐了- -            
(4星)	 五年级暑假伴随我的泡面卤蛋空调凉席还有你            
(1星)	 垃圾中的战斗机            
(2星)	 人剧皆烂            
(NA)	 一二两部，可以看了又看，bu邓少包，是让偶这几年始终下不了决心看的，唉惆怅            
(4星)	 释小龙长大了，展昭长大了，我也长大了            
(3星)	 3            
