http://movie.douban.com/subject/2147890/	花样少年少女
(4星)	 就是喜欢ELLA～            
(2星)	 吴尊的演技我真是不想说什么了。。= = 其实每个人的演技我都不想说什么。。。            
(1星)	 吴尊那长脸，居然还有人觉得他帅，囧。别他妈这还校园爱情，改天爷给你们写一个，草。            
(3星)	 你来笑一笑            
(NA)	 在我认为是很代表性的作品了             
(3星)	 。。。不是几个男的比较帅的话，我会给两颗星~            
(3星)	 我是觉得ELLA真的很萌啦。（-  -这是多年前的片了吧。。            
(2星)	 我很呕吐~            
(4星)	 从看了第一集开始就开始欲罢不能，争分夺秒的看，甚至早起看。第一次对台湾偶像剧有如此高的热情，谁想竟然严重“虎头蛇尾”，结局也太牵强了！叫我从五星降到三星。强烈不喜欢这个结局！！！和原著比了比，打到四星。            
(3星)	 跟日版简直没法比，ELLA太让人受不了...            
(3星)	 喜欢左以泉的性格````````            
(3星)	 快进，快进，再快进            
(3星)	  台湾偶像剧             
(4星)	 轻松米大脑            
(4星)	 笑点ok，大东你开始发光了~= =            
(3星)	 这是高三            
(3星)	 真正的高手并不是技術厲害。而是當他們在面對對手時。能夠展現出內心意志的堅強。            
(5星)	 哈哈哈哈哈哈 因为我是一个gay啦！！！！！            
(3星)	 剧情蛮搞笑　看吴尊来的～            
(3星)	 蛮好看的。只是不喜欢女主角。            
(3星)	 没有日本的好看            
(2星)	 比较无聊，但漫画值得看。            
(3星)	 结局也太烂了吧            
(1星)	 比之日版，相差何止千万里            
(3星)	 过。            
(5星)	 别都这么帅好吗            
(2星)	 受不了ella说不清楚话的可以栓油瓶的嘴和那无辜的表情            
(2星)	 ELLA令人作呕~            
(3星)	 我还是爱日版的。            
(3星)	 開頭其實幾ok，係後面唔知發咩神經。            
(2星)	 不是一般的脑残..            
(3星)	 真是山上无老虎，猴子来当家～导演咋就看上Ella来演清纯可爱瘦弱的瑞希            
(2星)	 崩溃~~~但是我喜欢难学长~~~            
(NA)	 补遗                  
(4星)	 妈的吴尊帅死了TAAAAT            
(3星)	 美男很养眼呢。。            
(2星)	 看到后面简直.....            
(3星)	 一定别先看日版的            
(NA)	 实在看不下去            
(4星)	 秀一还是蛮不错的.和生田演的有异曲同工之妙            
(NA)	 吴尊，ella，浪漫，清纯            
(3星)	 嗬嗬，吴尊~            
(4星)	 我庸俗了。哈哈哈哈不过小尊尊比大粟甸帅多了。            
(3星)	 吴尊还是蛮帅的拉            
(5星)	 喜欢Ella             
(3星)	 很台湾，很偶像，很轻松，很开心            
(2星)	 只看帅哥 只听ELLA            
(2星)	  搞笑             
(3星)	 ELLA还是不错滴            
(NA)	 大东啊大东  最喜欢的是裕次郎 哈哈            
(4星)	 哈哈哈             
(NA)	 还是唐禹哲比较帅。。。当然吴尊好似也可以。。。            
(NA)	 很闹腾，很不用脑子，很白……台湾的偶像剧，这部还稍微能看一点            
(NA)	 考公务员那会儿，天天追着看看完了……            
(2星)	 吵死了            
(2星)	 什么台湾了能停止糟蹋日本动漫了呢？或者，什么时候能有自己特色的东西了呢？            
(3星)	 一个人看，一个人傻笑。            
(NA)	 啊吴尊            
(NA)	 浪费了漫画那么好的剧本            
(4星)	 上大学寝室片            
(3星)	 嘉桦。你的演技亟待磨练。。。            
(NA)	 这么把年纪了```还是花痴  我还 还有呱呱``嫩啊            
(3星)	 爱拉有时看上去好怪…帅哥怎么会…            
(2星)	 ella你就不能不装啊            
(5星)	 他。            
(4星)	 吴尊！！！！！            
(NA)	 。。。            
(NA)	 毁了。。全毁了            
(4星)	 高中毕业那年大家一起看的~~已经不单只是一部电视剧，而是一段回忆。            
(2星)	 看了四五集实在看不下去了。。            
(3星)	 第一次看到阮小天应该是在这里~            
(3星)	 我就为了看谢和弦...            
(1星)	 。。。看不下去，看完漫画之后想看看到底被拍成什么样子还有真点小期待，差不多一个晚上看完整个剧集，不是我高效率，实在看不下去。。。            
(3星)	 无聊的搞笑=。=            
(3星)	 当年= =..冲汪东城而去            
(3星)	 大东            
(NA)	 囧            
(4星)	 我只想说···吴尊和汪东城都让我很痴迷！！哈哈哈···            
(NA)	 那时被里面的吴尊萌到了            
(3星)	 喜欢大东比吴大仙多..            
(4星)	 虽然演技还很不成熟，但谁让我喜欢这部漫画咧~~而且还是南学长帅啦~            
(3星)	 吴尊很帅的说            
(3星)	 当时华娱台看了一半就来米国了=  =。后来下载补完了.            
(NA)	 2←            
(4星)	 鹌鹑演技实在不行，纯粹当花瓶摆着            
(3星)	 这部的开头算挺不错的            
(NA)	 一直想看完~~            
(4星)	 虽然现在已经不屑去回忆里面的任何狗血或者不狗血桥段 那时候是看着这部剧喜欢吴尊的吧 那样不靠谱的喜欢 正像对玄彬 对基范的喜欢 一旦长大 就失去了意义            
(4星)	 换个女主角就好了，与原作形象严重不符。            
(NA)	 这片子完全是为了满足ELLA的私欲吧！各种吴尊出浴镜头，趁拍戏搞亲密镜头，哇咔咔。ELLA这算不算以权谋私啊~可以当G片看了，原著好于日版好于台版啦。            
(3星)	 曾经也天昏地暗的看过。            
(1星)	 真的很唬烂。一个星单纯给吴尊的美貌            
(3星)	 讨厌ella！！！但是原著一直都是心头所爱~~~            
(3星)	 oh，南学长            
(2星)	 完全没有印象了，据说Hiro的南学长巨帅，我决定奔去日版看看 嘿嘿            
(NA)	 讨厌肌肉尊 爱大东            
(4星)	 毫不犹豫地承认我就是为了吴尊看的……吴尊四颗星，大东一颗星，唐禹哲一颗星，Ella扣两颗……            
(3星)	 我还真挺喜欢看。。            
(3星)	 那个结局...叫人无语            
(4星)	 哈哈当时觉得还蛮搞笑的……            
(3星)	 小黑很喜欢吴尊，每天在我面前花痴。但是事实上我觉得他长得就还好，嘴巴太小，不够大方。这部剧也就还好。            
(4星)	 最后太莫名其妙了            
(2星)	 懒死了，结尾跟没完似的……            
(4星)	 那个时侯看吴尊挺顺眼的，怎么现在就觉得那么不爽呢。。。            
(3星)	 这是我唯一看过的原著漫画改编的,顶            
(4星)	 还不错。            
(3星)	 后面段有点啰唆了。。。            
(4星)	 拜托~~ella本来就是男生好不好。。。穿女装，还真不适应耶~~哈哈            
(4星)	 此剧出乎意料地出色改编了原著 搞笑不差 尤其我家吴阿尊童鞋把泉柔化了~所以台版支持左以泉胜过金秀一，漫画力挺中津秀一胜过佐野泉~            
(4星)	 我家小尊...            
(3星)	 「真正的愛情就跟鬼魂一樣，大家都在說，可是沒幾個人真的遇到過。可是還沒發生，不代表它不存在。」            
(4星)	 看美男！            
(3星)	 你败给小栗旬 你败给堀北真希。            
(NA)	 囧，我居然开始觉得吴尊有那么点小帅……            
(NA)	 ELLA你真吵。            
(NA)	 左以泉！！！            
(2星)	 男生宿舍 !! 哇哇 ~ 青春沸腾 ~ 哇哇 ~ 友情洋溢 ~ !! 男生宿舍~~宝地哇~~  花絮中,大东说他和禹哲宝贝&#34;同房&#34;~~            
(2星)	 没有原著好看。只是喜欢里面的秀伊。            
(2星)	 从演员到表演，抄袭日剧的却一点没日剧的好看，选角也太不匹配了吧            
(3星)	 吴尊不会演戏 ella太做作            
(4星)	 喜欢ＥＬＬＡ的中性．．            
(4星)	 老豆了            
(4星)	 电视剧             
(NA)	 一天看完的偶像剧，拍的太假了！            
(NA)	 ELLA！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(NA)	 个别人物很有新意，放松心情            
(NA)	 也没觉得吴尊帅到哪里，至少比韩庚差，吴尊，不耐看的。            
(5星)	 超搞笑!            
(2星)	 没有激情戏，而且还是姐弟恋。            
(3星)	 台剧             
(5星)	 不管啦，我就是喜欢喜欢！哈哈            
(NA)	 不知道咋了 看这个剧            
(3星)	 纯放松。然而ELLA还是太夸张了。            
(4星)	 跟小小猴子老板一起在TV吧看的,大一的快乐回忆            
(NA)	 妈妈的，毁了我的梅田还毁了我的瑞希，幸好有个秀一勉强顶着。。            
(3星)	 女主角太恶心。比起日版差很多了            
(2星)	 不喜欢ella所有的剧……            
(3星)	 看了一半就没看下去的片子.一个星期一集等死人了而且最重要的是我喜欢的那位已经不知道是男几了.            
(4星)	 chun很帅，elle很傻            
(3星)	 更喜歡日本的偷偷愛著你~            
(NA)	 一般消遣            
(4星)	  台湾偶像剧 花样少年少女 吴尊 Ella             
(4星)	 好吧,我也是这个档次的,嘿.            
(NA)	 搞笑哈结局不喜欢我是外貌协会的啊            
(3星)	 虎头蛇尾的感觉～            
(4星)	 越到最后越开始不好了            
(3星)	 看了日剧才觉得这个差得好远啊~            
(4星)	 那时候追着看            
(4星)	 和漫画相比各有各好            
(4星)	 沉沦在璀璨的花海中做了个地地道道的超级大花痴~~！            
(NA)	 认识了飞轮海            
(NA)	 看个热闹 吴尊很帅            
(2星)	 说实话，很不怎么样            
(2星)	 只要ELLA一做鬼脸 我就觉得胃口不好....            
(4星)	 小尊尊。MUA。            
(NA)	 专属天使            
(3星)	 花样少年很多，花样少女一个也没有。非常忠于原著，除了结尾。不过，原著的结尾是什么，我已经完全想不起来了。最近在看日版的此剧，虽然日版里少年的面相比台版差太多，不过演技却好太多，女主角也美的“甩出ella几条街去”。况且，ella的表演，为什么只有愚蠢一条路可走呢？            
(4星)	 美少年            
(3星)	 ELLA把瑞稀彻底的毁了，非一般做作。台词庸俗，导演一般。若非泉，秀一，梅田，难波南的拯救，怕是要变成我的噩梦。            
(NA)	 我也想为了喜欢的他去找他.            
(4星)	 ~            
(NA)	 呵呵后            
(3星)	 哎呦呦，我都忘了我大学还看过这个。            
(NA)	 【2006-11-19】            
(5星)	 童年..            
(4星)	 好叭我当时真的就此爱上了吴尊。。。            
(3星)	 我喜欢漫画来着            
(3星)	 是的，这个我也看过。            
(NA)	 期待韩国版本，什么时候可以给我看看演员表啊…            
(3星)	 我都看不下去了我妈还在看的剧=___=            
(4星)	 想当年一堆人窝在宿舍看这片的时候，俺才18岁！            
(2星)	 男人ella            
(3星)	 吴尊好帅❤❤~~为毛我一放假就跟我妈一起看这种梦幻少女剧            
(NA)	 所谓制服诱惑T口T            
(5星)	 第一部看的偶像剧 看了很想减肥！！            
(3星)	 我还真把ella的剧看完了            
(4星)	 反正我挺喜欢看的，好笑。            
(3星)	 吳尊很帥，Ella很傻，汪東城很搞笑，唐禹哲很ZB。。。            
(NA)	 南学长~~南学长&gt;&lt; 还需要理由吗！！而且汪大东真的是一个谐星。。。            
(4星)	 同学说叫花样狗男狗女....呃呃呃            
(1星)	 ELLA 是我见过最恶心的女人 年夜饭都快吐出来了 真不知道导演怎么想的            
(3星)	 其实没什么不能看的，至少比央视每年的开年大剧强多了            
(3星)	 看恶俗偶像剧竟然也会被感动到，我是越来越没谱了.....            
(NA)	 撒？《偷偷爱着你》？            
(NA)	 忘得差不多了，当时赶上偷偷爱着你完结就看了看，还好。            
(1星)	 不能理解为什么是ella演女主。            
(2星)	 ella太可怕了，如果不是吴尊我猜大概会给-1星            
(3星)	 一晚上看着看着看到最后几集就弃了,喜欢汪东城            
(3星)	 花痴了一把            
(4星)	 女猪脚能更美型点就好了            
(5星)	 虽然很man，但是这样才是需要保护的人啊            
(3星)	 当时超迷专属天使 怎么办也很欢乐 就是Ella那哭得稀烂的脸 看着想打。。            
(5星)	 越看尊越帅啊啊啊 原来昨天还是尊的生日哪   好后悔4年前没有实时看   还有我家小天 JJ 大东 糖糖 嗷嗷嗷~~~ 分分钟都喜欢的一部剧 从头被秒到尾~~~            
(NA)	 在我青春懵懂的大二看了这部剧，还是很喜欢的……            
(3星)	 果然狗狗更吸引眼球啊~            
(3星)	 吴尊在里面很帅~            
(NA)	 一集弃。吴尊腔不能忍...= =            
(NA)	 两年之后才下载看完我是多凄凉- -长大(= =)之后觉得好无聊            
(4星)	 虽然是台湾偶像剧 但是当时还是觉得蛮好笑的哈哈哈哈 吴尊在里面还蛮好看的            
(4星)	 那会挺喜欢的~~~            
(5星)	 每年暑假必看剧            
(3星)	 除了吴尊没什么可看的。。。。被ELLA各种雷到            
(1星)	 虽然有小天，但挡不住地烂啊...ella实在太不适合这角色了，不得不说太难看了！            
(4星)	 很傻的偶像剧 不过那个时候觉得好可爱            
(3星)	 好好的一个剧本，坏在Ella上，可以号称剧中就沒看头男生。            
(2星)	 Ella怎么老演弱智片            
(4星)	 想当初上电脑课那个看土豆得扎劲啊~吴尊~~~~            
(NA)	 生平看過三部臺灣偶像劇之三            
(4星)	 当时看的时候 还蛮好笑的             
(3星)	 2006            
(3星)	 台湾又一次抢先拍，但是总觉得后来拍的日版精致度与原著的还原明显是优于前者。            
(3星)	 真正的高手并不是技术厉害。而是当他们在面对对手时，能够展现出内心意志的坚强。            
(3星)	 泉 瑞希 金秀伊            
(4星)	 其实吴尊真的挺帅的也。。。            
(NA)	 忍耐到第三集，台湾偶像剧，到底到底要这样子到什么时候，一定是我的心老了            
(3星)	 突然想起去过拍这部片子的地方...            
(3星)	 吴尊老了...还是大东好            
(1星)	 真是花痴            
(4星)	 看吳尊的臉~            
(1星)	 为了表示对主演的厌恶而来打一星╮(╯▽╰)╭            
(NA)	 高中某个寒假看的，那时吴尊正红。不过夸张到连当时的我都觉得有点脑残            
(3星)	 很送饭，吴尊很帅，ella很傻也很肥。            
(3星)	 适合用来打发时间            
(2星)	 台剧的通病就是傻气和啰嗦            
(2星)	 虽然狗血  可是我还是真的看过            
(3星)	 第一部 女扮男ELLA 演的很像男孩子不知道是夸她还是            
(2星)	 在日劇《花樣》之下，我真無法對台版的發表任何觀點            
(4星)	 看过的仅次于流星花园的偶像剧了吧，改变了我审美的电视。            
(3星)	 在不能上网的时候，我也看过一集，一看吴尊赤裸上身，跟ella同处一室，我就觉得像BL。            
(2星)	 所以當年俺是有多腦殘啊超愛看這個0 0如今把剩下的幾集看完夠我吐幾天啊!!!            
(4星)	 给大东四星            
(2星)	 好友当年迷得一塌糊涂，但我本人比较没爱。            
(3星)	 卧床不起...没硬盘的日子...快速拖拽式            
(4星)	 大二的时候超迷这部戏，头一次见到女追男追得这么邪乎的！看这就当一乐吧！            
